MYEAR	SDATE	STIME	SHIPC	SHARKID_MD5	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	MNDEP	MXDEP	BIOV_CONC_ALL	Q_BIOV_CONC_ALL
2016	2016-04-04		77SN	7b4f979612d105c194d17a2b44faccce	DANAFJORD	57.66750	11.68670	574000-114230	Dana fjord	N Kattegatt	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	1.3180978007	
2016	2016-04-04		77SN	7b24d631c62176abf430a471788f5379	HAVSTENSFJORD	58.31250	11.77330	581740-114820	Havstensfjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	1.1496586576	
2016	2016-04-04		77SN	9284a677c8886a0c05b9178b89df723f	KOLJÖFJORD	58.23000	11.58000	581260-113220	Koljö fjord	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.827859893	
2016	2016-04-04		77SN	5d9ec4c32b4d8bdbeaa26654750c60c8	ÅSTOL	57.91970	11.59330	575340-113000	Marstrandsfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.371830487	
2016	2016-03-19		34AR	122a93323f9491e1ff408c00087d29ef	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	2.6217913338	
2016	2016-03-02		77SN	e59e1ac41a9e81f241eaa9709aeb036d	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	12.7242665353	
2016	2016-03-01		77SN	b0a9139904311bfd832ab53771be0b8d	DANAFJORD	57.66750	11.68670	574000-114230	Dana fjord	N Kattegatt	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	11.6997114011	
2016	2016-03-01		77SN	c7fdc210c224c7d677ac86f9f21a6b55	HAVSTENSFJORD	58.31250	11.77330	581740-114820	Havstensfjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.2610691912	
2016	2016-03-01		77SN	a7beaded349d645eec276da25452d300	KOLJÖFJORD	58.23000	11.58000	581260-113220	Koljö fjord	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.1717647243	
2016	2016-03-01		77NE	1635d61882fc8175090b695c243bc14f	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	5.9527856409	
2016	2016-03-01		77SN	329f409e1c46e318959a4974f35488df	ÅSTOL	57.91970	11.59330	575340-113000	Marstrandsfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	8.278467448	
2016	2016-02-20		34AR	3477812c1f152fc5dbf49c48891fe7cd	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.32168548511	
2016	2016-02-03		77NE	3cbd4a9bc87be24e44e7ba8c1db97ff1	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.0575388387	
