VISS_EU_CD	local_EQR	PTOT	SALT	YEAR_count	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
SE655120-220380	0.4727272727272728	0.605	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.10783333333333334	0.44793388429752073	MODERATE	(0, 'SE655120-220380')
SE655180-218660	0.25459940652818996	1.1233333333333333	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.11249999999999998	0.1958456973293769	BAD	(0, 'SE655180-218660')
SE636150-199220	0.4090909090909091	0.88	2.0	1	['20 - Norra Kvarkens inre kustvatten']	0.2966666666666667	0.38636363636363646	POOR	(0, 'SE636150-199220')
SE635040-204196	1.1208791208791211	0.3033333333333333	3.0	1	['20 - Norra Kvarkens inre kustvatten']	0.08633333333333333	1.0	HIGH	(0, 'SE635040-204196')
SE637070-204260	0.9513513513513516	0.36999999999999994	2.4	1	['20 - Norra Kvarkens inre kustvatten']	0.11833333333333335	0.9557739557739561	HIGH	(0, 'SE637070-204260')
SE636910-204040	0.6246334310850441	0.5683333333333332	2.25	1	['20 - Norra Kvarkens inre kustvatten']	0.2866666666666667	0.5860303918954947	MODERATE	(0, 'SE636910-204040')
SE582000-115270	0.57715212697315	1.193	23.250500000000002	5	['02 - Västkustens fjordar']	0.8419999999999999	0.4449067875934762	MODERATE	(0, 'SE582000-115270')
SE581740-114820	0.6183884607634729	1.0925	24.2665	5	['02 - Västkustens fjordar']	0.744	0.48417948644140274	MODERATE	(0, 'SE581740-114820')
SE563330-124600	0.4753295874098799	1.571111111111111	19.037000000000003	3	['05 - Södra Hallands och norra Öresunds kustvatten']	0.6999999999999998	0.2768583381292705	POOR	(0, 'SE563330-124600')
SE654860-219880	0.4503937007874017	0.6349999999999999	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.12833333333333333	0.42763063707945614	MODERATE	(0, 'SE654860-219880')
SE575340-113000	0.7403291184384135	0.9135	24.743550000000003	5	['03 - Västkustens yttre kustvatten. Skagerrak']	0.55	0.6005983971607519	GOOD	(0, 'SE575340-113000')
SE582000-112350	0.8612772756367002	0.8142083333333334	27.28529166666666	5	['01n - Västkustens inre kustvatten']	0.4412083333333333	0.8150363675156004	HIGH	(0, 'SE582000-112350')
SE581260-113220	0.558392297649662	1.2475	24.194499999999998	5	['02 - Västkustens fjordar']	0.8845000000000001	0.4270402834758686	MODERATE	(0, 'SE581260-113220')
SE574000-114230	0.8407255000047454	0.8476041666666665	23.31765	5	['01s - Västkustens inre kustvatten']	0.44239583333333343	0.734945555566101	GOOD	(0, 'SE574000-114230')
SE585100-110600	0.8353110860090428	0.8445	29.878499999999995	5	['03 - Västkustens yttre kustvatten. Skagerrak']	0.555	0.7732928836528051	GOOD	(0, 'SE585100-110600')
SE572540-114801	0.7082814268045744	0.991	22.9455	5	['04 - Västkustens yttre kustvatten. Kattegatt']	0.5805	0.5282814268045745	MODERATE	(0, 'SE572540-114801')
SE555545-124332	0.5669297142767805	1.072	13.683666666666667	5	['06 - Öresunds kustvatten']	0.6940000000000001	0.38462319326680067	POOR	(0, 'SE555545-124332')
SE561005-150250	0.539597422692916	0.9241666666666667	7.5179166666666655	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.5604166666666667	0.4632703842662873	MODERATE	(0, 'SE561005-150250')
SE580610-113615	0.784338487586115	0.9344444444444444	24.989444444444445	3	['01n - Västkustens inre kustvatten']	0.5122222222222222	0.6806154319747546	GOOD	(0, 'SE580610-113615')
SE580325-113500	0.8720018393452048	0.8755555555555556	26.265	3	['01n - Västkustens inre kustvatten']	0.5599999999999999	0.8293357857936065	HIGH	(0, 'SE580325-113500')
SE580500-114725	0.6670063134978229	1.0175	25.255	2	['02 - Västkustens fjordar']	0.525	0.53048220333126	MODERATE	(0, 'SE580500-114725')
SE581120-112680	0.6839338334913968	1.0283333333333333	27.96666666666667	3	['02 - Västkustens fjordar']	0.545	0.5466036509441875	MODERATE	(0, 'SE581120-112680')
SE581365-112910	0.6031811159487168	1.125	24.37	2	['02 - Västkustens fjordar']	0.6875	0.46969630090353987	MODERATE	(0, 'SE581365-112910')
SE584750-111185	0.9426965729711975	0.7767499999999999	28.094166666666666	3	['01n - Västkustens inre kustvatten']	0.4833333333333334	0.9235954306282633	HIGH	(0, 'SE584750-111185')
SE584890-110950	0.6931754753126218	0.9956666666666667	24.691666666666666	3	['01n - Västkustens inre kustvatten']	0.4875	0.5554052145834494	MODERATE	(0, 'SE584890-110950')
SE582630-113515	0.4149100262467192	1.5566666666666666	16.906666666666666	3	['02 - Västkustens fjordar']	0.945	0.26460003087849315	POOR	(0, 'SE582630-113515')
SE584450-111445	0.7952446765637408	0.888	26.895	3	['01n - Västkustens inre kustvatten']	0.5433333333333333	0.7004448664795286	GOOD	(0, 'SE584450-111445')
SE584670-111300	0.9086629047996538	0.7919999999999999	27.326666666666668	3	['01n - Västkustens inre kustvatten']	0.48583333333333334	0.8782172063995385	HIGH	(0, 'SE584670-111300')
SE582150-112530	0.7642207503906402	1.0250000000000001	25.301666666666666	3	['02 - Västkustens fjordar']	0.61	0.6440377279829822	GOOD	(0, 'SE582150-112530')
SE585600-110880	0.8895061196162178	0.8183888888888889	25.847222222222225	3	['01n - Västkustens inre kustvatten']	0.505	0.8526748261549572	HIGH	(0, 'SE585600-110880')
SE585200-111140	1.060336632203814	0.7227777777777779	27.237407407407403	3	['01n - Västkustens inre kustvatten']	0.4283333333333333	1.0	HIGH	(0, 'SE585200-111140')
SE583710-111535	0.6670818388590637	1.0888888888888888	26.981388888888887	3	['01n - Västkustens inre kustvatten']	0.6502777777777777	0.5305541322467273	MODERATE	(0, 'SE583710-111535')
SE582665-111706	0.6253132983324282	1.1075	29.195	2	['01n - Västkustens inre kustvatten']	0.49874999999999997	0.49077456984040785	MODERATE	(0, 'SE582665-111706')
SE582850-111760	0.7739085739296696	0.9516666666666667	26.76	3	['01n - Västkustens inre kustvatten']	0.5366666666666666	0.6616519525993992	GOOD	(0, 'SE582850-111760')
SE584030-111400	0.6604663349407968	1.04875	28.955	2	['01n - Västkustens inre kustvatten']	0.495	0.5242536523245683	MODERATE	(0, 'SE584030-111400')
SE581853-112736	0.5798187432867884	1.15125	27.245	2	['01n - Västkustens inre kustvatten']	0.5587500000000001	0.4474464221778937	MODERATE	(0, 'SE581853-112736')
SE582230-112255	0.6710335440802967	1.0991666666666668	25.838333333333335	3	['01n - Västkustens inre kustvatten']	0.6333333333333333	0.534317661028854	MODERATE	(0, 'SE582230-112255')
SE573500-115150	1.2487962962962962	0.54	18.29	1	['01s - Västkustens inre kustvatten']	0.49	1.0	HIGH	(0, 'SE573500-115150')
SE585990-111125	0.9782394208463323	0.7330000000000001	24.705	1	['01n - Västkustens inre kustvatten']	0.6174999999999999	0.9709858944617764	HIGH	(0, 'SE585990-111125')
SE570000-120701	0.6612730268069144	1.04	21.20325	4	['04 - Västkustens yttre kustvatten. Kattegatt']	0.6112500000000001	0.4812730268069144	MODERATE	(0, 'SE570000-120701')
SE582700-110451	0.5906869565217391	1.15	25.389999999999997	1	['03 - Västkustens yttre kustvatten. Skagerrak']	0.61	0.4577971014492753	MODERATE	(0, 'SE582700-110451')
SE554040-125750	0.5543016944972589	1.0526666666666666	13.055866666666665	5	['06 - Öresunds kustvatten']	0.7561666666666667	0.3697666994085399	POOR	(0, 'SE554040-125750')
SE554500-125001	0.6401725733666614	1.0026666666666668	17.055266666666668	5	['06 - Öresunds kustvatten']	0.7016666666666665	0.4601725733666615	MODERATE	(0, 'SE554500-125001')
