YEAR	local_EQR	NTOT	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	DIN	global_EQR	STATUS	index_column
2013	0.7525508738357013	22.673333333333332	6.490777777777779	3	SE584340-174401	14 - Östergötlands yttre kustvatten	5.5	0.5088833809831781	MODERATE	(0, 'SE584340-174401')
2014	0.7707954000004986	22.064444444444447	6.702777777777778	3	SE584340-174401	14 - Östergötlands yttre kustvatten	5.093333333333333	0.5303475294123514	MODERATE	(1, 'SE584340-174401')
2015	0.7713135703025293	22.054444444444446	6.917222222222222	3	SE584340-174401	14 - Östergötlands yttre kustvatten	5.377777777777777	0.5309571415323875	MODERATE	(2, 'SE584340-174401')
2016	0.7526615865889738	22.616666666666664	6.903333333333333	3	SE584340-174401	14 - Östergötlands yttre kustvatten	5.2011111111111115	0.5090136312811456	MODERATE	(3, 'SE584340-174401')
2013	0.9926474952441342	22.528571428571432	21.646142857142856	1	SE581700-113000	02 - Västkustens fjordar	8.86	0.9877458254068904	HIGH	(0, 'SE581700-113000')
2014	0.7862775891341257	29.449999999999996	20.387500000000003	1	SE581700-113000	02 - Västkustens fjordar	13.2275	0.5960816727727639	MODERATE	(1, 'SE581700-113000')
2015	0.9157370936902484	26.150000000000006	19.1325	1	SE581700-113000	02 - Västkustens fjordar	12.1825	0.8595618228170806	HIGH	(2, 'SE581700-113000')
2016	0.7759783151326054	32.05	17.6665	1	SE581700-113000	02 - Västkustens fjordar	15.04	0.585240331718532	MODERATE	(3, 'SE581700-113000')
2017	0.8385150300601201	24.950000000000003	23.935000000000002	1	SE581700-113000	02 - Västkustens fjordar	9.3025	0.7078111779113778	GOOD	(4, 'SE581700-113000')
2013	0.6841583162124756	26.360000000000003	6.934066666666666	5	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	5.697333333333334	0.4166568426029124	MODERATE	(0, 'SE561400-161201')
2014	0.7207185764751939	24.571428571428573	7.134857142857143	7	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	4.777777777777779	0.4596689135002281	MODERATE	(1, 'SE561400-161201')
2015	0.703532960157829	24.473809523809525	7.34795238095238	7	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	5.539523809523809	0.4394505413621517	MODERATE	(2, 'SE561400-161201')
2016	0.7055819829890081	24.66111111111111	7.336500000000001	6	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	5.274166666666667	0.44186115645765656	MODERATE	(3, 'SE561400-161201')
2017	0.6845637583892618	24.833333333333332	7.316666666666666	1	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	6.086666666666666	0.41713383339913146	MODERATE	(4, 'SE561400-161201')
2013	0.90745493151389	20.965	2.1115	2	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	6.540000000000001	0.7436373287847249	GOOD	(0, 'SE654470-222700')
2014	0.8911297013903967	22.05	1.8416666666666668	2	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	6.963333333333333	0.7028242534759918	GOOD	(1, 'SE654470-222700')
2015	0.9391929415638295	20.31555555555556	1.9205555555555556	3	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	6.675555555555555	0.8262655473252271	HIGH	(2, 'SE654470-222700')
2016	0.8826992589981989	21.63333333333333	2.0693333333333332	3	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	7.151111111111111	0.6817481474954972	GOOD	(3, 'SE654470-222700')
2013	0.9008325440854592	20.602222222222224	4.175222222222223	3	SE633000-195000	20 - Norra Kvarkens inre kustvatten	6.491111111111111	0.7770813602136479	GOOD	(0, 'SE633000-195000')
2014	0.9534623345653639	19.689999999999998	3.777875	4	SE633000-195000	20 - Norra Kvarkens inre kustvatten	6.545	0.8965829657008086	HIGH	(1, 'SE633000-195000')
2015	0.9688309003563698	19.365333333333332	4.722166666666666	5	SE633000-195000	20 - Norra Kvarkens inre kustvatten	4.726666666666667	0.9307353341252662	HIGH	(2, 'SE633000-195000')
2016	0.8920288917687834	20.662666666666663	4.402466666666667	5	SE633000-195000	20 - Norra Kvarkens inre kustvatten	5.803333333333334	0.7550722294219585	GOOD	(3, 'SE633000-195000')
2013	0.9822698159775581	18.381111111111114	5.047333333333334	3	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	4.695555555555556	0.9605995910612404	HIGH	(0, 'SE625180-181655')
2014	0.9831535128746115	18.410555555555558	4.8438888888888885	3	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	4.818888888888889	0.9625633619435812	HIGH	(1, 'SE625180-181655')
2015	0.9960172265817967	18.11777777777778	5.09811111111111	3	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	4.281111111111111	0.9911493924039927	HIGH	(2, 'SE625180-181655')
2016	0.9768547471282285	18.55666666666667	4.915666666666667	4	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	3.9075	0.9485661047293967	HIGH	(3, 'SE625180-181655')
2015	0.9398163506469609	20.545	1.692	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	7.166666666666666	0.8280467161341739	HIGH	(0, 'SE654820-222660')
2016	0.8959446714869538	21.206666666666667	2.0	1	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	5.44	0.7148616787173844	GOOD	(1, 'SE654820-222660')
2015	0.74422908657033	25.143333333333334	3.219	1	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	10.671666666666667	0.4990930430239177	MODERATE	(0, 'SE625000-180075')
2016	0.8523293111348709	21.823333333333334	3.498333333333333	1	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	6.585000000000001	0.6558232778371772	GOOD	(1, 'SE625000-180075')
2015	0.4444444444444444	40.5	5.0	1	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	21.6	0.17777777777777778	BAD	(0, 'SE628750-183300')
2016	0.6709985315712188	27.24	4.305	1	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	10.825	0.4129394489073162	MODERATE	(1, 'SE628750-183300')
2015	0.749314712124324	24.345	4.394833333333334	1	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	8.713333333333333	0.5050761319109695	MODERATE	(0, 'SE631346-184241')
2016	0.8469476293771304	21.513333333333335	4.448333333333333	1	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	5.873333333333334	0.6423690734428261	GOOD	(1, 'SE631346-184241')
2015	0.5714428326314147	32.055	4.206	1	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	13.436666666666667	0.2893035407892684	POOR	(0, 'SE631646-185280')
2016	0.7867798001915971	24.35666666666667	2.091666666666667	1	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	8.315	0.5491527061077613	MODERATE	(1, 'SE631646-185280')
2013	0.6509398579181926	31.183333333333334	3.6	2	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	12.708333333333334	0.3658115975508148	POOR	(0, 'SE583730-164501')
2014	0.683655856469101	26.183333333333334	5.1	2	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	6.298333333333333	0.40430100761070703	MODERATE	(1, 'SE583730-164501')
2015	0.6347154471544716	27.259999999999998	6.25	2	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	8.361666666666665	0.3467240554758489	POOR	(2, 'SE583730-164501')
2016	0.7891127970705789	21.55	6.383333333333333	2	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	5.218333333333334	0.5283679965536223	MODERATE	(3, 'SE583730-164501')
2013	0.5244233894436195	53.23166666666667	2.3499999999999996	2	SE582705-163350	13 - Östergötlands inre kustvatten	27.068333333333335	0.23052923680452445	POOR	(0, 'SE582705-163350')
2014	0.3825729431038719	65.13333333333333	3.2	2	SE582705-163350	13 - Östergötlands inre kustvatten	36.365	0.15302917724154877	BAD	(1, 'SE582705-163350')
2015	0.40868963013044857	54.763333333333335	4.2	2	SE582705-163350	13 - Östergötlands inre kustvatten	28.073333333333338	0.16347585205217943	BAD	(2, 'SE582705-163350')
