BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.2776655254	0	58.26_11.43	1.35		2013-06-26	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	1	1.0	1_SE581700-113000
0.4549383825	0	58.26_11.43	1.35		2013-07-01	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	2	1.0	2_SE581700-113000
0.210089803	0	58.26_11.43	1.35		2013-07-30	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	3	1.0	3_SE581700-113000
0.0378123672	0	58.26_11.43	1.35		2013-08-06	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	4	1.0	4_SE581700-113000
0.181349543	0	58.26_11.43	1.35		2013-08-12	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	5	1.0	5_SE581700-113000
3.5800536274	0	58.26_11.43	1.35		2014-06-03	MODERATE	SE581700-113000	02 - Västkustens fjordar	2014	0.5027857644990763	6	0.37708932337430723	6_SE581700-113000
0.2165977467	0	58.26_11.43	1.35		2014-07-01	HIGH	SE581700-113000	02 - Västkustens fjordar	2014	1.0	7	1.0	7_SE581700-113000
0.18851966129	0	58.26_11.43	1.35		2014-08-04	HIGH	SE581700-113000	02 - Västkustens fjordar	2014	1.0	8	1.0	8_SE581700-113000
0.1872107011	0	58.26_11.43	1.35		2014-08-05	HIGH	SE581700-113000	02 - Västkustens fjordar	2014	1.0	9	1.0	9_SE581700-113000
0.351760498	0	58.26_11.43	1.35		2015-06-15	HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	10	1.0	10_SE581700-113000
0.3457379553	0	58.26_11.43	1.35		2015-07-08	HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	11	1.0	11_SE581700-113000
0.4043082253	0	58.26_11.43	1.35		2015-07-24	HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	12	1.0	12_SE581700-113000
