YEAR	local_EQR	PTOT	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
2015	0.8098479305599662	0.4916666666666666	0.5501666666666667	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	0.115	0.7712113293713803	GOOD	(2, 'SE654820-222660')
2016	0.8515793003851092	0.2633333333333333	2.1261666666666663	2	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	0.06333333333333332	0.8253874122177757	HIGH	(3, 'SE654820-222660')
2013	0.2523148148148148	1.08	4.25	1	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.16278375149342894	BAD	(0, 'SE625000-180075')
2015	0.9404811519911164	0.3211111111111111	3.3394444444444447	3	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.9299778258719017	HIGH	(1, 'SE625000-180075')
2016	0.9713014616837521	0.3033333333333333	3.522222222222222	3	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.9662370137455908	HIGH	(2, 'SE625000-180075')
2015	0.36100984328954255	0.7916666666666666	4.031	3	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.2600115803406383	POOR	(0, 'SE628750-183300')
2016	0.28140038961038966	1.041111111111111	4.202222222222222	3	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.18154863845831593	BAD	(1, 'SE628750-183300')
2015	0.5526356404475908	0.4883333333333333	4.3536666666666655	3	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.4660324004069008	MODERATE	(0, 'SE631346-184241')
2016	0.6712336973781453	0.41611111111111115	4.190555555555556	3	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.5738488157983139	MODERATE	(1, 'SE631346-184241')
2015	0.5556216124433683	0.5077777777777778	3.991888888888889	3	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.4687469204030621	MODERATE	(0, 'SE631646-185280')
2016	0.5969068985442171	0.4688888888888889	4.012777777777778	3	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.506278998676561	MODERATE	(1, 'SE631646-185280')
2013	0.7015115864527629	0.47444444444444445	4.133333333333334	3	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.16	0.5615115864527629	MODERATE	(0, 'SE583730-164501')
2014	0.6248601254539717	0.5166666666666667	5.3	3	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.26666666666666666	0.4848601254539717	MODERATE	(1, 'SE583730-164501')
2015	0.5709922842592872	0.5766666666666667	5.866666666666667	3	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.33888888888888885	0.43099228425928715	MODERATE	(2, 'SE583730-164501')
2016	0.4420045118740955	0.69475	5.970833333333333	4	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.40370833333333334	0.2911161243045506	POOR	(3, 'SE583730-164501')
2013	0.5127673796791443	0.6777777777777779	3.1333333333333333	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.1922222222222222	0.369741532976827	POOR	(0, 'SE582705-163350')
2014	0.5946789478157403	0.5811111111111112	3.766666666666666	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.2788888888888889	0.45467894781574025	MODERATE	(1, 'SE582705-163350')
2015	0.4945383693815823	0.6900000000000001	3.5666666666666664	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.31666666666666665	0.34948707709064697	POOR	(2, 'SE582705-163350')
2016	0.3581124025375506	0.8923333333333333	5.211111111111111	3	SE582705-163350	13 - Östergötlands inre kustvatten	0.5463333333333332	0.19895133474308369	BAD	(3, 'SE582705-163350')
2013	0.6217289427398868	0.48888888888888893	6.033333333333334	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.13555555555555557	0.48172894273988676	MODERATE	(0, 'SE582050-165820')
2014	0.4597901533494755	0.6877777777777777	6.0	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.3977777777777778	0.3108779481660839	POOR	(1, 'SE582050-165820')
2015	0.4041670266905058	0.7377777777777776	6.266666666666667	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.3811111111111112	0.24907447410056202	POOR	(2, 'SE582050-165820')
2016	0.45967875339112035	0.6488888888888887	6.333333333333333	3	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.3913333333333333	0.3107541704345782	POOR	(3, 'SE582050-165820')
2013	0.8618717308423509	0.4683333333333333	25.718499999999995	3	SE582147-111771	01n - Västkustens inre kustvatten	0.061666666666666675	0.8374961539321776	HIGH	(0, 'SE582147-111771')
2014	0.7123773904356714	0.5758333333333333	25.461666666666662	3	SE582147-111771	01n - Västkustens inre kustvatten	0.03	0.6039623173927857	GOOD	(1, 'SE582147-111771')
2015	0.7454755487100501	0.5883333333333334	24.425833333333333	3	SE582147-111771	01n - Västkustens inre kustvatten	0.0425	0.6591259145167502	GOOD	(2, 'SE582147-111771')
2016	0.7197120679321269	0.5583333333333333	22.625833333333333	3	SE582147-111771	01n - Västkustens inre kustvatten	0.0325	0.6161867798868783	GOOD	(3, 'SE582147-111771')
2017	0.6080962788764241	0.6599999999999999	26.738333333333333	3	SE582147-111771	01n - Västkustens inre kustvatten	0.07166666666666667	0.5029488370251659	MODERATE	(4, 'SE582147-111771')
2013	0.7805388045562719	0.5226666666666666	22.442666666666668	3	SE580688-114860	02 - Västkustens fjordar	0.07333333333333335	0.7175646742604532	GOOD	(0, 'SE580688-114860')
2014	0.5873721989690698	0.6883333333333334	23.544999999999998	3	SE580688-114860	02 - Västkustens fjordar	0.043333333333333335	0.4832116180657808	MODERATE	(1, 'SE580688-114860')
2015	0.7023800401756671	0.6158333333333333	22.140833333333333	3	SE580688-114860	02 - Västkustens fjordar	0.09999999999999999	0.5927428954053974	MODERATE	(2, 'SE580688-114860')
2016	0.638188753000943	0.6291666666666668	21.905	3	SE580688-114860	02 - Västkustens fjordar	0.06333333333333334	0.5316083361913744	MODERATE	(3, 'SE580688-114860')
2017	0.5734914904589995	0.7108333333333333	24.132499999999997	3	SE580688-114860	02 - Västkustens fjordar	0.08666666666666667	0.46999189567523764	MODERATE	(4, 'SE580688-114860')
2013	0.8162135110001635	0.4908333333333334	21.12833333333333	3	SE575500-113750	01n - Västkustens inre kustvatten	0.08083333333333333	0.7770225183336059	GOOD	(0, 'SE575500-113750')
2014	0.6284449097278492	0.6425	22.01	3	SE575500-113750	01n - Västkustens inre kustvatten	0.057499999999999996	0.5223284854550945	MODERATE	(1, 'SE575500-113750')
2015	0.7749704010531012	0.535	20.1925	3	SE575500-113750	01n - Västkustens inre kustvatten	0.06166666666666667	0.7082840017551688	GOOD	(2, 'SE575500-113750')
2016	1.5461937915123378	0.46833333333333343	17.626250000000002	6	SE575500-113750	01n - Västkustens inre kustvatten	0.04708333333333334	1.0	HIGH	(3, 'SE575500-113750')
2017	0.9460650856258844	0.495	22.697000000000003	5	SE575500-113750	01n - Västkustens inre kustvatten	0.05	0.9365471595598641	HIGH	(4, 'SE575500-113750')
2013	1.8515151515151513	0.165	3.15	1	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		1.0	HIGH	(0, 'SE625900-174360')
2015	1.7901530349350505	0.21708333333333335	0.5902916666666667	4	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		1.0	HIGH	(1, 'SE625900-174360')
2015	0.8744228844544294	0.31037037037037035	4.287592592592593	3	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		0.8522622170052111	HIGH	(0, 'SE630383-183500')
2013	0.8514288280254076	0.3228333333333333	3.15	3	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	0.065	0.8436092926583239	HIGH	(0, 'SE633550-200700')
2014	1.1288586807773016	0.2315	3.15	3	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	0.065	1.0	HIGH	(1, 'SE633550-200700')
2015	1.1077561018304594	0.24749999999999997	2.9	3	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	0.065	1.0	HIGH	(2, 'SE633550-200700')
2013	1.1009483452866784	0.2798333333333333	2.3000000000000003	3	SE636570-203590	20 - Norra Kvarkens inre kustvatten	0.065	1.0	HIGH	(0, 'SE636570-203590')
2014	1.2644619639534793	0.2315	2.533333333333333	3	SE636570-203590	20 - Norra Kvarkens inre kustvatten	0.065	1.0	HIGH	(1, 'SE636570-203590')
2015	1.0435559940881862	0.3032222222222222	1.9388888888888889	3	SE636570-203590	20 - Norra Kvarkens inre kustvatten	0.065	1.0	HIGH	(2, 'SE636570-203590')
2013	0.2744546094299789	0.9473333333333334	4.666666666666667	1	SE633043-193300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.12933333333333333	0.17706748995482513	BAD	(0, 'SE633043-193300')
2014	0.6600476568705322	0.41966666666666663	4.1	1	SE633043-193300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.065	0.5636796880641203	MODERATE	(1, 'SE633043-193300')
2015	0.6681415929203541	0.45199999999999996	3.266666666666667	1	SE633043-193300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.065	0.5710378117457766	MODERATE	(2, 'SE633043-193300')
2013	0.4119083836045035	0.8488888888888889	7.475555555555555	3	SE552170-130626	07 - Skånes kustvatten	0.30444444444444446	0.26106868659353355	POOR	(0, 'SE552170-130626')
2014	0.3145727288049891	1.0066666666666666	7.67	2	SE552170-130626	07 - Skånes kustvatten	0.4033333333333333	0.17476262711388285	BAD	(1, 'SE552170-130626')
2015	0.3937175371519262	0.785	8.151666666666667	2	SE552170-130626	07 - Skånes kustvatten	0.31666666666666665	0.23966769076697203	POOR	(2, 'SE552170-130626')
2013	0.37288574273848574	0.95125	14.817499999999999	4	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	0.24958333333333332	0.2504538149864538	POOR	(0, 'SE562000-123800')
2014	0.5801544697482403	0.64	16.073333333333334	3	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	0.16	0.4763375902364193	MODERATE	(1, 'SE562000-123800')
2015	0.5189058697572884	0.6758333333333333	17.236250000000002	4	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	0.23000000000000004	0.4180055902450366	MODERATE	(2, 'SE562000-123800')
2013	0.504234159547368	1.3487857142857145	4.349999999999999	7	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.39249999999999996	0.3602601772748534	POOR	(0, 'SE591400-183200')
