AMON	DATE_count	DIN	NTOT	NTRA	NTRI	NTRZ	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	max	min	number_of_dates
	3.0	5.931666666666666	20.166666666666668	5.335555555555556	0.3344444444444445	5.670000000000001	23.090555555555554	HIGH	SE572472-120302	01s - Västkustens inre kustvatten	2013.0	0.8825087060110114	(0, 'SE572472-120302')	0.8825087060110114			
	5.0	8.4375	24.84	8.580833333333333	0.3626666666666667	7.1475	18.44173333333333	HIGH	SE572472-120302	01s - Västkustens inre kustvatten	2014.0	1.0	(1, 'SE572472-120302')	9.66604066978766			
	4.0	10.305	23.575	8.951666666666666	0.2525	9.947777777777778	23.214750000000002	MODERATE	SE572472-120302	01s - Västkustens inre kustvatten	2015.0	0.44498786937485274	(2, 'SE572472-120302')	0.49173604978108065			
	3.0	5.24	19.311111111111114	4.919999999999999	0.3233333333333333	5.243333333333333	23.974222222222224	HIGH	SE572135-120141	01s - Västkustens inre kustvatten	2013.0	0.9497667040515078	(0, 'SE572135-120141')	0.9497667040515078			
	5.0	5.341500000000001	22.34	5.724166666666666	0.31	3.154444444444444	19.312866666666665	HIGH	SE572135-120141	01s - Västkustens inre kustvatten	2014.0	1.0	(1, 'SE572135-120141')	9.802448942794088			
	4.0	8.356250000000001	22.116666666666667	7.616666666666667	0.2416666666666667	8.532222222222222	24.029999999999998	MODERATE	SE572135-120141	01s - Västkustens inre kustvatten	2015.0	0.5314061368289218	(2, 'SE572135-120141')	0.59111705735326			
0.86	1.0	5.78	21.9			4.92	5.5	MODERATE	SE594340-190448	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015.0	0.4499172559049195	(0, 'SE594340-190448')	0.4974048442906574			
4.745	1.0	29.345	68.65			24.6	2.35	BAD	SE592400-180800	24 - Stockholms inre skärgård och Hallsfjärden	2013.0	0.12308975857956182	(0, 'SE592400-180800')	0.17848014994036462			
4.695	1.0	47.695	82.2			43.0	2.25	BAD	SE592400-180800	24 - Stockholms inre skärgård och Hallsfjärden	2014.0	0.07681713184711765	(1, 'SE592400-180800')	0.11138484117832058			
4.734	1.0	86.474	111.88			81.74	2.6	BAD	SE592400-180800	24 - Stockholms inre skärgård och Hallsfjärden	2015.0	0.04027521128535346	(2, 'SE592400-180800')	0.05839905636376251			
12.27	1.0	29.12	69.05			16.85	3.55	BAD	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013.0	0.1027259378552482	(0, 'SE593750-183962')	0.1489526098901099			
5.6899999999999995	1.0	26.715000000000003	62.05			21.025	3.85	BAD	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014.0	0.10616533395290002	(1, 'SE593750-183962')	0.153939734231705			
3.34	1.0	20.34	57.45			17.0	3.75	BAD	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015.0	0.14198284338656633	(2, 'SE593750-183962')	0.20587512291052115			
6.8	1.0	15.4	43.0			8.6	2.0	POOR	SE643700-211940	22 - Norra Bottenviken. Inre kustvatten	2013.0	0.36173160173160174	(0, 'SE643700-211940')	0.4112987012987013			
0.29000000000000004	1.0	4.720000000000001	18.92			4.43	5.0	HIGH	SE623890-178030	19 - Norra Bottenhavet. Höga kusten. Yttre kustvatten	2013.0	0.8474576271186439	(0, 'SE623890-178030')	0.8474576271186439			
