YEAR	local_EQR	PHOS	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
2013	0.41043031817874753	0.61	7.35	2	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	1.035	0.35053789772343447	POOR	(0, 'SE560700-155801')
2014	0.46843098968037483	0.5333333333333333	7.3999999999999995	3	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	1.3	0.4175533235051189	MODERATE	(1, 'SE560700-155801')
2015	0.4200958370769691	0.6033333333333334	7.566666666666666	3	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	1.1166666666666665	0.36261979634621144	POOR	(2, 'SE560700-155801')
2016	0.31499717889091344	0.82	7.756666666666667	3	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	1.195	0.23124647361364184	POOR	(3, 'SE560700-155801')
2013	0.20320411392405063	1.1666666666666667	4.65	2	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.6016666666666666	0.1401407682234832	BAD	(0, 'SE582460-164500')
2014	0.24109890109890114	1.07	5.949999999999999	2	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.3983333333333334	0.16627510420613875	BAD	(1, 'SE582460-164500')
2015	0.18651681433749498	1.33	6.2	2	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.5766666666666667	0.12863228574999655	BAD	(2, 'SE582460-164500')
2016	0.443649373881932	0.559	6.166666666666667	1	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.7526666666666667	0.4033176126199382	MODERATE	(3, 'SE582460-164500')
2013	0.28088108672936263	0.9066666666666666	6.449999999999999	2	SE581520-165000	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.1116666666666668	0.1937110942961122	BAD	(0, 'SE581520-165000')
2014	0.2734596965672663	0.9133333333333332	6.6	2	SE581520-165000	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.175	0.18859289418432162	BAD	(1, 'SE581520-165000')
2015	0.1765432098765432	1.4300000000000002	7.0	2	SE581520-165000	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.6500000000000001	0.12175393784589189	BAD	(2, 'SE581520-165000')
2016	0.318828790403785	0.7796666666666667	6.85	2	SE581520-165000	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.1668333333333334	0.23843838720504668	POOR	(3, 'SE581520-165000')
2013	0.5299023211490028	0.4733333333333334	6.5	3	SE560825-144215	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.9316666666666666	0.47609744871333604	MODERATE	(0, 'SE560825-144215')
2014	0.4674511322583488	0.5233333333333333	6.183333333333333	3	SE560825-144215	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.0533333333333335	0.41662012596033215	MODERATE	(1, 'SE560825-144215')
2015	0.38177287581699343	0.6766666666666667	7.466666666666666	3	SE560825-144215	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.0666666666666667	0.3147160947712418	POOR	(2, 'SE560825-144215')
2016	0.4332174596770022	0.5816666666666667	7.255	3	SE560825-144215	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.0216666666666667	0.3790218245962528	POOR	(3, 'SE560825-144215')
2013	0.48946666666666666	0.52	7.283333333333334	3	SE621688-144133	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.8833333333333333	0.4375873015873016	MODERATE	(0, 'SE621688-144133')
2014	0.436031932460988	0.5983333333333333	7.533333333333332	3	SE621688-144133	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.9616666666666666	0.382539915576235	POOR	(1, 'SE621688-144133')
2015	0.4189688711672102	0.625	8.066666666666666	3	SE621688-144133	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.9700000000000001	0.36121108895901277	POOR	(2, 'SE621688-144133')
