YEAR	local_EQR	PTOT	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
2013	0.5451785714285715	0.8959999999999999	6.32	1	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.74	0.468344155844156	MODERATE	(0, 'SE570340-163710')
2014	0.498500203247878	0.9936666666666666	6.393333333333332	3	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.8023333333333333	0.4259092756798892	MODERATE	(1, 'SE570340-163710')
2015	0.5342258675078865	0.9450000000000001	6.983333333333334	2	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.7	0.45838715227989685	MODERATE	(2, 'SE570340-163710')
2016	0.45587450737118673	1.125	6.833333333333332	2	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.7933333333333334	0.38234313421398347	POOR	(3, 'SE570340-163710')
2013	0.5253191489361703	0.94	6.7	1	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.81	0.45029013539651846	MODERATE	(0, 'SE570500-163750')
2014	0.5400179791441928	0.92	6.449999999999999	2	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.84	0.4636527083129026	MODERATE	(1, 'SE570500-163750')
2015	0.5906942070275404	0.795	4.99	2	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.51	0.5097220063886732	MODERATE	(2, 'SE570500-163750')
2016	0.4392989417989418	1.23	6.6	2	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.8765	0.3616236772486773	POOR	(3, 'SE570500-163750')
2013	0.3733693207377418	1.245	4.4	2	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.8150000000000001	0.32449242765032243	POOR	(0, 'SE573500-163500')
2014	0.38861521620142314	1.065	4.9	2	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.8200000000000001	0.3448202882685642	POOR	(1, 'SE573500-163500')
2015	0.3113026819923372	1.2999999999999998	5.72	2	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.026	0.24173690932311623	POOR	(2, 'SE573500-163500')
2016	0.34422657952069713	1.185	5.95	2	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.7695000000000001	0.2856354393609295	POOR	(3, 'SE573500-163500')
2013	0.6004878048780488	0.8200000000000001	6.6	1	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.5800000000000001	0.5186252771618626	MODERATE	(0, 'SE563825-161810')
2014	0.512328404325756	0.9524999999999999	6.225	2	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.7175	0.43848036756886916	MODERATE	(1, 'SE563825-161810')
2015	0.5666105196249802	0.895	7.025	2	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.47550000000000003	0.4878277451136184	MODERATE	(2, 'SE563825-161810')
2016	0.5630012659460513	0.88	6.675	2	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.5102500000000001	0.4845466054055012	MODERATE	(3, 'SE563825-161810')
2013	0.54698336638026	1.0074999999999998	6.6	2	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.835	0.46998487852750914	MODERATE	(0, 'SE564250-162500')
2014	0.5038930982939024	0.9924999999999999	6.75	2	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.6699999999999999	0.43081190753991133	MODERATE	(1, 'SE564250-162500')
2015	0.5546857455340868	0.9175	7.0075	2	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.476	0.4769870413946244	MODERATE	(2, 'SE564250-162500')
2016	0.6576196512085318	0.76	6.949999999999999	2	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.387	0.5705633192804835	MODERATE	(3, 'SE564250-162500')
2013	0.28847596081467475	1.3991666666666667	2.4338888888888888	3	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	1.0508333333333333	0.21130128108623297	POOR	(0, 'SE659024-162417')
2014	0.33613445378151263	1.19	2.4175	1	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	0.9025	0.27484593837535015	POOR	(1, 'SE659024-162417')
2015	0.25308488612836444	1.5916666666666666	3.0250000000000004	2	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	1.2179166666666665	0.18077491866311746	BAD	(2, 'SE659024-162417')
2016	0.2511934763456062	1.5999999999999999	3.1894444444444443	3	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	1.1833333333333333	0.17942391167543298	BAD	(3, 'SE659024-162417')
2013	0.5283822306346612	0.935	6.6	2	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.7025	0.4530747551224193	MODERATE	(0, 'SE572205-163500')
2014	0.6077509578544062	0.8125	6.35	2	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.6825	0.5252281435040058	MODERATE	(1, 'SE572205-163500')
2015	0.4853058968641776	1.0275	6.984999999999999	2	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.832	0.4139144516947069	MODERATE	(2, 'SE572205-163500')
2016	0.5323902651021295	0.9299999999999999	6.875	2	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.5765	0.45671842282011776	MODERATE	(3, 'SE572205-163500')
2013	0.44070796460177	1.13	7.05	1	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.9199999999999999	0.3633849557522125	POOR	(0, 'SE571552-162848')
2014	0.5054521943573669	0.9924999999999999	6.300000000000001	2	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.8125	0.4322292675976063	MODERATE	(1, 'SE571552-162848')
2015	0.4074545454545454	1.2375	7.1049999999999995	2	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.9617499999999999	0.3218181818181818	POOR	(2, 'SE571552-162848')
2016	0.44131277844287875	1.135	6.975	2	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.8022499999999999	0.3641409730535985	POOR	(3, 'SE571552-162848')
2013	0.551179012345679	0.905	6.65	2	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.71	0.47379910213243553	MODERATE	(0, 'SE572500-164500')
2014	0.6014017017465294	0.8200000000000001	6.55	2	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.8049999999999999	0.519456092496845	MODERATE	(1, 'SE572500-164500')
2015	0.38015267175572515	1.31	7.4	2	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.125	0.2876908396946565	POOR	(2, 'SE572500-164500')
2016	0.45911061795834757	1.085	7.0	2	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.749	0.3863882724479345	POOR	(3, 'SE572500-164500')
2013	0.29633126163690243	1.4125	2.1999999999999997	2	SE583718-161687	13 - Östergötlands inre kustvatten	1.0175	0.2217750155158699	POOR	(0, 'SE583718-161687')
2014	0.3239289446185998	1.2400000000000002	3.2	2	SE583718-161687	13 - Östergötlands inre kustvatten	0.8075	0.258571926158133	POOR	(1, 'SE583718-161687')
2015	0.25156739811912227	1.605	4.35	2	SE583718-161687	13 - Östergötlands inre kustvatten	1.3	0.1796909986565159	BAD	(2, 'SE583718-161687')
2016	0.32651151235689657	1.242	5.25	2	SE583718-161687	13 - Östergötlands inre kustvatten	1.045	0.26201534980919544	POOR	(3, 'SE583718-161687')
2013	0.3095238095238096	1.3649999999999998	3.6	2	SE583926-161744	13 - Östergötlands inre kustvatten	1.0899999999999999	0.23936507936507945	POOR	(0, 'SE583926-161744')
2014	0.3096259351620948	1.2933333333333334	3.65	2	SE583926-161744	13 - Östergötlands inre kustvatten	1.0266666666666668	0.23950124688279306	POOR	(1, 'SE583926-161744')
2015	0.25123185073254056	1.5933333333333333	6.074999999999999	2	SE583926-161744	13 - Östergötlands inre kustvatten	1.3399999999999999	0.17945132195181468	BAD	(2, 'SE583926-161744')
2016	0.33819862015813906	1.2365000000000002	5.966666666666667	2	SE583926-161744	13 - Östergötlands inre kustvatten	1.0763333333333334	0.2775981602108521	POOR	(3, 'SE583926-161744')
2013	0.361835245046924	1.1566666666666665	5.0	2	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.9199999999999999	0.30911366006256535	POOR	(0, 'SE583000-165600')
2014	0.333950903195924	1.2016666666666667	6.05	2	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.9850000000000001	0.2719345375945654	POOR	(1, 'SE583000-165600')
2015	0.26558519516266	1.5116666666666667	6.45	2	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1.3033333333333335	0.1897037108304714	BAD	(2, 'SE583000-165600')
2016	0.37956893110353773	1.1505	6.466666666666667	2	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.9693333333333334	0.332758574804717	POOR	(3, 'SE583000-165600')
2013	0.5584813988083633	0.8633333333333333	6.033333333333334	3	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.42166666666666663	0.48043763528033034	MODERATE	(0, 'SE560940-151740')
2014	0.5225974765974766	0.9516666666666667	7.183333333333334	3	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.5133333333333333	0.4478158878158879	MODERATE	(1, 'SE560940-151740')
2015	0.5075689223057643	0.9833333333333334	7.566666666666667	3	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.5083333333333333	0.43415356573251307	MODERATE	(2, 'SE560940-151740')
2016	0.5734544778892605	0.8883333333333333	7.416666666666667	3	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.5750000000000001	0.49404952535387325	MODERATE	(3, 'SE560940-151740')
2013	0.5598411000763942	0.9066666666666667	7.0	3	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.48333333333333334	0.4816737273421766	MODERATE	(0, 'SE560500-154880')
2014	0.3838571428571429	1.1866666666666668	7.050000000000001	3	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.6033333333333334	0.2923214285714287	POOR	(1, 'SE560500-154880')
2015	0.42757575757575755	1.2	7.733333333333333	3	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.6033333333333334	0.346969696969697	POOR	(2, 'SE560500-154880')
2016	0.39903846153846156	1.0366666666666666	7.800000000000001	3	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.6866666666666666	0.311298076923077	POOR	(3, 'SE560500-154880')
2013	0.5392012296854691	0.9199999999999999	6.8999999999999995	3	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.47000000000000003	0.462910208804972	MODERATE	(0, 'SE560810-153980')
2014	0.559176998384184	0.8916666666666666	6.8500000000000005	3	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.395	0.4810699985310764	MODERATE	(1, 'SE560810-153980')
2015	0.5336344768242737	0.9333333333333332	7.033333333333334	3	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.47000000000000003	0.45784952438570337	MODERATE	(2, 'SE560810-153980')
2016	0.5734469822598595	0.8883333333333333	7.885000000000001	3	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.39333333333333337	0.49404271114532683	MODERATE	(3, 'SE560810-153980')
2013	0.5469896606897656	0.91	7.066666666666667	3	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.4683333333333333	0.4699906006270597	MODERATE	(0, 'SE560780-153500')
2014	0.5389587301587302	0.9249999999999999	7.1000000000000005	3	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.41333333333333333	0.46268975468975476	MODERATE	(1, 'SE560780-153500')
2015	0.5186855720534477	0.96	7.2	3	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.45166666666666666	0.44425961095767974	MODERATE	(2, 'SE560780-153500')
2016	0.5563790940479683	0.9066666666666666	7.523333333333333	3	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.415	0.47852644913451664	MODERATE	(3, 'SE560780-153500')
2013	0.6360745533451714	0.7716666666666666	6.183333333333334	3	SE560795-154730	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.25166666666666665	0.5509768666774286	MODERATE	(0, 'SE560795-154730')
2014	0.5758416036805784	0.8583333333333334	6.800000000000001	3	SE560795-154730	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.39666666666666667	0.49621963970961674	MODERATE	(1, 'SE560795-154730')
