VISS_EU_CD	local_EQR	NTOT	SALT	YEAR_count	WATER_TYPE_AREA	DIN	global_EQR	STATUS	index_column
SE584340-174401	0.7618303576819258	22.35222222222222	6.753527777777777	4	['14 - Östergötlands yttre kustvatten']	5.293055555555555	0.5198004208022656	MODERATE	(0, 'SE584340-174401')
SE581700-113000	0.8618311046522468	27.025714285714287	20.553528571428572	5	['02 - Västkustens fjordar']	11.7225	0.7596246770049928	GOOD	(0, 'SE581700-113000')
SE561400-161201	0.6997111188447536	24.979936507936507	7.21400857142857	5	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	5.47509365079365	0.43495425746441596	MODERATE	(0, 'SE561400-161201')
SE654470-222700	0.9051192083665788	21.240972222222222	1.9857638888888887	4	['22 - Norra Bottenviken. Inre kustvatten']	6.8325	0.7377980209164469	GOOD	(0, 'SE654470-222700')
SE633000-195000	0.9287886676939942	20.080055555555553	4.269432638888889	4	['20 - Norra Kvarkens inre kustvatten']	5.891527777777778	0.8417525948755425	HIGH	(0, 'SE633000-195000')
SE625180-181655	0.9845738256405487	18.36652777777778	4.976249999999999	4	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	4.425763888888889	0.9657196125345529	HIGH	(0, 'SE625180-181655')
SE654820-222660	0.9178805110669573	20.875833333333333	1.846	2	['22 - Norra Bottenviken. Inre kustvatten']	6.303333333333333	0.7697012776673933	GOOD	(0, 'SE654820-222660')
SE625000-180075	0.7982791988526005	23.483333333333334	3.3586666666666662	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	8.628333333333334	0.5626814104148241	MODERATE	(0, 'SE625000-180075')
SE628750-183300	0.5577214880078316	33.87	4.6525	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	16.2125	0.2721518600097895	POOR	(0, 'SE628750-183300')
SE631346-184241	0.7981311707507273	22.929166666666667	4.421583333333333	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	7.293333333333333	0.562507259706738	MODERATE	(0, 'SE631346-184241')
SE631646-185280	0.6791113164115059	28.205833333333334	3.1488333333333336	2	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	10.875833333333333	0.4224839016605952	MODERATE	(0, 'SE631646-185280')
