BIOV_CONC_ALL	POSITION_count	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.5819761566585715	1		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.504202034561603	0	0.4067232552985648	0_SE584340-174401
0.5786720396242858	1		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5538755005943828	1	0.4862008009510125	1_SE584340-174401
0.42759796644199993	1		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5783346407334002	2	0.5253354251734403	2_SE584340-174401
0.6665073452614286	1		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5043936736733349	3	0.40702987787733574	3_SE584340-174401
0.40742540428	1		HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	0	1.0	0_SE581700-113000
1.0430954341225	1		HIGH	SE581700-113000	02 - Västkustens fjordar	2014	0.9026702067772355	1	0.8442723308435768	1_SE581700-113000
0.44356607857999997	1		HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	2	1.0	2_SE581700-113000
1.0001997321316667	1		HIGH	SE581700-113000	02 - Västkustens fjordar	2016	0.9466269684777623	3	0.9146031495644196	3_SE581700-113000
0.7415553057666667	1		MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.48768836352227024	0	0.3803013816356324	0_SE561400-161201
0.27050437105666664	1		HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.8096099148275079	1	0.7334538807585109	1_SE561400-161201
0.19340394649999998	1		HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.8395412213271459	2	0.7753577098580042	2_SE561400-161201
0.29192564686666667	1		GOOD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.6727181181597699	3	0.6181744945278159	3_SE561400-161201
0.6357258837833334	1		GOOD	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	0.6442535103295313	0	0.4764661858460078	0_SE654470-222700
0.30531721802	1		GOOD	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	0.7692937341253685	1	0.607758420831637	1_SE654470-222700
0.3736056880233333	1		HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	0.8068138420338686	2	0.6522649156609635	2_SE654470-222700
0.1768020753	1		HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	0.9339687795206462	3	0.8811438031371629	3_SE654470-222700
0.3567212081	2		GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.6864142006921893	0	0.5207349107267988	0_SE633000-195000
0.9233430320722222	3		POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.38740704041493207	1	0.22992563233194563	1_SE633000-195000
0.33510203540833333	2		HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.8071413363047316	2	0.6528544053485168	2_SE633000-195000
0.536878352	2		MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.4974275678227478	3	0.33255618943161036	3_SE633000-195000
0.7831303166333333	1		MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.48894565296559206	0	0.3333929356138716	0_SE625180-181655
0.5402206365666666	1		MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.5420729414651699	1	0.38917658853842835	1_SE625180-181655
0.40821877315	1		GOOD	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.710391007376963	2	0.5659105577458112	2_SE625180-181655
0.5612974144333334	1		MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5666444342644642	3	0.41497665597768735	3_SE625180-181655
1.1968201105	2		MODERATE	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2013	0.4400454774056438	0	0.2780432035353616	0_SE654820-222660
0.44888641048300004	1		MODERATE	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2014	0.5631779120422811	1	0.395019016440167	1_SE654820-222660
0.144249115015	2		HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2015	0.9532426777185143	2	0.9158368198933258	2_SE654820-222660
0.35862271450000005	1		HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2016	0.801106573308536	3	0.6419918319553647	3_SE654820-222660
0.26102822929999997	6		HIGH	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8903248839680995	0	0.8135523027457691	0_SE625000-180075
0.5947123416833334	6		MODERATE	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5552353340186306	1	0.4029971007195621	1_SE625000-180075
2.2733326653	1		POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.24204618007534812	0	0.11363694406027848	0_SE628750-183300
4.048152982325	2		BAD	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.17585755607741974	1	0.07034302243096789	1_SE628750-183300
0.8280502611499999	5		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4463044015229609	0	0.2886196215991089	0_SE631346-184241
0.52079387125	6		GOOD	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.6832124060104904	1	0.5373730263110149	1_SE631346-184241
