AMON	DEPH_count	DIN	NTOT	NTRA	NTRI	NTRZ	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_DIN	index_column	local_EQR	new_index
	4	5.695					2.5002000000000004	6.257000000000001	2013-01-15	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.39868890839918064		0	0.4390166812993855	0_SE584340-174401
	4	6.6175					2.5002000000000004	6.233666666666667	2013-02-12	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.31708852789321257		1	0.3778163959199094	1_SE584340-174401
	4	4.2075000000000005					2.5002000000000004	6.9816666666666665	2013-12-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.5402041808458921		2	0.5942245989304813	2_SE584340-174401
	4	5.0					2.5002000000000004	7.080000000000001	2014-01-14	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.45458181818181825		3	0.50004	3_SE584340-174401
	4	5.0625					2.5002000000000004	6.6610000000000005	2014-02-11	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.448969696969697		4	0.49386666666666673	4_SE584340-174401
	4	5.285					2.5002000000000004	6.367333333333334	2014-12-09	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.43006794529973347		5	0.47307473982970677	5_SE584340-174401
	4	6.0125					2.5002000000000004	6.916666666666667	2015-01-22	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.3677782397782399		6	0.4158336798336799	6_SE584340-174401
	4	5.1850000000000005					2.5002000000000004	6.803333333333334	2015-02-10	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.4383624090470764		7	0.482198649951784	7_SE584340-174401
	4	4.9775					2.5002000000000004	7.031666666666666	2015-12-08	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.4566366832564724		8	0.5023003515821196	8_SE584340-174401
	4	5.4625					2.5002000000000004	7.136666666666667	2016-01-12	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.4160931974204286		9	0.45770251716247146	9_SE584340-174401
	4	6.0200000000000005					2.5002000000000004	6.936666666666667	2016-02-16	POOR	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.36708748615725373		10	0.41531561461794025	10_SE584340-174401
	4	4.21					2.5002000000000004	6.636666666666667	2016-12-13	MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5398833945152236		11	0.593871733966746	11_SE584340-174401
	9	9.25					8.776042005714286	21.646142857142856	2013-01-08	HIGH	SE581700-113000	02 - Västkustens fjordar	2013	0.9487612979150579	True	0	0.9487612979150579	0_SE581700-113000
	5	14.297999999999998					9.428673499999999	20.387500000000003	2014-01-06	MODERATE	SE581700-113000	02 - Västkustens fjordar	2014	0.5994909332519487	True	9	0.6594400265771436	9_SE581700-113000
	5	14.422					10.0794161	19.1325	2015-03-05	GOOD	SE581700-113000	02 - Västkustens fjordar	2015	0.6555595716861142	True	21	0.69889170018028	21_SE581700-113000
	5	16.169999999999998					10.83956642	17.6665	2016-02-02	GOOD	SE581700-113000	02 - Västkustens fjordar	2016	0.6147863256471421	True	27	0.6703504279529995	27_SE581700-113000
	5	10.594					7.589223799999999	23.935000000000002	2017-12-05	GOOD	SE581700-113000	02 - Västkustens fjordar	2017	0.6805285741255157	True	41	0.716370001887861	41_SE581700-113000
	4	6.805000000000001					3.663722666666665	6.764666666666667	2013-02-02	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.48035170217976947		0	0.5383868723977464	0_SE561400-161201
	4	7.172499999999999					3.7458559999999963	6.748	2013-02-14	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.465684083779587		1	0.5222524921575457	1_SE561400-161201
	4	2.9025000000000003					2.503999999999998	7.457666666666667	2013-12-07	HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.8627045650301456		2	0.8627045650301456	2_SE561400-161201
	1	4.86					2.9968000000000004	6.9	2013-12-17	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.5514777403666292		3	0.6166255144032922	3_SE561400-161201
	1	6.78					3.489600000000003	6.8	2013-12-18	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.45880933226066		4	0.514690265486726	4_SE561400-161201
	4	3.9825					2.503999999999998	7.32	2014-02-05	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.5625007133481704		5	0.6287507846829875	5_SE561400-161201
	4	4.9775					2.503999999999998	7.484999999999999	2014-02-26	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.4482398064015338		6	0.5030637870416872	6_SE561400-161201
	4	5.3425					2.503999999999998	7.039000000000001	2014-12-07	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.41699493767813806		7	0.46869443144595185	7_SE561400-161201
	1	6.63					2.503999999999998	7.41	2015-01-21	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.3095965309200599		8	0.3776772247360479	8_SE561400-161201
	1	8.5					2.503999999999998	7.19	2015-01-22	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.20573529411764674		9	0.2945882352941174	9_SE561400-161201
