BIOV_CONC_ALL	DATE_count	POSITION	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.5819761566585715	7	58.80_17.63		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2013	0.504202034561603	0	0.4067232552985648	0_SE584340-174401
0.5786720396242858	7	58.80_17.63		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2014	0.5538755005943828	1	0.4862008009510125	1_SE584340-174401
0.42759796644199993	7	58.80_17.63		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2015	0.5783346407334002	2	0.5253354251734403	2_SE584340-174401
0.6665073452614286	7	58.80_17.63		MODERATE	SE584340-174401	14 - Östergötlands yttre kustvatten	2016	0.5043936736733349	3	0.40702987787733574	3_SE584340-174401
0.40742540428	6	58.26_11.43		HIGH	SE581700-113000	02 - Västkustens fjordar	2013	1.0	0	1.0	0_SE581700-113000
1.0430954341225	4	58.26_11.43		HIGH	SE581700-113000	02 - Västkustens fjordar	2014	0.9026702067772355	1	0.8442723308435768	1_SE581700-113000
0.44356607857999997	5	58.26_11.43		HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	2	1.0	2_SE581700-113000
1.0001997321316667	6	58.26_11.43		HIGH	SE581700-113000	02 - Västkustens fjordar	2016	0.9466269684777623	3	0.9146031495644196	3_SE581700-113000
0.7415553057666667	3	56.37_16.20		MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.48768836352227024	0	0.3803013816356324	0_SE561400-161201
0.27050437105666664	3	56.37_16.20		HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.8096099148275079	1	0.7334538807585109	1_SE561400-161201
0.19340394649999998	2	56.37_16.20		HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.8395412213271459	2	0.7753577098580042	2_SE561400-161201
0.29192564686666667	3	56.37_16.20		GOOD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.6727181181597699	3	0.6181744945278159	3_SE561400-161201
0.6357258837833334	3	65.73_22.45		GOOD	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	0.6442535103295313	0	0.4764661858460078	0_SE654470-222700
0.30531721802	3	65.73_22.45		GOOD	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	0.7692937341253685	1	0.607758420831637	1_SE654470-222700
0.3736056880233333	3	65.73_22.45		HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	0.8068138420338686	2	0.6522649156609635	2_SE654470-222700
0.1768020753	3	65.73_22.45		HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	0.9339687795206462	3	0.8811438031371629	3_SE654470-222700
0.47867355010000007	3	63.50_19.82		MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.5184377079932401	0	0.35251582259357805	0_SE633000-195000
0.2347688661	2	63.52_19.81		HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.8271966660333442	1	0.6889539988600195	1_SE633000-195000
0.7596206611666666	3	63.50_19.82		MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.5099097573120387	2	0.3444142694464367	2_SE633000-195000
1.1834600085	1	63.52_19.81		POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.26899599358113846	3	0.13519679486491074	3_SE633000-195000
0.82694842655	2	63.53_19.81		POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.36270729085561176	4	0.2101658326844894	4_SE633000-195000
0.26731014455	2	63.50_19.82		HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.8104645021744451	5	0.658836103914001	5_SE633000-195000
0.40289392626666665	3	63.52_19.81		HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.8038181704350181	6	0.6468727067830325	6_SE633000-195000
0.4290629873	2	63.50_19.82		MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.5583815717077039	7	0.3904624931223186	7_SE633000-195000
0.6446937167	2	63.52_19.81		MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.4364735639377917	8	0.27464988574090204	8_SE633000-195000
0.7831303166333333	3	62.86_18.26		MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.48894565296559206	0	0.3333929356138716	0_SE625180-181655
0.5402206365666666	3	62.86_18.26		MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.5420729414651699	1	0.38917658853842835	1_SE625180-181655
0.40821877315	2	62.86_18.26		GOOD	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.710391007376963	2	0.5659105577458112	2_SE625180-181655
0.5612974144333334	3	62.86_18.26		MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5666444342644642	3	0.41497665597768735	3_SE625180-181655
0.334458192	1	65.81_22.37		GOOD	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2013	0.6460815726309573	0	0.4783856512625052	0_SE654820-222660
2.059182029	1	65.81_22.38		BAD	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2013	0.19425188952054517	1	0.07770075580821806	1_SE654820-222660
