BIOV_CONC_ALL	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR_count	global_EQR	index_column	local_EQR	new_index
1.1575159148386667		HIGH	SE585100-110600	03 - Västkustens yttre kustvatten. Skagerrak	5	0.9047929594640283	0	0.8429083831156466	0_SE585100-110600
1.0171478541333334		HIGH	SE570000-120701	04 - Västkustens yttre kustvatten. Kattegatt	4	0.8423854859456967	0	0.7399360518103996	0_SE570000-120701
2.2629386537083334		BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	4		0		0_SE659024-162417
0.67068625717		BAD	SE583926-161744	13 - Östergötlands inre kustvatten	1		0		0_SE583926-161744
0.5014880051033334		BAD	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1		0		0_SE582460-164500
0.38858692476		BAD	SE580000-164060	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1		0		0_SE580000-164060
0.77911200235		MODERATE	SE603190-174000	16 - Södra Bottenhavet. Inre kustvatten	4	0.4689871237060636	0	0.31243647989136675	0_SE603190-174000
5.934346640625		BAD	SE594670-185500	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2		0		0_SE594670-185500
1.4318607379500001		BAD	SE594800-190220	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2		0		0_SE594800-190220
0.82614588195		MODERATE	SE601000-183510	16 - Södra Bottenhavet. Inre kustvatten	2	0.4153838307618773	0	0.2561530222999711	0_SE601000-183510
2.460964943		POOR	SE600565-184600	16 - Södra Bottenhavet. Inre kustvatten	2	0.20675309762931957	0	0.08540247810345564	0_SE600565-184600
1.5527831024999998		BAD	SE594340-190448	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2		0		0_SE594340-190448
4.715401696		BAD	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1		0		0_SE593750-183962
1.4716514763333333		MODERATE	SE645000-213500	22 - Norra Bottenviken. Inre kustvatten	1	0.48078963230939903	0	0.31675015069392903	0_SE645000-213500
1.301452626		POOR	SE604200-174400	17 - Södra Bottenhavet. Yttre kustvatten	1	0.2728837419857033	0	0.13830699358856263	0_SE604200-174400
0.8633592223333334		MODERATE	SE604250-173000	16 - Södra Bottenhavet. Inre kustvatten	1	0.4382598792406156	0	0.28017287320264633	0_SE604250-173000
3.8832568496199995		POOR	SE611676-171000	16 - Södra Bottenhavet. Inre kustvatten	5	0.36814461960624095	0	0.21451569568499274	0_SE611676-171000
0.35417654620666666		BAD	SE580000-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1		0		0_SE580000-164500
