DEPH	DOXY	MONTH	POSITION	SDATE	STATN	VISS_EU_CD	WATER_TYPE_AREA	YEAR	index_column	new_index	source_DOXY
50.0	3.56	10	58.39_11.63	2017-10-09	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5477	5477_SE581700-113000	DOXY_BTL
60.0	2.85	10	58.39_11.63	2017-10-09	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5478	5478_SE581700-113000	DOXY_BTL
70.0	2.29	10	58.39_11.63	2017-10-09	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5479	5479_SE581700-113000	DOXY_BTL
0.0	5.6	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5544	5544_SE581700-113000	DOXY_CTD
5.0	5.0	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5545	5545_SE581700-113000	DOXY_CTD
10.0	3.7	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5546	5546_SE581700-113000	DOXY_CTD
15.0	3.9	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5547	5547_SE581700-113000	DOXY_CTD
20.0	3.7	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5548	5548_SE581700-113000	DOXY_CTD
30.0	3.4	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5549	5549_SE581700-113000	DOXY_CTD
35.0	2.7	10	58.41_11.59	2017-10-06	GULLMARN	SE581700-113000	02 - Västkustens fjordar	2017	5550	5550_SE581700-113000	DOXY_CTD
0.0	6.48	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5552	5552_SE581700-113000	DOXY_BTL
5.0	5.17	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5553	5553_SE581700-113000	DOXY_BTL
10.0	4.39	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5554	5554_SE581700-113000	DOXY_BTL
15.0	4.67	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5555	5555_SE581700-113000	DOXY_BTL
20.0	4.68	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5556	5556_SE581700-113000	DOXY_BTL
30.0	4.91	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5557	5557_SE581700-113000	DOXY_BTL
