AMON	DATE_count	DIN	NTOT	NTRA	NTRI	NTRZ	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	max	min	new_index	number_of_dates
	2.0	6.719999999999999					6.875	MODERATE	SE565800-163000	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.5640246314883787	2	0.6304270946372166			2_SE565800-163000	
	1.0	4.412					6.32	HIGH	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	1.0	0	1.0			0_SE570340-163710	
	2.0	6.0633333333333335					6.983333333333334	MODERATE	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.41342572887848417	1	0.4647683017663326			1_SE570340-163710	
	2.0	6.751666666666667					6.833333333333332	MODERATE	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.49798576370565195	2	0.5577843400762171			2_SE570340-163710	
	1.0	4.66					6.7	HIGH	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.8545922746781112	0	0.8545922746781112			0_SE570500-163750	
	2.0	13.514999999999999					4.99	HIGH	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.8908653323432281	1	0.8908653323432281			1_SE570500-163750	
	2.0	7.635					6.6	GOOD	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.6201338412916538	2	0.6830869968395751			2_SE570500-163750	
	2.0	9.765					4.4	MODERATE	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013.0	0.41034740359445565	0	0.4513821439539012			0_SE573500-163500	
	2.0	8.42					5.72	POOR	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2015.0	0.357768356205861	1	0.40832626715439574			1_SE573500-163500	
	2.0	6.84					5.95	MODERATE	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2016.0	0.42817807603130725	2	0.47099588363443795			2_SE573500-163500	
	1.0	14.715					6.6	POOR	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.21765630309208303	0	0.3041250424736664			0_SE563825-161810	
	2.0	12.295					7.025	BAD	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.15891060632540532	1	0.23042037917183772			1_SE563825-161810	
	2.0	10.2075					6.675	POOR	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.3945113524137195	2	0.4456090819309756			2_SE563825-161810	
	2.0	18.387500000000003					6.6	MODERATE	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.4790378179939709	0	0.536941599793368			0_SE564250-162500	
	2.0	11.695					7.0075	POOR	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.2155406611789214	1	0.3024325289431371			1_SE564250-162500	
	2.0	5.897500000000001					6.949999999999999	GOOD	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.6955633578040217	2	0.7321161825726141			2_SE564250-162500	
	3.0	30.424722222222226					2.4338888888888888	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2013.0	0.11741683205537548	0	0.1702544064802944			0_SE659024-162417	
	1.0	34.580000000000005					2.4175	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2014.0	0.10344578289224388	1	0.1499963851937536			1_SE659024-162417	
	2.0	25.233333333333334					3.0250000000000004	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2015.0	0.13145925027220007	2	0.1906159128946901			2_SE659024-162417	
	3.0	23.863055555555558					3.1894444444444443	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2016.0	0.1336532294237463	3	0.1937971826644321			3_SE659024-162417	
	2.0	6.4975000000000005					6.6	GOOD	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.6003243928563622	0	0.6702108553566355			0_SE572205-163500	
	2.0	7.04					6.984999999999999	POOR	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.30716392171611145	1	0.37573113737288916			1_SE572205-163500	
	2.0	5.182500000000001					6.875	HIGH	SE572205-163500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.817563946406821	2	0.817563946406821			2_SE572205-163500	
	1.0	6.855					7.05	POOR	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.294101021152443	0	0.3652808169219544			0_SE571552-162848	
	2.0	13.3225					7.1049999999999995	BAD	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.1811934739413535	1	0.26273053721496253			1_SE571552-162848	
	2.0	7.73					6.975	POOR	SE571552-162848	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.37510136060595345	2	0.43008108848476273			2_SE571552-162848	
	2.0	4.32					6.65	HIGH	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.952459016393443	0	0.952459016393443			0_SE572500-164500	
