Area below limit %	COMMENT	DEFICIENCY_TYPE	GLOBAL_EQR	LIMIT	O2 conc test1	O2 conc test2	STATUS	VISS_EU_CD	WATER_BODY_NAME	WATER_TYPE_AREA	index_column	new_index	test1_month_list	test1_no_yr	test2_month_list	test2_no_yr	test2_ok	total_month_list	total_no_yr
85.84599333518648		longterm	0.20949627983996663	3.5	1.3949999999999998	1.3949999999999998	BAD	SE581700-113000	Gullmarn centralbassäng	2	0	0_SE581700-113000	[12 11 10  9  8  7  6  5  4  3  2  1]	5	[5 4 3 2 1]	5	True	[12 11 10  9  8  7  6  5  4  3  2  1]	5
0.0		no_deficiency	1.0	3.5	7.58	7.58	HIGH	SE654470-222700	Gussöfjärden	22	0	0_SE654470-222700	[12 11  9  8  7  6  5  3  1 10  4  2]	4	[5 3 1 4 2]	4	True	[12 11  9  8  7  6  5  3  1 10  4  2]	4
0.0		no_deficiency	1.0	3.5	6.9350000000000005	6.9350000000000005	HIGH	SE654820-222660	Rånefjärden	22	0	0_SE654820-222660	[11  9  8  6  5  3 12 10  2  7]	4	[5 3 2]	4	True	[11  9  8  6  5  3 12 10  2  7]	4
0.0		no_deficiency	1.0	3.5	4.8	4.8	HIGH	SE625000-180075	Norafjärden	18	0	0_SE625000-180075	[8 7 3 2 5]	3	[3 2 5]	3	True	[8 7 3 2 5]	3
0.0		no_deficiency	1.0	3.5	5.8025	5.8025	HIGH	SE628750-183300	Sörleviken	18	0	0_SE628750-183300	[8 7 3 2]	2	[3 2]	2	False	[8 7 3 2]	2
0.0		no_deficiency	1.0	3.5	4.6475	4.6475	HIGH	SE631346-184241	Bäckfjärden	18	0	0_SE631346-184241	[8 7 3 2]	2	[3 2]	2	False	[8 7 3 2]	2
32.81820356179488		seasonal	0.6646428571428571	3.5	2.5524999999999998	2.5524999999999998	GOOD	SE631646-185280	Idbyfjärden	18	0	0_SE631646-185280	[8 7 3 2]	2	[3 2]	2	False	[8 7 3 2]	2
62.22342736662111		seasonal	0.33499999999999996	3.5	0.6749999999999999	0.6749999999999999	POOR	SE582705-163350	Inre Slätbaken	13	0	0_SE582705-163350	[12 10  8  7  6  3  2]	4	[3 2]	4	True	[12 10  8  7  6  3  2]	4
4.781546996393598		seasonal	0.7857142857142857	3.5	3.4	3.4	GOOD	SE582050-165820	Kärrfjärden	12-s	0	0_SE582050-165820	[12 10  8  7  6  2]	4	[2]	4	True	[12 10  8  7  6  2]	4
40.2233701158757		no_deficiency	1.0	3.5	3.8449999999999998	3.8449999999999998	HIGH	SE580688-114860	Halsefjorden	2	0	0_SE580688-114860	[12 11 10  9  8  7  6  5  4  3  2  1]	5	[5 4 3 2 1]	5	True	[12 11 10  9  8  7  6  5  4  3  2  1]	5
