VISS_EU_CD	local_EQR	PHOS	SALT	YEAR_count	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
SE637070-204260	1.4873239436619718	0.11833333333333335	2.4	1	['20 - Norra Kvarkens inre kustvatten']	0.36999999999999994	1.0	HIGH	(0, 'SE637070-204260')
SE636910-204040	0.6191860465116279	0.2866666666666667	2.25	1	['20 - Norra Kvarkens inre kustvatten']	0.5683333333333332	0.547118301314459	MODERATE	(0, 'SE636910-204040')
SE582000-115270	0.5675335358976783	0.8419999999999999	23.250500000000002	5	['02 - Västkustens fjordar']	1.193	0.5159395780887985	MODERATE	(0, 'SE582000-115270')
SE581740-114820	0.592845513968373	0.8039999999999999	23.807	5	['02 - Västkustens fjordar']	1.0793750000000002	0.5389504672439756	MODERATE	(0, 'SE581740-114820')
SE563330-124600	0.570942681840987	0.6999999999999998	19.037000000000003	3	['05 - Södra Hallands och norra Öresunds kustvatten']	1.571111111111111	0.5138632016008582	MODERATE	(0, 'SE563330-124600')
SE654860-219880	1.1064935064935066	0.12833333333333333	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.6349999999999999	1.0	HIGH	(0, 'SE654860-219880')
SE575340-113000	0.868970404776071	0.55	24.743550000000003	5	['03 - Västkustens yttre kustvatten. Skagerrak']	0.9135	0.868970404776071	HIGH	(0, 'SE575340-113000')
SE582000-112350	1.5309005052625846	0.4412083333333333	27.28529166666666	5	['01n - Västkustens inre kustvatten']	0.8142083333333334	1.0	HIGH	(0, 'SE582000-112350')
SE581260-113220	0.5501649622657964	0.8845000000000001	24.194499999999998	5	['02 - Västkustens fjordar']	1.2475	0.5001499656961785	MODERATE	(0, 'SE581260-113220')
SE574000-114230	1.2547934213084253	0.44239583333333343	23.31765	5	['01s - Västkustens inre kustvatten']	0.8476041666666665	1.0	HIGH	(0, 'SE574000-114230')
SE585100-110600	0.9037004469851289	0.555	29.878499999999995	5	['03 - Västkustens yttre kustvatten. Skagerrak']	0.8445	0.9037004469851289	HIGH	(0, 'SE585100-110600')
SE572540-114801	0.6999877257190944	0.5805	22.9455	5	['04 - Västkustens yttre kustvatten. Kattegatt']	0.991	0.6307503472601451	GOOD	(0, 'SE572540-114801')
