STATUS2013din_winter	EU_CD	YEAR_count2013din_winter	global_EQR2013din_winter	WATER_TYPE_AREA	STATUS2017din_winter	YEAR_count2017din_winter	global_EQR2017din_winter	changedin_winter	STATUS2013ntot_winter	YEAR_count2013ntot_winter	global_EQR2013ntot_winter	STATUS2017ntot_winter	YEAR_count2017ntot_winter	global_EQR2017ntot_winter	changentot_winter	STATUS2013	YEAR_count2013	global_EQR2013	STATUS2017	YEAR_count2017	global_EQR2017	change
POOR	SE583825-163500	3	0.24335681341164467	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	3	0.32622746608135345	0	MODERATE	3	0.4668745433601765	MODERATE	3	0.46868896758580814	0	HIGH	3	0.8453232927050947	HIGH	3	0.8073289833277137	0
GOOD	SE583000-165600	5	0.6178193127557576	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	GOOD	5	0.640471983503849	0	GOOD	5	0.6663465453644948	GOOD	5	0.6187579443536297	0	HIGH	5	0.8047294933908805	GOOD	5	0.7805675595032779	2
HIGH	SE625500-175153	1	0.8768971332209107	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	HIGH	1	0.8768971332209107	0	HIGH	3	0.9803184827339418	HIGH	3	0.9324531771967571	0	HIGH	3	0.9500085977713751	HIGH	3	0.849052725986678	0
GOOD	SE624615-180500	2	0.749750550417247	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	GOOD	2	0.749750550417247	0	HIGH	3	1.0	HIGH	3	0.9969610636277303	0	HIGH	3	1.0	HIGH	3	0.959129585100764	0
HIGH	SE624335-180000	2	0.8528270931751372	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	HIGH	2	0.8528270931751372	0	HIGH	3	1.0	HIGH	3	0.9964794464794466	0	HIGH	3	1.0	HIGH	3	0.9469486388223819	0
MODERATE	SE623810-180350	2	0.436180276539194	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	MODERATE	2	0.436180276539194	0	HIGH	3	0.9903324841596448	HIGH	3	0.9880331830949115	0	HIGH	3	0.9540649593170603	HIGH	3	0.9265627681054946	0
MODERATE	SE623340-175556	1	0.49550276408187655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	MODERATE	1	0.49550276408187655	0	HIGH	3	0.9040342938618328	HIGH	3	0.848432477933617	0	HIGH	3	0.9199960130783134	HIGH	3	0.8919127919127237	0
HIGH	SE625900-174360	1	0.8628538210436882	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	HIGH	1	0.8628538210436882	0	HIGH	3	0.984423676012461	HIGH	3	0.9280794077238609	0	HIGH	3	0.9337954596180493	HIGH	3	0.8136768639926598	0
GOOD	SE604675-172125	1	0.7255622708888276	17 - Södra Bottenhavet. Yttre kustvatten	GOOD	1	0.7329308666017527	0	HIGH	1	0.9429239766081873	HIGH	1	0.9267127819548876	0	GOOD	1	0.7617789983219028	GOOD	1	0.7683124386406044	0
MODERATE	SE604900-171700	1	0.48486040877701303	16 - Södra Bottenhavet. Inre kustvatten	MODERATE	1	0.5738682720699604	0	POOR	1	0.3901124471580385	MODERATE	1	0.42287676488535825	2	GOOD	1	0.6348018995688686	GOOD	1	0.6403803368340059	0
HIGH	SE580610-113615	4	0.8106515892405421	01n - Västkustens inre kustvatten	GOOD	4	0.6288643916032652	2	GOOD	4	0.6522816616916906	MODERATE	4	0.5562496264628728	-1	POOR	3	0.3038491432708431	POOR	3	0.23180361928894228	0
HIGH	SE583710-111535	4	0.9659835867092257	01n - Västkustens inre kustvatten	HIGH	4	0.9458018732031171	0	HIGH	4	0.9452568681843605	HIGH	4	0.9109162710794989	0	MODERATE	3	0.4604339833224326	MODERATE	3	0.42618576345610326	0
HIGH	SE580325-113500	4	0.9178355486876326	01n - Västkustens inre kustvatten	HIGH	4	0.8345225909577969	0	HIGH	4	0.8690198158203509	GOOD	4	0.7898294237218109	2	POOR	3	0.3929933811978189	POOR	3	0.3226614850754557	0
GOOD	SE585990-111125	4	0.623904204882819	01n - Västkustens inre kustvatten	MODERATE	4	0.5319701245661602	-1	MODERATE	4	0.5552795250287841	MODERATE	4	0.4921180062464238	0	MODERATE	3	0.4162761879054678	POOR	3	0.352071359037343	2
HIGH	SE584750-111185	4	0.8617332219149936	01n - Västkustens inre kustvatten	HIGH	4	0.8159900417622725	0	GOOD	4	0.7826062753869678	GOOD	4	0.718330367847207	0	POOR	3	0.354341547162418	POOR	3	0.3432952082716254	0
MODERATE	SE584890-110950	4	0.4855919433242761	01n - Västkustens inre kustvatten	POOR	4	0.35589071578916714	2	MODERATE	4	0.44185669817193607	POOR	4	0.38210732412891657	2	POOR	3	0.20718179605868342	BAD	3	0.18944093196366157	2
MODERATE	SE582630-113515	4	0.5026677846446184	02 - Västkustens fjordar	POOR	4	0.3957092177299582	2	MODERATE	4	0.44383120841200757	POOR	4	0.36468189004882373	2	POOR	3	0.3828535110724844	POOR	3	0.3245144484891851	0
HIGH	SE585600-110880	4	0.8928963497614925	01n - Västkustens inre kustvatten	HIGH	4	0.8277159048440377	0	HIGH	4	0.942840887268659	HIGH	4	0.905443372515256	0	MODERATE	3	0.44412285638706267	MODERATE	3	0.41454020832331334	0
HIGH	SE585200-111140	4	0.8161519447564611	01n - Västkustens inre kustvatten	GOOD	4	0.7779368152775956	2	HIGH	4	0.8614795821203712	HIGH	4	0.8305531161773726	0	POOR	3	0.2855642543916299	POOR	3	0.2624866193148656	0
HIGH	SE584450-111445	4	0.8150411211376125	01n - Västkustens inre kustvatten	GOOD	4	0.6738158595030994	2	GOOD	4	0.7729814627154906	GOOD	4	0.7011618215967566	0	POOR	3	0.36036519080249496	POOR	3	0.3563935485903585	0
HIGH	SE584030-111400	4	1.0	01n - Västkustens inre kustvatten	HIGH	4	0.9927156773211567	0	HIGH	4	1.0	HIGH	4	0.9733665641380316	0	MODERATE	3	0.50389979252525	MODERATE	3	0.4772111631778181	0
HIGH	SE584670-111300	4	0.861777426124743	01n - Västkustens inre kustvatten	HIGH	4	0.8457702290068408	0	HIGH	4	0.8994930602816511	HIGH	4	0.8776377375380637	0	POOR	3	0.3844213750657287	POOR	3	0.36785114024658155	0
HIGH	SE581365-112910	4	0.8682836397493433	02 - Västkustens fjordar	GOOD	4	0.7814275659727664	2	HIGH	4	0.8460486334817564	GOOD	4	0.7899591424448568	2	MODERATE	3	0.42007409920906447	POOR	3	0.3792049945488287	2
HIGH	SE582150-112530	4	0.8635822537380833	02 - Västkustens fjordar	GOOD	4	0.7755356477657441	2	HIGH	4	0.9164817568166326	HIGH	4	0.8771050866589727	0	POOR	3	0.36140315589949734	POOR	3	0.32188959711138293	0
HIGH	SE582665-111706	4	0.9860038066860466	01n - Västkustens inre kustvatten	HIGH	4	0.9619753886110753	0	HIGH	4	0.9520038077896898	HIGH	4	0.8881446070719369	0	MODERATE	3	0.40834978905460895	POOR	3	0.3832874142946618	2
HIGH	SE582850-111760	4	1.0	01n - Västkustens inre kustvatten	HIGH	4	0.9735829815255168	0	HIGH	4	0.9311536934557761	HIGH	4	0.8918147800233857	0	MODERATE	3	0.4620147583899585	MODERATE	3	0.42730120976337327	0
HIGH	SE581120-112680	4	0.9103952067764833	02 - Västkustens fjordar	HIGH	4	0.8596421435267558	0	HIGH	4	0.8662441452635301	GOOD	4	0.7975851936349994	2	MODERATE	3	0.43309762269482754	POOR	3	0.37899849744371233	2
HIGH	SE581853-112736	4	0.8922478189713268	01n - Västkustens inre kustvatten	HIGH	4	0.8193273741140124	0	HIGH	4	0.9429480839587914	HIGH	4	0.884409399438302	0	MODERATE	3	0.41988447675320545	POOR	3	0.37919296869164654	2
HIGH	SE582230-112255	4	0.8723445463903183	01n - Västkustens inre kustvatten	GOOD	4	0.7853700610267049	2	HIGH	4	0.9136362334342056	HIGH	4	0.8465432672624295	0	MODERATE	3	0.429205726090747	POOR	3	0.39111860622433037	2
MODERATE	SE575150-190400	2	0.5069273001405945	10 - Ölands och Gotlands kustvatten	MODERATE	2	0.5326923525507402	0	MODERATE	2	0.5899067810353417	MODERATE	2	0.5262629012267025	0	MODERATE	1	0.47057971316004255	MODERATE	1	0.47057971316004255	0
POOR	SE572350-180930	2	0.2840964909754027	10 - Ölands och Gotlands kustvatten	POOR	2	0.30887349927235375	0	MODERATE	2	0.46801865843694623	MODERATE	2	0.4341696530412483	0	MODERATE	1	0.4857509291887931	MODERATE	1	0.4857509291887931	0
MODERATE	SE623980-175600	2	0.42043741356655695	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	MODERATE	2	0.42043741356655695	0	GOOD	2	0.779482683987316	GOOD	2	0.7286487061300819	0	HIGH	2	0.9918668088778582	HIGH	2	0.9786637038795032	0
GOOD	SE581240-165220	2	0.7646528066528065	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	GOOD	2	0.7646985446985446	0	MODERATE	2	0.5750031320692726	MODERATE	2	0.5747918699634909	0	GOOD	2	0.7381152881231452	GOOD	2	0.7165821367372461	0
GOOD	SE581280-170070	2	0.7644292803970223	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	GOOD	2	0.7644747725392885	0	HIGH	2	0.8150097711166411	HIGH	2	0.815395264192974	0	GOOD	2	0.7841754654791634	GOOD	2	0.7592398938615406	0
GOOD	SE581960-164890	2	0.7646528066528065	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	GOOD	2	0.7646985446985446	0	GOOD	2	0.7020735406560626	GOOD	2	0.6982316461725515	0	GOOD	2	0.6139946967377341	GOOD	2	0.6066204868876522	0
GOOD	SE582590-165000	2	0.7644292803970223	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	GOOD	2	0.7644747725392885	0	GOOD	2	0.6103700794964059	GOOD	2	0.6077929558267061	0	MODERATE	2	0.5703699344816475	MODERATE	2	0.5681050650030725	0
