EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)	WATER_TYPE_AREA	WATER_DISTRICT	ALABO	MYEAR	STIME	STATN	WADEP
SE594800-190220	1985-01-01	0.00	4.000	8.004	0.500	0.619	3.007	0.102	18.403	0.289	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	0.25	4.000	8.004	0.500	0.619	3.007	0.102	18.403	0.289	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.006	0.102	18.430	0.294	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	1.25	4.000	8.003	0.500	0.620	3.006	0.102	18.429	0.294	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	1.75	4.000	8.003	0.500	0.620	3.006	0.102	18.429	0.294	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.006	0.101	18.429	0.294	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	2.75	4.000	8.003	0.500	0.620	3.006	0.101	18.430	0.294	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	3.25	4.000	8.003	0.500	0.620	3.006	0.101	18.430	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	3.75	4.000	8.002	0.500	0.620	3.006	0.101	18.430	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	4.50	4.000	8.002	0.500	0.620	3.005	0.101	18.430	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	5.50	4.000	8.002	0.500	0.620	3.005	0.101	18.431	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	6.50	4.000	8.001	0.500	0.621	3.005	0.101	18.431	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	7.50	4.000	8.001	0.500	0.621	3.005	0.101	18.432	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	8.50	4.000	8.001	0.500	0.621	3.005	0.101	18.432	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	9.50	4.000	8.000	0.500	0.621	3.005	0.100	18.433	0.295	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	52.50	4.000	7.977	0.503	0.623	3.067	0.100	18.486	0.296	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-01	53.00	4.000	7.977	0.503	0.623	3.067	0.100	18.486	0.296	6.8	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	0.00	4.000	8.037	0.501	0.618	3.021	0.104	18.406	0.281	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	0.25	4.000	8.037	0.501	0.618	3.021	0.104	18.406	0.281	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	0.75	4.000	8.036	0.501	0.620	3.020	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	1.25	4.000	8.035	0.501	0.620	3.020	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	1.75	4.000	8.035	0.501	0.620	3.020	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	2.25	4.000	8.034	0.501	0.620	3.020	0.103	18.431	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	2.75	4.000	8.034	0.501	0.620	3.020	0.103	18.431	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	3.25	4.000	8.034	0.501	0.620	3.020	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	3.75	4.000	8.033	0.501	0.620	3.020	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	4.50	4.000	8.033	0.501	0.620	3.019	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	5.50	4.000	8.032	0.501	0.620	3.019	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	6.50	4.000	8.032	0.501	0.620	3.019	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	7.50	4.000	8.031	0.501	0.620	3.019	0.103	18.432	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	8.50	4.000	8.031	0.501	0.620	3.019	0.103	18.433	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	9.50	4.000	8.030	0.501	0.620	3.019	0.103	18.433	0.286	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	52.50	4.000	7.937	0.508	0.628	3.182	0.100	18.597	0.285	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-02	53.00	4.000	7.937	0.508	0.628	3.182	0.100	18.597	0.285	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	0.00	3.998	8.173	0.501	0.618	3.068	0.106	18.451	0.269	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	0.25	3.998	8.173	0.501	0.618	3.068	0.106	18.451	0.269	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	0.75	3.998	8.168	0.501	0.620	3.068	0.106	18.476	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	1.25	3.998	8.165	0.501	0.620	3.067	0.106	18.475	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	1.75	3.998	8.163	0.501	0.620	3.066	0.106	18.475	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	2.25	3.998	8.162	0.501	0.620	3.066	0.106	18.474	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	2.75	3.998	8.160	0.501	0.620	3.066	0.106	18.474	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	3.25	3.998	8.159	0.501	0.620	3.066	0.106	18.474	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	3.75	3.998	8.158	0.501	0.620	3.066	0.106	18.474	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	4.50	3.998	8.157	0.501	0.620	3.065	0.106	18.473	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	5.50	3.998	8.155	0.501	0.620	3.065	0.106	18.473	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	6.50	3.998	8.154	0.501	0.620	3.065	0.106	18.472	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	7.50	3.998	8.153	0.501	0.620	3.064	0.106	18.472	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	8.50	3.998	8.151	0.501	0.620	3.064	0.106	18.472	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	9.50	3.998	8.150	0.501	0.620	3.064	0.106	18.472	0.273	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	52.50	4.101	8.105	0.492	0.608	3.160	0.101	18.352	0.331	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-03	53.00	4.101	8.105	0.492	0.608	3.160	0.101	18.352	0.331	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	0.00	3.997	8.446	0.502	0.618	3.113	0.109	18.492	0.257	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	0.25	3.997	8.446	0.502	0.618	3.113	0.109	18.492	0.257	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	0.75	3.997	8.440	0.502	0.620	3.113	0.109	18.516	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	1.25	3.997	8.437	0.502	0.620	3.113	0.109	18.516	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	1.75	3.997	8.435	0.502	0.620	3.112	0.109	18.515	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	2.25	3.997	8.433	0.502	0.620	3.112	0.109	18.515	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	2.75	3.997	8.431	0.502	0.620	3.112	0.109	18.515	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	3.25	3.997	8.430	0.502	0.620	3.112	0.109	18.515	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	3.75	3.997	8.429	0.502	0.620	3.112	0.109	18.515	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	4.50	3.997	8.427	0.502	0.620	3.112	0.109	18.514	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	5.50	3.997	8.426	0.502	0.620	3.112	0.109	18.514	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	6.50	3.997	8.425	0.502	0.620	3.111	0.109	18.514	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	7.50	3.997	8.423	0.502	0.620	3.111	0.109	18.514	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	8.50	3.997	8.422	0.502	0.620	3.111	0.109	18.514	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	9.50	3.997	8.421	0.502	0.620	3.111	0.109	18.514	0.262	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	52.50	4.458	8.521	0.452	0.555	3.481	0.103	17.895	0.525	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-04	53.00	4.458	8.521	0.452	0.555	3.481	0.103	17.895	0.525	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	0.00	3.998	8.685	0.503	0.618	3.165	0.113	18.537	0.248	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	0.25	3.998	8.685	0.503	0.618	3.165	0.113	18.537	0.248	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	0.75	3.998	8.681	0.503	0.619	3.165	0.113	18.560	0.252	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	1.25	3.998	8.678	0.503	0.619	3.164	0.113	18.559	0.252	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	1.75	3.998	8.676	0.503	0.619	3.164	0.113	18.558	0.252	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	2.25	3.998	8.675	0.503	0.619	3.163	0.113	18.557	0.252	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
SE594800-190220	1985-01-05	2.75	3.998	8.673	0.503	0.619	3.163	0.113	18.557	0.252	6.9	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	SE3	kustzonsmodellen	1985		SE594800-190220	
