EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)	WATER_TYPE_AREA	WATER_DISTRICT	ALABO	MYEAR	STIME	STATN	WADEP
SE594845-191240	1985-01-01	0.00	4.000	8.005	0.500	0.619	3.004	0.102	18.401	0.290	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	0.25	4.000	8.005	0.500	0.619	3.004	0.102	18.401	0.290	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.004	0.102	18.428	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	1.25	4.000	8.004	0.500	0.620	3.004	0.101	18.428	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	1.75	4.000	8.004	0.500	0.620	3.004	0.101	18.428	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.004	0.101	18.428	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	2.75	4.000	8.003	0.500	0.620	3.003	0.101	18.428	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	3.25	4.000	8.003	0.500	0.620	3.003	0.101	18.429	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	3.75	4.000	8.003	0.500	0.620	3.003	0.101	18.429	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	4.50	4.000	8.003	0.500	0.620	3.003	0.101	18.429	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	5.50	4.000	8.002	0.500	0.620	3.003	0.101	18.429	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	6.50	4.000	8.002	0.500	0.620	3.003	0.101	18.430	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	7.50	4.000	8.002	0.500	0.621	3.003	0.101	18.430	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	8.50	4.000	8.001	0.500	0.621	3.003	0.101	18.431	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	9.50	4.000	8.001	0.500	0.621	3.003	0.100	18.431	0.295	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	75.00	4.000	7.987	0.502	0.622	3.039	0.100	18.461	0.296	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
SE594845-191240	1985-01-01	76.00	4.000	7.987	0.502	0.622	3.039	0.100	18.461	0.296	6.8	15 - Stockholms skärgård, yttre kustvatten	SE3	kustzonsmodellen	1985		SE594845-191240	
