EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)	SEA_AREA_NAME
SE612520-172080	1985-01-01	0.00	4.000	8.057	0.500	0.619	3.002	0.101	18.402	0.290	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	0.25	4.000	8.057	0.500	0.619	3.002	0.101	18.402	0.290	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	0.75	4.000	8.051	0.500	0.620	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	1.25	4.000	8.048	0.500	0.620	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	1.75	4.000	8.045	0.500	0.620	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	2.25	4.000	8.044	0.500	0.620	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	2.75	4.000	8.042	0.500	0.620	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	3.25	4.000	8.041	0.500	0.620	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	3.75	4.000	8.040	0.500	0.621	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	4.50	4.000	8.038	0.500	0.621	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	5.50	4.000	8.036	0.500	0.621	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	6.50	4.000	8.035	0.500	0.621	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	7.50	4.000	8.033	0.500	0.621	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	8.50	4.000	8.032	0.500	0.621	3.002	0.101	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	9.50	4.000	8.030	0.500	0.621	3.002	0.100	18.430	0.295	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	101.00	4.000	7.986	0.502	0.623	3.040	0.100	18.472	0.297	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-01	102.00	4.000	7.986	0.502	0.623	3.040	0.100	18.472	0.297	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	0.00	4.000	8.113	0.500	0.619	3.009	0.101	18.404	0.280	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	0.25	4.000	8.113	0.500	0.619	3.009	0.101	18.404	0.280	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	0.75	4.000	8.109	0.500	0.620	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	1.25	4.000	8.106	0.500	0.620	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	1.75	4.000	8.105	0.500	0.620	3.009	0.101	18.432	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	2.25	4.000	8.104	0.500	0.620	3.009	0.101	18.432	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	2.75	4.000	8.103	0.500	0.620	3.009	0.101	18.432	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	3.25	4.000	8.102	0.500	0.620	3.009	0.101	18.432	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	3.75	4.000	8.101	0.500	0.620	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	4.50	4.000	8.100	0.500	0.620	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	5.50	4.000	8.099	0.500	0.621	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	6.50	4.000	8.098	0.500	0.621	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	7.50	4.000	8.097	0.500	0.621	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	8.50	4.000	8.097	0.500	0.621	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	9.50	4.000	8.096	0.500	0.621	3.009	0.101	18.433	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	101.00	4.000	7.951	0.507	0.626	3.143	0.100	18.557	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-02	102.00	4.000	7.951	0.507	0.626	3.143	0.100	18.557	0.285	6.8	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	0.00	4.505	8.628	0.445	0.546	3.488	0.102	17.790	0.570	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	0.25	4.505	8.628	0.445	0.546	3.488	0.102	17.790	0.570	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	0.75	4.505	8.620	0.445	0.548	3.488	0.102	17.818	0.580	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	1.25	4.506	8.617	0.445	0.548	3.488	0.102	17.817	0.580	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	1.75	4.506	8.614	0.445	0.548	3.489	0.102	17.817	0.581	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	2.25	4.507	8.613	0.445	0.548	3.489	0.102	17.816	0.581	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	2.75	4.507	8.611	0.445	0.548	3.489	0.102	17.816	0.581	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	3.25	4.507	8.610	0.445	0.547	3.489	0.102	17.816	0.581	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	3.75	4.507	8.609	0.445	0.547	3.489	0.102	17.816	0.581	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	4.50	4.508	8.607	0.445	0.547	3.490	0.102	17.815	0.581	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	5.50	4.508	8.605	0.445	0.547	3.490	0.102	17.815	0.582	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	6.50	4.508	8.604	0.445	0.547	3.490	0.102	17.815	0.582	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	7.50	4.509	8.603	0.445	0.547	3.490	0.102	17.814	0.582	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	8.50	4.509	8.602	0.445	0.547	3.490	0.102	17.814	0.582	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	9.50	4.509	8.601	0.445	0.547	3.491	0.102	17.814	0.582	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	101.00	4.816	7.822	0.533	0.635	4.006	0.101	18.100	0.602	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-03	102.00	4.816	7.822	0.533	0.635	4.006	0.101	18.100	0.602	7.1	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	0.00	4.744	8.902	0.419	0.512	3.716	0.104	17.506	0.673	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	0.25	4.744	8.902	0.419	0.512	3.716	0.104	17.506	0.673	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	0.75	4.744	8.898	0.419	0.514	3.716	0.104	17.536	0.684	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	1.25	4.746	8.896	0.419	0.513	3.718	0.104	17.534	0.685	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	1.75	4.748	8.895	0.419	0.513	3.719	0.104	17.532	0.686	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	2.25	4.749	8.894	0.419	0.513	3.720	0.104	17.530	0.687	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	2.75	4.750	8.893	0.419	0.513	3.721	0.104	17.529	0.687	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	3.25	4.751	8.892	0.419	0.513	3.722	0.104	17.528	0.688	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	3.75	4.752	8.891	0.419	0.513	3.723	0.104	17.527	0.689	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	4.50	4.753	8.890	0.418	0.512	3.724	0.104	17.525	0.689	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	5.50	4.755	8.889	0.418	0.512	3.725	0.104	17.524	0.690	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	6.50	4.756	8.888	0.418	0.512	3.726	0.104	17.522	0.691	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	7.50	4.757	8.887	0.418	0.512	3.727	0.104	17.521	0.692	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	8.50	4.759	8.886	0.418	0.512	3.728	0.104	17.519	0.693	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	9.50	4.760	8.885	0.418	0.512	3.729	0.104	17.518	0.693	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	101.00	5.270	7.691	0.557	0.649	4.591	0.103	17.953	0.746	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-04	102.00	5.270	7.691	0.557	0.649	4.591	0.103	17.953	0.746	7.2	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	0.00	4.828	9.064	0.409	0.497	3.813	0.108	17.387	0.685	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	0.25	4.828	9.064	0.409	0.497	3.813	0.108	17.387	0.685	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	0.75	4.828	9.061	0.409	0.498	3.813	0.108	17.418	0.696	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	1.25	4.831	9.060	0.409	0.498	3.815	0.107	17.415	0.697	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	1.75	4.833	9.059	0.408	0.498	3.817	0.107	17.412	0.698	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	2.25	4.834	9.058	0.408	0.498	3.818	0.107	17.410	0.699	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	2.75	4.836	9.057	0.408	0.497	3.819	0.107	17.409	0.700	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	3.25	4.837	9.056	0.408	0.497	3.820	0.107	17.407	0.701	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	3.75	4.838	9.055	0.408	0.497	3.821	0.107	17.406	0.702	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	4.50	4.840	9.054	0.408	0.497	3.823	0.107	17.403	0.703	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	5.50	4.843	9.053	0.407	0.497	3.825	0.107	17.401	0.704	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	6.50	4.845	9.051	0.407	0.496	3.827	0.107	17.398	0.706	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	7.50	4.848	9.049	0.407	0.496	3.829	0.107	17.395	0.707	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	8.50	4.850	9.048	0.407	0.496	3.831	0.107	17.392	0.709	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	9.50	4.853	9.046	0.406	0.495	3.833	0.107	17.389	0.711	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	101.00	5.556	7.596	0.575	0.660	4.977	0.105	17.876	0.815	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-05	102.00	5.556	7.596	0.575	0.660	4.977	0.105	17.876	0.815	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	0.00	4.595	9.004	0.432	0.521	3.659	0.125	17.622	0.513	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	0.25	4.595	9.004	0.432	0.521	3.659	0.125	17.622	0.513	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	0.75	4.586	9.000	0.432	0.524	3.651	0.123	17.649	0.518	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	1.25	4.705	9.042	0.420	0.509	3.740	0.118	17.513	0.582	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	1.75	4.784	9.071	0.412	0.499	3.800	0.115	17.429	0.627	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	2.25	4.835	9.090	0.407	0.493	3.839	0.112	17.375	0.658	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	2.75	4.866	9.102	0.404	0.489	3.864	0.111	17.345	0.677	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	3.25	4.883	9.109	0.402	0.487	3.878	0.111	17.329	0.688	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	3.75	4.893	9.112	0.401	0.486	3.886	0.110	17.321	0.695	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	4.50	4.902	9.114	0.400	0.485	3.894	0.110	17.313	0.701	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	5.50	4.910	9.114	0.399	0.484	3.900	0.110	17.306	0.705	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	6.50	4.916	9.113	0.398	0.483	3.905	0.109	17.300	0.708	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	7.50	4.924	9.112	0.397	0.482	3.911	0.109	17.292	0.712	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	8.50	4.932	9.110	0.397	0.481	3.919	0.109	17.283	0.716	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	9.50	4.941	9.107	0.396	0.480	3.926	0.109	17.274	0.720	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	101.00	5.753	7.521	0.588	0.668	5.256	0.106	17.837	0.844	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-06	102.00	5.753	7.521	0.588	0.668	5.256	0.106	17.837	0.844	7.3	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	0.00	4.473	8.924	0.442	0.532	3.602	0.140	17.757	0.419	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	0.25	4.473	8.924	0.442	0.532	3.602	0.140	17.757	0.419	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	0.75	4.472	8.923	0.442	0.533	3.599	0.138	17.766	0.426	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	1.25	4.569	8.950	0.433	0.522	3.664	0.131	17.653	0.474	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	1.75	4.647	8.974	0.425	0.512	3.719	0.126	17.563	0.514	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	2.25	4.717	8.998	0.418	0.504	3.770	0.122	17.482	0.551	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	2.75	4.780	9.023	0.412	0.496	3.817	0.119	17.411	0.585	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	3.25	4.835	9.046	0.406	0.489	3.859	0.116	17.347	0.615	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	3.75	4.883	9.066	0.401	0.483	3.895	0.114	17.294	0.642	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	4.50	4.942	9.091	0.395	0.475	3.940	0.112	17.232	0.675	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	5.50	4.986	9.109	0.390	0.470	3.975	0.111	17.188	0.701	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	6.50	5.013	9.118	0.387	0.467	3.998	0.110	17.164	0.718	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	7.50	5.030	9.123	0.385	0.465	4.012	0.110	17.151	0.729	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	8.50	5.041	9.125	0.384	0.464	4.022	0.109	17.144	0.736	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	9.50	5.051	9.124	0.383	0.463	4.031	0.109	17.137	0.741	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	101.00	5.896	7.456	0.598	0.675	5.476	0.108	17.826	0.851	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-07	102.00	5.896	7.456	0.598	0.675	5.476	0.108	17.826	0.851	7.4	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	0.00	4.499	8.914	0.437	0.524	3.664	0.152	17.721	0.401	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	0.25	4.499	8.914	0.437	0.524	3.664	0.152	17.721	0.401	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	0.75	4.500	8.914	0.437	0.524	3.663	0.150	17.725	0.408	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	1.25	4.583	8.933	0.430	0.515	3.710	0.141	17.626	0.448	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	1.75	4.650	8.949	0.424	0.508	3.751	0.134	17.549	0.482	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	2.25	4.711	8.965	0.418	0.501	3.791	0.128	17.479	0.513	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	2.75	4.767	8.982	0.413	0.494	3.829	0.124	17.416	0.541	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	3.25	4.818	9.000	0.407	0.488	3.865	0.121	17.358	0.567	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	3.75	4.865	9.018	0.403	0.482	3.900	0.118	17.305	0.592	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	4.50	4.931	9.047	0.396	0.474	3.949	0.116	17.230	0.627	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	5.50	4.993	9.075	0.389	0.465	3.996	0.114	17.159	0.660	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	6.50	5.042	9.096	0.384	0.459	4.034	0.112	17.105	0.687	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	7.50	5.078	9.110	0.380	0.455	4.063	0.111	17.068	0.708	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	8.50	5.104	9.120	0.377	0.452	4.085	0.110	17.044	0.724	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	9.50	5.122	9.125	0.375	0.450	4.101	0.110	17.029	0.735	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	101.00	6.004	7.398	0.607	0.682	5.658	0.110	17.832	0.845	7.5	N S M Bottenhavets kustvatten
SE612520-172080	1985-01-08	102.00	6.004	7.398	0.607	0.682	5.658	0.110	17.832	0.845	7.5	N S M Bottenhavets kustvatten
