EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)	WATER_TYPE_AREA	WATER_DISTRICT	ALABO	MYEAR	STIME	STATN	WADEP
SE601300-182880	1985-01-01	0.00	4.000	8.009	0.501	0.619	3.024	0.103	18.414	0.288	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	0.25	4.000	8.009	0.501	0.619	3.024	0.103	18.414	0.288	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	0.75	4.000	8.008	0.501	0.621	3.024	0.103	18.440	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	1.25	4.000	8.007	0.501	0.621	3.024	0.103	18.440	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	1.75	4.000	8.007	0.501	0.621	3.024	0.103	18.440	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	2.25	4.000	8.006	0.501	0.621	3.024	0.103	18.441	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	2.75	4.000	8.006	0.501	0.621	3.025	0.103	18.441	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	3.25	4.000	8.005	0.501	0.621	3.026	0.103	18.442	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	3.75	4.000	8.004	0.501	0.621	3.028	0.103	18.444	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	4.50	4.000	8.004	0.501	0.621	3.025	0.103	18.443	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	5.50	4.000	8.003	0.501	0.621	3.025	0.102	18.443	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	6.50	4.000	8.002	0.501	0.621	3.025	0.102	18.444	0.293	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	7.50	4.000	8.001	0.501	0.621	3.026	0.102	18.446	0.294	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	8.50	4.000	7.998	0.501	0.621	3.028	0.102	18.451	0.294	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	9.50	4.000	7.988	0.502	0.622	3.038	0.100	18.468	0.296	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
SE601300-182880	1985-01-01	13.50	4.000	7.974	0.503	0.623	3.074	0.100	18.494	0.296	6.9	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE601300-182880	
