EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)	WATER_TYPE_AREA	WATER_DISTRICT	ALABO	MYEAR	STIME	STATN	WADEP
SE600740-183460	1985-01-01	0.00	4.000	8.008	0.500	0.619	3.012	0.102	18.407	0.289	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	0.25	4.000	8.008	0.500	0.619	3.012	0.102	18.407	0.289	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	0.75	4.000	8.007	0.500	0.620	3.011	0.102	18.434	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	1.25	4.000	8.006	0.500	0.620	3.011	0.102	18.434	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	1.75	4.000	8.006	0.500	0.620	3.011	0.102	18.434	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	2.25	4.000	8.005	0.500	0.620	3.011	0.102	18.434	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	2.75	4.000	8.005	0.500	0.621	3.011	0.102	18.434	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	3.25	4.000	8.004	0.500	0.621	3.012	0.102	18.434	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	3.75	4.000	8.004	0.500	0.621	3.012	0.102	18.435	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
SE600740-183460	1985-01-01	4.50	4.000	8.004	0.500	0.621	3.012	0.102	18.435	0.294	6.8	16 - Södra Bottenhavet, inre kustvatten	SE3	kustzonsmodellen	1985		SE600740-183460	
