TYPE_AREA_NUMBER	TYPE_AREA_SUFFIX	EU_CD	BASIN_NUMBER	HID	NAME	CENTER_LAT	CENTER_LON	URL_VISS
12	n	SE583970-170280	141045.0	583970-170280	Marsviken	"58° 40' 14,916"""	"17° 0' 54,633"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583970-170280
13		SE583721-161110	141046.0	583721-161110	Motala Ström	"58° 38' 5,722"""	"16° 11' 52,472"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583721-161110
13		SE583718-161687	141047.0	583718-161687	Pampusfjärden	"58° 37' 24,775"""	"16° 17' 12,294"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583718-161687
10		SE570450-180651	142001.0	570450-180651	V Gotlands s kustvatten	"57° 5' 58,304"""	"18° 7' 42,415"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570450-180651
10		SE570270-181160	142002.0	570270-181160	Burgsviken	"57° 3' 31,069"""	"18° 15' 47,833"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570270-181160
11		SE572000-180001	142003.0	572000-180001	V Gotlands m kustvatten	"57° 22' 32,711"""	"18° 4' 51,314"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572000-180001
10		SE572350-180930	142004.0	572350-180930	Klintehamnsviken sek namn	"57° 24' 55,690"""	"18° 8' 0,929"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572350-180930
11		SE574520-182151	142005.0	574520-182151	Gotlands nv kustvatten	"57° 44' 7,725"""	"18° 22' 38,264"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574520-182151
11		SE575170-183550	142006.0	575170-183550	Irevik	"57° 51' 21,629"""	"18° 35' 28,597"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575170-183550
11		SE575675-185101	142007.0	575675-185101	Gotlands n kustvatten	"57° 56' 53,488"""	"18° 53' 54,815"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575675-185101
11		SE575480-184830	142008.0	575480-184830	Kappelshamnsviken	"57° 53' 39,178"""	"18° 48' 2,881"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575480-184830
11		SE580150-191251	142009.0	580150-191251	Fårö n kustvatten	"58° 0' 17,942"""	"19° 16' 5,006"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580150-191251
10		SE575920-191650	142010.0	575920-191650	Ajkesvik	"57° 59' 9,506"""	"19° 15' 47,073"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575920-191650
10		SE575150-190400	142011.0	575150-190400	Fårösund	"57° 53' 3,233"""	"19° 2' 41,698"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575150-190400
10		SE575300-191801	142012.0	575300-191801	Fårö sö kustvatten	"57° 52' 44,230"""	"19° 13' 48,344"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575300-191801
10		SE575620-191550	142013.0	575620-191550	Sudersandsviken	"57° 56' 8,628"""	"19° 15' 16,068"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575620-191550
10		SE575480-191200	142014.0	575480-191200	Kyrkviken	"57° 54' 59,107"""	"19° 11' 1,827"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575480-191200
10		SE574170-190001	142015.0	574170-190001	Ö Gotlands n kustvatten	"57° 41' 40,371"""	"18° 58' 8,599"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574170-190001
10		SE573200-185701	142016.0	573200-185701	Ö Gotlands m kustvatten	"57° 31' 26,579"""	"18° 51' 40,898"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573200-185701
10		SE571000-184001	142017.0	571000-184001	Ö Gotlands s kustvatten	"57° 11' 14,475"""	"18° 38' 0,949"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571000-184001
10		SE571800-184300	142018.0	571800-184300	Lausvik	"57° 17' 40,759"""	"18° 42' 23,433"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571800-184300
10		SE570850-182920	142019.0	570850-182920	Gansviken	"57° 8' 29,501"""	"18° 27' 58,449"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570850-182920
10		SE570200-182500	142020.0	570200-182500	Slesviken	"57° 3' 24,271"""	"18° 23' 45,895"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570200-182500
10		SE640066-167754	142021.0	640066-167754	Bogevik	"57° 41' 45,123"""	"18° 46' 37,529"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE640066-167754
9		SE562050-160820	143002.0	562050-160820	M v s Kalmarsunds kustvatten	"56° 21' 11,556"""	"16° 7' 10,260"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE562050-160820
8		SE563770-161670	143003.0	563770-161670	Hossmoviken	"56° 37' 20,240"""	"16° 15' 54,840"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE563770-161670
8		SE563825-161810	143004.0	563825-161810	Västra sjön	"56° 38' 31,707"""	"16° 17' 9,095"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE563825-161810
9		SE563100-161500	143005.0	563100-161500	N v s Kalmarsunds kustvatten	"56° 28' 55,734"""	"16° 12' 20,100"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE563100-161500
9		SE562000-162271	143006.0	562000-162271	Ö s Kalmarsunds kustvatten	"56° 38' 50,991"""	"16° 26' 32,487"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE562000-162271
10		SE562410-164001	143007.0	562410-164001	S Ölands kustvatten	"56° 30' 7,874"""	"16° 38' 46,914"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE562410-164001
8		SE564250-162500	143008.0	564250-162500	S n Kalmarsund	"56° 43' 36,151"""	"16° 26' 0,328"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE564250-162500
9		SE565400-163600	143009.0	565400-163600	M n Kalmarsunds utsjövatten	"56° 56' 0,278"""	"16° 37' 47,272"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE565400-163600
8		SE565000-162825	143010.0	565000-162825	Bockskärs skärgård	"56° 50' 31,771"""	"16° 27' 27,514"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE565000-162825
8		SE565460-163000	143011.0	565460-163000	Pataholmsviken	"56° 54' 36,174"""	"16° 29' 7,905"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE565460-163000
8		SE565800-163000	143012.0	565800-163000	Lövöområdet sek namn	"56° 58' 53,084"""	"16° 32' 0,373"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE565800-163000
8		SE570080-163430	143013.0	570080-163430	Mönsteråsområdet sek namn	"57° 0' 35,238"""	"16° 34' 44,720"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570080-163430
8		SE570340-163710	143014.0	570340-163710	Ödänglaområdet sek namn	"57° 3' 18,735"""	"16° 36' 58,172"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570340-163710
9		SE570900-164501	143015.0	570900-164501	N n Kalmarsunds utsjövatten	"57° 11' 31,678"""	"16° 41' 23,724"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570900-164501
8		SE570500-163750	143016.0	570500-163750	Emområdet sek namn	"57° 5' 19,562"""	"16° 36' 29,399"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570500-163750
8		SE570730-163715	143017.0	570730-163715	Taktöområdet sek namn	"57° 7' 28,792"""	"16° 36' 22,104"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570730-163715
8		SE633846-154163	143018.0	633846-154163	Påskallavikområdet	"57° 10' 13,707"""	"16° 29' 35,934"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE633846-154163
8		SE571450-163320	143019.0	571450-163320	Oskarshamnsområdet	"57° 14' 41,874"""	"16° 32' 40,370"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571450-163320
8		SE572000-163835	143020.0	572000-163835	Figeholmsområdets kustvatten	"57° 20' 13,184"""	"16° 38' 13,630"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572000-163835
8		SE572205-163500	143021.0	572205-163500	Fågelöfjärden	"57° 22' 4,213"""	"16° 34' 57,505"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572205-163500
8		SE572500-164500	143022.0	572500-164500	Simpevarpsområdet	"57° 24' 45,175"""	"16° 44' 54,884"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572500-164500
12	s	SE572810-164500	143023.0	572810-164500	Ärnöområdet sek namn	"57° 28' 24,670"""	"16° 44' 51,780"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572810-164500
12	s	SE572650-164000	143024.0	572650-164000	Granholmsfjärden	"57° 26' 34,061"""	"16° 38' 17,693"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572650-164000
12	s	SE572565-164000	143025.0	572565-164000	Borholmsfjärden	"57° 25' 35,202"""	"16° 39' 31,708"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572565-164000
10		SE570000-170351	143026.0	570000-170351	N Ölands kustvatten	"57° 4' 27,419"""	"17° 0' 43,420"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE570000-170351
10		SE572110-170620	143027.0	572110-170620	Grankullaviken	"57° 21' 6,678"""	"17° 5' 56,871"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE572110-170620
14		SE573150-165001	143028.0	573150-165001	Misterhults skärgårds kustvatten	"57° 33' 9,965"""	"16° 50' 32,457"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573150-165001
12	s	SE573500-164660	143029.0	573500-164660	Misterhults skärgårds inre kustvatten	"57° 33' 4,490"""	"16° 47' 7,296"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573500-164660
12	s	SE573500-163500	143030.0	573500-163500	Gåsfjärden	"57° 34' 17,260"""	"16° 33' 50,769"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573500-163500
12	s	SE573865-164160	143031.0	573865-164160	Vistingsdjupet	"57° 36' 18,782"""	"16° 39' 58,859"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573865-164160
12	s	SE573500-163900	143032.0	573500-163900	Skälöfjärden	"57° 35' 5,929"""	"16° 38' 59,445"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573500-163900
12	s	SE573885-163740	143033.0	573885-163740	Grönvållsfjärden	"57° 38' 48,657"""	"16° 37' 58,937"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573885-163740
12	s	SE573940-163560	143034.0	573940-163560	Västrumsfjärden	"57° 39' 28,548"""	"16° 35' 18,197"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573940-163560
12	s	SE573972-164250	143035.0	573972-164250	Lökholmsdjupet	"57° 39' 50,256"""	"16° 41' 36,487"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573972-164250
12	s	SE574160-163610	143036.0	574160-163610	Verkebäcksviken	"57° 42' 10,485"""	"16° 35' 17,648"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574160-163610
12	s	SE573860-164725	143037.0	573860-164725	Stora Hökhallen	"57° 38' 32,195"""	"16° 47' 33,880"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE573860-164725
12	s	SE574083-164115	143038.0	574083-164115	Uvöfjärden	"57° 40' 15,873"""	"16° 43' 32,704"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574083-164115
12	s	SE574100-164700	143039.0	574100-164700	Björkskärsdjupet	"57° 41' 6,103"""	"16° 45' 32,177"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574100-164700
12	s	SE574205-164500	143040.0	574205-164500	Idöfjärden	"57° 42' 9,617"""	"16° 45' 14,827"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574205-164500
14		SE574450-165451	143041.0	574450-165451	Västerviks kustvatten	"57° 45' 42,663"""	"16° 51' 11,430"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574450-165451
12	s	SE574500-164500	143042.0	574500-164500	Asken	"57° 44' 53,358"""	"16° 44' 27,216"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574500-164500
12	s	SE574440-164160	143043.0	574440-164160	Lusärnafjärden	"57° 44' 30,406"""	"16° 41' 13,417"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574440-164160
12	s	SE574560-163950	143044.0	574560-163950	Skeppsbrofjärden sek namn	"57° 45' 27,713"""	"16° 39' 23,831"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574560-163950
12	s	SE574820-163550	143045.0	574820-163550	Yttre Gamlebyviken	"57° 50' 14,994"""	"16° 30' 59,775"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574820-163550
12	s	SE575150-162700	143046.0	575150-162700	Inre Gamlebyviken	"57° 51' 36,716"""	"16° 26' 44,649"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575150-162700
12	s	SE575000-163620	143047.0	575000-163620	Gudingen	"57° 50' 51,138"""	"16° 36' 4,966"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575000-163620
12	s	SE575430-163640	143048.0	575430-163640	Bergholmsfjärden	"57° 54' 41,625"""	"16° 35' 31,334"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575430-163640
12	s	SE575670-163500	143049.0	575670-163500	Syrsan	"57° 57' 38,276"""	"16° 32' 13,790"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575670-163500
12	s	SE574750-164500	143050.0	574750-164500	Torröfjärden sek namn	"57° 48' 21,903"""	"16° 43' 37,009"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574750-164500
12	s	SE575060-164170	143051.0	575060-164170	Smågöfjärden	"57° 49' 49,843"""	"16° 42' 20,457"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575060-164170
12	s	SE575095-164630	143052.0	575095-164630	Rågödjupet	"57° 51' 15,603"""	"16° 45' 17,022"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575095-164630
12	s	SE575370-164220	143053.0	575370-164220	Vivassen	"57° 53' 51,475"""	"16° 41' 54,329"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575370-164220
12	s	SE575335-165000	143054.0	575335-165000	Kåröområdet	"57° 53' 2,158"""	"16° 50' 45,228"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575335-165000
8		SE571552-162848	143055.0	571552-162848	Inre Oskarshamnsområdet	"57° 15' 51,192"""	"16° 28' 19,772"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE571552-162848
5		SE561030-122821	144001.0	561030-122821	N Öresunds kustvatten	"56° 11' 23,038"""	"12° 29' 49,926"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561030-122821
6		SE555545-124332	144002.0	555545-124332	N m Öresunds kustvatten	"55° 55' 12,822"""	"12° 44' 21,334"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE555545-124332
6		SE554500-125001	144003.0	617890-364097	S m Öresunds kustvatten	"55° 44' 12,515"""	"12° 50' 7,642"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE554500-125001
7		SE552500-124461	144004.0	552500-124461	S Öresunds kustvatten	"55° 27' 39,830"""	"12° 50' 30,156"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE552500-124461
7		SE553730-128890	144005.0	553730-128890	V sydkustens kustvatten	"55° 22' 14,165"""	"12° 55' 12,644"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE553730-128890
7		SE552170-130626	144006.0	552170-130626	Ö sydkustens kustvatten	"55° 24' 34,906"""	"13° 47' 12,030"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE552170-130626
7		SE552670-142281	144007.0	552670-142281	Sandhammaren-Simrishamn	"55° 27' 46,674"""	"14° 18' 2,881"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE552670-142281
7		SE554800-142001	144008.0	554800-142001	V Hanöbuktens kustvatten	"55° 58' 39,900"""	"14° 31' 28,223"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE554800-142001
6		SE554810-125240	144009.0	554810-125240	Lundåkrabukten	"55° 48' 44,854"""	"12° 52' 54,444"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE554810-125240
6		SE554040-125750	144010.0	554040-125750	Lommabukten	"55° 40' 17,703"""	"12° 57' 56,076"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE554040-125750
7		SE552800-125430	144011.0	552800-125430	Höllviken	"55° 27' 33,206"""	"12° 54' 40,746"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE552800-125430
7		SE555685-142290	144012.0	555685-142290	Landöbukten sek namn	"55° 56' 45,722"""	"14° 21' 22,903"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE555685-142290
7		SE555950-142740	144013.0	555950-142740	Tostebergabukten	"55° 59' 53,795"""	"14° 28' 5,345"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE555950-142740
7		SE560200-143175	144014.0	560200-143175	Valjeviken	"56° 1' 55,785"""	"14° 31' 47,461"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560200-143175
7		SE560205-143545	144015.0	560205-143545	Sölvesborgsviken	"56° 2' 21,802"""	"14° 35' 23,820"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560205-143545
9		SE621688-144133	144016.0	621688-144133	Västra Blekinge skärgårds kustvatten	"56° 4' 36,258"""	"14° 51' 46,697"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE621688-144133
9		SE560700-155801	144017.0	560700-155801	S v s Kalmarsunds kustvatten	"56° 8' 49,431"""	"15° 58' 10,406"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560700-155801
8		SE560825-144215	144018.0	560825-144215	Inre Pukaviksbukten	"56° 8' 31,554"""	"14° 41' 10,674"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560825-144215
8		SE560740-144375	144019.0	560740-144375	Mellersta Pukaviksbukten	"56° 7' 34,428"""	"14° 43' 31,146"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560740-144375
8		SE561150-147620	144020.0	561150-147620	Yttre Pukaviksbukten	"56° 7' 0,280"""	"14° 45' 49,349"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561150-147620
8		SE560900-145280	144021.0	560900-145280	Karlshamnsfjärden	"56° 9' 2,080"""	"14° 52' 19,916"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560900-145280
8		SE560895-145500	144022.0	560895-145500	Sandviksfjärden	"56° 9' 9,853"""	"14° 54' 48,317"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560895-145500
8		SE560950-145810	144023.0	560950-145810	Matviksfjärden	"56° 9' 32,585"""	"14° 57' 39,174"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560950-145810
8		SE560790-145850	144024.0	560790-145850	Tärnöfjärden sek namn	"56° 7' 42,720"""	"14° 58' 11,847"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560790-145850
8		SE560895-145975	144025.0	560895-145975	Boköfjärden	"56° 9' 2,349"""	"14° 59' 16,424"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560895-145975
8		SE561005-150250	144026.0	561005-150250	Tjäröfjärden	"56° 9' 37,561"""	"15° 2' 13,608"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561005-150250
8		SE561000-150390	144027.0	561000-150390	Järnavikafjärden sek namn	"56° 10' 16,310"""	"15° 4' 1,759"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561000-150390
8		SE560850-150580	144028.0	560850-150580	Östre fjorden	"56° 8' 47,499"""	"15° 5' 15,713"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560850-150580
8		SE560930-150810	144029.0	560930-150810	Vierydfjorden	"56° 9' 16,215"""	"15° 7' 49,379"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560930-150810
8		SE560900-151260	144030.0	560900-151260	Spjälköområdet	"56° 8' 53,013"""	"15° 11' 57,038"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560900-151260
8		SE560940-151740	144031.0	560940-151740	Ronnebyfjärden	"56° 9' 11,373"""	"15° 17' 9,722"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560940-151740
8		SE560750-152500	144032.0	560750-152500	Arpöfjärden sek namn	"56° 7' 16,756"""	"15° 23' 59,156"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560750-152500
8		SE561000-152500	144033.0	561000-152500	Kålfjärden	"56° 10' 0,859"""	"15° 24' 59,816"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561000-152500
8		SE560740-152650	144034.0	560740-152650	Hästholmsfjärden	"56° 7' 33,467"""	"15° 26' 11,002"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560740-152650
8		SE560775-153055	144035.0	560775-153055	Västra fjärden	"56° 8' 9,133"""	"15° 28' 30,812"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560775-153055
8		SE561000-153320	144036.0	561000-153320	Danmarksfjärden	"56° 10' 10,279"""	"15° 32' 47,113"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561000-153320
8		SE560780-153500	144037.0	560780-153500	Yttre redden	"56° 8' 6,592"""	"15° 35' 53,961"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560780-153500
8		SE561080-153835	144038.0	561080-153835	Lyckebyfjärden	"56° 10' 47,312"""	"15° 38' 11,910"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561080-153835
8		SE560810-153980	144039.0	560810-153980	Östra fjärden	"56° 8' 40,735"""	"15° 41' 10,825"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560810-153980
8		SE560500-154435	144040.0	560500-154435	Gåsefjärden	"56° 5' 53,648"""	"15° 45' 12,399"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560500-154435
8		SE560795-154730	144041.0	560795-154730	Hallarumsviken	"56° 8' 16,583"""	"15° 45' 50,362"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560795-154730
8		SE560385-154500	144042.0	560385-154500	Kållafjärden	"56° 3' 41,345"""	"15° 44' 39,622"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560385-154500
8		SE560290-154710	144043.0	560290-154710	Djupfjärden sek namn	"56° 2' 37,523"""	"15° 46' 16,986"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560290-154710
8		SE560500-154880	144044.0	560500-154880	Torhamnsfjärden	"56° 4' 58,737"""	"15° 48' 41,434"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE560500-154880
9		SE622011-146303	144045.0	622011-146303	Mellersta Blekinge skärgårds kustvatten	"56° 6' 39,150"""	"15° 5' 49,677"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE622011-146303
9		SE621157-148904	144046.0	621157-148904	Östra Blekinge skärgårds kustvatten	"56° 1' 36,906"""	"15° 38' 25,993"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE621157-148904
8		SE622384-147046	144047.0	622384-147046	Bredasund	"56° 8' 29,479"""	"15° 19' 45,379"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE622384-147046
6		SE562290-124131	144048.0	562290-124131	Helsingborgsområdet	"56° 1' 44,026"""	"12° 40' 26,755"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE562290-124131
7		SE552219-130919	144049.0	552219-130919	Trelleborgs hamnområde	"55° 21' 58,693"""	"13° 9' 2,195"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE552219-130919
7		SE552220-130920	144050.0	552220-130920	Ystads hamnområde	"55° 25' 18,353"""	"13° 49' 24,843"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE552220-130920
6		SE553757-130820	144051.0	553757-130820	Malmö hamnområde	"55° 37' 51,854"""	"13° 0' 9,801"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE553757-130820
8		SE561480-148220	144052.0	561480-148220	Stärnö Sandvik	"56° 8' 49,637"""	"14° 49' 7,759"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE561480-148220
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
3								
2		SENO591150-113700	150006.0	591150-113700	Halden_no	"59° 6' 38,660"""	"11° 22' 18,480"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SENO591150-113700
3		SE585750-105940	150008.0	585660-112590	N n Bohusläns skärgårds kustvatten	"58° 53' 52,397"""	"10° 57' 21,843"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585750-105940
1	n	SE585930-110800	150009.0	585930-110800	Yttre Dynekilen	"58° 59' 12,178"""	"11° 8' 10,410"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585930-110800
1	n	SE585990-111125	150010.0	585990-111125	Dynekilen	"59° 0' 12,590"""	"11° 12' 8,350"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585990-111125
1	n	SE585600-110880	150011.0	585600-110880	Strömstadsfjorden	"58° 56' 6,904"""	"11° 8' 3,404"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585600-110880
3		SE585400-110400	150012.0	585400-110400	N Kosterfjorden	"58° 54' 7,376"""	"11° 4' 16,274"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585400-110400
1	n	SE585290-110830	150013.0	585290-110830	N Yttre Tjärnöarkipelage	"58° 53' 35,964"""	"11° 9' 16,225"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585290-110830
3		SE585100-110600	150014.0	585100-110600	S Kosterfjorden	"58° 50' 43,960"""	"11° 5' 49,558"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585100-110600
1	n	SE585200-111140	150015.0	585200-111140	Inre Tjärnöarkipelagen	"58° 52' 3,664"""	"11° 9' 32,425"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-111140
1	n	SE585160-110880	150016.0	585160-110880	Flo	"58° 51' 40,482"""	"11° 8' 48,090"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585160-110880
3		SE584200-105901	150017.0	584200-105901	M n Bohusläns skärgårds kustvatten	"58° 41' 51,083"""	"11° 3' 25,102"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584200-105901
1	n	SE584890-110950	150018.0	584890-110950	Råssö-Resöfjorden sek namn	"58° 49' 23,562"""	"11° 10' 52,244"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584890-110950
