TYPE_AREA_NUMBER	TYPE_AREA_SUFFIX	EU_CD	BASIN_NUMBER	HID	NAME	CENTER_LAT	CENTER_LON	URL_VISS
12	n	SE585170-175445	130115.0	585170-175445	Nynäsviken	"58° 50' 44,081"""	"17° 53' 55,671"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585170-175445
12	n	SE584960-175280	130116.0	584960-175280	Dragfjärden sek namn	"58° 51' 15,340"""	"17° 51' 41,186"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584960-175280
12	n	SE584840-175400	130117.0	584840-175400	Konabbsfjärden	"58° 48' 26,904"""	"17° 54' 36,996"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584840-175400
12	n	SE584695-175315	130118.0	584695-175315	S Konabbsfjärden sek namn	"58° 46' 58,721"""	"17° 53' 28,020"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584695-175315
12	n	SE585000-174600	130119.0	585000-174600	Svärdsfjärden	"58° 50' 2,336"""	"17° 47' 27,124"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585000-174600
12	n	SE585345-174950	130120.0	585345-174950	Fållnäsviken	"58° 53' 28,311"""	"17° 49' 16,498"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585345-174950
12	n	SE590000-174400	130121.0	590000-174400	Himmerfjärden	"59° 1' 16,303"""	"17° 43' 40,094"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590000-174400
12	n	SE590550-174540	130122.0	590550-174540	Kaggfjärden	"59° 5' 48,136"""	"17° 45' 29,074"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590550-174540
24		SE590740-174135	130123.0	590740-174135	Hallsfjärden	"59° 6' 15,036"""	"17° 41' 45,641"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590740-174135
12	n	SE590400-174090	130124.0	590400-174090	Näslandsfjärden	"59° 4' 36,513"""	"17° 38' 4,405"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590400-174090
12	n	SE590200-173765	130125.0	590200-173765	Stavbofjärden	"59° 0' 44,515"""	"17° 38' 36,432"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590200-173765
12	n	SE585400-173870	130126.0	585400-173870	Gälöfjärden	"58° 55' 24,795"""	"17° 37' 33,233"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585400-173870
12	n	SE585200-174000	130127.0	585200-174000	Fifångsdjupet	"58° 51' 54,879"""	"17° 40' 28,803"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-174000
12	n	SE584870-174310	130128.0	584870-174310	Asköfjärden	"58° 49' 22,019"""	"17° 41' 39,212"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584870-174310
12	n	SE585200-173600	130129.0	585200-173600	Fågelöfjärden	"58° 52' 8,937"""	"17° 36' 11,676"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-173600
12	n	SE585200-173430	130130.0	585200-173430	Trosafjärden	"58° 52' 36,591"""	"17° 33' 18,136"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-173430
12	n	SE585040-173535	130131.0	585040-173535	Gillsviken	"58° 50' 26,145"""	"17° 35' 20,199"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585040-173535
12	n	SE585075-173130	130132.0	585075-173130	Hållsviken	"58° 50' 39,475"""	"17° 30' 58,855"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585075-173130
12	n	SE584905-172980	130133.0	584905-172980	Skettnefjärden	"58° 49' 18,425"""	"17° 29' 39,872"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584905-172980
12	n	SE584820-172920	130134.0	584820-172920	Gunnarbofjärden	"58° 48' 29,671"""	"17° 28' 34,083"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584820-172920
12	n	SE584600-173200	130135.0	584600-173200	Gupafjärden	"58° 46' 35,091"""	"17° 31' 48,067"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584600-173200
12	n	SE584333-172895	130136.0	584333-172895	Bergöområdet	"58° 43' 41,538"""	"17° 28' 16,434"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584333-172895
12	n	SE584420-172515	130137.0	584420-172515	Ringsöfjärden sek namn	"58° 44' 55,792"""	"17° 24' 1,979"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584420-172515
12	n	SE584520-172495	130138.0	584520-172495	Tvären	"58° 46' 25,967"""	"17° 25' 34,953"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584520-172495
12	n	SE584400-172270	130139.0	584400-172270	Dragviksfjärden	"58° 44' 28,388"""	"17° 21' 11,897"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584400-172270
12	n	SE584390-172085	130140.0	584390-172085	Kråkfjärden	"58° 43' 39,368"""	"17° 20' 35,801"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584390-172085
12	n	SE584227-171600	130141.0	584227-171600	Risöområdet sek namn	"58° 42' 5,821"""	"17° 17' 46,385"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584227-171600
12	n	SE584085-171600	130142.0	584085-171600	Örsbaken	"58° 41' 45,028"""	"17° 11' 45,944"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584085-171600
12	n	SE584430-170665	130143.0	584430-170665	Sjösafjärden	"58° 44' 55,011"""	"17° 6' 2,535"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584430-170665
12	n	SE584435-170450	130144.0	584435-170450	Mellanfjärden	"58° 44' 20,721"""	"17° 4' 4,430"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584435-170450
12	n	SE584434-170260	130145.0	584434-170260	Stadsfjärden	"58° 44' 28,317"""	"17° 1' 53,492"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584434-170260
12	n	SE584215-170800	130146.0	584215-170800	Aspafjärden	"58° 41' 36,478"""	"17° 5' 12,053"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584215-170800
12	n	SE584067-171125	130147.0	584067-171125	Ålöfjärden	"58° 40' 41,748"""	"17° 10' 54,940"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584067-171125
12	n	SE583906-170998	130148.0	583906-170998	Hasselöområdet	"58° 38' 56,413"""	"17° 9' 50,280"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583906-170998
12	n	SE662116-166449	130149.0	662116-166449	Edsviken	"59° 40' 37,543"""	"18° 43' 41,191"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE662116-166449
24		SE658507-162696	130150.0	658507-162696	Brunnsviken	"59° 22' 15,298"""	"18° 2' 6,810"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE658507-162696
12	n	SE658180-166649	130151.0	658180-166649	Prästmaren	"59° 19' 26,963"""	"18° 43' 48,102"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE658180-166649
12	n	SE657608-164193	130152.0	657608-164193	Neglingeviken	"59° 17' 0,463"""	"18° 17' 34,021"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE657608-164193
12	n	SE657412-164249	130153.0	657412-164249	Vårgärdssjön	"59° 15' 50,584"""	"18° 18' 14,025"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE657412-164249
17		SE600590-184933	130154.0	600590-184933	Grisslehamn	"60° 5' 52,118"""	"18° 49' 8,909"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE600590-184933
17		SE595730-185850	130155.0	595730-185850	Väddö kustvatten	"59° 57' 27,544"""	"18° 58' 18,965"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE595730-185850
16		SE600920-183090	130156.0	600920-183090	Järsjöviken	"60° 9' 22,706"""	"18° 30' 13,140"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE600920-183090
16		SE601190-182870	130157.0	601190-182870	Norra Hargsviken	"60° 11' 44,370"""	"18° 28' 51,624"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601190-182870
16		SE601204-182670	130158.0	601204-182670	Mjölkfjärden	"60° 11' 50,086"""	"18° 26' 12,941"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601204-182670
16		SE601250-182570	130159.0	601250-182570	Dragsfjärden	"60° 12' 31,162"""	"18° 25' 26,565"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601250-182570
16		SE601360-182510	130160.0	601360-182510	Sandikafjärden	"60° 13' 33,597"""	"18° 24' 52,193"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601360-182510
12	n	SE594350-190530	130161.0	594350-190530	Kapellskärsområdet	"59° 43' 25,615"""	"19° 5' 25,213"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594350-190530
12	n	SE594340-190448	130162.0	594340-190448	Kapellskärs hamnområde	"59° 43' 22,633"""	"19° 4' 16,979"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594340-190448
12	n	SE585450-175800	130163.0	585450-175800	Nynäshamn	"58° 54' 34,365"""	"17° 57' 53,019"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585450-175800
24		SE590990-174015	130164.0	590990-174015	Igelstaviken	"59° 9' 22,025"""	"17° 40' 19,963"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590990-174015
