	WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	OBJECTID *	Shape *	EU_CD	MS_CD	VISS_MS_CD	NAMN	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	TYPOMR_KOD	TYPOMRNAMN	TYPE_AREA_SUFFIX
46	Våmfjärden	3	2	2006-12-31		12	591655-183530	SE3	SE591655-183530	SE3	SE	12n	12	7431.028658	1563603.781	347.0	Polygon	SE1C10C14F-9433-4438-A131-C23020FA291C	WA28361109	SE591655-183530	Våmfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591655-183530	2010	Våmfjärden_(59.28,18.59)	N	 	 	7431.028658	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
47	Kalkkobbsfjärden	3	2	2006-12-31		12	591330-184225	SE3	SE591330-184225	SE3	SE	12n	12	17321.086730000003	7364501.082	342.0	Polygon	SE1416720D-A8FF-42D6-BA9D-EFC62EB45AFC	WA27129983	SE591330-184225	Kalkkobbsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591330-184225	2010	Kalkkobbsfjärden_(59.23,18.7)	N	 	 	17321.086730000003	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
48	Björnöfjärden	3	2	2006-12-31		12	591400-183200	SE3	SE591400-183200	SE3	SE	12n	12	15976.96184	1560737.875	344.0	Polygon	SE35AF21F1-6F30-4721-9CEC-915D7C6A1CEE	WA98700208	SE591400-183200	Björnöfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591400-183200	2010	Björnöfjärden_(59.23,18.53)	N	 	 	15976.96184	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
49	Bulleröfjärden	3	2	2006-12-31		15	591175-185000	SE3	SE591175-185000	SE3	SE	15	15	44497.327489999996	24402671.36	338.0	Polygon	SE5A3F6D76-CB49-4874-A496-875EC87E1409	WA61191074	SE591175-185000	Bulleröfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591175-185000	2010	Bulleröfjärden_(59.18,18.81)	N	 	 	44497.327489999996	15	15 - Stockholms skärgård, yttre kustvatten	
50	Norrfjärden	3	2	2006-12-31		12	590730-183763	SE3	SE590730-183763	SE3	SE	12n	12	133322.5695	66732354.55	330.0	Polygon	SE2D8F04B6-D733-4B1B-8E11-BAECA2B3241C	WA82521184	SE590730-183763	Norrfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590730-183763	2010	Norrfjärden_(59.09,18.58)	N	 	 	133322.5695	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
51	Biskopsfjärden	3	2	2006-12-31		15	590665-184210	SE3	SE590665-184210	SE3	SE	15	15	107957.004	50773947.93	329.0	Polygon	SE1B375CC7-EA66-40FC-909E-37B7978BF664	WA92985654	SE590665-184210	Biskopsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590665-184210	2010	Biskopsfjärden_(59.13,18.75)	N	 	 	107957.004	15	15 - Stockholms skärgård, yttre kustvatten	
52	Hanstensfjärden	3	2	2006-12-31		12	590000-183000	SE3	SE590000-183000	SE3	SE	12n	12	174245.0158	78271975.19	321.0	Polygon	SE1E06BDB8-2618-45E6-8F2B-3AC1CEC65ACE	WA36754485	SE590000-183000	Hanstensfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590000-183000	2010	Hanstensfjärden_(59.03,18.48)	N	 	 	174245.0158	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
53	Norstensfjärden	3	2	2006-12-31		15	590148-183625	SE3	SE590148-183625	SE3	SE	15	15	75793.32497	57872133.15	322.0	Polygon	SE6512EE8F-FC93-4479-8C70-0720FE00A5F4	WA62979136	SE590148-183625	Norstensfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE590148-183625	2010	Norstensfjärden_(59.03,18.6)	N	 	 	75793.32497	15	15 - Stockholms skärgård, yttre kustvatten	
54	Kärrfjärden	4	2	2006-12-31		12	582050-165820	SE4	SE582050-165820	SE4	SE	12s	12	156628.714	62554337.42	223.0	Polygon	SE93F0B62A-6255-4D87-A41C-7333AD5F0DE7	WA17489705	SE582050-165820	Kärrfjärden	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582050-165820	2010	Kärrfjärden_(58.37,16.95)	N	 	 	156628.714	12s	12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra	n
55	Håsköfjärden sek namn	4	2	2006-12-31		12	581660-165710	SE4	SE581660-165710	SE4	SE	12s	12	57666.72237	18086962.7	207.0	Polygon	SE5FA07AAA-637A-4B0E-9C1E-BF2250A8AF19	WA39260671	SE581660-165710	Håsköfjärden sek namn	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581660-165710	2010	Håsköfjärden sek namn_(58.25,16.95)	N	 	 	57666.72237	12s	12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra	n
56	N Kosterfjorden	5	2	2006-12-31		3	585400-110400	SE5	SE585400-110400	SE5	SE	3	3	47248.09985	25183069.62	312.0	Polygon	SE1E82A04F-9AFF-492D-A1E6-3149841CDE70	WA88507966	SE585400-110400	N Kosterfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585400-110400	2010	N Kosterfjorden_(58.9,11.07)	N	 	 	47248.09985	3	3 - Västkustens yttre kustvatten, Skagerrak	
57	Stockholms skärgårds s kustvatten	3	2	2006-12-31		14	585350-182001	SE3	SE585350-182001	SE3	SE	14	14	231891.5724	531299945.7	311.0	Polygon	SE5C554806-8BC1-4C0D-AB12-B7BEB966CB59	WA49631470	SE585350-182001	Stockholms skärgårds s kustvatten	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585350-182001	2010	Stockholms skärgårds s kustvatten_(58.86,18.25)	N	 	 	231891.5724	14	14 - Östergötlands yttre kustvatten	
58	N Yttre Tjärnöarkipelage	5	2	2006-12-31		1	585290-110830	SE5	SE585290-110830	SE5	SE	1n	1	31508.40361	3908361.687	309.0	Polygon	SEB59EE505-3DCF-406D-937C-F3D45BF8A3E5	WA15800953	SE585290-110830	N Yttre Tjärnöarkipelage	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585290-110830	2010	N Yttre Tjärnöarkipelage_(58.89,11.15)	N	 	 	31508.40361	1n	1n - Västkustens inre kustvatten, norra	
59	S Kosterfjorden	5	2	2006-12-31		3	585100-110600	SE5	SE585100-110600	SE5	SE	3	3	39700.10143	29117718.08	301.0	Polygon	SE1F5B23B8-2C72-4A73-96FD-7BC69D46EC3C	WA78752433	SE585100-110600	S Kosterfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585100-110600	2010	S Kosterfjorden_(58.85,11.1)	N	 	 	39700.10143	3	3 - Västkustens yttre kustvatten, Skagerrak	
60	Flo	5	2	2006-12-31		1	585160-110880	SE5	SE585160-110880	SE5	SE	1n	1	11520.69874	2979693.4960000003	303.0	Polygon	SEDD6B589C-A7A5-4E88-B32C-39DEF2AA5A40	WA38197731	SE585160-110880	Flo	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585160-110880	2010	Flo_(58.86,11.15)	N	 	 	11520.69874	1n	1n - Västkustens inre kustvatten, norra	
61	M n Bohusläns skärgårds kustvatten	5	2	2006-12-31		3	584200-105901	SE5	SE584200-105901	SE5	SE	3	3	179793.4167	349197404.3	272.0	Polygon	SE5329474A-F619-4B4F-A649-03B4ECD5FAD1	WA94727621	SE584200-105901	M n Bohusläns skärgårds kustvatten	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584200-105901	2010	M n Bohusläns skärgårds kustvatten_(58.7,11.06)	N	 	 	179793.4167	3	3 - Västkustens yttre kustvatten, Skagerrak	
62	Asköfjärden	3	2	2006-12-31	<Null>	12	584870-174310	SE3	SE584870-174310	SE3	SE	12n	12	40589.697239999994	27106202.45	294.0	Polygon	SE37FDE259-84BD-435E-BE2E-869736F39C76	WA40991485	SE584870-174310	Asköfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584870-174310	2010	Asköfjärden_(58.82,17.69)	N	 	 	40589.697239999994	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
63	Konabbsfjärden	3	2	2006-12-31		12	584840-175400	SE3	SE584840-175400	SE3	SE	12n	12	18319.793009999998	8785141.398	293.0	Polygon	SE9BB846DF-52E0-46F7-96C9-1E06A22F6E67	WA33864561	SE584840-175400	Konabbsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584840-175400	2010	Konabbsfjärden_(58.81,17.91)	N	 	 	18319.793009999998	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
64	S Konabbsfjärden sek namn	3	2	2006-12-31		12	584695-175315	SE3	SE584695-175315	SE3	SE	12n	12	18786.85241	8590692.832999999	289.0	Polygon	SE4BF5634A-DBCF-4AC7-96A8-472C56B2565A	WA67404421	SE584695-175315	S Konabbsfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584695-175315	2010	S Konabbsfjärden sek namn_(58.78,17.89)	N	 	 	18786.85242	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
65	Bergöområdet	3	2	2006-12-31		12	584333-172895	SE3	SE584333-172895	SE3	SE	12n	12	16419.09151	2610047.676	275.0	Polygon	SE9C1562A4-3DC4-468E-8AEC-243BDF1F89D1	WA28150138	SE584333-172895	Bergöområdet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584333-172895	2010	Bergöområdet_(58.73,17.47)	N	 	 	16419.09151	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
66	Kränkfjärden sek namn	3	2	2006-12-31		14	583720-172571	SE3	SE583720-172571	SE3	SE	14	14	122084.8087	274332974.7	256.0	Polygon	SEA8DBA9E2-56D5-4739-BDF0-4BB5AC85DEAF	WA53809397	SE583720-172571	Kränkfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583720-172571	2010	Kränkfjärden sek namn_(58.64,17.41)	N	 	 	122084.8087	14	14 - Östergötlands yttre kustvatten	
67	Fjällbacka yttre skärgård	5	2	2006-12-31		1	583625-111300	SE5	SE583625-111300	SE5	SE	1n	1	106320.1113	30489989.13	253.0	Polygon	SEB103D3FD-5F36-40DE-98B1-B44249F6938E	WA33507043	SE583625-111300	Fjällbacka yttre skärgård	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583625-111300	2010	Fjällbacka yttre skärgård_(58.55,11.19)	N	 	 	106320.1113	1n	1n - Västkustens inre kustvatten, norra	
68	Väderöfjorden	5	2	2006-12-31		3	583450-110750	SE5	SE583450-110750	SE5	SE	3	3	33960.46524	41389682.6	252.0	Polygon	SE09AC6BA3-3A94-4B0F-90BD-B4F006EB410D	WA58228631	SE583450-110750	Väderöfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583450-110750	2010	Väderöfjorden_(58.58,11.12)	N	 	 	33960.46524	3	3 - Västkustens yttre kustvatten, Skagerrak	
69	St Anna skärgårds kustvatten	4	2	2006-12-31		14	581900-171101	SE4	SE581900-171101	SE4	SE	14	14	97225.67811000001	204533313.3	216.0	Polygon	SE5D11E7A4-BD0F-4C3B-A251-18EE70A47630	WA72175993	SE581900-171101	St Anna skärgårds kustvatten	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581900-171101	2010	St Anna skärgårds kustvatten_(58.38,17.16)	N	 	 	97225.67812000001	14	14 - Östergötlands yttre kustvatten	
70	Aspöfjärden	4	2	2006-12-31		12	582600-165680	SE4	SE582600-165680	SE4	SE	12s	12	64570.692460000006	23889893.62	239.0	Polygon	SE6C51298E-5C03-4C23-85E2-79161D5FA4CA	WA80810811	SE582600-165680	Aspöfjärden	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582600-165680	2010	Aspöfjärden_(58.43,16.93)	N	 	 	64570.692460000006	12s	12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra	n
71	Gotskasandöns v kustvatten	4	2	2006-12-31		10	582200-191201	SE4	SE582200-191201	SE4	SE	10	10	35985.703180000004	30480394.83	229.0	Polygon	SEE27C5B5F-891F-4961-AC9D-8E97029C9D5F	WA77470092	SE582200-191201	Gotskasandöns v kustvatten	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582200-191201	2010	Gotskasandöns v kustvatten_(58.35,19.19)	N	 	 	35985.703180000004	10	10 - Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	
72	Gotskasandöns n kustvatten	4	2	2006-12-31		10	582350-191651	SE4	SE582350-191651	SE4	SE	10	10	16859.528290000002	12471443.65	233.0	Polygon	SE9D782BEF-5111-4B23-9262-DA573670EBF8	WA67084620	SE582350-191651	Gotskasandöns n kustvatten	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582350-191651	2010	Gotskasandöns n kustvatten_(58.39,19.29)	N	 	 	16859.528290000002	10	10 - Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	
73	Gotskasandöns s kustvatten	4	2	2006-12-31		10	582150-191901	SE4	SE582150-191901	SE4	SE	10	10	20718.230330000002	16297196.64	228.0	Polygon	SEA8580E73-544B-4F58-9052-99412F6B2406	WA66745590	SE582150-191901	Gotskasandöns s kustvatten	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582150-191901	2010	Gotskasandöns s kustvatten_(58.35,19.33)	N	 	 	20718.230330000002	10	10 - Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	
74	Hålfjärden	4	2	2006-12-31		12	582055-165230	SE4	SE582055-165230	SE4	SE	12s	12	38517.70266	10463124.12	224.0	Polygon	SEFBC7943E-1C33-4ED1-9943-1C13DEAC2CC6	WA35608091	SE582055-165230	Hålfjärden	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582055-165230	2010	Hålfjärden_(58.36,16.86)	N	 	 	38517.70266	12s	12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra	n
75	Finnfjärden	4	2	2006-12-31		12	581820-165500	SE4	SE581820-165500	SE4	SE	12s	12	56601.718029999996	21741082.25	214.0	Polygon	SE6B38AD38-57F2-4BBD-B3AC-FC8CD254EC62	WA90916099	SE581820-165500	Finnfjärden	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581820-165500	2010	Finnfjärden_(58.31,16.9)	N	 	 	56601.718029999996	12s	12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra	n
76	Kullskärsdjupet	4	2	2006-12-31		12	581800-170000	SE4	SE581800-170000	SE4	SE	12s	12	32052.52642	13070194.38	212.0	Polygon	SECB8F9108-074B-4645-AFE3-A02CD99440F4	WA89380856	SE581800-170000	Kullskärsdjupet	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581800-170000	2010	Kullskärsdjupet_(58.3,16.98)	N	 	 	32052.52642	12s	12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra	n
77	Gryts skärgårds kustvatten	4	2	2006-12-31		14	580950-170601	SE4	SE580950-170601	SE4	SE	14	14	61519.82355	114708173.1	192.0	Polygon	SE4B4806ED-57D3-44FC-8F03-00904E0254F7	WA55244674	SE580950-170601	Gryts skärgårds kustvatten	CW	Y	SE4	SO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580950-170601	2010	Gryts skärgårds kustvatten_(58.23,17.09)	N	 	 	61519.82355	14	14 - Östergötlands yttre kustvatten	
