WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area
Gullmarn centralbassäng	5	2	2006-12-31		2	581700-113000	SE5	SE581700-113000	SE5	SE	2	2	113016.4224	49596857.49
Kalvöfjorden	5	2	2006-12-31		1	580610-113615	SE5	SE580610-113615	SE5	SE	1n	1	43377.12408	11290045.06
Halsefjorden	5	2	2006-12-31		2	580688-114860	SE5	SE580688-114860	SE5	SE	2	2	34408.93497	14051384.07
Askeröfjorden	5	2	2006-12-31		2	580500-114725	SE5	SE580500-114725	SE5	SE	2	2	60623.81815	18225123.52
Hake fjord	5	2	2006-12-31		2	575700-114240	SE5	SE575700-114240	SE5	SE	2	2	135626.6597	75725564.01
Fjällbacka inre skärgård	5	2	2006-12-31		1	583710-111535	SE5	SE583710-111535	SE5	SE	1n	1	73125.05978	13430042.95
Havstensfjorden	5	2	2006-12-31		2	581740-114820	SE5	SE581740-114820	SE5	SE	2	2	121941.2612	54111198.78
Halsöfjärden	4	2	2006-12-31		12	580735-165296	SE4	SE580735-165296	SE4	SE	12s	12	81772.7079	34397300.23
Inre Gamlebyviken	4	2	2006-12-31		12	575150-162700	SE4	SE575150-162700	SE4	SE	12s	12	30662.07797	9610022.712
N Ölands kustvatten	4	2	2006-12-31		10	570000-170351	SE4	SE570000-170351	SE4	SE	10	10	197691.7417	229131273
S Ölands kustvatten	4	2	2006-12-31		10	562410-164001	SE4	SE562410-164001	SE4	SE	10	10	180985.9488	201866968.7
Svartviksfjärden	2	2	2006-12-31		18	622000-172300	SE2	SE622000-172300	SE2	SE	18	18	12007.23098	3284863.512
Grankullaviken	4	2	2006-12-31		10	572110-170620	SE4	SE572110-170620	SE4	SE	10	10	14335.67783	6392606.102
Del av Bottenhavets utsjövatten	0	3	2007-01-01		0	620333-175418	SE0	SE620333-175418	SE0	SE	0	0	730211.8072	7014428861
Salen	2	2	2011-11-09	615500-173001	18	622080-176120	SE2	SE622080-176120	SE2	SE	18	18	18340.49349	4580470.184
Lilla Värtan	3	1	2007-03-26	592000-181015	24	658352-163189	SE3	SE658352-163189	SE3	SE	24	24	40764.22694	12788958.47
Hamnskär	2	2	2011-10-27	612230-172001	16	605390-171558	SE2	SE605390-171558	SE2	SE	16	16	41564.58861	19681774.95
Hilleviksfjärden	2	2	2011-10-27	612230-172001	16	604900-171700	SE2	SE604900-171700	SE2	SE	16	16	32210.81397	11020677.2
Iggösundet	2	2	2011-10-27	612230-172001	16	605140-171674	SE2	SE605140-171674	SE2	SE	16	16	18695.99008	3279968.413
S S M Bottenhavets kustvatten	2	2	2011-10-27	612230-172001	17	605660-172380	SE2	SE605660-172380	SE2	SE	17	17	155294.1158	433867837.7
Burefjärden	1	2	2006-12-31		22	643700-211940	SE1	SE643700-211940	SE1	SE	22	22	35297.42833	14987550.27
Storsladan	1	2	2006-12-31		22	643550-211920	SE1	SE643550-211920	SE1	SE	22	22	17098.59509	3765641.125
Bäckfjärden	1	2	2006-12-31		22	643160-212730	SE1	SE643160-212730	SE1	SE	22	22	29663.90714	7358084.602
Bjuröfjärden	1	2	2006-12-31		22	642950-213400	SE1	SE642950-213400	SE1	SE	22	22	49302.15711	30677039.87
Blackefjärden	1	2	2006-12-31		22	642035-212600	SE1	SE642035-212600	SE1	SE	22	22	15929.96205	4861480.775
Strömmen	3	1	2006-12-31		24	591920-180800	SE3	SE591920-180800	SE3	SE	24	24	30649.76001	4069764.7
V sydkustens kustvatten	4	2	2011-12-08	552290-125800	7	553730-128890	SE4	SE553730-128890	SE4	SE	7	7	96209.26938	124657904.7
Lagnöström	3	2	2006-12-31		12	591755-182800	SE3	SE591755-182800	SE3	SE	12n	12	7231.164589	697789.1829
Grisslingen	3	2	2006-12-31		12	591815-182670	SE3	SE591815-182670	SE3	SE	12n	12	13542.4457	2676843.436
Inre Idefjorden	5	2	2012-05-15		2	590020-114520	SE5NO	SENO590020-114520	SE5NO	SN	2	2	10388.70014	2937348.73
Idefjorden	5	2	2012-05-15		2	590860-113810	SE5NO	SENO590860-113810	SE5NO	SN	2	2	57044.35244	15572256.11
Inre Singlefjorden	5	2	2012-05-15		2	590900-112300	SE5NO	SENO590900-112300	SE5NO	SN	2	2	6416.753093	664949.4727
Halden	5	2	2012-05-15		2	591150-113700	SE5NO	SENO591150-113700	SE5NO	SN	2	2	9618.226241	1502460.861
Singlefjorden	5	2	2012-05-15		1	590670-111380	SE5NO	SENO590670-111380	SE5NO	SN	1n	1	164297.4195	75805565
N Höga kustens kustvatten	2	2	2011-11-07	624600-181851	19	630210-187470	SE2	SE630210-187470	SE2	SE	19	19	238530.2522	404976319.1
Sundsvallsbukten	2	2	2011-11-08	621855-174000	18	623300-176210	SE2	SE623300-176210	SE2	SE	18	18	137179.2982	259919937.8
N M Bottenhavets kustvatten	2	2	2011-11-09	615500-173001	19	619690-175690	SE2	SE619690-175690	SE2	SE	19	19	303138.6357	710313273.5
Skomakarfjärden	1	2	2006-12-31		22	654360-235780	SE1	SE654360-235780	SE1	SE	22	22	96533.74478	96589472.27
Knivskärsfjärden	1	2	2008-09-30	653900-240850	23	653840-247900	SE1TO	SE653840-247900	SE1TO	SE	23	23	41437.31846	34086992.97
S Bottenvikens kustvatten	1	2	2006-12-31		23	641250-211751	SE1	SE641250-211751	SE1	SE	23	23	224100.8406	323799421.6
Kallviken	1	2	2006-12-31		22	641875-212250	SE1	SE641875-212250	SE1	SE	22	22	14447.19253	4369985.336
Horsfjärden	3	2	2006-12-31		12	590385-180890	SE3	SE590385-180890	SE3	SE	12n	12	190857.0468	61504184.68
Björköfjorden	5	2	2006-12-31		1	574370-114250	SE5	SE574370-114250	SE5	SE	1s	1	19815.2469	5978291.116
Dana fjord	5	2	2006-12-31		1	574000-114230	SE5	SE574000-114230	SE5	SE	1s	1	47730.72231	33709261.81
Rivö fjord	5	1	2006-12-31		25	574050-114780	SE5	SE574050-114780	SE5	SE	25	25	59704.69344	22926162.45
Söderarms skärgård	3	2	2006-12-31		15	594200-192000	SE3	SE594200-192000	SE3	SE	15	15	218797.0731	120984193.1
Kallskärsfjärden	3	2	2006-12-31		12	593000-190500	SE3	SE593000-190500	SE3	SE	12n	12	79995.38918	66588643.52
Brandfjärden	3	2	2006-12-31		15	591500-185300	SE3	SE591500-185300	SE3	SE	15	15	152248.5678	91125408.38
Tranaröfjärden	3	2	2006-12-31		12	591655-183200	SE3	SE591655-183200	SE3	SE	12n	12	35759.93841	4454282.022
Ingaröfjärden	3	2	2006-12-31		12	591300-182800	SE3	SE591300-182800	SE3	SE	12n	12	93386.74929	42198358.55
Del av s Kattegatts utsjövatten	0	3	2013-02-28		0	570714-115613	SE0	SE570714-115613	SE0	SE	0	0	183545.5357	1376436244
