WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area
Ystads hamnområde	4	2	2009-09-21	552050-133751	7	552220-130920	SE4	SE552220-130920	SE4	SE	7	7	5770.193719	868477.33
Motala Ström	4	2	2009-09-22	583900-162500	13	583721-161110	SE4	SE583721-161110	SE4	SE	13	13	12152.78348	2441303.507
Pampusfjärden	4	2	2009-09-22	583900-162500	13	583718-161687	SE4	SE583718-161687	SE4	SE	13	13	31576.41594	15456722.65
Hasselöområdet	3	2	2009-09-23	583900-170800	12	583906-170998	SE3	SE583906-170998	SE3	SE	12n	12	30393.82002	7049245.296
Ljungskärsflagen	3	2	2009-09-23	583900-170800	12	583896-170790	SE3	SE583896-170790	SE3	SE	12n	12	7418.403959	1857442.436
Oxelösunds hamnområde	3	2	2009-09-23	583900-170800	12	583960-170700	SE3	SE583960-170700	SE3	SE	12n	12	7684.887349	954961.8267
Mysingen	3	2	2009-09-28	585500-180500	12	585797-181090	SE3	SE585797-181090	SE3	SE	12n	12	298483.3335	235647144
Nynäshamn	3	2	2009-09-28	585500-180500	12	585450-175800	SE3	SE585450-175800	SE3	SE	12n	12	11030.90301	2455969.521
Kapellskärs hamnområde	3	2	2009-09-29	594275-191000	12	594340-190448	SE3	SE594340-190448	SE3	SE	12n	12	3790.052801	486435.5773
Granhamnsfjärden	3	2	2009-09-29	594275-191000	12	594250-191040	SE3	SE594250-191040	SE3	SE	12n	12	61415.84977	32585210.49
Kapellskärsområdet	3	2	2009-09-29	594275-191000	12	594350-190530	SE3	SE594350-190530	SE3	SE	12n	12	25214.13048	11488294.79
Grisslehamn	3	2	2009-09-29	601000-185081	17	600590-184933	SE3	SE600590-184933	SE3	SE	17	17	2161.476109	164236.8173
Östhammars kustvatten	3	2	2009-09-29	601000-185081	17	601020-185050	SE3	SE601020-185050	SE3	SE	17	17	161435.7657	186965969.3
Väddö kustvatten	3	2	2009-09-29	601000-185081	17	595730-185850	SE3	SE595730-185850	SE3	SE	17	17	91921.80298	96493306.28
Järsjöviken	3	2	2009-09-30	601070-182900	16	600920-183090	SE3	SE600920-183090	SE3	SE	16	16	9429.014095	1066680.581
Hargsviken	3	2	2009-09-30	601070-182900	16	601070-182870	SE3	SE601070-182870	SE3	SE	16	16	21826.00546	5999252.156
Mjölkfjärden	3	2	2009-09-30	601070-182900	16	601204-182670	SE3	SE601204-182670	SE3	SE	16	16	5450.6455	506401.5712
Sandikafjärden	3	2	2009-09-30	601070-182900	16	601360-182510	SE3	SE601360-182510	SE3	SE	16	16	5124.288926	926638.8684
Dragsfjärden	3	2	2009-09-30	601070-182900	16	601250-182570	SE3	SE601250-182570	SE3	SE	16	16	5922.227443	709245.0663
Norra Hargsviken	3	2	2009-09-30	601070-182900	16	601190-182870	SE3	SE601190-182870	SE3	SE	16	16	10892.88701	1710675.349
Hallsfjärden	3	1	2009-09-30	590700-174145	24	590740-174135	SE3	SE590740-174135	SE3	SE	24	24	16918.07012	4989406.967
Igelstaviken	3	1	2009-09-30	590700-174145	24	590990-174015	SE3	SE590990-174015	SE3	SE	24	24	11752.25111	1917028.184
Repskärsfjärden	1	2	2006-12-31		22	654500-232000	SE1	SE654500-232000	SE1	SE	22	22	130964.3693	60290141.29
Gussöfjärden	1	2	2006-12-31		22	654470-222700	SE1	SE654470-222700	SE1	SE	22	22	53436.47004	64273175.81
Bredviksfjärden	1	2	2006-12-31		22	645130-211040	SE1	SE645130-211040	SE1	SE	22	22	8092.509631	2609615.419
Simpan	1	2	2008-09-17	643950-211486	22	643920-211500	SE1	SE643920-211500	SE1	SE	22	22	22233.60131	10746578.94
Kinnbäcksfjärden	1	2	2006-12-31		22	650280-213110	SE1	SE650280-213110	SE1	SE	22	22	32994.99161	10021923.52
N n Kvarkens kustvatten	1	2	2006-12-31		21	635300-205251	SE1	SE635300-205251	SE1	SE	21	21	249407.1691	342718584.1
Ljungs kile	5	2	2006-12-31		2	581260-115280	SE5	SE581260-115280	SE5	SE	2	2	20882.38713	6299168.397
Kramforsfjärden sek namn	2	2	2006-12-31		18	625500-175153	SE2	SE625500-175153	SE2	SE	18	18	88528.62	36750071.45
Bollstafjärden	2	2	2006-12-31		18	625900-174360	SE2	SE625900-174360	SE2	SE	18	18	12405.94934	4659964.433
Mjältöfjärden sek namn	2	2	2006-12-31		18	630383-183500	SE2	SE630383-183500	SE2	SE	18	18	47434.5659	34233690.14
Norrfjärden	2	2	2006-12-31		18	630203-182615	SE2	SE630203-182615	SE2	SE	18	18	21258.36322	11574176.13
Ullångersfjärden	2	2	2006-12-31		18	630000-183500	SE2	SE630000-183500	SE2	SE	18	18	93788.49493	82114883.09
Ramöfjärden sek namn	2	2	2006-12-31		18	624870-175500	SE2	SE624870-175500	SE2	SE	18	18	45775.71895	20175742.03
Norafjärden	2	2	2006-12-31		18	625000-180075	SE2	SE625000-180075	SE2	SE	18	18	53446.75908	20237245.87
Hudiksvallsfjärden	2	2	2006-12-31		16	614165-171500	SE2	SE614165-171500	SE2	SE	16	16	43350.0335	25310937.2
Klingerfjärden	2	2	2006-12-31		18	622860-173000	SE2	SE622860-173000	SE2	SE	18	18	34119.1529	29400417.17
Agöfjärden sek namn	2	2	2006-12-31		16	613500-172500	SE2	SE613500-172500	SE2	SE	16	16	194674.3261	151886765.3
Nordmalingsfjärden	2	2	2006-12-31		18	633043-193300	SE2	SE633043-193300	SE2	SE	18	18	54979.33265	43134838.62
Hovenäset området	5	2	2006-12-31		1	582210-111880	SE5	SE582210-111880	SE5	SE	1n	1	50888.9614	9709162.386
Midsommarfjärden	2	2	2006-12-31		16	611766-171305	SE2	SE611766-171305	SE2	SE	16	16	30328.22652	7124361.997
Sandarnesfjärden sek namn	2	2	2006-12-31		16	611600-171500	SE2	SE611600-171500	SE2	SE	16	16	45077.60192	21547726.64
Vallviksfjärden sek namn	2	2	2006-12-31		16	611000-171500	SE2	SE611000-171500	SE2	SE	16	16	108182.9758	100007052.8
Kusöfjärden sek namn	2	2	2006-12-31		16	610500-171586	SE2	SE610500-171586	SE2	SE	16	16	57413.6916	33490681.36
Avan	2	2	2009-09-01	604200-171765	16	604116-171037	SE2	SE604116-171037	SE2	SE	16	16	3884.98693	501805.2795
Sikvik	2	2	2009-09-01	604200-171765	16	604028-171724	SE2	SE604250-173000	SE2	SE	16	16	6536.583748	891737.359
Hesselöfjärden	4	2	2006-12-31		12	581240-165220	SE4	SE581240-165220	SE4	SE	12s	12	111450.794	38866843.6
Inre Bråviken	4	2	2009-09-22	583900-162500	13	583926-161744	SE4	SE583926-161744	SE4	SE	13	13	43315.10298	38056823.73
Askims fjord	5	2	2006-12-31		1	573500-115150	SE5	SE573500-115150	SE5	SE	1s	1	100234.8222	49209565.24
Skörvallaviken	5	2	2006-12-31		1	573100-115580	SE5	SE573100-115580	SE5	SE	1s	1	7938.737681	1026314.689
Öckerösund	5	2	2006-12-31		1	572308-115550	SE5	SE572308-115550	SE5	SE	1s	1	18604.26016	3822016.104
N m Hallands kustvatten	5	2	2006-12-31		4	570000-120701	SE5	SE570000-120701	SE5	SE	4	4	162690.1606	302381891.8
S m Hallands kustvatten	5	2	2006-12-31		5	564500-122601	SE5	SE564500-122601	SE5	SE	5	5	104204.6095	159377435.8
Sandviksfjärden	4	2	2006-12-31		8	560895-145500	SE4	SE560895-145500	SE4	SE	8	8	12858.9753	4409286.9
Torhamnsfjärden	4	2	2006-12-31		8	560500-154880	SE4	SE560500-154880	SE4	SE	8	8	23693.71655	11021581.08
Valjeviken	4	2	2006-12-31		7	560200-143175	SE4	SE560200-143175	SE4	SE	7	7	24704.20313	8732422.763
Nätrafjärden	2	2	2006-12-31		18	630685-184305	SE2	SE630685-184305	SE2	SE	18	18	93848.48824	86276706.71
Katajafjärden	1	2	2008-10-08	644135-230950	23	654130-249500	SE1TO	SE654130-249500	SE1TO	SE	23	23	14582.07235	6836790.286
Seskaröfjärden	1	2	2006-12-31		22	654575-234250	SE1	SE654575-234250	SE1	SE	22	22	109862.6919	72717186
S n Kvarkens kustvatten	1	2	2006-12-31		21	633550-200700	SE1	SE633550-200700	SE1	SE	21	21	312508.8485	1224986006
Ytterbodafjärden	1	2	2006-12-31		20	634640-203710	SE1	SE634640-203710	SE1	SE	20	20	83856.94327	27809180.13
Mjölefjärden	1	2	2006-12-31		20	633710-200500	SE1	SE633710-200500	SE1	SE	20	20	43608.785	56921653.84
Byskefjärden	1	2	2006-12-31		22	645500-212000	SE1	SE645500-212000	SE1	SE	22	22	44984.33871	32033702.97
Yttre Bråviken	4	2	2006-12-31		12	583730-164501	SE4	SE583730-164501	SE4	SE	12n	12	78662.52733	46631192.61
Edsviken	3	1	2007-03-26	592200-180625	24	659024-162417	SE3	SE659024-162417	SE3	SE	24	24	19993.07073	3548804.775
Idbyfjärden	2	2	2006-12-31		18	631646-185280	SE2	SE631646-185280	SE2	SE	18	18	12938.90788	4829373.403
Yttre Nordmalingfjärden	2	2	2006-12-31		18	632690-193500	SE2	SE632690-193500	SE2	SE	18	18	68096.04114	44738746.67
Marsviken	4	2	2006-12-31		12	583970-170280	SE4	SE583970-170280	SE4	SE	12n	12	48393.8717	12003257.33
Örefjärden	1	2	2006-12-31		20	633000-195000	SE1	SE633000-195000	SE1	SE	20	20	100694.6789	70751639.87
Husumbukten	2	2	2006-12-31		18	631840-191130	SE2	SE631840-191130	SE2	SE	18	18	44885.27079	21453179.69
Siknäsfjärden	1	2	2006-12-31		22	654990-224540	SE1	SE654990-224540	SE1	SE	22	22	39649.37984	28103726.05
Bastafjärden	1	2	2006-12-31		22	652465-214080	SE1	SE652465-214080	SE1	SE	22	22	10152.98607	2044918.617
Storfjärden	1	2	2006-12-31		22	652066-214400	SE1	SE652066-214400	SE1	SE	22	22	57813.35975	45094409.12
Nördfjärden	1	2	2006-12-31		22	652000-213210	SE1	SE652000-213210	SE1	SE	22	22	15690.43563	3827835.906
Rävahavet	1	2	2006-12-31		22	652150-213000	SE1	SE652150-213000	SE1	SE	22	22	23451.003	5166543.952
Yttrefjärden	1	2	2006-12-31		22	651500-213108	SE1	SE651500-213108	SE1	SE	22	22	18268.16138	7930489.035
Inrefjärden	1	2	2011-11-21	651800-212800	22	651818-212790	SE1	SE651818-212790	SE1	SE	22	22	19164.91494	6638210.609
Skälöfjärden	4	2	2006-12-31		12	573500-163900	SE4	SE573500-163900	SE4	SE	12s	12	39850.49889	7984683.128
Misterhults skärgårds inre kustvatten	4	2	2006-12-31		12	573500-164660	SE4	SE573500-164660	SE4	SE	12s	12	233822.6234	109732579.9
Västra fjärden	4	2	2006-12-31		8	560775-153055	SE4	SE560775-153055	SE4	SE	8	8	51330.1987	26756453.13
Östra Blekinge skärgårds kustvatten	4	2	2007-03-27	560450-152001	9	621157-148904	SE4	SE621157-148904	SE4	SE	9	9	90592.81796	228812339.7
N m Öresunds kustvatten	4	2	2009-09-17	555650-124131	6	555545-124332	SE4	SE555545-124332	SE4	SE	6	6	68635.59024	128289513
Helsingborgsområdet	4	2	2009-09-17	555650-124131	6	562290-124131	SE4	SE562290-124131	SE4	SE	6	6	29258.37478	19335067.15
Kalvfjärden	3	2	2006-12-31		12	591280-182070	SE3	SE591280-182070	SE3	SE	12n	12	19892.6397	3515119.197
Inre Ålöfjärden	3	2	2009-09-23	584065-171200	12	584045-170882	SE3	SE584045-170882	SE3	SE	12n	12	6528.202845	1555424.548
Ålöfjärden	3	2	2009-09-23	584065-171200	12	584067-171125	SE3	SE584067-171125	SE3	SE	12n	12	13591.90412	5152039.436
Storöfjärden	1	2	2006-12-31		22	654416-230000	SE1	SE654416-230000	SE1	SE	22	22	68069.2564	53732730.65
Rånöfjärden	1	2	2006-12-31		22	654570-225230	SE1	SE654570-225230	SE1	SE	22	22	85997.0178	62848618.42
Yttre Fjärden	2	2	2009-09-01	604200-171765	16	673283-158060	SE2	SE604200-171765	SE2	SE	16	16	33389.53083	17821270.62
