OBJECTID	HID	TYP_NFS06	NAMN	VISS_EU_CD	VISS_MS_CD	WB	District	COMP_AUTH	Country	Version	URL_VISS	DATUM	ObjVer	BASIN_NR	VattenID	UUID	PopNamn	CWVattenID	CWUUID	Shape_Leng	Shape_Area	TYPOMR_KOD	TYPOMRNAMN
187	585400-173870	12	Gälöfjärden	SE585400-173870	SE585400-173870	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585400-173870	2006/12/31	2010	8	WA29952948	2841FBBD-F7E4-4A10-A32D-CD02BAE09745	"Gälöfjärden_(58.92,17.63)"	WA43490660	3F6598CE-D9B4-4A7C-9AD9-F6F89F5A67F2	59704.27536350000	23437120.67749999800	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
188	584750-111185	1	Stridsfjorden	SE584750-111185	SE584750-111185	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584750-111185	2006/12/31	2010	17	WA46398649	98D14FEE-F62B-457D-B558-CAECF7632355	"Stridsfjorden_(58.79,11.2)"	WA35036560	1DA138CD-6843-406D-920A-30468C373FA0	20279.39549880000	4899745.67246999960	1n	"1n - Västkustens inre kustvatten, norra"
189	584725-111050	1	Lindöfjorden sek namn	SE584725-111050	SE584725-111050	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584725-111050	2006/12/31	2010	17	WA31225443	3AC0C719-FBE1-444C-ABCB-C206511E5D1C	"Lindöfjorden sek namn_(58.76,11.18)"	WA23373919	530FFA76-376F-4603-88A6-021338FA6FE0	36347.92135400000	5811918.58497000020	1n	"1n - Västkustens inre kustvatten, norra"
190	585170-175445	12	Nynäsviken	SE585170-175445	SE585170-175445	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585170-175445	2006/12/31	2010	8	WA96902347	16B155F2-6024-4F6D-BCB4-FEEE6E7E6F0B	"Nynäsviken_(58.85,17.9)"	WA16824177	B6990AE0-65C7-48C9-A4E0-B12894AF9793	35898.09950940000	6563167.96100999970	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
191	585145-175690	12	Gårdsfjärden	SE585145-175690	SE585145-175690	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585145-175690	2006/12/31	2010	8	WA57353824	F1C5219D-D3E4-4F05-B5F1-69D54C34BF7D	"Gårdsfjärden_(58.87,17.94)"	WA14015905	16837EAD-2E28-4795-A8A3-2C07CA191E5A	21821.56024240000	7697048.44665999990	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
192	585200-173430	12	Trosafjärden	SE585200-173430	SE585200-173430	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-173430	2006/12/31	2010	8	WA64615944	71EEDC69-7C43-459D-822A-84D690FB3186	"Trosafjärden_(58.88,17.56)"	WA35006227	C054AA80-3D67-4C64-92F8-9DD374A9D089	18238.54948420000	3559179.76244999980	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
193	585200-173600	12	Fågelöfjärden	SE585200-173600	SE585200-173600	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-173600	2006/12/31	2010	8	WA95014198	50EF9341-81B4-4661-8327-FC963A58147D	"Fågelöfjärden_(58.87,17.6)"	WA69437699	26EAB5BE-BEB7-4944-8835-D2A5FE5B4DE7	34955.29508620000	10533964.96840000000	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
194	585075-173130	12	Hållsviken	SE585075-173130	SE585075-173130	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585075-173130	2006/12/31	2010	8	WA93822710	BDE17E58-6C58-4D18-8A3A-8857C3A466A1	"Hållsviken_(58.84,17.52)"	WA41617962	8839F993-134A-477A-A70F-7531851D1415	31773.94619470000	8452317.82228999960	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
195	585040-173535	12	Gillsviken	SE585040-173535	SE585040-173535	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585040-173535	2006/12/31	2010	8	WA69365242	BDD309A8-95B9-4F06-B99A-8F11E455B519	"Gillsviken_(58.84,17.59)"	WA39256381	00DB5C27-011E-4E9C-8534-CBFF14FC207C	12511.80239290000	2846455.63495999990	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
196	584820-172920	12	Gunnarbofjärden	SE584820-172920	SE584820-172920	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584820-172920	2006/12/31	2010	8	WA45515765	70F3579A-B139-473C-89B2-B39DE089ABF6	"Gunnarbofjärden_(58.81,17.48)"	WA33342011	DE2EC7BE-458A-4E75-81F0-191B092A031F	12775.82465950000	2918139.18691000020	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
