	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	TYPE_AREA_SUFFIX	TYPE_AREA_NAME
127	Grönsviksfjärden	2	2	2006-12-31		18	624800-181030	SE2	SE624800-181030	SE2	SE	18	18	10625.60827	4009623.9439999997		Norra Bottenhavet, Höga kusten, inre kustvatten
128	Storfjärden	2	2	2006-12-31		18	624615-180500	SE2	SE624615-180500	SE2	SE	18	18	52877.01105	28560000.38		Norra Bottenhavet, Höga kusten, inre kustvatten
129	Älandsfjärden	2	2	2006-12-31		18	623980-175600	SE2	SE623980-175600	SE2	SE	18	18	24768.69456	10305775.73		Norra Bottenhavet, Höga kusten, inre kustvatten
130	Norra sundet	2	2	2006-12-31		18	623810-180350	SE2	SE623810-180350	SE2	SE	18	18	20019.3373	13574767.95		Norra Bottenhavet, Höga kusten, inre kustvatten
131	Södra Sundet	2	2	2006-12-31		18	623340-175556	SE2	SE623340-175556	SE2	SE	18	18	35668.89676	9686569.172		Norra Bottenhavet, Höga kusten, inre kustvatten
132	Åvikebukten	2	2	2006-12-31		18	622795-174565	SE2	SE622795-174565	SE2	SE	18	18	49164.825410000005	42594349.4		Norra Bottenhavet, Höga kusten, inre kustvatten
133	Draget	2	2	2006-12-31		18	622126-172430	SE2	SE622126-172430	SE2	SE	18	18	23242.40541	15622005.25		Norra Bottenhavet, Höga kusten, inre kustvatten
134	Sundsvallsfjärden	2	2	2006-12-31		18	622339-172190	SE2	SE622339-172190	SE2	SE	18	18	11752.15693	3124246.3680000002		Norra Bottenhavet, Höga kusten, inre kustvatten
135	Björköfjärden	2	2	2006-12-31		19	621265-173125	SE2	SE621265-173125	SE2	SE	19	19	22246.17791	9303109.197999999		Norra Bottenhavet, Höga kusten, yttre kustvatten
136	Rånefjärden	1	2	2006-12-31		22	654820-222660	SE1	SE654820-222660	SE1	SE	22	22	82674.01039	51376223.75		Bottenviken, inre kustvatten
137	Bergöfjärden	1	2	2006-12-31		22	654291-224000	SE1	SE654291-224000	SE1	SE	22	22	109887.6755	96201182.97		Bottenviken, inre kustvatten
138	S. Sigfridsöfjärden	1	2	2006-12-31		22	654000-222430	SE1	SE654000-222430	SE1	SE	22	22	27887.97162	19603991.65		Bottenviken, inre kustvatten
139	Hindersöfjärden	1	2	2006-12-31		22	653303-222900	SE1	SE653303-222900	SE1	SE	22	22	73531.76306	73398508.43		Bottenviken, inre kustvatten
140	Sandöfjärden	1	2	2006-12-31		22	653176-222000	SE1	SE653176-222000	SE1	SE	22	22	26786.113230000003	13048810.74		Bottenviken, inre kustvatten
141	Germandöfjärden	1	2	2006-12-31		22	652686-221500	SE1	SE652686-221500	SE1	SE	22	22	44601.09244	42989862.12		Bottenviken, inre kustvatten
142	Holfjärden	1	2	2006-12-31		22	652475-215750	SE1	SE652475-215750	SE1	SE	22	22	20499.78025	9744453.311		Bottenviken, inre kustvatten
143	Mannöfjärden	1	2	2006-12-31		22	652400-220070	SE1	SE652400-220070	SE1	SE	22	22	15262.88398	6256155.491		Bottenviken, inre kustvatten
144	Harrbäcksfjärden	1	2	2006-12-31		22	652500-213500	SE1	SE652500-213500	SE1	SE	22	22	11441.1812	3448285.922		Bottenviken, inre kustvatten
145	Brändöfjärden	1	2	2006-12-31		22	652385-214180	SE1	SE652385-214180	SE1	SE	22	22	15524.1553	3998320.308		Bottenviken, inre kustvatten
146	Bärtnäsfjärden	1	2	2006-12-31		22	652250-213000	SE1	SE652250-213000	SE1	SE	22	22	25447.79558	6692198.9229999995		Bottenviken, inre kustvatten
147	Davids stenar	1	2	2006-12-31		22	652075-213500	SE1	SE652075-213500	SE1	SE	22	22	17107.26412	6789397.799		Bottenviken, inre kustvatten
148	Mjoöfjärden sek namn	1	2	2006-12-31		22	652000-214000	SE1	SE652000-214000	SE1	SE	22	22	20489.51081	8296885.462		Bottenviken, inre kustvatten
149	Baggholmsdraget	1	2	2006-12-31		22	651800-214740	SE1	SE651800-214740	SE1	SE	22	22	25227.87557	18515506.2		Bottenviken, inre kustvatten
150	Haraholmsfjärden	1	2	2006-12-31		22	651940-213930	SE1	SE651940-213930	SE1	SE	22	22	21541.82939	9069281.829		Bottenviken, inre kustvatten
151	Vargödraget	1	2	2006-12-31		22	651475-214300	SE1	SE651475-214300	SE1	SE	22	22	45364.0854	40337472.51		Bottenviken, inre kustvatten
