	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	TYPE_AREA_SUFFIX	TYPE_AREA_NAME
244	Fifångsdjupet	3	2	2006-12-31		12	585200-174000	SE3	SE585200-174000	SE3	SE	12n	12	44038.67404	26057325.73	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
245	Nynäsviken	3	2	2006-12-31		12	585170-175445	SE3	SE585170-175445	SE3	SE	12n	12	35898.09951	6563167.961	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
246	Dragfjärden sek namn	3	2	2006-12-31		12	584960-175280	SE3	SE584960-175280	SE3	SE	12n	12	69759.6321	10500406.27	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
247	Gårdsfjärden	3	2	2006-12-31		12	585145-175690	SE3	SE585145-175690	SE3	SE	12n	12	21821.56024	7697048.447000001	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
248	Trosafjärden	3	2	2006-12-31		12	585200-173430	SE3	SE585200-173430	SE3	SE	12n	12	18238.54948	3559179.762	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
249	Fågelöfjärden	3	2	2006-12-31		12	585200-173600	SE3	SE585200-173600	SE3	SE	12n	12	34955.29509	10533964.97	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
250	Hållsviken	3	2	2006-12-31		12	585075-173130	SE3	SE585075-173130	SE3	SE	12n	12	31773.94619	8452317.822	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
251	Gillsviken	3	2	2006-12-31		12	585040-173535	SE3	SE585040-173535	SE3	SE	12n	12	12511.80239	2846455.635	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
252	Krabbfjärden	3	2	2006-12-31		14	584340-174401	SE3	SE584340-174401	SE3	SE	14	14	163121.173	356025866.3		Östergötlands yttre kustvatten
253	Gupafjärden	3	2	2006-12-31		12	584600-173200	SE3	SE584600-173200	SE3	SE	12n	12	55163.89	24473014.3	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
254	Gunnarbofjärden	3	2	2006-12-31		12	584820-172920	SE3	SE584820-172920	SE3	SE	12n	12	12775.82466	2918139.187	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
255	Tvären	3	2	2006-12-31		12	584520-172495	SE3	SE584520-172495	SE3	SE	12n	12	39305.96615	18028025.94	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
256	Sjösafjärden	3	2	2006-12-31		12	584430-170665	SE3	SE584430-170665	SE3	SE	12n	12	15989.92197	5654778.7129999995	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
257	Dragviksfjärden	3	2	2006-12-31		12	584400-172270	SE3	SE584400-172270	SE3	SE	12n	12	23415.82234	6386168.656	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
258	Ringsöfjärden sek namn	3	2	2006-12-31		12	584420-172515	SE3	SE584420-172515	SE3	SE	12n	12	22355.461880000003	4890395.601	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
259	Kråkfjärden	3	2	2006-12-31		12	584390-172085	SE3	SE584390-172085	SE3	SE	12n	12	20667.6556	7115154.478999999	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
260	Risöområdet sek namn	3	2	2006-12-31		12	584227-171600	SE3	SE584227-171600	SE3	SE	12n	12	98196.91294	25393178.95	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
261	Mellanfjärden	3	2	2006-12-31		12	584435-170450	SE3	SE584435-170450	SE3	SE	12n	12	6993.945259	2843189.887	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
262	Stadsfjärden	3	2	2006-12-31		12	584434-170260	SE3	SE584434-170260	SE3	SE	12n	12	5958.5324200000005	1562709.771	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
263	Örsbaken	3	2	2006-12-31		12	584085-171600	SE3	SE584085-171600	SE3	SE	12n	12	46587.556169999996	32199178.2	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
264	Aspafjärden	3	2	2006-12-31		12	584215-170800	SE3	SE584215-170800	SE3	SE	12n	12	22529.89198	7157867.055	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
265	Mellersta Bråviken	4	2	2006-12-31		12	583825-163500	SE4	SE583825-163500	SE4	SE	12n	12	25882.352759999998	16191384.0	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
266	Sillöfjärden	4	2	2006-12-31		12	583875-170270	SE4	SE583875-170270	SE4	SE	12n	12	5209.207603	1063919.937	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
267	Svensksundsviken	4	2	2006-12-31		13	583730-162500	SE4	SE583730-162500	SE4	SE	13	13	28452.026280000002	10485328.76		Östergötlands inre skärgård
268	Ållonöfjärden	4	2	2006-12-31		12	583755-163200	SE4	SE583755-163200	SE4	SE	12n	12	12224.21645	3654405.847	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
269	Bosöfjärden sek namn	4	2	2006-12-31		12	583370-165290	SE4	SE583370-165290	SE4	SE	12n	12	104871.3222	41984113.2	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
270	Arkösund	4	2	2006-12-31		12	583000-165600	SE4	SE583000-165600	SE4	SE	12n	12	28030.99537	5641910.868	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
271	Arköfjärden sek namn	4	2	2006-12-31		12	582820-165920	SE4	SE582820-165920	SE4	SE	12s	12	27199.05451	13255906.16	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
272	Inre Slätbaken	4	2	2006-12-31		13	582705-163350	SE4	SE582705-163350	SE4	SE	13	13	39029.00664	15424279.59		Östergötlands inre skärgård
273	Lönshuvudfjärden	4	2	2006-12-31		12	582630-165210	SE4	SE582630-165210	SE4	SE	12s	12	33980.49886	15901502.23	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
274	Merumsfjärden	4	2	2006-12-31		12	582600-163810	SE4	SE582600-163810	SE4	SE	12s	12	21369.87734	6495792.805	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
275	Trännöfjärden	4	2	2006-12-31		12	582460-164500	SE4	SE582460-164500	SE4	SE	12s	12	92017.40942000001	30748623.86	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
276	Gropviken	4	2	2006-12-31		13	582000-164145	SE4	SE582000-164145	SE4	SE	13	13	19661.34897	4349404.711		Östergötlands inre skärgård
277	Lindensfjärden	4	2	2006-12-31		12	581975-164500	SE4	SE581975-164500	SE4	SE	12s	12	32722.3793	8138998.988	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
278	Korsfjärden	4	2	2006-12-31		12	581960-164890	SE4	SE581960-164890	SE4	SE	12s	12	29813.59433	5228525.1	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
279	Sandfjärden	4	2	2006-12-31		12	581815-164320	SE4	SE581815-164320	SE4	SE	12s	12	14545.504969999998	4622423.648	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
280	Orren	4	2	2006-12-31		12	581520-165000	SE4	SE581520-165000	SE4	SE	12s	12	124648.5306	30216282.87	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
281	Flisdjupet	4	2	2006-12-31		12	580890-165500	SE4	SE580890-165500	SE4	SE	12s	12	67446.20706	35439323.6	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
282	Yttre Valdemarsviken	4	2	2006-12-31		12	580585-164720	SE4	SE580585-164720	SE4	SE	12s	12	77005.71372	21578604.21	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
283	Kvädöfjärden	4	2	2006-12-31		12	580205-165162	SE4	SE580205-165162	SE4	SE	12s	12	93106.92724	64698930.58	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
284	Licknevarpefjärden	4	2	2006-12-31		12	580375-164500	SE4	SE580375-164500	SE4	SE	12s	12	17274.58763	3467910.5960000004	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
285	Edsviken	4	2	2006-12-31		13	580250-164000	SE4	SE580250-164000	SE4	SE	13	13	5774.401042	630637.1734		Östergötlands inre skärgård
286	Kaggebofjärden	4	2	2006-12-31		12	580000-164060	SE4	SE580000-164060	SE4	SE	12s	12	19041.61118	5626835.376	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
287	Lindödjupet	4	2	2006-12-31		12	580000-164500	SE4	SE580000-164500	SE4	SE	12s	12	89741.9902	15931628.55	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
288	Gisslöfjärden sek namn	4	2	2006-12-31		12	575880-164000	SE4	SE575880-164000	SE4	SE	12s	12	15467.8929	2337827.328	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
289	Kåröområdet	4	2	2006-12-31		12	575335-165000	SE4	SE575335-165000	SE4	SE	12s	12	119773.901	52024496.67	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
290	Bergholmsfjärden	4	2	2006-12-31		12	575430-163640	SE4	SE575430-163640	SE4	SE	12s	12	15833.927740000001	4973777.375	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
291	Gudingen	4	2	2006-12-31		12	575000-163620	SE4	SE575000-163620	SE4	SE	12s	12	140256.7088	65025632.0	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
292	Vivassen	4	2	2006-12-31		12	575370-164220	SE4	SE575370-164220	SE4	SE	12s	12	5388.936656	1216470.114	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
293	Rågödjupet	4	2	2006-12-31		12	575095-164630	SE4	SE575095-164630	SE4	SE	12s	12	41899.62899	15475350.43	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
294	Smågöfjärden	4	2	2006-12-31		12	575060-164170	SE4	SE575060-164170	SE4	SE	12s	12	71842.2288	16026187.26	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
295	Yttre Gamlebyviken	4	2	2006-12-31		12	574820-163550	SE4	SE574820-163550	SE4	SE	12s	12	41063.11083	17067544.29	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
296	Bråvikens kustvatten	4	2	2006-12-31		14	583121-171401	SE4	SE583121-171401	SE4	SE	14	14	171232.3757	390878258.2		Östergötlands yttre kustvatten
297	Asken	4	2	2006-12-31		12	574500-164500	SE4	SE574500-164500	SE4	SE	12s	12	54039.28946	26340864.76	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
298	Asperöfjorden sek namn	5	2	2006-12-31		1	573860-115000	SE5	SE573860-115000	SE5	SE	1s	1	29840.062280000002	9142009.436	s	Västkustens inre kustvatten, södra
299	Kräklingeområdet	5	2	2006-12-31		1	573322-115478	SE5	SE573322-115478	SE5	SE	1s	1	12703.162470000001	2471040.005	s	Västkustens inre kustvatten, södra
300	Onsala kustvatten	5	2	2006-12-31		4	572540-114801	SE5	SE572540-114801	SE5	SE	4	4	129285.3965	263503427.5		Västkustens yttre kustvatten, Kattegatt
301	Maleviken	5	2	2006-12-31		1	573173-115587	SE5	SE573173-115587	SE5	SE	1s	1	3158.7159030000003	414192.05100000004	s	Västkustens inre kustvatten, södra
302	Stallviken	5	2	2006-12-31		1	572980-115576	SE5	SE572980-115576	SE5	SE	1s	1	13484.085280000001	3654936.185	s	Västkustens inre kustvatten, södra
303	Låddholmsviken	5	2	2006-12-31		1	572838-115515	SE5	SE572838-115515	SE5	SE	1s	1	6430.688873	916893.9546	s	Västkustens inre kustvatten, södra
304	Inre Kungsbackafjorden	5	2	2006-12-31		1	572472-120302	SE5	SE572472-120302	SE5	SE	1s	1	27834.39494	18486535.53	s	Västkustens inre kustvatten, södra
305	Yttre Kungsbackafjorden	5	2	2006-12-31		1	572135-120141	SE5	SE572135-120141	SE5	SE	1s	1	55943.5618	30238087.02	s	Västkustens inre kustvatten, södra
306	Kyrkefjälls sund	5	2	2006-12-31		1	572227-115662	SE5	SE572227-115662	SE5	SE	1s	1	5322.318164	790449.918	s	Västkustens inre kustvatten, södra
307	Varren	5	2	2006-12-31		1	572072-115880	SE5	SE572072-115880	SE5	SE	1s	1	18627.73628	4863325.46	s	Västkustens inre kustvatten, södra
308	Vändelsöarkipelagen	5	2	2006-12-31		1	571720-120640	SE5	SE571720-120640	SE5	SE	1s	1	49283.29668	32727530.74	s	Västkustens inre kustvatten, södra
309	Klosterfjorden	5	2	2006-12-31		1	571240-121000	SE5	SE571240-121000	SE5	SE	1s	1	19262.91922	8789632.95	s	Västkustens inre kustvatten, södra
310	Balgöarkipelagen	5	2	2006-12-31		1	570900-121060	SE5	SE570900-121060	SE5	SE	1s	1	49499.97615	26418718.15	s	Västkustens inre kustvatten, södra
311	Laholmsbuktens kustvatten	5	2	2006-12-31		5	563000-123351	SE5	SE563000-123351	SE5	SE	5	5	69810.73742	177768617.1		Södra Halland och norra Öresunds kustvatten
312	Skäldervikens kustvatten	5	2	2006-12-31		5	562450-122751	SE5	SE562450-122751	SE5	SE	5	5	53234.700410000005	92950425.06		Södra Halland och norra Öresunds kustvatten
313	N Öresunds kustvatten	4	2	2006-12-31		5	561030-122821	SE4	SE561030-122821	SE4	SE	5	5	74259.10176	169219278.6		Södra Halland och norra Öresunds kustvatten
314	Lundåkrabukten	4	2	2006-12-31		6	554810-125240	SE4	SE554810-125240	SE4	SE	6	6	32379.91243	49922258.55		Öresunds kustvatten
315	S Öresunds kustvatten	4	2	2012-09-04		7	552500-124461	SE4	SE552500-124461	SE4	SE	7	7	64112.422510000004	59413198.97		Skånes kustvatten
316	Höllviken	4	2	2006-12-31		7	552800-125430	SE4	SE552800-125430	SE4	SE	7	7	42843.33556	55805552.13		Skånes kustvatten
317	Risö-Säröarkipelagen	5	2	2006-12-31		1	573044-115355	SE5	SE573044-115355	SE5	SE	1s	1	28075.9525	9961946.037999999	s	Västkustens inre kustvatten, södra
318	Gotlands nv kustvatten	4	2	2006-12-31		11	574520-182151	SE4	SE574520-182151	SE4	SE	11	11	130488.7455	113306070.2		Gotlands västra och norra kustvatten
319	Skeppsbrofjärden sek namn	4	2	2006-12-31		12	574560-163950	SE4	SE574560-163950	SE4	SE	12s	12	7567.884022	1715528.345	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
320	Lusärnafjärden	4	2	2006-12-31		12	574440-164160	SE4	SE574440-164160	SE4	SE	12s	12	23612.13933	6792122.768999999	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
321	Verkebäcksviken	4	2	2006-12-31		12	574160-163610	SE4	SE574160-163610	SE4	SE	12s	12	30734.25822	5246157.693	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
322	Idöfjärden	4	2	2006-12-31		12	574205-164500	SE4	SE574205-164500	SE4	SE	12s	12	17789.216930000002	5008841.762	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
323	Björkskärsdjupet	4	2	2006-12-31		12	574100-164700	SE4	SE574100-164700	SE4	SE	12s	12	24249.81043	11401684.38	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
324	Uvöfjärden	4	2	2006-12-31		12	574083-164115	SE4	SE574083-164115	SE4	SE	12s	12	26122.19532	4846600.875	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
325	Lökholmsdjupet	4	2	2006-12-31		12	573972-164250	SE4	SE573972-164250	SE4	SE	12s	12	32979.52377	7278535.054	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
326	Vistingsdjupet	4	2	2006-12-31		12	573865-164160	SE4	SE573865-164160	SE4	SE	12s	12	66001.06472000001	24288123.36	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
327	Västrumsfjärden	4	2	2006-12-31		12	573940-163560	SE4	SE573940-163560	SE4	SE	12s	12	9287.692912999999	1101881.305	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
328	Grönvållsfjärden	4	2	2006-12-31		12	573885-163740	SE4	SE573885-163740	SE4	SE	12s	12	14301.21215	2193071.091	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
329	Gåsfjärden	4	2	2006-12-31		12	573500-163500	SE4	SE573500-163500	SE4	SE	12s	12	85956.76503	21618893.37	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
330	N n Kalmarsunds utsjövatten	4	2	2006-12-31		9	570900-164501	SE4	SE570900-164501	SE4	SE	9	9	163867.7377	885417420.2		Blekinge skärgård och Kalmarsund, yttre kustvatten
331	V Gotlands m kustvatten	4	2	2006-12-31		11	572000-180001	SE4	SE572000-180001	SE4	SE	11	11	88973.46371	162190238.0		Gotlands västra och norra kustvatten
332	Ärnöområdet sek namn	4	2	2006-12-31		12	572810-164500	SE4	SE572810-164500	SE4	SE	12s	12	82674.02142	21784838.36	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
333	Ö Gotlands s kustvatten	4	2	2006-12-31		10	571000-184001	SE4	SE571000-184001	SE4	SE	10	10	211150.2433	370003976.2		Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön
334	Simpevarpsområdet	4	2	2006-12-31		8	572500-164500	SE4	SE572500-164500	SE4	SE	8	8	66808.66588	81500647.28		Blekinge skärgård och Kalmarsund, inre kustvatten
335	Granholmsfjärden	4	2	2006-12-31		12	572650-164000	SE4	SE572650-164000	SE4	SE	12s	12	16770.77245	2275744.0209999997	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
336	Borholmsfjärden	4	2	2006-12-31		12	572565-164000	SE4	SE572565-164000	SE4	SE	12s	12	8647.346287999999	1118481.476	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
337	Figeholmsområdets kustvatten	4	2	2006-12-31		8	572000-163835	SE4	SE572000-163835	SE4	SE	8	8	96667.7863	65854734.09		Blekinge skärgård och Kalmarsund, inre kustvatten
338	Fågelöfjärden	4	2	2006-12-31		8	572205-163500	SE4	SE572205-163500	SE4	SE	8	8	19155.74537	5717164.571		Blekinge skärgård och Kalmarsund, inre kustvatten
339	V Gotlands s kustvatten	4	2	2006-12-31		10	570450-180651	SE4	SE570450-180651	SE4	SE	10	10	148030.2981	208514848.7		Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön
340	Emområdet sek namn	4	2	2006-12-31		8	570500-163750	SE4	SE570500-163750	SE4	SE	8	8	50611.72456	29246022.51		Blekinge skärgård och Kalmarsund, inre kustvatten
341	Burgsviken	4	2	2006-12-31		10	570270-181160	SE4	SE570270-181160	SE4	SE	10	10	34476.12251	32204248.35		Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön
342	Ödänglaområdet sek namn	4	2	2006-12-31		8	570340-163710	SE4	SE570340-163710	SE4	SE	8	8	38518.7398	17515326.71		Blekinge skärgård och Kalmarsund, inre kustvatten
343	M n Kalmarsunds utsjövatten	4	2	2006-12-31		9	565400-163600	SE4	SE565400-163600	SE4	SE	9	9	103443.7756	327840259.5		Blekinge skärgård och Kalmarsund, yttre kustvatten
344	Mönsteråsområdet sek namn	4	2	2006-12-31		8	570080-163430	SE4	SE570080-163430	SE4	SE	8	8	80424.74848	28956373.09		Blekinge skärgård och Kalmarsund, inre kustvatten
345	Pataholmsviken	4	2	2006-12-31		8	565460-163000	SE4	SE565460-163000	SE4	SE	8	8	33135.5019	19583816.56		Blekinge skärgård och Kalmarsund, inre kustvatten
346	Bockskärs skärgård	4	2	2006-12-31		8	565000-162825	SE4	SE565000-162825	SE4	SE	8	8	95076.90535	47438211.19		Blekinge skärgård och Kalmarsund, inre kustvatten
347	S n Kalmarsund	4	2	2006-12-31		8	564250-162500	SE4	SE564250-162500	SE4	SE	8	8	80173.31721000001	81452747.31		Blekinge skärgård och Kalmarsund, inre kustvatten
348	Ö s Kalmarsunds kustvatten	4	2	2006-12-31		9	562000-162271	SE4	SE562000-162271	SE4	SE	9	9	143795.9976	165334599.0		Blekinge skärgård och Kalmarsund, yttre kustvatten
349	N v s Kalmarsunds kustvatten	4	2	2006-12-31		9	563100-161500	SE4	SE563100-161500	SE4	SE	9	9	115395.4013	118454564.2		Blekinge skärgård och Kalmarsund, yttre kustvatten
350	Västra sjön	4	2	2006-12-31		8	563825-161810	SE4	SE563825-161810	SE4	SE	8	8	29024.93493	7664874.72		Blekinge skärgård och Kalmarsund, inre kustvatten
351	Hossmoviken	4	2	2006-12-31		8	563770-161670	SE4	SE563770-161670	SE4	SE	8	8	17002.713219999998	5772849.467999999		Blekinge skärgård och Kalmarsund, inre kustvatten
352	M v s Kalmarsunds kustvatten	4	2	2006-12-31		9	562050-160820	SE4	SE562050-160820	SE4	SE	9	9	91711.96134	101797860.6		Blekinge skärgård och Kalmarsund, yttre kustvatten
353	Danmarksfjärden	4	2	2006-12-31		8	561000-153320	SE4	SE561000-153320	SE4	SE	8	8	55387.91146	14968854.81		Blekinge skärgård och Kalmarsund, inre kustvatten
354	Tjäröfjärden	4	2	2006-12-31		8	561005-150250	SE4	SE561005-150250	SE4	SE	8	8	27041.428910000002	3961804.26		Blekinge skärgård och Kalmarsund, inre kustvatten
355	Järnavikafjärden sek namn	4	2	2006-12-31		8	561000-150390	SE4	SE561000-150390	SE4	SE	8	8	21572.49039	3878186.867		Blekinge skärgård och Kalmarsund, inre kustvatten
356	Lyckebyfjärden	4	2	2006-12-31		8	561080-153835	SE4	SE561080-153835	SE4	SE	8	8	11390.32628	2228774.512		Blekinge skärgård och Kalmarsund, inre kustvatten
357	Östra fjärden	4	2	2006-12-31		8	560810-153980	SE4	SE560810-153980	SE4	SE	8	8	77426.93828	34143500.8		Blekinge skärgård och Kalmarsund, inre kustvatten
358	Kålfjärden	4	2	2006-12-31		8	561000-152500	SE4	SE561000-152500	SE4	SE	8	8	35239.42351	8250526.369		Blekinge skärgård och Kalmarsund, inre kustvatten
359	Yttre redden	4	2	2006-12-31		8	560780-153500	SE4	SE560780-153500	SE4	SE	8	8	45747.51206	25966770.43		Blekinge skärgård och Kalmarsund, inre kustvatten
360	Boköfjärden	4	2	2006-12-31		8	560895-145975	SE4	SE560895-145975	SE4	SE	8	8	25549.75859	5962353.602999999		Blekinge skärgård och Kalmarsund, inre kustvatten
361	Matviksfjärden	4	2	2006-12-31		8	560950-145810	SE4	SE560950-145810	SE4	SE	8	8	10630.09294	2066771.1630000002		Blekinge skärgård och Kalmarsund, inre kustvatten
362	Inre Pukaviksbukten	4	2	2006-12-31		8	560825-144215	SE4	SE560825-144215	SE4	SE	8	8	23419.47793	9948683.468		Blekinge skärgård och Kalmarsund, inre kustvatten
363	Hallarumsviken	4	2	2006-12-31		8	560795-154730	SE4	SE560795-154730	SE4	SE	8	8	41064.37727	13062872.43		Blekinge skärgård och Kalmarsund, inre kustvatten
364	Karlshamnsfjärden	4	2	2006-12-31		8	560900-145280	SE4	SE560900-145280	SE4	SE	8	8	15266.267730000001	4231535.96		Blekinge skärgård och Kalmarsund, inre kustvatten
365	Mellersta Pukaviksbukten	4	2	2006-12-31		8	560740-144375	SE4	SE560740-144375	SE4	SE	8	8	26910.90945	15987907.76		Blekinge skärgård och Kalmarsund, inre kustvatten
366	Arpöfjärden sek namn	4	2	2006-12-31		8	560750-152500	SE4	SE560750-152500	SE4	SE	8	8	29251.72463	13164193.26		Blekinge skärgård och Kalmarsund, inre kustvatten
367	Hästholmsfjärden	4	2	2006-12-31		8	560740-152650	SE4	SE560740-152650	SE4	SE	8	8	28278.978919999998	7480084.051		Blekinge skärgård och Kalmarsund, inre kustvatten
368	Sölvesborgsviken	4	2	2006-12-31		7	560205-143545	SE4	SE560205-143545	SE4	SE	7	7	12692.99981	3180268.3819999998		Skånes kustvatten
369	Tostebergabukten	4	2	2006-12-31		7	555950-142740	SE4	SE555950-142740	SE4	SE	7	7	32743.993889999998	17510253.74		Skånes kustvatten
370	Landöbukten sek namn	4	2	2006-12-31		7	555685-142290	SE4	SE555685-142290	SE4	SE	7	7	35486.184310000004	23334856.91		Skånes kustvatten
371	Sandhammaren-Simrishamn	4	2	2006-12-31		7	552670-142281	SE4	SE552670-142281	SE4	SE	7	7	51952.44282	54089953.42		Skånes kustvatten
372	Östre fjorden	4	2	2006-12-31		8	560850-150580	SE4	SE560850-150580	SE4	SE	8	8	16932.8602	4270412.708000001		Blekinge skärgård och Kalmarsund, inre kustvatten
373	Vierydfjorden	4	2	2006-12-31		8	560930-150810	SE4	SE560930-150810	SE4	SE	8	8	14074.1709	2135303.547		Blekinge skärgård och Kalmarsund, inre kustvatten
374	Spjälköområdet	4	2	2006-12-31		8	560900-151260	SE4	SE560900-151260	SE4	SE	8	8	34745.91146	9465454.93		Blekinge skärgård och Kalmarsund, inre kustvatten
375	Kasfjärden sek namn	3	2	2006-12-31		16	601440-184000	SE3	SE601440-184000	SE3	SE	16	16	51542.31725	16148811.33		Södra Bottenhavet, inre kustvatten
376	Singöfjärden	3	2	2006-12-31		16	601000-184030	SE3	SE601000-184030	SE3	SE	16	16	86945.20686	37098578.6		Södra Bottenhavet, inre kustvatten
377	Edeboviken	3	2	2006-12-31		16	600740-183460	SE3	SE600740-183460	SE3	SE	16	16	33456.31849	6740089.749		Södra Bottenhavet, inre kustvatten
378	Ortalaviken	3	2	2006-12-31		16	600565-184600	SE3	SE600565-184600	SE3	SE	16	16	34769.99735	5174123.443		Södra Bottenhavet, inre kustvatten
379	Stockholms skärgårds n n	3	2	2006-12-31		15	595000-191501	SE3	SE595000-191501	SE3	SE	15	15	76199.81503	109850259.6		Stockholms skärgård, yttre kustvatten
380	N Lidöfjärden sek namn	3	2	2006-12-31		12	594800-190655	SE3	SE594800-190655	SE3	SE	12n	12	74317.47371	22463839.14	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
381	Vätösundet	3	2	2006-12-31		12	595000-185600	SE3	SE595000-185600	SE3	SE	12n	12	21368.458590000002	2462005.0130000003	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
382	Norrtäljeviken	3	2	2006-12-31		12	594670-185500	SE3	SE594670-185500	SE3	SE	12n	12	82324.26584	16389077.08	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
383	Tjocköfjärden	3	2	2006-12-31		12	594590-190600	SE3	SE594590-190600	SE3	SE	12n	12	35326.12731	9897401.614	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
384	Långfjärden	3	2	2006-12-31		12	594260-185580	SE3	SE594260-185580	SE3	SE	12n	12	18794.36514	2784193.5689999997	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
385	Ålandsfjärden sek namn	3	2	2006-12-31		12	594100-185690	SE3	SE594100-185690	SE3	SE	12n	12	110252.6435	40205789.26	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
386	Bergshamraviken	3	2	2006-12-31		12	593750-183962	SE3	SE593750-183962	SE3	SE	12n	12	10768.62387	1802059.42	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
387	Norrfjärden sek namn	3	2	2006-12-31		12	593300-183600	SE3	SE593300-183600	SE3	SE	12n	12	51983.9523	14475836.59	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
388	Fårö n kustvatten	4	2	2006-12-31		11	580150-191251	SE4	SE580150-191251	SE4	SE	11	11	72142.45397	75134063.23		Gotlands västra och norra kustvatten
389	Fårö sö kustvatten	4	2	2006-12-31		10	575300-191801	SE4	SE575300-191801	SE4	SE	10	10	66661.78496	114391246.5		Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön
390	Gotlands n kustvatten	4	2	2006-12-31		11	575675-185101	SE4	SE575675-185101	SE4	SE	11	11	49825.308919999996	85451873.78		Gotlands västra och norra kustvatten
391	Kappelshamnsviken	4	2	2006-12-31		11	575480-184830	SE4	SE575480-184830	SE4	SE	11	11	34658.442039999994	34532907.01		Gotlands västra och norra kustvatten
