Datatyp	Kontrollstatus	Kontrollerad av	År	Provtagningsplattform (kod)	Besöks-ID	Expeditions-ID	Stationsnamn	Rapporterat stationsnamn	Projekt	Beställare	Provtagningsdatum	Provtagningstid (start)	Provtagningsdatum (slut)	Provtagningstid (slut)	Shark prov id	Provets latitud (DM)	Provets longitud (DM)	Provets latitud (DD)	Provets longitud (DD)	Positioneringssystem (kod)	Vattendjup vid stationen	Vindriktning (dekagrad)	Vindhastighet (m/s)	Lufttemperatur (C)	Luftens våttemperatur (C)	Lufttryck (hpa)	Väderlek (kod)	Molnighet (kod)	Vågobservation (kod)	Is (kod)	Siktdjup (m)	Q-flagga Siktdjup	Övrig Provtagning	Besökskommentar	Provtagningsdjup (m)	Tryck CTD (dbar)	Q-flagga Tryck CTD	Temperatur vattenhämtare (C)	Q-flagga Temperatur vattenhämtare	Temperatur CTD (C)	Q-flagga Temperatur CTD	Salinitet vattenhämtare (o/oo psu)	Q-flagga Salinitet vattenhämtare	Salinitet CTD (o/oo psu)	Q-flagga Salinitet CTD	Konduktivitet_25 vattenhämtare (mS/m)	Q-flagga Konduktivitet_25 vattenhämtare	Konduktivitet CTD (mS/m)	Q-flagga Konduktivitet CTD	Syrgashalt O2 vattenhämtare (ml/l)	Q-flagga Syrgashalt O2 vattenhämtare	Syrgashalt O2 CTD (ml/l)	Q-flagga Syrgashalt O2 CTD	Svavelväte H2S (umol/l)	Q-flagga Svavelväte H2S-S	pH	Q-flagga pH	pH Laboratorium	Q-flagga pH Laboratorium	Temperatur pH Laboratorium (C)	Q-flagga Temperatur pH Laboratorium	Alkalinitet (mmol/l)	Q-flagga Alkalinitet	Fosfatfosfor PO4-P (umol/l)	Q-flagga Fosfatfosfor PO4-P	Total fosfor Tot-P (umol/l)	Q-flagga Total fosfor Tot-P	Nitritkväve NO2-N (umol/l)	Q-flagga Nitritkväve NO2-N	Nitratkväve NO3-N (umol/l)	Q-flagga Nitratkväve NO3-N	Nitrit+Nitratkväve NO2+NO3-N (umol/l)	Q-flagga Nitrit+Nitratkväve NO2+NO3-N	Ammoniumkväve NH4-N (umol/l)	Q-flagga Ammoniumkväve NH4-N	Total kväve Tot-N (umol/l)	Q-flagga Total kväve Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flagga Humus	Klorofyll-a vattenhämtare (ug/l)	Q-flagga Klorofyll-a vattenhämtare	Löst Organiskt Kol DOC (umol/l)	Q-flagga Löst Organiskt Kol DOC	Partikulärt Organiskt Kol POC (umol/l)	Q-flagga Partikulärt Organiskt Kol POC	Total Organiskt Kol TOC (mg/l)	Q-flagga Total Organiskt Kol TOC	Partikulärt Organiskt Kväve PON (umol/l)	Q-flagga Partikulärt Organiskt Kväve PON	Strömriktning (dekagrader)	Q-flagga Strömriktning	Strömhastighet (m/s)	Q-flagga Strömhastighet	Lignin (mg/l)	Q-flagga Lignin	Gulämne (1/l)	Q-flagga Gulämne	Aluminium (ug/l)	Q-flagga Aluminium	Urea (umol/l)	Q-flagga Urea	CDOM (1/m)	Q-flagga CDOM	Provkommentar	Vattenkategori	Vattendistrikt	Vattenförekomst	Vattenförekomst-kod	Typområde	Havsbassäng	HELCOM/OSPAR-område	Ekonomisk zon	Län	Kommun	Stationid VISS	Rapporterande institut	Datavärd	Internetåtkomst	Leveranspaket	Filnamn
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0019		GALTERÖ	GALTERÖ	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	11:10			SHARK-HYD+2017+77SN+0019+5+5	58 06.55	11 48.60	58.10917	11.81000		39	5	8	1		1027	2	7	2	0	6.0				5			2.42		2.38				23.39						7.93														0.53		0.86		0.31		8.05		8.36		1.30		23.4		12.1				0.3																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Halsefjorden	580688-114860	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Stenungsund	SE644969-126444	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0019		GALTERÖ	GALTERÖ	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	11:10			SHARK-HYD+2017+77SN+0019+10+10	58 06.55	11 48.60	58.10917	11.81000		39	5	8	1		1027	2	7	2	0	6.0				10			3.78		3.87				26.99						6.83														0.75		1.13		0.24		8.85		9.09		1.31		23.5		14.3				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Halsefjorden	580688-114860	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Stenungsund	SE644969-126444	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0019		GALTERÖ	GALTERÖ	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	11:10			SHARK-HYD+2017+77SN+0019+15+15	58 06.55	11 48.60	58.10917	11.81000		39	5	8	1		1027	2	7	2	0	6.0				15			3.72		4.23				27.89						6.56														0.81		1.23		0.23		9.05		9.28		1.30		23.0		14.8				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Halsefjorden	580688-114860	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Stenungsund	SE644969-126444	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0019		GALTERÖ	GALTERÖ	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	11:10			SHARK-HYD+2017+77SN+0019+20+20	58 06.55	11 48.60	58.10917	11.81000		39	5	8	1		1027	2	7	2	0	6.0				20			4.34		4.34				28.21						6.45														0.85		1.22		0.23		8.92		9.15		1.36		22.8		14.8				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Halsefjorden	580688-114860	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Stenungsund	SE644969-126444	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0019		GALTERÖ	GALTERÖ	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	11:10			SHARK-HYD+2017+77SN+0019+30+30	58 06.55	11 48.60	58.10917	11.81000		39	5	8	1		1027	2	7	2	0	6.0				30			4.33		4.36				28.26						6.47														0.85		1.31		0.23		9.02		9.25		1.33		23.8		14.9				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Halsefjorden	580688-114860	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Stenungsund	SE644969-126444	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0019		GALTERÖ	GALTERÖ	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	11:10			SHARK-HYD+2017+77SN+0019+38+38	58 06.55	11 48.60	58.10917	11.81000		39	5	8	1		1027	2	7	2	0	6.0				38			4.36												6.44														0.85		1.42		0.23		8.92		9.15		1.34		26.5		14.7																													2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Halsefjorden	580688-114860	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Stenungsund	SE644969-126444	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+0+0	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	0			2.06		2.08				24.81						8.03														0.58		1.05		0.30		9.10		9.40		1.66		24.6		16.3				0.3				9.4																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+2+2	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	2			2.07		2.08				24.81						8.00														0.58		0.93		0.29		9.13		9.42		1.64		24.0		16.3				0.3																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+5+5	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	5			2.07		2.08				24.82						8.02														0.58		0.92		0.29		9.17		9.46		1.65		23.9		16.3				0.3				8.4																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+10+10	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	10			3.06		2.79				26.04						7.28														0.76		1.12		0.29		10.41		10.70		1.17		25.4		18.9				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+15+15	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	15			3.97		3.87				27.68						6.97														0.77		1.09		0.22		9.58		9.80		1.27		23.8		16.0				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+20+20	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	20			5.17		5.14				29.23						5.93														0.86		1.12		0.18		9.99		10.17		0.20	<	22.6		14.7				0.2	<			7.0	<																				2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+30+30	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	30			8.78		8.78				33.76						1.58														2.13		2.35		0.03		14.32		14.35		0.20	<	24.5		33.2				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0021		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	13:25			SHARK-HYD+2017+77SN+0021+39+39	58 18.75	11 46.40	58.31250	11.77333		40	5	10	1		1027	2	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	39			8.72												0.41														2.85		2.92		0.02		14.54		14.56		0.20	<	24.0		43.1																													2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0017		INSTÖ RÄNNA	INSTÖ RÄNNA	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	09:00			SHARK-HYD+2017+77SN+0017+0+0	57 54.07	11 40.00	57.90117	11.66667		14	5	8	1		1025	2	7	2	0	6.0				0			1.79		1.80				19.72						8.38														0.45		0.87		0.44		7.05		7.49		1.10		23.6		11.0				0.7																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Älgöfjorden	575500-113750	01n - Västkustens inre kustvatten	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Kungälv		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0017		INSTÖ RÄNNA	INSTÖ RÄNNA	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	09:00			SHARK-HYD+2017+77SN+0017+2+2	57 54.07	11 40.00	57.90117	11.66667		14	5	8	1		1025	2	7	2	0	6.0				2			2.12		1.94				20.10						8.33														0.46		0.83		0.43		6.86		7.29		1.08		21.9		10.9				0.6																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Älgöfjorden	575500-113750	01n - Västkustens inre kustvatten	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Kungälv		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0017		INSTÖ RÄNNA	INSTÖ RÄNNA	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	09:00			SHARK-HYD+2017+77SN+0017+5+5	57 54.07	11 40.00	57.90117	11.66667		14	5	8	1		1025	2	7	2	0	6.0				5			2.30		2.33				21.41						8.14														0.50		0.88		0.41		6.52		6.93		1.07		22.3		10.5				0.5																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Älgöfjorden	575500-113750	01n - Västkustens inre kustvatten	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Kungälv		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0017		INSTÖ RÄNNA	INSTÖ RÄNNA	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	09:00			SHARK-HYD+2017+77SN+0017+10+10	57 54.07	11 40.00	57.90117	11.66667		14	5	8	1		1025	2	7	2	0	6.0				10			3.52		3.55				27.08						7.33														0.59		0.91		0.22		6.12		6.34		1.07		19.7		9.7				0.4																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Älgöfjorden	575500-113750	01n - Västkustens inre kustvatten	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Kungälv		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0017		INSTÖ RÄNNA	INSTÖ RÄNNA	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	09:00			SHARK-HYD+2017+77SN+0017+13+13	57 54.07	11 40.00	57.90117	11.66667		14	5	8	1		1025	2	7	2	0	6.0				13			2.31												7.27														0.62		1.08		0.21		6.04		6.25		0.99		20.3		9.4																													2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Älgöfjorden	575500-113750	01n - Västkustens inre kustvatten	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Kungälv		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0022		KOLJÖFJORD	KOLJÖFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	14:35			SHARK-HYD+2017+77SN+0022+0+0	58 13.80	11 34.80	58.23000	11.58000		41	9	5	1		1027	7	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	0			2.02		2.02				25.53						7.90														0.73		1.14		0.37		11.45		11.82		1.44		27.8		22.5				0.3				9.3																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Koljö fjord	581260-113220	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Orust		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0022		KOLJÖFJORD	KOLJÖFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	14:35			SHARK-HYD+2017+77SN+0022+2+2	58 13.80	11 34.80	58.23000	11.58000		41	9	5	1		1027	7	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	2			2.02		2.02				25.54						7.89														0.73		1.11		0.37		11.42		11.79		1.43		26.4		22.5				0.3																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Koljö fjord	581260-113220	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Orust		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0022		KOLJÖFJORD	KOLJÖFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	14:35			SHARK-HYD+2017+77SN+0022+5+5	58 13.80	11 34.80	58.23000	11.58000		41	9	5	1		1027	7	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	5			2.07		2.25				25.79						7.86														0.74		1.11		0.37		11.56		11.93		1.40		26.7		22.1				0.3				8.0																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Koljö fjord	581260-113220	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Orust		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0022		KOLJÖFJORD	KOLJÖFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	14:35			SHARK-HYD+2017+77SN+0022+10+10	58 13.80	11 34.80	58.23000	11.58000		41	9	5	1		1027	7	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	10			3.05		3.00				26.90						7.31														0.88		1.21		0.39		11.39		11.78		0.30		24.4		21.0				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Koljö fjord	581260-113220	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Orust		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0022		KOLJÖFJORD	KOLJÖFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	14:35			SHARK-HYD+2017+77SN+0022+15+15	58 13.80	11 34.80	58.23000	11.58000		41	9	5	1		1027	7	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	15			4.13		4.16				27.51						6.44														0.91		1.27		0.05		12.05		12.10		0.20	<	25.5		21.6				0.2	<																								2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Koljö fjord	581260-113220	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Orust		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0022		KOLJÖFJORD	KOLJÖFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-02-06	14:35			SHARK-HYD+2017+77SN+0022+20+20	58 13.80	11 34.80	58.23000	11.58000		41	9	5	1		1027	7	7	2	0	5.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	20			5.25		5.15				28.09						5.40														0.85		1.25		0.03		12.40		12.43		0.20	<	27.3		22.7				0.2	<			7.0	<																				2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Koljö fjord	581260-113220	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Orust		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
