Datatyp	Kontrollstatus	Kontrollerad av	År	Stationsnamn	Rapporterat stationsnamn	Projekt	Beställare	Provtagningsplattform (kod)	Besöks-ID	Expeditions-ID	Shark prov id MD5	Provtagningsdatum (start)	Provtagningstid (start)	Provtagningsdatum (slut)	Provtagningstid (slut)	Provets latitud (DM)	Provets longitud (DM)	Provets latitud (DD)	Provets longitud (DD)	Positioneringssystem (kod)	Vattendjup vid stationen	Vindriktning (dekagrad)	Vindhastighet (m/s)	Lufttemperatur (C)	Lufttryck (hpa)	Väderlek (kod)	Molnighet (kod)	Vågobservation (kod)	Is (kod)	Secchidjup	Q-flagga för Secchidjup	Besökskommentar	Rapporterat id	Provets övre djup	Provets nedre djup	Provtagningslaboratorium	Provtagande laboratorium ackrediterat	Provtagartyp	Provtagningsvolym (l)	Provkommentar	Parameter	Mätvärde	Mätenhet	Q-flagga	Värde beräknat av datavärd	Analysmetod (kod)	Metoddokument	Metodreferens (kod)	Variabel-kommentar	Mätosäkerhet	Beräkningsosäkerhetsmetod (kod)	Rapporteringsgräns	Detektionsgräns	Mätområde	Analyslaboratorium	Analyslaboratorium ackrediterat	Analysdatum	Vattenkategori	Vattendistrikt	Vattenförekomst	Vattenförekomst-kod	Typområde	Havsbassäng	HELCOM/OSPAR-område	Ekonomisk zon	Län	Kommun	Stationid VISS	Vatten land stationstyp (kod)	Typ av övervakningsstation (kod)	Syfte med provtagningen (kod)	Typ av övervakningsprogram (kod)	Rapporterande institut	Datavärd	Internetåtkomst	Leveranspaket	Filnamn
Chlorophyll	Pågående-SMHI	Leverantör	2016	SSo10	SSo10	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	0f3037eab013e1b5cb7fbccf1a003b44	2016-08-23	14:50			62 52.20	18 19.52	62.87000	18.32533	GPS	6	0	0			1	3	0	0	2		Flyttad 0,05Nm, Siktdjup med vattenkikare	2	0	5	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	12.92	ug/l	S		FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4	utanför kalibreringskurvan,felaktig spädning	19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Sörleviken	628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Kramfors			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SBa29	SBa29	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	21b262b0517f9e831c4bc20a23ff0e5c	2016-08-22	17:25			63 14.07	18 43.96	63.23450	18.73267	GPS	12	14	1			1	6	1	0	4.5		Flyttade punkten lite för att få >10m, Växlande väder:när vi noterade vädret var det halvmulet men vi fick en regnskur på slutet av provtagningen, Siktdjup med vattenkikare	1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.54	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Bäckfjärden	631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SBa29	SBa29	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	5c6332a52dfe95efef94a38c76a72b62	2016-08-22	17:25			63 14.07	18 43.96	63.23450	18.73267	GPS	12	14	1			1	6	1	0	4.5		Flyttade punkten lite för att få >10m, Växlande väder:när vi noterade vädret var det halvmulet men vi fick en regnskur på slutet av provtagningen, Siktdjup med vattenkikare	2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.49	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Bäckfjärden	631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SBa30	SBa30	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	9dd30eecae8bbf89de50d6f1bf6a4b42	2016-08-22	18:25			63 13.98	18 40.87	63.23300	18.68117	GPS	40	18	2			1	6	1	0	4.5		Siktdjup med vattenkikare	1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.39	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Bäckfjärden	631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SBa30	SBa30	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	90b42ed47752b796724558768ca73c83	2016-08-22	18:25			63 13.98	18 40.87	63.23300	18.68117	GPS	40	18	2			1	6	1	0	4.5		Siktdjup med vattenkikare	2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.44	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Bäckfjärden	631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SId29	SId29	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	851b657c8ebbdd3e3a63b4263b799734	2016-08-22	13:30			63 16.90	18 51.65	63.28167	18.86083	GPS	12	30	3			2	8	1	0	3.5		Flyttade punkte för att få >10m, Siktdjup med vattenkikare,	1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	4.08	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Idbyfjärden	631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SId29	SId29	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	c9bc702716227f36ee4a017854bebee4	2016-08-22	13:30			63 16.90	18 51.65	63.28167	18.86083	GPS	12	30	3			2	8	1	0	3.5		Flyttade punkte för att få >10m, Siktdjup med vattenkikare,	2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	4.09	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Idbyfjärden	631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SId30	SId30	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	9a7ad69efd6d4b4eb15402d23422a15e	2016-08-22	14:50			63 15.90	18 52.41	63.26500	18.87350	GPS	11	31	2			1	6	1	0	4		Siktdjup med vattenkikare	1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.27	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Idbyfjärden	631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SId30	SId30	REG Västernorrlands län	Länsstyrelsen Västernorrland	77LY		21	bc7a87015711031efd5678265faeea39	2016-08-22	14:50			63 15.90	18 52.41	63.26500	18.87350	GPS	11	31	2			1	6	1	0	4		Siktdjup med vattenkikare	2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.28	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Idbyfjärden	631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Örnsköldsvik			RP	E	REG	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	RÅNEÅ-1	RA1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	174db05dd44ba41a958680dcf1129555	2016-08-17	15:30			65 48.50	22 22.57	65.80833	22.37617	GPS	7	6	4			2	8	1	0	1.5		Hämtade först upp journalist och fotograf från Norrbottens kuriren i  Kängöhamn	1	0	5	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	6.42	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Rånefjärden	654820-222660	22 - Norra Bottenviken. Inre kustvatten	Bottenviken	HELCOM	Svensk ekonomisk zon	Norrbottens län	Luleå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	RÅNEÅ-1	RA1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	f8eb6936d0dcfed079467da8faeb1b78	2016-08-17	15:30			65 48.50	22 22.57	65.80833	22.37617	GPS	7	6	4			2	8	1	0	1.5		Hämtade först upp journalist och fotograf från Norrbottens kuriren i  Kängöhamn	2	0	5	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	6.5	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Rånefjärden	654820-222660	22 - Norra Bottenviken. Inre kustvatten	Bottenviken	HELCOM	Svensk ekonomisk zon	Norrbottens län	Luleå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	RÅNEÅ-2	RA2	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	de396ea79f75a42e582734d52e2ac182	2016-08-17	17:10			65 44.05	22 26.80	65.73417	22.44667	GPS	12	4	5			2	8	2	0	3.5		Ankrade kl 14, hämtade journalist och fotograf och provtog RA1 innan vi var tillbaks på KBV181 och provtagning RA2, Lite svårt att ankra på plats, ser att vi latituden inte stämmer helt med det vi önskade men det var svårt att göra något med när vi först var ankrade,	1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	2.48	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Gussöfjärden	654470-222700	22 - Norra Bottenviken. Inre kustvatten	Bottenviken	HELCOM	Svensk ekonomisk zon	Norrbottens län	Luleå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	RÅNEÅ-2	RA2	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	87b0c31356eaf2beeb712e7e835f38e8	2016-08-17	17:10			65 44.05	22 26.80	65.73417	22.44667	GPS	12	4	5			2	8	2	0	3.5		Ankrade kl 14, hämtade journalist och fotograf och provtog RA1 innan vi var tillbaks på KBV181 och provtagning RA2, Lite svårt att ankra på plats, ser att vi latituden inte stämmer helt med det vi önskade men det var svårt att göra något med när vi först var ankrade,	2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	2.59	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Gussöfjärden	654470-222700	22 - Norra Bottenviken. Inre kustvatten	Bottenviken	HELCOM	Svensk ekonomisk zon	Norrbottens län	Luleå			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	B1	B1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77LA	57	57	acaf9dc1cb2665761cbbd22500445d57	2016-08-16	06:40:00			58 48.19	17 37.52	58.80317	17.62533	NOM	42	30	10			0	0	2	0				1	0	20	Stockholms universitet		HOS			Chlorophyll-a	0.96	ug/l				SS028146								Stockholms universitet			2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		C	B		NATL	Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_DEEP	SHARK_Chlorophyll_2016_DEEP_version_2017-05-24.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	B7	B7	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	b2f6ff07007ce58b3096af83382b975e	2016-08-16	15:10			63 31.50	19 48.47	63.52500	19.80783	GPS	23	2	9			1	3	2	0	4		Vatten till Kevin Wikström och Ana Soares togs också och hämtades av Kevin och Mikael, Vatten till Ana togs även från Öreälven av Marléne Johansson från land	1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	2.55	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Örefjärden	633000-195000	20 - Norra Kvarkens inre kustvatten	N Kvarken	HELCOM	Svensk ekonomisk zon	Västerbottens län	Umeå	SE686956-167351		RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	B7	B7	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	839e08a7e55827772a173a29fb161e7b	2016-08-16	15:10			63 31.50	19 48.47	63.52500	19.80783	GPS	23	2	9			1	3	2	0	4		Vatten till Kevin Wikström och Ana Soares togs också och hämtades av Kevin och Mikael, Vatten till Ana togs även från Öreälven av Marléne Johansson från land	2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	2.91	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenvikens vattendistrikt	Örefjärden	633000-195000	20 - Norra Kvarkens inre kustvatten	N Kvarken	HELCOM	Svensk ekonomisk zon	Västerbottens län	Umeå	SE686956-167351		RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	GAVIK-1	GA1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	00aaebe48b0a5d523d0ce3f34e1604b2	2016-08-16	08:05			62 51.81	18 15.78	62.86350	18.26300	GPS	83	31	7			1	1	3	0	4.5			1	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.75	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Gaviksfjärden	625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Kramfors			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	GAVIK-1	GA1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77K9		20	9bb7cd7d65b4eba7641c83a0994947b3	2016-08-16	08:05			62 51.81	18 15.78	62.86350	18.26300	GPS	83	31	7			1	1	3	0	4.5			2	0	10	Umeå Universitet	Y	HOS	0.1		Chlorophyll-a	3.98	ug/l			FLM	Helcom COMBINE Manual - Part C Annex C4	HC-C-C4		19	U2	0,1	0,1	0,1-10 µg/l	Umeå Universitet	Y		2 - Havsområde innanför 1 NM	Bottenhavets vattendistrikt	Gaviksfjärden	625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	Bottenhavet	HELCOM	Svensk ekonomisk zon	Västernorrlands län	Kramfors			RP	E	NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_UMSC	SHARK_Chlorophyll_2016_UMSC_version_2017-06-27.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	BY31 LANDSORTSDJ	BY31	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77FY	144	144	212cce818495afe22f8a58de2b823401	2016-08-15	07:54:00			58 35.00	18 14.00	58.58333	18.23333	NOM		32	8			1	3	3	0				1	0	20	Stockholms universitet		HOS			Chlorophyll-a	2.1	ug/l				SS028146								Stockholms universitet			3 - Havsområde  mellan 1 NM och 12 NM		Del av V Gotlandshavets utsjövatten	583649-180707		V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Stockholms län	Nynäshamn	SE649817-164122	MO	B		NATL	Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_DEEP	SHARK_Chlorophyll_2016_DEEP_version_2017-05-24.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	Gb16	Gb16	REG Motala ströms SRK	Motala Ströms vattenvårdsförbund				3d4355658edf430c3468295e3144850f	2016-08-11	10:45			58 35.78	16 50.49	58.59636	16.84154	GPS	28									4.4				0	10	Alcontrol AB	Y	HOS	2.5		Chlorophyll-a	1.7	ug/l			SPEC	Filtrering och fotometrisk bestämning av klorofyll (mhj av aceton)	SS 028146-1 mod	Mätosäkerheten är uträknad enligt EURACHEM-guiden, det absoluta värdet är 0,7	20-70	%	1			Alcontrol AB	Y	2016-08-10	2 - Havsområde innanför 1 NM	Södra Östersjöns vattendistrikt	Yttre Bråviken	583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Nyköping						Alcontrol AB	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_ALCON_MSVVF	SHARK_Chlorophyll_2016_ALCON_MSVVF_version_2017-08-31.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SÖ06 / SLÄTBAKEN	Sö06	REG Motala ströms SRK	Motala Ströms vattenvårdsförbund				a4e0d65936eafab64580cd89172545ea	2016-08-11	14:05			58 26.92	16 33.82	58.44863	16.56370	GPS	40									3.4				0	10	Alcontrol AB	Y	HOS	2.5		Chlorophyll-a	5.3	ug/l			SPEC	Filtrering och fotometrisk bestämning av klorofyll (mhj av aceton)	SS 028146-1 mod	Mätosäkerheten är uträknad enligt EURACHEM-guiden, det absoluta värdet är 1,1	20-70	%	1			Alcontrol AB	Y	2016-08-11	2 - Havsområde innanför 1 NM	Södra Östersjöns vattendistrikt	Inre Slätbaken	582705-163350	13 - Östergötlands inre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Östergötlands län	Söderköping	SE648087-154429					Alcontrol AB	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_ALCON_MSVVF	SHARK_Chlorophyll_2016_ALCON_MSVVF_version_2017-08-31.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SÖ14 / HAFJÄRDEN	Sö14	REG Motala ströms SRK	Motala Ströms vattenvårdsförbund				c99fb2b7be44d63fcaa187a41e3b7748	2016-08-09	10:20			58 21.92	16 57.01	58.36541	16.95011	GPS	22									7.4				0	10	Alcontrol AB	Y	HOS	2.5		Chlorophyll-a	2.3	ug/l			SPEC	Filtrering och fotometrisk bestämning av klorofyll (mhj av aceton)	SS 028146-1 mod	Mätosäkerheten är uträknad enligt EURACHEM-guiden, det absoluta värdet är 0,7	20-70	%	1			Alcontrol AB	Y	2016-08-11	2 - Havsområde innanför 1 NM	Södra Östersjöns vattendistrikt	Kärrfjärden	582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Östergötlands län	Söderköping	SE647192-156701					Alcontrol AB	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_ALCON_MSVVF	SHARK_Chlorophyll_2016_ALCON_MSVVF_version_2017-08-31.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	B1	B1	NAT Nationell miljöövervakning	Havs- och vattenmyndigheten	77LA	51	51	b71ddeba6a9adc6cd09005e859eba2d2	2016-08-03	06:39:00			58 48.19	17 37.52	58.80317	17.62533	NOM	41.7	27	9			0	0	2	0				1	0	20	Stockholms universitet		HOS			Chlorophyll-a	1.74	ug/l				SS028146								Stockholms universitet			2 - Havsområde innanför 1 NM	Norra Östersjöns vattendistrikt	Krabbfjärden	584340-174401	14 - Östergötlands yttre kustvatten	V Gotlandshavet	HELCOM	Svensk ekonomisk zon	Södermanlands län	Trosa		C	B		NATL	Stockholms universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_DEEP	SHARK_Chlorophyll_2016_DEEP_version_2017-05-24.zip
Chlorophyll	Pågående-SMHI	Leverantör	2016	SLÄGGÖ	SLÄGGÖ	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Naturvårdsverket, Sveriges meteorologiska och hydrologiska institut 	77SN	143		8714b4215cca3603c60f16c4aa48cc20	2016-08-02	07:40			58 15.50	11 26.00	58.25833	11.43333	GPS	77	27	12	16	1005	1	5	3	0	7		SLANG 0-10M. KLOROFYLL PÅ SLANG.	2016-SLAGGO-SLA_0-10-153	0	10	Sveriges meteorologiska och hydrologiska institut 	Y	HOS	0.137		Chlorophyll-a	1.1	ug/l			FLM	1. Grasshoff, K., K. Kremling & M. Ehrhardt, eds, (1999) Methods of Seawater Analysis. 3rd ed. Wiley-VCH.			12% 0.02-0.20 µM  4% 0.20-10 µM	ISO 11352-2012	0.2 µg/l	0.1 µg/l	0.2-100 µg/l	Sveriges meteorologiska och hydrologiska institut 	Y		2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345					Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2016_SMHI	SHARK_Chlorophyll_2016_SMHI_version_2017-11-07.zip
