EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE585145-175690	1985-01-01	0.00	4.000	8.005	0.500	0.618	3.008	0.103	18.403	0.289	6.8
SE585145-175690	1985-01-01	0.25	4.000	8.005	0.500	0.618	3.008	0.103	18.403	0.289	6.8
SE585145-175690	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.008	0.103	18.429	0.294	6.8
SE585145-175690	1985-01-01	1.25	4.000	8.004	0.500	0.620	3.008	0.102	18.429	0.294	6.8
SE585145-175690	1985-01-01	1.75	4.000	8.003	0.500	0.620	3.007	0.102	18.429	0.294	6.8
SE585145-175690	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.007	0.102	18.429	0.294	6.8
SE585145-175690	1985-01-01	2.75	4.000	8.003	0.500	0.620	3.007	0.102	18.429	0.294	6.8
SE585145-175690	1985-01-01	3.25	4.000	8.003	0.500	0.620	3.007	0.102	18.430	0.294	6.8
SE585145-175690	1985-01-01	3.75	4.000	8.002	0.500	0.620	3.007	0.102	18.430	0.294	6.8
SE585145-175690	1985-01-01	4.50	4.000	8.002	0.500	0.620	3.007	0.102	18.430	0.294	6.8
SE585145-175690	1985-01-01	5.50	4.000	8.001	0.500	0.620	3.007	0.101	18.431	0.295	6.8
SE585145-175690	1985-01-01	6.50	4.000	8.001	0.500	0.621	3.007	0.101	18.433	0.295	6.8
SE585145-175690	1985-01-01	7.50	4.000	7.999	0.500	0.621	3.007	0.101	18.435	0.295	6.8
SE585145-175690	1985-01-01	8.50	4.000	7.998	0.500	0.621	3.007	0.100	18.440	0.296	6.8
SE585145-175690	1985-01-01	9.50	4.000	7.997	0.500	0.621	3.009	0.100	18.441	0.296	6.8
SE585145-175690	1985-01-01	37.50	4.000	7.976	0.503	0.623	3.068	0.100	18.488	0.296	6.8
SE585145-175690	1985-01-01	38.00	4.000	7.976	0.503	0.623	3.068	0.100	18.488	0.296	6.8
SE585145-175690	1985-01-02	0.00	4.000	8.060	0.501	0.618	3.026	0.105	18.412	0.283	6.9
SE585145-175690	1985-01-02	0.25	4.000	8.060	0.501	0.618	3.026	0.105	18.412	0.283	6.9
SE585145-175690	1985-01-02	0.75	4.000	8.057	0.501	0.620	3.026	0.104	18.437	0.288	6.9
SE585145-175690	1985-01-02	1.25	4.000	8.056	0.501	0.620	3.026	0.104	18.436	0.288	6.9
SE585145-175690	1985-01-02	1.75	4.000	8.055	0.501	0.620	3.026	0.104	18.436	0.288	6.9
SE585145-175690	1985-01-02	2.25	4.000	8.054	0.501	0.620	3.025	0.104	18.436	0.288	6.9
SE585145-175690	1985-01-02	2.75	4.000	8.053	0.501	0.620	3.025	0.104	18.436	0.288	6.9
SE585145-175690	1985-01-02	3.25	4.000	8.052	0.501	0.620	3.025	0.104	18.436	0.288	6.9
SE585145-175690	1985-01-02	3.75	4.000	8.052	0.501	0.620	3.026	0.104	18.437	0.288	6.9
SE585145-175690	1985-01-02	4.50	4.000	8.051	0.501	0.620	3.025	0.104	18.437	0.288	6.9
SE585145-175690	1985-01-02	5.50	4.000	8.050	0.501	0.620	3.025	0.104	18.437	0.288	6.9
SE585145-175690	1985-01-02	6.50	4.000	8.049	0.501	0.620	3.025	0.104	18.437	0.288	6.9
SE585145-175690	1985-01-02	7.50	4.000	8.048	0.501	0.620	3.025	0.104	18.437	0.288	6.9
SE585145-175690	1985-01-02	8.50	4.000	8.047	0.501	0.620	3.026	0.104	18.438	0.288	6.9
SE585145-175690	1985-01-02	9.50	4.000	8.046	0.501	0.620	3.026	0.104	18.438	0.288	6.9
SE585145-175690	1985-01-02	37.50	4.000	7.934	0.509	0.629	3.192	0.100	18.608	0.285	6.9
SE585145-175690	1985-01-02	38.00	4.000	7.934	0.509	0.629	3.192	0.100	18.608	0.285	6.9
SE585145-175690	1985-01-03	0.00	4.023	8.302	0.500	0.616	3.067	0.107	18.409	0.284	6.9
SE585145-175690	1985-01-03	0.25	4.023	8.302	0.500	0.616	3.067	0.107	18.409	0.284	6.9
SE585145-175690	1985-01-03	0.75	4.023	8.296	0.500	0.618	3.067	0.107	18.433	0.289	6.9
SE585145-175690	1985-01-03	1.25	4.023	8.292	0.500	0.618	3.067	0.107	18.433	0.289	6.9
SE585145-175690	1985-01-03	1.75	4.024	8.290	0.500	0.618	3.067	0.107	18.432	0.289	6.9
SE585145-175690	1985-01-03	2.25	4.024	8.288	0.500	0.618	3.067	0.107	18.432	0.289	6.9
SE585145-175690	1985-01-03	2.75	4.024	8.286	0.500	0.618	3.067	0.107	18.432	0.290	6.9
SE585145-175690	1985-01-03	3.25	4.024	8.285	0.500	0.618	3.067	0.107	18.431	0.290	6.9
SE585145-175690	1985-01-03	3.75	4.024	8.283	0.500	0.618	3.067	0.107	18.431	0.290	6.9
SE585145-175690	1985-01-03	4.50	4.025	8.281	0.500	0.618	3.067	0.107	18.431	0.290	6.9
SE585145-175690	1985-01-03	5.50	4.025	8.279	0.500	0.618	3.067	0.107	18.430	0.290	6.9
SE585145-175690	1985-01-03	6.50	4.026	8.275	0.500	0.618	3.067	0.107	18.429	0.290	6.9
SE585145-175690	1985-01-03	7.50	4.027	8.272	0.500	0.618	3.067	0.107	18.428	0.291	6.9
SE585145-175690	1985-01-03	8.50	4.028	8.267	0.500	0.617	3.068	0.107	18.426	0.292	6.9
SE585145-175690	1985-01-03	9.50	4.032	8.260	0.499	0.617	3.070	0.107	18.423	0.293	6.9
SE585145-175690	1985-01-03	37.50	4.205	8.181	0.488	0.602	3.162	0.108	18.246	0.381	6.9
SE585145-175690	1985-01-03	38.00	4.205	8.181	0.488	0.602	3.162	0.108	18.246	0.381	6.9
SE585145-175690	1985-01-04	0.00	4.171	8.629	0.491	0.603	3.175	0.112	18.278	0.343	6.9
SE585145-175690	1985-01-04	0.25	4.171	8.629	0.491	0.603	3.175	0.112	18.278	0.343	6.9
SE585145-175690	1985-01-04	0.75	4.171	8.623	0.491	0.604	3.175	0.112	18.304	0.348	6.9
SE585145-175690	1985-01-04	1.25	4.172	8.620	0.491	0.604	3.175	0.112	18.304	0.348	6.9
SE585145-175690	1985-01-04	1.75	4.172	8.617	0.491	0.604	3.175	0.112	18.303	0.349	6.9
SE585145-175690	1985-01-04	2.25	4.172	8.616	0.491	0.604	3.175	0.112	18.303	0.349	6.9
SE585145-175690	1985-01-04	2.75	4.172	8.614	0.491	0.604	3.175	0.112	18.303	0.349	6.9
SE585145-175690	1985-01-04	3.25	4.173	8.613	0.491	0.604	3.175	0.112	18.302	0.349	6.9
SE585145-175690	1985-01-04	3.75	4.173	8.612	0.491	0.604	3.176	0.112	18.302	0.349	6.9
SE585145-175690	1985-01-04	4.50	4.173	8.610	0.491	0.604	3.175	0.112	18.302	0.349	6.9
SE585145-175690	1985-01-04	5.50	4.174	8.608	0.491	0.604	3.176	0.112	18.301	0.349	6.9
SE585145-175690	1985-01-04	6.50	4.174	8.606	0.491	0.604	3.176	0.112	18.301	0.350	6.9
SE585145-175690	1985-01-04	7.50	4.175	8.604	0.491	0.604	3.176	0.112	18.300	0.350	6.9
SE585145-175690	1985-01-04	8.50	4.176	8.601	0.491	0.604	3.177	0.112	18.299	0.350	6.9
