EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE602120-181610	1985-01-01	0.00	4.000	8.010	0.501	0.619	3.037	0.105	18.423	0.287	6.9
SE602120-181610	1985-01-01	0.25	4.000	8.010	0.501	0.619	3.037	0.105	18.423	0.287	6.9
SE602120-181610	1985-01-01	0.75	4.000	8.009	0.501	0.621	3.036	0.104	18.446	0.291	6.9
SE602120-181610	1985-01-01	1.25	4.000	8.009	0.501	0.621	3.035	0.104	18.445	0.291	6.9
SE602120-181610	1985-01-01	1.75	4.000	8.008	0.501	0.621	3.036	0.104	18.446	0.292	6.9
SE602120-181610	1985-01-01	2.25	4.000	8.007	0.502	0.621	3.037	0.104	18.448	0.292	6.9
SE602120-181610	1985-01-01	2.75	4.000	8.007	0.502	0.621	3.038	0.104	18.448	0.292	6.9
SE602120-181610	1985-01-01	3.25	4.000	8.006	0.502	0.621	3.038	0.104	18.449	0.292	6.9
SE602120-181610	1985-01-01	3.75	4.000	8.005	0.502	0.621	3.040	0.104	18.451	0.292	6.9
SE602120-181610	1985-01-01	4.50	4.000	8.006	0.502	0.621	3.037	0.104	18.448	0.292	6.9
SE602120-181610	1985-01-01	5.50	4.000	8.005	0.502	0.621	3.037	0.104	18.449	0.292	6.9
SE602120-181610	1985-01-01	6.50	4.000	8.004	0.502	0.621	3.037	0.103	18.449	0.292	6.9
SE602120-181610	1985-01-01	7.50	4.000	8.002	0.502	0.621	3.039	0.103	18.453	0.292	6.9
SE602120-181610	1985-01-01	8.50	4.000	7.998	0.502	0.621	3.045	0.103	18.461	0.293	6.9
SE602120-181610	1985-01-01	9.50	4.000	7.989	0.502	0.622	3.055	0.102	18.477	0.294	6.9
SE602120-181610	1985-01-01	10.50	4.000	7.976	0.503	0.623	3.073	0.100	18.491	0.296	6.9
SE602120-181610	1985-01-01	11.00	4.000	7.976	0.503	0.623	3.073	0.100	18.491	0.296	6.9
SE602120-181610	1985-01-02	0.00	4.000	8.207	0.505	0.620	3.139	0.117	18.489	0.271	7.0
SE602120-181610	1985-01-02	0.25	4.000	8.207	0.505	0.620	3.139	0.117	18.489	0.271	7.0
SE602120-181610	1985-01-02	0.75	4.000	8.204	0.505	0.621	3.138	0.117	18.503	0.276	7.0
SE602120-181610	1985-01-02	1.25	4.000	8.203	0.505	0.621	3.137	0.117	18.502	0.276	7.0
SE602120-181610	1985-01-02	1.75	4.000	8.202	0.505	0.621	3.138	0.117	18.502	0.276	7.0
SE602120-181610	1985-01-02	2.25	4.000	8.200	0.505	0.621	3.139	0.117	18.504	0.276	7.0
SE602120-181610	1985-01-02	2.75	4.000	8.199	0.505	0.621	3.140	0.117	18.504	0.276	7.0
SE602120-181610	1985-01-02	3.25	4.000	8.199	0.505	0.621	3.140	0.117	18.504	0.276	7.0
SE602120-181610	1985-01-02	3.75	4.000	8.197	0.505	0.621	3.142	0.117	18.506	0.276	7.0
SE602120-181610	1985-01-02	4.50	4.000	8.197	0.505	0.621	3.139	0.117	18.503	0.276	7.0
SE602120-181610	1985-01-02	5.50	4.000	8.196	0.505	0.621	3.139	0.117	18.503	0.276	7.0
SE602120-181610	1985-01-02	6.50	4.000	8.195	0.505	0.621	3.138	0.117	18.503	0.276	7.0
SE602120-181610	1985-01-02	7.50	4.000	8.193	0.505	0.621	3.140	0.117	18.505	0.276	7.0
SE602120-181610	1985-01-02	8.50	4.000	8.191	0.506	0.621	3.144	0.117	18.508	0.276	7.0
SE602120-181610	1985-01-02	9.50	4.000	8.189	0.506	0.621	3.146	0.117	18.510	0.276	7.0
SE602120-181610	1985-01-02	10.50	4.000	8.187	0.506	0.621	3.146	0.116	18.509	0.276	7.0
SE602120-181610	1985-01-02	11.00	4.000	8.187	0.506	0.621	3.146	0.116	18.509	0.276	7.0
SE602120-181610	1985-01-03	0.00	3.661	9.108	0.527	0.650	7.646	0.367	26.915	0.230	5.5
SE602120-181610	1985-01-03	0.25	3.661	9.108	0.527	0.650	7.646	0.367	26.915	0.230	5.5
SE602120-181610	1985-01-03	0.75	3.660	9.108	0.527	0.656	7.659	0.368	27.031	0.233	5.5
SE602120-181610	1985-01-03	1.25	3.661	9.107	0.527	0.655	7.639	0.367	26.994	0.233	5.5
SE602120-181610	1985-01-03	1.75	3.662	9.106	0.527	0.655	7.630	0.366	26.975	0.233	5.5
SE602120-181610	1985-01-03	2.25	3.662	9.106	0.527	0.655	7.625	0.366	26.963	0.233	5.5
SE602120-181610	1985-01-03	2.75	3.663	9.105	0.527	0.655	7.620	0.365	26.953	0.233	5.5
SE602120-181610	1985-01-03	3.25	3.663	9.105	0.527	0.655	7.616	0.365	26.945	0.233	5.5
SE602120-181610	1985-01-03	3.75	3.663	9.104	0.527	0.655	7.613	0.365	26.938	0.233	5.5
SE602120-181610	1985-01-03	4.50	3.664	9.104	0.527	0.655	7.602	0.365	26.920	0.233	5.5
SE602120-181610	1985-01-03	5.50	3.665	9.102	0.527	0.655	7.590	0.364	26.897	0.233	5.5
SE602120-181610	1985-01-03	6.50	3.666	9.100	0.527	0.655	7.572	0.363	26.863	0.234	5.5
SE602120-181610	1985-01-03	7.50	3.669	9.094	0.527	0.655	7.540	0.361	26.801	0.234	5.5
SE602120-181610	1985-01-03	8.50	3.679	9.071	0.526	0.654	7.413	0.353	26.562	0.235	5.5
SE602120-181610	1985-01-03	9.50	3.772	8.861	0.519	0.645	6.160	0.282	24.234	0.246	5.5
SE602120-181610	1985-01-03	10.50	4.001	8.349	0.502	0.622	3.071	0.105	18.491	0.273	5.5
SE602120-181610	1985-01-03	11.00	4.001	8.349	0.502	0.622	3.071	0.105	18.491	0.273	5.5
SE602120-181610	1985-01-04	0.00	3.102	9.250	0.554	0.663	14.394	0.752	39.452	0.171	4.4
SE602120-181610	1985-01-04	0.25	3.102	9.250	0.554	0.663	14.394	0.752	39.452	0.171	4.4
SE602120-181610	1985-01-04	0.75	3.082	9.256	0.555	0.674	14.627	0.761	40.063	0.173	4.4
SE602120-181610	1985-01-04	1.25	3.317	9.185	0.546	0.672	11.964	0.607	35.104	0.192	4.4
SE602120-181610	1985-01-04	1.75	3.466	9.135	0.540	0.669	10.215	0.506	31.827	0.205	4.4
SE602120-181610	1985-01-04	2.25	3.556	9.099	0.536	0.667	9.126	0.443	29.775	0.214	4.4
SE602120-181610	1985-01-04	2.75	3.610	9.072	0.534	0.666	8.449	0.404	28.493	0.219	4.4
SE602120-181610	1985-01-04	3.25	3.645	9.046	0.533	0.664	7.985	0.377	27.611	0.223	4.4
SE602120-181610	1985-01-04	3.75	3.676	9.012	0.531	0.662	7.573	0.353	26.833	0.226	4.4
SE602120-181610	1985-01-04	4.50	3.726	8.947	0.527	0.657	6.892	0.316	25.569	0.231	4.4
SE602120-181610	1985-01-04	5.50	3.827	8.800	0.519	0.648	5.561	0.241	23.114	0.241	4.4
SE602120-181610	1985-01-04	6.50	3.933	8.670	0.510	0.636	4.169	0.164	20.530	0.254	4.4
SE602120-181610	1985-01-04	7.50	3.989	8.633	0.505	0.627	3.416	0.123	19.097	0.262	4.4
SE602120-181610	1985-01-04	8.50	4.008	8.651	0.503	0.621	3.153	0.109	18.577	0.265	4.4
SE602120-181610	1985-01-04	9.50	4.008	8.602	0.505	0.623	3.180	0.108	18.587	0.265	4.4
SE602120-181610	1985-01-04	10.50	4.008	8.548	0.507	0.624	3.207	0.107	18.583	0.264	4.4
SE602120-181610	1985-01-04	11.00	4.008	8.548	0.507	0.624	3.207	0.107	18.583	0.264	4.4
SE602120-181610	1985-01-05	0.00	2.781	9.318	0.566	0.664	17.911	0.948	46.122	0.143	4.0
SE602120-181610	1985-01-05	0.25	2.781	9.318	0.566	0.664	17.911	0.948	46.122	0.143	4.0
SE602120-181610	1985-01-05	0.75	2.767	9.322	0.567	0.675	18.046	0.952	46.546	0.145	4.0
SE602120-181610	1985-01-05	1.25	3.035	9.235	0.558	0.674	15.196	0.785	41.158	0.164	4.0
SE602120-181610	1985-01-05	1.75	3.243	9.158	0.551	0.673	12.915	0.652	36.845	0.179	4.0
SE602120-181610	1985-01-05	2.25	3.403	9.088	0.546	0.672	11.087	0.547	33.402	0.192	4.0
SE602120-181610	1985-01-05	2.75	3.530	9.021	0.541	0.670	9.572	0.460	30.563	0.203	4.0
SE602120-181610	1985-01-05	3.25	3.636	8.953	0.535	0.667	8.253	0.385	28.109	0.213	4.0
SE602120-181610	1985-01-05	3.75	3.729	8.885	0.530	0.663	7.059	0.318	25.898	0.222	4.0
SE602120-181610	1985-01-05	4.50	3.838	8.808	0.522	0.655	5.607	0.238	23.219	0.234	4.0
SE602120-181610	1985-01-05	5.50	3.941	8.755	0.512	0.642	4.206	0.163	20.615	0.245	4.0
SE602120-181610	1985-01-05	6.50	3.995	8.769	0.506	0.629	3.454	0.125	19.168	0.253	4.0
SE602120-181610	1985-01-05	7.50	4.008	8.763	0.505	0.626	3.279	0.115	18.796	0.255	4.0
SE602120-181610	1985-01-05	8.50	4.008	8.698	0.508	0.628	3.315	0.113	18.789	0.254	4.0
SE602120-181610	1985-01-05	9.50	4.008	8.640	0.511	0.631	3.363	0.111	18.820	0.254	4.0
SE602120-181610	1985-01-05	10.50	4.008	8.592	0.514	0.631	3.400	0.110	18.818	0.253	4.0
SE602120-181610	1985-01-05	11.00	4.008	8.592	0.514	0.631	3.400	0.110	18.818	0.253	4.0
SE602120-181610	1985-01-06	0.00	2.576	9.342	0.571	0.662	19.878	1.058	49.987	0.123	3.8
SE602120-181610	1985-01-06	0.25	2.576	9.342	0.571	0.662	19.878	1.058	49.987	0.123	3.8
SE602120-181610	1985-01-06	0.75	2.568	9.344	0.571	0.671	19.941	1.058	50.260	0.125	3.8
SE602120-181610	1985-01-06	1.25	2.851	9.247	0.564	0.672	17.086	0.889	44.785	0.143	3.8
SE602120-181610	1985-01-06	1.75	3.090	9.155	0.557	0.672	14.583	0.742	40.004	0.159	3.8
SE602120-181610	1985-01-06	2.25	3.294	9.069	0.551	0.671	12.362	0.614	35.791	0.174	3.8
SE602120-181610	1985-01-06	2.75	3.469	8.990	0.544	0.669	10.351	0.499	32.011	0.188	3.8
SE602120-181610	1985-01-06	3.25	3.621	8.919	0.537	0.665	8.541	0.397	28.634	0.201	3.8
SE602120-181610	1985-01-06	3.75	3.747	8.863	0.529	0.660	6.962	0.310	25.705	0.213	3.8
SE602120-181610	1985-01-06	4.50	3.875	8.816	0.519	0.651	5.246	0.218	22.532	0.227	3.8
SE602120-181610	1985-01-06	5.50	3.966	8.801	0.510	0.639	3.948	0.150	20.105	0.238	3.8
SE602120-181610	1985-01-06	6.50	4.003	8.808	0.505	0.627	3.385	0.123	18.998	0.243	3.8
SE602120-181610	1985-01-06	7.50	4.003	8.752	0.509	0.631	3.451	0.120	19.040	0.243	3.8
SE602120-181610	1985-01-06	8.50	4.005	8.702	0.513	0.635	3.505	0.118	19.074	0.243	3.8
SE602120-181610	1985-01-06	9.50	4.006	8.656	0.517	0.639	3.550	0.116	19.096	0.242	3.8
SE602120-181610	1985-01-06	10.50	4.007	8.613	0.520	0.639	3.587	0.114	19.076	0.242	3.8
SE602120-181610	1985-01-06	11.00	4.007	8.613	0.520	0.639	3.587	0.114	19.076	0.242	3.8
SE602120-181610	1985-01-07	0.00	2.451	9.341	0.573	0.658	20.863	1.112	52.044	0.110	3.8
SE602120-181610	1985-01-07	0.25	2.451	9.341	0.573	0.658	20.863	1.112	52.044	0.110	3.8
SE602120-181610	1985-01-07	0.75	2.446	9.342	0.572	0.666	20.894	1.110	52.255	0.111	3.8
SE602120-181610	1985-01-07	1.25	2.737	9.242	0.566	0.668	18.083	0.943	46.798	0.129	3.8
SE602120-181610	1985-01-07	1.75	2.994	9.148	0.560	0.668	15.498	0.791	41.811	0.145	3.8
SE602120-181610	1985-01-07	2.25	3.221	9.059	0.553	0.668	13.099	0.653	37.225	0.160	3.8
SE602120-181610	1985-01-07	2.75	3.425	8.979	0.545	0.666	10.851	0.525	32.968	0.175	3.8
SE602120-181610	1985-01-07	3.25	3.601	8.911	0.537	0.662	8.801	0.411	29.121	0.189	3.8
SE602120-181610	1985-01-07	3.75	3.744	8.858	0.529	0.657	7.039	0.314	25.833	0.202	3.8
SE602120-181610	1985-01-07	4.50	3.882	8.816	0.519	0.648	5.209	0.216	22.426	0.217	3.8
SE602120-181610	1985-01-07	5.50	3.971	8.798	0.511	0.637	3.936	0.151	20.034	0.228	3.8
SE602120-181610	1985-01-07	6.50	4.003	8.800	0.507	0.627	3.429	0.126	19.032	0.233	3.8
