EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE582850-111760	1985-01-01	0.00	20.000	8.047	0.501	0.620	3.012	0.101	18.409	0.290	6.8
SE582850-111760	1985-01-01	0.25	20.000	8.047	0.501	0.620	3.012	0.101	18.409	0.290	6.8
SE582850-111760	1985-01-01	0.75	20.000	8.044	0.501	0.621	3.011	0.101	18.436	0.295	6.8
SE582850-111760	1985-01-01	1.25	20.000	8.043	0.501	0.621	3.010	0.101	18.434	0.295	6.8
SE582850-111760	1985-01-01	1.75	20.000	8.042	0.501	0.621	3.010	0.101	18.434	0.295	6.8
SE582850-111760	1985-01-01	2.25	20.000	8.041	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	2.75	20.000	8.040	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	3.25	20.000	8.040	0.501	0.621	3.010	0.101	18.434	0.295	6.8
SE582850-111760	1985-01-01	3.75	20.000	8.039	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	4.50	20.000	8.039	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	5.50	20.000	8.038	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	6.50	20.000	8.037	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	7.50	20.000	8.036	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	8.50	20.000	8.036	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	9.50	20.000	8.035	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE582850-111760	1985-01-01	26.50	20.000	7.978	0.506	0.626	3.064	0.100	18.483	0.296	6.8
SE582850-111760	1985-01-01	27.00	20.000	7.978	0.506	0.626	3.064	0.100	18.483	0.296	6.8
SE582850-111760	1985-01-02	0.00	20.000	8.101	0.503	0.621	3.039	0.102	18.420	0.287	6.9
SE582850-111760	1985-01-02	0.25	20.000	8.101	0.503	0.621	3.039	0.102	18.420	0.287	6.9
SE582850-111760	1985-01-02	0.75	20.000	8.100	0.503	0.622	3.038	0.102	18.443	0.292	6.9
SE582850-111760	1985-01-02	1.25	20.000	8.100	0.503	0.622	3.037	0.102	18.441	0.292	6.9
SE582850-111760	1985-01-02	1.75	20.000	8.099	0.503	0.622	3.037	0.102	18.441	0.292	6.9
SE582850-111760	1985-01-02	2.25	20.000	8.099	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	2.75	20.000	8.099	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	3.25	20.000	8.099	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	3.75	20.000	8.098	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	4.50	20.000	8.098	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	5.50	20.000	8.098	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	6.50	20.000	8.098	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	7.50	20.000	8.098	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	8.50	20.000	8.098	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	9.50	20.000	8.097	0.503	0.622	3.037	0.101	18.442	0.292	6.9
SE582850-111760	1985-01-02	26.50	20.000	8.092	0.504	0.623	3.050	0.101	18.452	0.293	6.9
SE582850-111760	1985-01-02	27.00	20.000	8.092	0.504	0.623	3.050	0.101	18.452	0.293	6.9
SE582850-111760	1985-01-03	0.00	21.281	8.055	0.536	0.635	4.201	0.186	16.908	0.470	7.9
SE582850-111760	1985-01-03	0.25	21.281	8.055	0.536	0.635	4.201	0.186	16.908	0.470	7.9
SE582850-111760	1985-01-03	0.75	21.289	8.053	0.536	0.637	4.208	0.187	16.919	0.479	7.9
SE582850-111760	1985-01-03	1.25	21.311	8.050	0.536	0.637	4.222	0.188	16.885	0.482	7.9
SE582850-111760	1985-01-03	1.75	21.350	8.044	0.537	0.637	4.253	0.191	16.825	0.490	7.9
SE582850-111760	1985-01-03	2.25	21.450	8.032	0.540	0.639	4.333	0.198	16.678	0.507	7.9
SE582850-111760	1985-01-03	2.75	21.662	8.010	0.546	0.642	4.511	0.213	16.366	0.546	7.9
SE582850-111760	1985-01-03	3.25	21.819	7.997	0.551	0.645	4.646	0.225	16.139	0.574	7.9
SE582850-111760	1985-01-03	3.75	22.464	7.937	0.566	0.652	5.123	0.264	15.317	0.666	7.9
