EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE574520-182151	1985-01-01	0.00	6.000	8.004	0.500	0.618	3.006	0.104	18.402	0.289	6.8
SE574520-182151	1985-01-01	0.25	6.000	8.004	0.500	0.618	3.006	0.104	18.402	0.289	6.8
SE574520-182151	1985-01-01	0.75	6.000	8.003	0.500	0.620	3.005	0.103	18.428	0.294	6.8
SE574520-182151	1985-01-01	1.25	6.000	8.003	0.500	0.620	3.005	0.103	18.428	0.294	6.8
SE574520-182151	1985-01-01	1.75	6.000	8.003	0.500	0.620	3.005	0.103	18.428	0.294	6.8
SE574520-182151	1985-01-01	2.25	6.000	8.003	0.500	0.620	3.005	0.103	18.428	0.294	6.8
SE574520-182151	1985-01-01	2.75	6.000	8.002	0.500	0.620	3.004	0.103	18.428	0.294	6.8
SE574520-182151	1985-01-01	3.25	6.000	8.002	0.500	0.620	3.004	0.102	18.428	0.294	6.8
SE574520-182151	1985-01-01	3.75	6.000	8.002	0.500	0.620	3.004	0.102	18.428	0.294	6.8
SE574520-182151	1985-01-01	4.50	6.000	8.002	0.500	0.620	3.004	0.102	18.429	0.295	6.8
SE574520-182151	1985-01-01	5.50	6.000	8.001	0.500	0.620	3.003	0.102	18.429	0.295	6.8
SE574520-182151	1985-01-01	6.50	6.000	8.001	0.500	0.621	3.003	0.101	18.430	0.295	6.8
SE574520-182151	1985-01-01	7.50	6.000	8.000	0.500	0.621	3.002	0.100	18.432	0.296	6.8
SE574520-182151	1985-01-01	8.50	6.000	8.000	0.500	0.621	3.002	0.100	18.434	0.296	6.8
SE574520-182151	1985-01-01	9.50	6.000	8.000	0.500	0.621	3.001	0.100	18.434	0.296	6.8
SE574520-182151	1985-01-01	106.75	6.000	7.994	0.502	0.622	3.019	0.100	18.450	0.297	6.8
SE574520-182151	1985-01-01	109.00	6.000	7.994	0.502	0.622	3.019	0.100	18.450	0.297	6.8
SE574520-182151	1985-01-02	0.00	6.000	8.043	0.500	0.618	3.007	0.103	18.402	0.284	6.8
SE574520-182151	1985-01-02	0.25	6.000	8.043	0.500	0.618	3.007	0.103	18.402	0.284	6.8
SE574520-182151	1985-01-02	0.75	6.000	8.040	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	1.25	6.000	8.038	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	1.75	6.000	8.037	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	2.25	6.000	8.036	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	2.75	6.000	8.035	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	3.25	6.000	8.034	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	3.75	6.000	8.034	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	4.50	6.000	8.033	0.500	0.620	3.007	0.103	18.429	0.289	6.8
SE574520-182151	1985-01-02	5.50	6.000	8.032	0.500	0.620	3.006	0.102	18.429	0.289	6.8
SE574520-182151	1985-01-02	6.50	6.000	8.031	0.500	0.620	3.006	0.102	18.429	0.289	6.8
SE574520-182151	1985-01-02	7.50	6.000	8.030	0.500	0.620	3.006	0.102	18.429	0.289	6.8
SE574520-182151	1985-01-02	8.50	6.000	8.029	0.500	0.620	3.006	0.102	18.429	0.289	6.8
SE574520-182151	1985-01-02	9.50	6.000	8.029	0.500	0.620	3.006	0.102	18.429	0.289	6.8
SE574520-182151	1985-01-02	106.75	6.000	7.975	0.507	0.626	3.074	0.100	18.490	0.285	6.8
SE574520-182151	1985-01-02	109.00	6.000	7.975	0.507	0.626	3.074	0.100	18.490	0.285	6.8
SE574520-182151	1985-01-03	0.00	6.144	8.230	0.501	0.609	3.202	0.137	18.128	0.469	6.9
SE574520-182151	1985-01-03	0.25	6.144	8.230	0.501	0.609	3.202	0.137	18.128	0.469	6.9
SE574520-182151	1985-01-03	0.75	6.144	8.225	0.501	0.610	3.202	0.136	18.156	0.477	6.9
SE574520-182151	1985-01-03	1.25	6.145	8.222	0.501	0.610	3.202	0.136	18.155	0.478	6.9
SE574520-182151	1985-01-03	1.75	6.145	8.220	0.501	0.610	3.203	0.136	18.154	0.478	6.9
SE574520-182151	1985-01-03	2.25	6.145	8.219	0.501	0.610	3.203	0.136	18.153	0.479	6.9
SE574520-182151	1985-01-03	2.75	6.146	8.218	0.501	0.610	3.203	0.136	18.153	0.479	6.9
SE574520-182151	1985-01-03	3.25	6.146	8.216	0.501	0.610	3.203	0.136	18.152	0.479	6.9
SE574520-182151	1985-01-03	3.75	6.146	8.215	0.501	0.610	3.203	0.136	18.152	0.479	6.9
SE574520-182151	1985-01-03	4.50	6.146	8.214	0.501	0.610	3.203	0.136	18.151	0.479	6.9
SE574520-182151	1985-01-03	5.50	6.146	8.213	0.501	0.610	3.203	0.136	18.151	0.480	6.9
SE574520-182151	1985-01-03	6.50	6.146	8.211	0.501	0.610	3.203	0.136	18.150	0.480	6.9
SE574520-182151	1985-01-03	7.50	6.147	8.210	0.501	0.610	3.203	0.136	18.150	0.480	6.9
SE574520-182151	1985-01-03	8.50	6.147	8.209	0.501	0.610	3.203	0.136	18.149	0.480	6.9
SE574520-182151	1985-01-03	9.50	6.147	8.208	0.501	0.610	3.203	0.136	18.149	0.481	6.9
SE574520-182151	1985-01-03	106.75	6.388	7.418	0.707	0.814	3.449	0.169	17.985	0.504	6.9
