EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE0101010201-C	1985-01-01	0.00	20.000	8.137	0.503	0.621	3.034	0.102	18.418	0.287	6.9
SE0101010201-C	1985-01-01	0.25	20.000	8.137	0.503	0.621	3.034	0.102	18.418	0.287	6.9
SE0101010201-C	1985-01-01	0.75	20.000	8.134	0.503	0.622	3.033	0.102	18.442	0.292	6.9
SE0101010201-C	1985-01-01	1.25	20.000	8.133	0.503	0.622	3.031	0.102	18.440	0.292	6.9
SE0101010201-C	1985-01-01	1.75	20.000	8.132	0.503	0.622	3.031	0.102	18.440	0.292	6.9
SE0101010201-C	1985-01-01	2.25	20.000	8.131	0.503	0.622	3.030	0.102	18.439	0.292	6.9
SE0101010201-C	1985-01-01	2.75	20.000	8.130	0.503	0.622	3.032	0.102	18.441	0.292	6.9
SE0101010201-C	1985-01-01	3.25	20.000	8.128	0.503	0.622	3.034	0.102	18.443	0.292	6.9
SE0101010201-C	1985-01-01	3.75	20.000	8.128	0.503	0.622	3.033	0.102	18.442	0.292	6.9
SE0101010201-C	1985-01-01	4.50	20.000	8.128	0.502	0.622	3.029	0.102	18.438	0.292	6.9
SE0101010201-C	1985-01-01	5.50	20.000	8.127	0.502	0.622	3.029	0.102	18.438	0.292	6.9
SE0101010201-C	1985-01-01	6.50	20.000	8.125	0.503	0.622	3.030	0.102	18.439	0.292	6.9
SE0101010201-C	1985-01-01	7.50	20.000	8.120	0.504	0.622	3.041	0.102	18.446	0.292	6.9
SE0101010201-C	1985-01-01	8.00	20.000	8.120	0.504	0.622	3.041	0.102	18.446	0.292	6.9
SE0101010201-C	1985-01-02	0.00	20.000	8.338	0.510	0.625	3.116	0.107	18.463	0.281	7.0
SE0101010201-C	1985-01-02	0.25	20.000	8.338	0.510	0.625	3.116	0.107	18.463	0.281	7.0
SE0101010201-C	1985-01-02	0.75	20.000	8.337	0.510	0.626	3.115	0.107	18.476	0.286	7.0
SE0101010201-C	1985-01-02	1.25	20.000	8.337	0.510	0.625	3.114	0.107	18.474	0.286	7.0
SE0101010201-C	1985-01-02	1.75	20.000	8.336	0.510	0.625	3.113	0.107	18.474	0.286	7.0
SE0101010201-C	1985-01-02	2.25	20.000	8.336	0.510	0.625	3.113	0.107	18.474	0.286	7.0
SE0101010201-C	1985-01-02	2.75	20.000	8.335	0.510	0.626	3.114	0.107	18.475	0.286	7.0
SE0101010201-C	1985-01-02	3.25	20.000	8.334	0.510	0.626	3.116	0.107	18.477	0.286	7.0
SE0101010201-C	1985-01-02	3.75	20.000	8.334	0.510	0.626	3.115	0.107	18.476	0.286	7.0
SE0101010201-C	1985-01-02	4.50	20.000	8.335	0.509	0.625	3.111	0.107	18.472	0.286	7.0
SE0101010201-C	1985-01-02	5.50	20.000	8.334	0.509	0.625	3.111	0.107	18.473	0.286	7.0
SE0101010201-C	1985-01-02	6.50	20.000	8.333	0.509	0.625	3.112	0.107	18.473	0.286	7.0
SE0101010201-C	1985-01-02	7.50	20.000	8.329	0.510	0.626	3.122	0.107	18.481	0.286	7.0
SE0101010201-C	1985-01-02	8.00	20.000	8.329	0.510	0.626	3.122	0.107	18.481	0.286	7.0
SE0101010201-C	1985-01-03	0.00	14.196	8.981	0.411	0.525	7.025	0.332	24.121	0.193	5.7
SE0101010201-C	1985-01-03	0.25	14.196	8.981	0.411	0.525	7.025	0.332	24.121	0.193	5.7
SE0101010201-C	1985-01-03	0.75	14.175	8.980	0.411	0.534	7.038	0.332	24.291	0.196	5.7
SE0101010201-C	1985-01-03	1.25	14.357	8.955	0.414	0.537	6.914	0.325	24.115	0.199	5.7
SE0101010201-C	1985-01-03	1.75	14.933	8.875	0.424	0.549	6.525	0.302	23.567	0.208	5.7
SE0101010201-C	1985-01-03	2.25	16.486	8.667	0.451	0.579	5.491	0.241	22.130	0.231	5.7
SE0101010201-C	1985-01-03	2.75	18.028	8.454	0.476	0.608	4.464	0.180	20.674	0.255	5.7
SE0101010201-C	1985-01-03	3.25	18.988	8.305	0.492	0.622	3.782	0.141	19.666	0.271	5.7
SE0101010201-C	1985-01-03	3.75	19.454	8.227	0.499	0.626	3.423	0.121	19.103	0.279	5.7
SE0101010201-C	1985-01-03	4.50	19.705	8.195	0.502	0.626	3.244	0.111	18.797	0.283	5.7
SE0101010201-C	1985-01-03	5.50	19.846	8.238	0.509	0.631	3.221	0.108	18.718	0.283	5.7
SE0101010201-C	1985-01-03	6.50	19.938	8.276	0.517	0.637	3.252	0.107	18.695	0.281	5.7
SE0101010201-C	1985-01-03	7.50	19.954	8.270	0.522	0.640	3.292	0.107	18.701	0.281	5.7
SE0101010201-C	1985-01-03	8.00	19.954	8.270	0.522	0.640	3.292	0.107	18.701	0.281	5.7
SE0101010201-C	1985-01-04	0.00	11.998	9.250	0.373	0.471	8.461	0.415	25.918	0.163	5.5
SE0101010201-C	1985-01-04	0.25	11.998	9.250	0.373	0.471	8.461	0.415	25.918	0.163	5.5
SE0101010201-C	1985-01-04	0.75	11.544	9.288	0.365	0.478	8.741	0.429	26.572	0.161	5.5
SE0101010201-C	1985-01-04	1.25	13.928	9.052	0.406	0.531	7.189	0.336	24.508	0.198	5.5
SE0101010201-C	1985-01-04	1.75	15.285	8.888	0.430	0.558	6.248	0.281	23.192	0.220	5.5
SE0101010201-C	1985-01-04	2.25	16.262	8.752	0.447	0.576	5.552	0.241	22.197	0.236	5.5
SE0101010201-C	1985-01-04	2.75	17.117	8.629	0.462	0.591	4.942	0.206	21.315	0.249	5.5
SE0101010201-C	1985-01-04	3.25	17.969	8.509	0.476	0.606	4.332	0.172	20.426	0.262	5.5
SE0101010201-C	1985-01-04	3.75	18.599	8.427	0.486	0.614	3.860	0.146	19.719	0.271	5.5
SE0101010201-C	1985-01-04	4.50	18.948	8.387	0.491	0.616	3.580	0.131	19.271	0.276	5.5
SE0101010201-C	1985-01-04	5.50	19.446	8.281	0.506	0.633	3.489	0.119	19.150	0.280	5.5
SE0101010201-C	1985-01-04	6.50	19.772	8.230	0.520	0.647	3.416	0.110	19.003	0.281	5.5
SE0101010201-C	1985-01-04	7.50	19.862	8.197	0.531	0.654	3.462	0.108	18.970	0.281	5.5
SE0101010201-C	1985-01-04	8.00	19.862	8.197	0.531	0.654	3.462	0.108	18.970	0.281	5.5
SE0101010201-C	1985-01-05	0.00	8.894	9.443	0.323	0.403	10.499	0.534	28.551	0.120	5.4
SE0101010201-C	1985-01-05	0.25	8.894	9.443	0.323	0.403	10.499	0.534	28.551	0.120	5.4
SE0101010201-C	1985-01-05	0.75	8.766	9.452	0.320	0.417	10.568	0.535	28.923	0.122	5.4
SE0101010201-C	1985-01-05	1.25	12.596	9.095	0.384	0.502	8.123	0.388	25.716	0.176	5.4
SE0101010201-C	1985-01-05	1.75	15.354	8.822	0.431	0.562	6.276	0.279	23.243	0.219	5.4
SE0101010201-C	1985-01-05	2.25	16.996	8.654	0.460	0.597	5.107	0.212	21.644	0.246	5.4
SE0101010201-C	1985-01-05	2.75	17.904	8.568	0.477	0.615	4.411	0.172	20.647	0.261	5.4
SE0101010201-C	1985-01-05	3.25	18.387	8.541	0.485	0.620	3.987	0.150	19.979	0.268	5.4
SE0101010201-C	1985-01-05	3.75	18.603	8.503	0.490	0.623	3.835	0.141	19.733	0.272	5.4
SE0101010201-C	1985-01-05	4.50	18.877	8.431	0.495	0.627	3.691	0.132	19.505	0.276	5.4
SE0101010201-C	1985-01-05	5.50	19.178	8.346	0.504	0.635	3.606	0.123	19.356	0.279	5.4
SE0101010201-C	1985-01-05	6.50	19.461	8.264	0.518	0.647	3.583	0.117	19.269	0.279	5.4
SE0101010201-C	1985-01-05	7.50	19.670	8.177	0.537	0.662	3.666	0.112	19.248	0.279	5.4
SE0101010201-C	1985-01-05	8.00	19.670	8.177	0.537	0.662	3.666	0.112	19.248	0.279	5.4
SE0101010201-C	1985-01-06	0.00	8.054	9.471	0.310	0.385	11.066	0.566	29.221	0.108	5.4
SE0101010201-C	1985-01-06	0.25	8.054	9.471	0.310	0.385	11.066	0.566	29.221	0.108	5.4
SE0101010201-C	1985-01-06	0.75	8.011	9.476	0.309	0.401	11.080	0.564	29.509	0.110	5.4
SE0101010201-C	1985-01-06	1.25	11.910	9.151	0.374	0.487	8.580	0.414	26.241	0.164	5.4
SE0101010201-C	1985-01-06	1.75	14.816	8.905	0.423	0.550	6.624	0.299	23.638	0.207	5.4
SE0101010201-C	1985-01-06	2.25	16.557	8.756	0.454	0.588	5.375	0.226	21.949	0.236	5.4
SE0101010201-C	1985-01-06	2.75	17.511	8.676	0.472	0.608	4.639	0.185	20.917	0.252	5.4
SE0101010201-C	1985-01-06	3.25	18.013	8.637	0.481	0.616	4.212	0.161	20.275	0.262	5.4
SE0101010201-C	1985-01-06	3.75	18.279	8.614	0.486	0.617	3.982	0.149	19.900	0.266	5.4
SE0101010201-C	1985-01-06	4.50	18.543	8.523	0.492	0.625	3.903	0.141	19.798	0.270	5.4
SE0101010201-C	1985-01-06	5.50	18.857	8.422	0.502	0.636	3.811	0.132	19.675	0.273	5.4
SE0101010201-C	1985-01-06	6.50	19.152	8.321	0.516	0.650	3.776	0.124	19.585	0.274	5.4
SE0101010201-C	1985-01-06	7.50	19.397	8.207	0.537	0.666	3.853	0.119	19.537	0.274	5.4
SE0101010201-C	1985-01-06	8.00	19.397	8.207	0.537	0.666	3.853	0.119	19.537	0.274	5.4
SE0101010201-C	1985-01-07	0.00	7.722	9.490	0.307	0.378	11.296	0.579	29.447	0.102	5.5
SE0101010201-C	1985-01-07	0.25	7.722	9.490	0.307	0.378	11.296	0.579	29.447	0.102	5.5
SE0101010201-C	1985-01-07	0.75	7.688	9.496	0.305	0.393	11.306	0.577	29.717	0.104	5.5
SE0101010201-C	1985-01-07	1.25	11.397	9.196	0.367	0.475	8.923	0.433	26.616	0.154	5.5
SE0101010201-C	1985-01-07	1.75	14.322	8.956	0.417	0.540	6.960	0.317	24.021	0.197	5.5
SE0101010201-C	1985-01-07	2.25	16.177	8.799	0.449	0.581	5.638	0.240	22.253	0.227	5.5
SE0101010201-C	1985-01-07	2.75	17.228	8.707	0.469	0.603	4.837	0.194	21.151	0.246	5.5
SE0101010201-C	1985-01-07	3.25	17.813	8.650	0.480	0.614	4.381	0.168	20.499	0.257	5.5
SE0101010201-C	1985-01-07	3.75	18.165	8.611	0.486	0.619	4.103	0.152	20.083	0.263	5.5
SE0101010201-C	1985-01-07	4.50	18.448	8.550	0.493	0.625	3.952	0.142	19.854	0.266	5.5
SE0101010201-C	1985-01-07	5.50	18.725	8.450	0.504	0.638	3.913	0.135	19.783	0.267	5.5
SE0101010201-C	1985-01-07	6.50	18.976	8.347	0.519	0.652	3.926	0.129	19.752	0.267	5.5
SE0101010201-C	1985-01-07	7.50	19.148	8.248	0.538	0.665	4.023	0.125	19.740	0.267	5.5
SE0101010201-C	1985-01-07	8.00	19.148	8.248	0.538	0.665	4.023	0.125	19.740	0.267	5.5
SE0101010201-C	1985-01-08	0.00	7.442	9.520	0.303	0.372	11.504	0.590	29.651	0.101	5.5
SE0101010201-C	1985-01-08	0.25	7.442	9.520	0.303	0.372	11.504	0.590	29.651	0.101	5.5
SE0101010201-C	1985-01-08	0.75	7.415	9.525	0.302	0.386	11.510	0.587	29.905	0.103	5.5
SE0101010201-C	1985-01-08	1.25	10.867	9.241	0.360	0.464	9.289	0.452	27.027	0.150	5.5
SE0101010201-C	1985-01-08	1.75	13.749	8.999	0.409	0.527	7.368	0.337	24.502	0.193	5.5
SE0101010201-C	1985-01-08	2.25	15.698	8.828	0.443	0.571	6.000	0.257	22.690	0.225	5.5
SE0101010201-C	1985-01-08	2.75	16.868	8.719	0.465	0.597	5.132	0.206	21.517	0.245	5.5
SE0101010201-C	1985-01-08	3.25	17.579	8.645	0.479	0.613	4.605	0.176	20.790	0.256	5.5
SE0101010201-C	1985-01-08	3.75	18.042	8.589	0.487	0.622	4.267	0.156	20.312	0.263	5.5
SE0101010201-C	1985-01-08	4.50	18.413	8.533	0.495	0.628	4.013	0.141	19.937	0.267	5.5
