EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE584227-171600	1985-01-01	0.00	4.000	8.003	0.501	0.619	3.014	0.103	18.408	0.289	6.8
SE584227-171600	1985-01-01	0.25	4.000	8.003	0.501	0.619	3.014	0.103	18.408	0.289	6.8
SE584227-171600	1985-01-01	0.75	4.000	8.003	0.501	0.620	3.014	0.103	18.434	0.294	6.8
SE584227-171600	1985-01-01	1.25	4.000	8.002	0.501	0.620	3.014	0.103	18.434	0.294	6.8
SE584227-171600	1985-01-01	1.75	4.000	8.002	0.501	0.620	3.014	0.103	18.434	0.294	6.8
SE584227-171600	1985-01-01	2.25	4.000	8.002	0.501	0.620	3.014	0.102	18.434	0.294	6.8
SE584227-171600	1985-01-01	2.75	4.000	8.001	0.501	0.620	3.014	0.102	18.435	0.294	6.8
SE584227-171600	1985-01-01	3.25	4.000	8.001	0.501	0.620	3.014	0.102	18.435	0.294	6.8
SE584227-171600	1985-01-01	3.75	4.000	8.000	0.501	0.621	3.015	0.102	18.436	0.294	6.8
SE584227-171600	1985-01-01	4.50	4.000	8.000	0.501	0.621	3.014	0.102	18.436	0.294	6.8
SE584227-171600	1985-01-01	5.50	4.000	8.000	0.501	0.621	3.014	0.102	18.437	0.294	6.8
SE584227-171600	1985-01-01	6.50	4.000	7.999	0.501	0.621	3.015	0.102	18.439	0.295	6.8
SE584227-171600	1985-01-01	7.50	4.000	7.998	0.501	0.621	3.015	0.101	18.441	0.295	6.8
SE584227-171600	1985-01-01	8.50	4.000	7.996	0.501	0.621	3.017	0.101	18.445	0.295	6.8
SE584227-171600	1985-01-01	9.50	4.000	7.994	0.501	0.622	3.019	0.100	18.451	0.296	6.8
SE584227-171600	1985-01-01	30.50	4.000	7.977	0.503	0.623	3.066	0.100	18.485	0.296	6.8
SE584227-171600	1985-01-01	31.00	4.000	7.977	0.503	0.623	3.066	0.100	18.485	0.296	6.8
SE584227-171600	1985-01-02	0.00	4.000	8.089	0.502	0.619	3.054	0.108	18.432	0.283	6.9
SE584227-171600	1985-01-02	0.25	4.000	8.089	0.502	0.619	3.054	0.108	18.432	0.283	6.9
SE584227-171600	1985-01-02	0.75	4.000	8.086	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	1.25	4.000	8.085	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	1.75	4.000	8.083	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	2.25	4.000	8.083	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	2.75	4.000	8.082	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	3.25	4.000	8.081	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	3.75	4.000	8.080	0.502	0.620	3.055	0.107	18.455	0.288	6.9
SE584227-171600	1985-01-02	4.50	4.000	8.080	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	5.50	4.000	8.078	0.502	0.620	3.054	0.107	18.454	0.288	6.9
SE584227-171600	1985-01-02	6.50	4.000	8.077	0.502	0.620	3.054	0.107	18.455	0.288	6.9
SE584227-171600	1985-01-02	7.50	4.000	8.076	0.502	0.620	3.055	0.107	18.455	0.288	6.9
SE584227-171600	1985-01-02	8.50	4.000	8.075	0.502	0.620	3.055	0.107	18.456	0.288	6.9
SE584227-171600	1985-01-02	9.50	4.000	8.074	0.502	0.620	3.055	0.107	18.456	0.288	6.9
SE584227-171600	1985-01-02	30.50	4.000	7.943	0.508	0.627	3.165	0.100	18.580	0.285	6.9
SE584227-171600	1985-01-02	31.00	4.000	7.943	0.508	0.627	3.165	0.100	18.580	0.285	6.9
SE584227-171600	1985-01-03	0.00	4.015	8.512	0.503	0.618	3.110	0.114	18.459	0.281	6.9
SE584227-171600	1985-01-03	0.25	4.015	8.512	0.503	0.618	3.110	0.114	18.459	0.281	6.9
SE584227-171600	1985-01-03	0.75	4.016	8.507	0.503	0.619	3.110	0.114	18.478	0.286	6.9
SE584227-171600	1985-01-03	1.25	4.016	8.503	0.503	0.619	3.110	0.114	18.478	0.286	6.9
SE584227-171600	1985-01-03	1.75	4.016	8.501	0.503	0.619	3.110	0.114	18.478	0.286	6.9
SE584227-171600	1985-01-03	2.25	4.016	8.499	0.503	0.619	3.110	0.114	18.478	0.286	6.9
SE584227-171600	1985-01-03	2.75	4.016	8.497	0.503	0.619	3.110	0.114	18.477	0.286	6.9
SE584227-171600	1985-01-03	3.25	4.016	8.495	0.503	0.619	3.110	0.114	18.477	0.286	6.9
SE584227-171600	1985-01-03	3.75	4.017	8.493	0.503	0.620	3.111	0.114	18.478	0.286	6.9
SE584227-171600	1985-01-03	4.50	4.017	8.491	0.503	0.619	3.110	0.114	18.477	0.286	6.9
SE584227-171600	1985-01-03	5.50	4.018	8.487	0.503	0.619	3.110	0.114	18.476	0.287	6.9
SE584227-171600	1985-01-03	6.50	4.020	8.482	0.503	0.619	3.111	0.114	18.475	0.288	6.9
SE584227-171600	1985-01-03	7.50	4.024	8.473	0.503	0.619	3.111	0.114	18.473	0.289	6.9
SE584227-171600	1985-01-03	8.50	4.035	8.453	0.503	0.619	3.113	0.114	18.465	0.293	6.9
SE584227-171600	1985-01-03	9.50	4.082	8.392	0.503	0.619	3.121	0.115	18.435	0.311	6.9
SE584227-171600	1985-01-03	30.50	4.680	8.325	0.502	0.606	3.278	0.147	18.060	0.547	6.9
SE584227-171600	1985-01-03	31.00	4.680	8.325	0.502	0.606	3.278	0.147	18.060	0.547	6.9
SE584227-171600	1985-01-04	0.00	4.336	9.020	0.504	0.612	3.241	0.135	18.302	0.387	7.0
SE584227-171600	1985-01-04	0.25	4.336	9.020	0.504	0.612	3.241	0.135	18.302	0.387	7.0
SE584227-171600	1985-01-04	0.75	4.336	9.015	0.504	0.613	3.240	0.135	18.324	0.393	7.0
SE584227-171600	1985-01-04	1.25	4.337	9.013	0.504	0.613	3.240	0.135	18.323	0.393	7.0
SE584227-171600	1985-01-04	1.75	4.337	9.011	0.504	0.613	3.240	0.135	18.323	0.393	7.0
SE584227-171600	1985-01-04	2.25	4.337	9.009	0.504	0.613	3.241	0.135	18.323	0.393	7.0
SE584227-171600	1985-01-04	2.75	4.337	9.008	0.504	0.613	3.241	0.135	18.323	0.394	7.0
SE584227-171600	1985-01-04	3.25	4.338	9.006	0.504	0.613	3.241	0.135	18.323	0.394	7.0
SE584227-171600	1985-01-04	3.75	4.338	9.005	0.504	0.613	3.242	0.135	18.323	0.394	7.0
SE584227-171600	1985-01-04	4.50	4.339	9.003	0.504	0.613	3.241	0.135	18.322	0.394	7.0
SE584227-171600	1985-01-04	5.50	4.340	9.000	0.504	0.613	3.242	0.135	18.321	0.395	7.0
SE584227-171600	1985-01-04	6.50	4.342	8.996	0.504	0.613	3.242	0.135	18.320	0.395	7.0
SE584227-171600	1985-01-04	7.50	4.346	8.990	0.504	0.613	3.243	0.135	18.319	0.397	7.0
SE584227-171600	1985-01-04	8.50	4.353	8.980	0.504	0.613	3.245	0.135	18.315	0.399	7.0
SE584227-171600	1985-01-04	9.50	4.370	8.960	0.504	0.613	3.250	0.136	18.306	0.405	7.0
SE584227-171600	1985-01-04	30.50	5.074	8.636	0.505	0.602	3.408	0.167	17.903	0.648	7.0
SE584227-171600	1985-01-04	31.00	5.074	8.636	0.505	0.602	3.408	0.167	17.903	0.648	7.0
SE584227-171600	1985-01-05	0.00	4.650	9.217	0.505	0.607	3.368	0.154	18.170	0.474	7.0
SE584227-171600	1985-01-05	0.25	4.650	9.217	0.505	0.607	3.368	0.154	18.170	0.474	7.0
SE584227-171600	1985-01-05	0.75	4.651	9.213	0.505	0.608	3.368	0.154	18.193	0.482	7.0
SE584227-171600	1985-01-05	1.25	4.651	9.211	0.505	0.608	3.368	0.154	18.192	0.482	7.0
SE584227-171600	1985-01-05	1.75	4.651	9.209	0.505	0.608	3.368	0.154	18.192	0.482	7.0
SE584227-171600	1985-01-05	2.25	4.652	9.207	0.505	0.608	3.368	0.154	18.192	0.482	7.0
SE584227-171600	1985-01-05	2.75	4.652	9.206	0.505	0.608	3.368	0.154	18.192	0.482	7.0
SE584227-171600	1985-01-05	3.25	4.653	9.204	0.505	0.608	3.369	0.154	18.191	0.483	7.0
SE584227-171600	1985-01-05	3.75	4.654	9.202	0.505	0.608	3.370	0.154	18.192	0.483	7.0
SE584227-171600	1985-01-05	4.50	4.656	9.199	0.505	0.608	3.369	0.154	18.190	0.483	7.0
SE584227-171600	1985-01-05	5.50	4.660	9.192	0.505	0.608	3.370	0.154	18.188	0.485	7.0
SE584227-171600	1985-01-05	6.50	4.672	9.177	0.505	0.608	3.373	0.154	18.182	0.489	7.0
SE584227-171600	1985-01-05	7.50	4.705	9.141	0.505	0.608	3.380	0.155	18.165	0.499	7.0
SE584227-171600	1985-01-05	8.50	4.807	9.040	0.506	0.606	3.402	0.158	18.113	0.531	7.0
