EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE0101010203-C	1985-01-01	0.00	20.000	8.056	0.501	0.620	3.012	0.101	18.409	0.290	6.8
SE0101010203-C	1985-01-01	0.25	20.000	8.056	0.501	0.620	3.012	0.101	18.409	0.290	6.8
SE0101010203-C	1985-01-01	0.75	20.000	8.054	0.501	0.621	3.012	0.101	18.436	0.295	6.8
SE0101010203-C	1985-01-01	1.25	20.000	8.052	0.501	0.621	3.010	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	1.75	20.000	8.051	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	2.25	20.000	8.051	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	2.75	20.000	8.050	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	3.25	20.000	8.049	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	3.75	20.000	8.049	0.501	0.621	3.011	0.101	18.436	0.295	6.8
SE0101010203-C	1985-01-01	4.50	20.000	8.048	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	5.50	20.000	8.048	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	6.50	20.000	8.047	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	7.50	20.000	8.047	0.501	0.621	3.011	0.101	18.435	0.295	6.8
SE0101010203-C	1985-01-01	8.50	20.000	8.046	0.501	0.621	3.012	0.101	18.436	0.295	6.8
SE0101010203-C	1985-01-01	9.50	20.000	8.045	0.501	0.622	3.015	0.101	18.439	0.295	6.8
SE0101010203-C	1985-01-01	25.50	20.000	7.981	0.505	0.625	3.056	0.100	18.473	0.296	6.8
SE0101010203-C	1985-01-01	26.00	20.000	7.981	0.505	0.625	3.056	0.100	18.473	0.296	6.8
SE0101010203-C	1985-01-02	0.00	20.000	8.136	0.503	0.621	3.041	0.102	18.420	0.286	6.9
SE0101010203-C	1985-01-02	0.25	20.000	8.136	0.503	0.621	3.041	0.102	18.420	0.286	6.9
SE0101010203-C	1985-01-02	0.75	20.000	8.135	0.503	0.622	3.040	0.102	18.443	0.290	6.9
SE0101010203-C	1985-01-02	1.25	20.000	8.135	0.503	0.622	3.039	0.102	18.442	0.290	6.9
SE0101010203-C	1985-01-02	1.75	20.000	8.135	0.503	0.622	3.039	0.102	18.442	0.290	6.9
SE0101010203-C	1985-01-02	2.25	20.000	8.134	0.503	0.622	3.039	0.102	18.442	0.290	6.9
SE0101010203-C	1985-01-02	2.75	20.000	8.134	0.503	0.622	3.040	0.102	18.442	0.290	6.9
SE0101010203-C	1985-01-02	3.25	20.000	8.134	0.503	0.622	3.040	0.102	18.442	0.290	6.9
SE0101010203-C	1985-01-02	3.75	20.000	8.133	0.503	0.622	3.040	0.102	18.443	0.290	6.9
SE0101010203-C	1985-01-02	4.50	20.000	8.133	0.503	0.622	3.040	0.101	18.442	0.290	6.9
SE0101010203-C	1985-01-02	5.50	20.000	8.133	0.503	0.622	3.040	0.101	18.442	0.290	6.9
SE0101010203-C	1985-01-02	6.50	20.000	8.133	0.503	0.622	3.040	0.101	18.442	0.291	6.9
SE0101010203-C	1985-01-02	7.50	20.000	8.132	0.503	0.622	3.040	0.101	18.443	0.291	6.9
SE0101010203-C	1985-01-02	8.50	20.000	8.132	0.503	0.622	3.040	0.101	18.443	0.291	6.9
SE0101010203-C	1985-01-02	9.50	20.000	8.131	0.504	0.623	3.044	0.101	18.446	0.291	6.9
SE0101010203-C	1985-01-02	25.50	20.000	8.125	0.505	0.623	3.053	0.101	18.453	0.291	6.9
SE0101010203-C	1985-01-02	26.00	20.000	8.125	0.505	0.623	3.053	0.101	18.453	0.291	6.9
SE0101010203-C	1985-01-03	0.00	19.477	8.228	0.497	0.615	3.273	0.117	18.751	0.275	6.7
SE0101010203-C	1985-01-03	0.25	19.477	8.228	0.497	0.615	3.273	0.117	18.751	0.275	6.7
SE0101010203-C	1985-01-03	0.75	19.473	8.226	0.497	0.617	3.273	0.117	18.790	0.280	6.7
SE0101010203-C	1985-01-03	1.25	19.489	8.222	0.497	0.617	3.266	0.117	18.779	0.280	6.7
SE0101010203-C	1985-01-03	1.75	19.513	8.216	0.497	0.617	3.255	0.116	18.763	0.280	6.7
SE0101010203-C	1985-01-03	2.25	19.549	8.205	0.498	0.618	3.240	0.115	18.739	0.281	6.7
SE0101010203-C	1985-01-03	2.75	19.614	8.188	0.498	0.618	3.214	0.112	18.698	0.282	6.7
SE0101010203-C	1985-01-03	3.25	19.734	8.156	0.500	0.620	3.168	0.109	18.620	0.284	6.7
SE0101010203-C	1985-01-03	3.75	19.832	8.133	0.500	0.620	3.155	0.107	18.553	0.284	6.7
SE0101010203-C	1985-01-03	4.50	20.496	8.022	0.503	0.619	3.257	0.108	18.087	0.274	6.7
SE0101010203-C	1985-01-03	5.50	22.017	7.778	0.505	0.611	3.579	0.114	17.005	0.243	6.7
SE0101010203-C	1985-01-03	6.50	23.316	7.637	0.507	0.606	3.845	0.118	16.169	0.220	6.7
SE0101010203-C	1985-01-03	7.50	24.452	7.504	0.509	0.599	4.110	0.124	15.392	0.199	6.7
SE0101010203-C	1985-01-03	8.50	25.511	7.384	0.510	0.593	4.371	0.130	14.669	0.181	6.7
SE0101010203-C	1985-01-03	9.50	26.472	7.278	0.512	0.588	4.621	0.136	14.021	0.167	6.7
SE0101010203-C	1985-01-03	25.50	29.884	6.968	0.518	0.568	5.650	0.167	11.703	0.161	6.7
SE0101010203-C	1985-01-03	26.00	29.884	6.968	0.518	0.568	5.650	0.167	11.703	0.161	6.7
SE0101010203-C	1985-01-04	0.00	19.517	8.404	0.493	0.609	3.551	0.129	18.676	0.270	6.8
SE0101010203-C	1985-01-04	0.25	19.517	8.404	0.493	0.609	3.551	0.129	18.676	0.270	6.8
SE0101010203-C	1985-01-04	0.75	19.510	8.400	0.493	0.612	3.549	0.129	18.730	0.274	6.8
SE0101010203-C	1985-01-04	1.25	19.535	8.395	0.493	0.612	3.552	0.129	18.710	0.274	6.8
SE0101010203-C	1985-01-04	1.75	19.625	8.377	0.493	0.611	3.565	0.129	18.645	0.274	6.8
SE0101010203-C	1985-01-04	2.25	19.830	8.340	0.494	0.611	3.595	0.130	18.501	0.273	6.8
SE0101010203-C	1985-01-04	2.75	20.250	8.269	0.495	0.610	3.659	0.132	18.208	0.273	6.8
SE0101010203-C	1985-01-04	3.25	20.695	8.197	0.497	0.609	3.728	0.134	17.898	0.272	6.8
SE0101010203-C	1985-01-04	3.75	21.156	8.125	0.498	0.608	3.801	0.137	17.578	0.271	6.8
SE0101010203-C	1985-01-04	4.50	21.268	8.108	0.499	0.607	3.819	0.138	17.497	0.271	6.8
SE0101010203-C	1985-01-04	5.50	21.534	8.071	0.500	0.607	3.864	0.139	17.311	0.270	6.8
SE0101010203-C	1985-01-04	6.50	23.977	7.730	0.507	0.601	4.294	0.154	15.665	0.261	6.8
