EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE552170-130626	1985-01-01	0.00	6.000	8.091	0.501	0.619	3.008	0.101	18.406	0.290	6.8
SE552170-130626	1985-01-01	0.25	6.000	8.091	0.501	0.619	3.008	0.101	18.406	0.290	6.8
SE552170-130626	1985-01-01	0.75	6.000	8.085	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	1.25	6.000	8.082	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	1.75	6.000	8.080	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	2.25	6.000	8.078	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	2.75	6.000	8.077	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	3.25	6.000	8.076	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	3.75	6.000	8.075	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	4.50	6.000	8.074	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	5.50	6.000	8.072	0.501	0.621	3.008	0.101	18.435	0.295	6.8
SE552170-130626	1985-01-01	6.50	6.000	8.071	0.501	0.621	3.009	0.101	18.436	0.295	6.8
SE552170-130626	1985-01-01	7.50	6.000	8.070	0.501	0.621	3.009	0.101	18.436	0.295	6.8
SE552170-130626	1985-01-01	8.50	6.000	8.069	0.501	0.621	3.009	0.101	18.436	0.295	6.8
SE552170-130626	1985-01-01	9.50	6.000	8.068	0.501	0.621	3.010	0.101	18.437	0.295	6.8
SE552170-130626	1985-01-01	21.50	6.000	7.978	0.506	0.626	3.063	0.100	18.481	0.296	6.8
SE552170-130626	1985-01-01	22.00	6.000	7.978	0.506	0.626	3.063	0.100	18.481	0.296	6.8
SE552170-130626	1985-01-02	0.00	6.000	8.281	0.502	0.620	3.027	0.102	18.417	0.293	6.9
SE552170-130626	1985-01-02	0.25	6.000	8.281	0.502	0.620	3.027	0.102	18.417	0.293	6.9
SE552170-130626	1985-01-02	0.75	6.000	8.276	0.502	0.622	3.027	0.102	18.443	0.298	6.9
SE552170-130626	1985-01-02	1.25	6.000	8.274	0.502	0.622	3.027	0.102	18.443	0.298	6.9
SE552170-130626	1985-01-02	1.75	6.000	8.272	0.502	0.622	3.027	0.102	18.443	0.298	6.9
