EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE601204-182670	1985-01-01	0.00	4.000	8.015	0.502	0.619	3.055	0.107	18.432	0.284	6.9
SE601204-182670	1985-01-01	0.25	4.000	8.015	0.502	0.619	3.055	0.107	18.432	0.284	6.9
SE601204-182670	1985-01-01	0.75	4.000	8.014	0.502	0.620	3.056	0.107	18.454	0.289	6.9
SE601204-182670	1985-01-01	1.25	4.000	8.013	0.502	0.621	3.057	0.107	18.455	0.289	6.9
SE601204-182670	1985-01-01	1.75	4.000	8.011	0.502	0.621	3.060	0.106	18.458	0.289	6.9
SE601204-182670	1985-01-01	2.25	4.000	8.008	0.503	0.621	3.067	0.106	18.465	0.289	6.9
SE601204-182670	1985-01-01	2.75	4.000	8.005	0.503	0.621	3.076	0.106	18.467	0.289	6.9
SE601204-182670	1985-01-01	3.00	4.000	8.005	0.503	0.621	3.076	0.106	18.467	0.289	6.9
SE601204-182670	1985-01-02	0.00	4.000	8.331	0.508	0.621	3.213	0.128	18.550	0.263	7.0
SE601204-182670	1985-01-02	0.25	4.000	8.331	0.508	0.621	3.213	0.128	18.550	0.263	7.0
SE601204-182670	1985-01-02	0.75	4.000	8.328	0.508	0.622	3.214	0.128	18.559	0.267	7.0
SE601204-182670	1985-01-02	1.25	4.000	8.326	0.508	0.622	3.215	0.128	18.560	0.267	7.0
SE601204-182670	1985-01-02	1.75	4.000	8.325	0.508	0.622	3.217	0.128	18.563	0.267	7.0
SE601204-182670	1985-01-02	2.25	4.000	8.322	0.509	0.622	3.223	0.128	18.569	0.267	7.0
SE601204-182670	1985-01-02	2.75	4.000	8.318	0.509	0.622	3.231	0.128	18.574	0.267	7.0
SE601204-182670	1985-01-02	3.00	4.000	8.318	0.509	0.622	3.231	0.128	18.574	0.267	7.0
SE601204-182670	1985-01-03	0.00	3.995	8.867	0.514	0.625	3.413	0.156	18.776	0.239	7.1
SE601204-182670	1985-01-03	0.25	3.995	8.867	0.514	0.625	3.413	0.156	18.776	0.239	7.1
SE601204-182670	1985-01-03	0.75	3.994	8.867	0.514	0.625	3.413	0.156	18.781	0.242	7.1
SE601204-182670	1985-01-03	1.25	3.995	8.865	0.514	0.625	3.412	0.155	18.780	0.243	7.1
SE601204-182670	1985-01-03	1.75	3.995	8.860	0.514	0.626	3.413	0.154	18.780	0.243	7.1
SE601204-182670	1985-01-03	2.25	3.995	8.844	0.514	0.626	3.413	0.152	18.781	0.244	7.1
SE601204-182670	1985-01-03	2.75	3.995	8.801	0.514	0.626	3.398	0.148	18.771	0.247	7.1
SE601204-182670	1985-01-03	3.00	3.995	8.801	0.514	0.626	3.398	0.148	18.771	0.247	7.1
SE601204-182670	1985-01-04	0.00	3.989	8.800	0.519	0.629	3.609	0.182	19.005	0.218	7.1
SE601204-182670	1985-01-04	0.25	3.989	8.800	0.519	0.629	3.609	0.182	19.005	0.218	7.1
SE601204-182670	1985-01-04	0.75	3.989	8.800	0.519	0.630	3.609	0.182	19.010	0.221	7.1
SE601204-182670	1985-01-04	1.25	3.989	8.799	0.519	0.630	3.609	0.181	19.009	0.221	7.1
SE601204-182670	1985-01-04	1.75	3.989	8.798	0.519	0.630	3.612	0.181	19.011	0.221	7.1
SE601204-182670	1985-01-04	2.25	3.989	8.796	0.520	0.630	3.617	0.180	19.016	0.221	7.1
SE601204-182670	1985-01-04	2.75	3.989	8.793	0.520	0.630	3.625	0.180	19.022	0.221	7.1
SE601204-182670	1985-01-04	3.00	3.989	8.793	0.520	0.630	3.625	0.180	19.022	0.221	7.1
SE601204-182670	1985-01-05	0.00	3.984	8.782	0.525	0.634	3.808	0.209	19.247	0.203	7.1
SE601204-182670	1985-01-05	0.25	3.984	8.782	0.525	0.634	3.808	0.209	19.247	0.203	7.1
SE601204-182670	1985-01-05	0.75	3.984	8.782	0.525	0.634	3.808	0.208	19.251	0.205	7.1
SE601204-182670	1985-01-05	1.25	3.984	8.781	0.525	0.634	3.809	0.208	19.251	0.205	7.1
SE601204-182670	1985-01-05	1.75	3.984	8.780	0.525	0.635	3.811	0.208	19.252	0.205	7.1
SE601204-182670	1985-01-05	2.25	3.984	8.778	0.525	0.635	3.817	0.207	19.257	0.205	7.1
SE601204-182670	1985-01-05	2.75	3.984	8.775	0.526	0.635	3.824	0.207	19.263	0.206	7.1
SE601204-182670	1985-01-05	3.00	3.984	8.775	0.526	0.635	3.824	0.207	19.263	0.206	7.1
SE601204-182670	1985-01-06	0.00	3.977	8.747	0.530	0.638	3.995	0.234	19.489	0.187	7.1
SE601204-182670	1985-01-06	0.25	3.977	8.747	0.530	0.638	3.995	0.234	19.489	0.187	7.1
SE601204-182670	1985-01-06	0.75	3.977	8.746	0.530	0.638	3.995	0.234	19.492	0.189	7.1
SE601204-182670	1985-01-06	1.25	3.977	8.746	0.530	0.638	3.996	0.233	19.492	0.189	7.1
SE601204-182670	1985-01-06	1.75	3.977	8.744	0.530	0.639	3.999	0.233	19.494	0.189	7.1
SE601204-182670	1985-01-06	2.25	3.978	8.742	0.530	0.639	4.005	0.232	19.499	0.189	7.1
SE601204-182670	1985-01-06	2.75	3.978	8.739	0.531	0.639	4.013	0.232	19.505	0.190	7.1
SE601204-182670	1985-01-06	3.00	3.978	8.739	0.531	0.639	4.013	0.232	19.505	0.190	7.1
SE601204-182670	1985-01-07	0.00	3.970	8.714	0.534	0.642	4.173	0.258	19.729	0.173	7.1
SE601204-182670	1985-01-07	0.25	3.970	8.714	0.534	0.642	4.173	0.258	19.729	0.173	7.1
SE601204-182670	1985-01-07	0.75	3.970	8.714	0.534	0.642	4.173	0.257	19.732	0.175	7.1
SE601204-182670	1985-01-07	1.25	3.970	8.713	0.534	0.642	4.174	0.257	19.732	0.175	7.1
