EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
NO591760-105425	1985-01-01	0.00	20.000	8.048	0.501	0.619	3.007	0.101	18.405	0.290	6.8
NO591760-105425	1985-01-01	0.25	20.000	8.048	0.501	0.619	3.007	0.101	18.405	0.290	6.8
NO591760-105425	1985-01-01	0.75	20.000	8.045	0.500	0.621	3.006	0.100	18.433	0.295	6.8
NO591760-105425	1985-01-01	1.25	20.000	8.043	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	1.75	20.000	8.042	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	2.25	20.000	8.041	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	2.75	20.000	8.041	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	3.25	20.000	8.040	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	3.75	20.000	8.039	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	4.50	20.000	8.039	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	5.50	20.000	8.038	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	6.50	20.000	8.037	0.500	0.621	3.005	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	7.50	20.000	8.037	0.500	0.621	3.004	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	8.50	20.000	8.036	0.500	0.621	3.004	0.100	18.432	0.295	6.8
NO591760-105425	1985-01-01	9.50	20.000	8.035	0.501	0.621	3.006	0.100	18.434	0.295	6.8
NO591760-105425	1985-01-01	375.00	20.000	7.997	0.501	0.622	3.009	0.100	18.440	0.296	6.8
NO591760-105425	1985-01-01	380.00	20.000	7.997	0.501	0.622	3.009	0.100	18.440	0.296	6.8
NO591760-105425	1985-01-02	0.00	20.000	8.047	0.501	0.619	3.012	0.100	18.406	0.282	6.8
NO591760-105425	1985-01-02	0.25	20.000	8.047	0.501	0.619	3.012	0.100	18.406	0.282	6.8
NO591760-105425	1985-01-02	0.75	20.000	8.045	0.501	0.621	3.011	0.100	18.434	0.286	6.8
NO591760-105425	1985-01-02	1.25	20.000	8.045	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	1.75	20.000	8.044	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	2.25	20.000	8.044	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	2.75	20.000	8.043	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	3.25	20.000	8.043	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	3.75	20.000	8.042	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	4.50	20.000	8.042	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	5.50	20.000	8.042	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	6.50	20.000	8.041	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	7.50	20.000	8.041	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	8.50	20.000	8.041	0.501	0.621	3.010	0.100	18.433	0.286	6.8
NO591760-105425	1985-01-02	9.50	20.000	8.040	0.501	0.621	3.012	0.100	18.435	0.286	6.8
NO591760-105425	1985-01-02	375.00	20.000	7.989	0.503	0.623	3.033	0.100	18.458	0.286	6.8
NO591760-105425	1985-01-02	380.00	20.000	7.989	0.503	0.623	3.033	0.100	18.458	0.286	6.8
NO591760-105425	1985-01-03	0.00	23.699	8.096	0.545	0.622	5.548	0.343	15.471	0.412	9.6
NO591760-105425	1985-01-03	0.25	23.699	8.096	0.545	0.622	5.548	0.343	15.471	0.412	9.6
NO591760-105425	1985-01-03	0.75	23.702	8.093	0.545	0.623	5.550	0.343	15.490	0.419	9.6
NO591760-105425	1985-01-03	1.25	23.739	8.089	0.545	0.624	5.568	0.345	15.460	0.421	9.6
NO591760-105425	1985-01-03	1.75	23.807	8.082	0.546	0.624	5.603	0.348	15.405	0.424	9.6
NO591760-105425	1985-01-03	2.25	23.913	8.072	0.547	0.624	5.657	0.354	15.322	0.430	9.6
NO591760-105425	1985-01-03	2.75	24.077	8.058	0.549	0.625	5.739	0.362	15.196	0.438	9.6
NO591760-105425	1985-01-03	3.25	24.218	8.047	0.550	0.626	5.808	0.369	15.089	0.445	9.6
NO591760-105425	1985-01-03	3.75	24.335	8.035	0.551	0.626	5.854	0.373	15.003	0.448	9.6
NO591760-105425	1985-01-03	4.50	24.761	8.004	0.555	0.627	6.059	0.393	14.696	0.467	9.6
NO591760-105425	1985-01-03	5.50	25.258	7.941	0.557	0.625	6.179	0.398	14.407	0.477	9.6
NO591760-105425	1985-01-03	6.50	25.777	7.868	0.556	0.621	6.247	0.391	14.130	0.487	9.6
NO591760-105425	1985-01-03	7.50	26.296	7.785	0.553	0.615	6.256	0.369	13.854	0.493	9.6
NO591760-105425	1985-01-03	8.50	26.769	7.704	0.548	0.607	6.247	0.340	13.581	0.497	9.6
NO591760-105425	1985-01-03	9.50	27.174	7.631	0.543	0.601	6.253	0.310	13.326	0.500	9.6
NO591760-105425	1985-01-03	375.00	34.445	5.935	0.768	0.799	9.193	0.158	10.123	0.022	9.6
NO591760-105425	1985-01-03	380.00	34.445	5.935	0.768	0.799	9.193	0.158	10.123	0.022	9.6
NO591760-105425	1985-01-04	0.00	25.771	8.062	0.528	0.605	6.158	0.384	14.049	0.495	***
NO591760-105425	1985-01-04	0.25	25.771	8.062	0.528	0.605	6.158	0.384	14.049	0.495	***
NO591760-105425	1985-01-04	0.75	25.773	8.059	0.528	0.607	6.157	0.384	14.072	0.503	***
NO591760-105425	1985-01-04	1.25	25.776	8.057	0.528	0.607	6.157	0.384	14.068	0.503	***
NO591760-105425	1985-01-04	1.75	25.780	8.055	0.528	0.607	6.157	0.384	14.066	0.503	***
NO591760-105425	1985-01-04	2.25	25.784	8.053	0.528	0.607	6.158	0.384	14.064	0.503	***
NO591760-105425	1985-01-04	2.75	25.788	8.051	0.528	0.607	6.158	0.384	14.061	0.504	***
NO591760-105425	1985-01-04	3.25	25.792	8.050	0.528	0.606	6.158	0.384	14.058	0.504	***
NO591760-105425	1985-01-04	3.75	25.797	8.047	0.528	0.606	6.158	0.384	14.055	0.504	***
NO591760-105425	1985-01-04	4.50	25.807	8.044	0.528	0.606	6.158	0.383	14.049	0.504	***
NO591760-105425	1985-01-04	5.50	25.829	8.036	0.528	0.606	6.159	0.382	14.036	0.504	***
NO591760-105425	1985-01-04	6.50	25.870	8.022	0.527	0.606	6.159	0.381	14.011	0.505	***
NO591760-105425	1985-01-04	7.50	25.952	7.997	0.527	0.605	6.160	0.377	13.961	0.506	***
NO591760-105425	1985-01-04	8.50	26.009	7.979	0.526	0.604	6.161	0.375	13.926	0.506	***
NO591760-105425	1985-01-04	9.50	26.449	7.865	0.523	0.598	6.176	0.355	13.653	0.509	***
NO591760-105425	1985-01-04	375.00	34.916	5.738	0.955	1.018	10.112	0.218	10.571	0.004	***
NO591760-105425	1985-01-04	380.00	34.916	5.738	0.955	1.018	10.112	0.218	10.571	0.004	***
NO591760-105425	1985-01-05	0.00	26.054	8.138	0.498	0.591	6.024	0.378	13.858	0.520	***
NO591760-105425	1985-01-05	0.25	26.054	8.138	0.498	0.591	6.024	0.378	13.858	0.520	***
NO591760-105425	1985-01-05	0.75	26.054	8.135	0.498	0.592	6.024	0.378	13.881	0.528	***
NO591760-105425	1985-01-05	1.25	26.057	8.133	0.498	0.592	6.023	0.378	13.878	0.528	***
NO591760-105425	1985-01-05	1.75	26.059	8.132	0.498	0.592	6.023	0.378	13.876	0.528	***
