EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE570450-180651	1985-01-01	0.00	6.000	8.004	0.501	0.618	3.016	0.110	18.405	0.286	6.9
SE570450-180651	1985-01-01	0.25	6.000	8.004	0.501	0.618	3.016	0.110	18.405	0.286	6.9
SE570450-180651	1985-01-01	0.75	6.000	8.003	0.501	0.620	3.014	0.108	18.427	0.291	6.9
SE570450-180651	1985-01-01	1.25	6.000	8.003	0.500	0.620	3.013	0.108	18.426	0.292	6.9
SE570450-180651	1985-01-01	1.75	6.000	8.002	0.500	0.620	3.012	0.107	18.427	0.292	6.9
SE570450-180651	1985-01-01	2.25	6.000	8.001	0.500	0.620	3.010	0.105	18.427	0.293	6.9
SE570450-180651	1985-01-01	2.75	6.000	8.001	0.500	0.620	3.009	0.104	18.429	0.294	6.9
SE570450-180651	1985-01-01	3.25	6.000	7.999	0.500	0.621	3.006	0.101	18.432	0.295	6.9
SE570450-180651	1985-01-01	3.75	6.000	7.999	0.500	0.621	3.006	0.101	18.435	0.296	6.9
SE570450-180651	1985-01-01	4.50	6.000	7.999	0.500	0.621	3.005	0.100	18.436	0.296	6.9
SE570450-180651	1985-01-01	5.50	6.000	7.998	0.500	0.621	3.005	0.100	18.437	0.296	6.9
SE570450-180651	1985-01-01	6.50	6.000	7.998	0.500	0.621	3.005	0.100	18.438	0.296	6.9
SE570450-180651	1985-01-01	7.50	6.000	7.998	0.501	0.621	3.006	0.100	18.438	0.296	6.9
SE570450-180651	1985-01-01	8.50	6.000	7.998	0.501	0.621	3.006	0.100	18.439	0.296	6.9
SE570450-180651	1985-01-01	9.50	6.000	7.998	0.501	0.621	3.007	0.100	18.440	0.296	6.9
SE570450-180651	1985-01-01	70.50	6.000	7.979	0.505	0.625	3.059	0.100	18.478	0.296	6.9
SE570450-180651	1985-01-01	71.00	6.000	7.979	0.505	0.625	3.059	0.100	18.478	0.296	6.9
SE570450-180651	1985-01-02	0.00	6.000	8.064	0.502	0.620	3.030	0.107	18.423	0.288	6.9
SE570450-180651	1985-01-02	0.25	6.000	8.064	0.502	0.620	3.030	0.107	18.423	0.288	6.9
SE570450-180651	1985-01-02	0.75	6.000	8.059	0.502	0.621	3.030	0.107	18.448	0.293	6.9
SE570450-180651	1985-01-02	1.25	6.000	8.057	0.502	0.621	3.029	0.107	18.447	0.293	6.9
SE570450-180651	1985-01-02	1.75	6.000	8.055	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	2.25	6.000	8.054	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	2.75	6.000	8.053	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	3.25	6.000	8.052	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	3.75	6.000	8.051	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	4.50	6.000	8.049	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	5.50	6.000	8.048	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	6.50	6.000	8.047	0.502	0.621	3.029	0.106	18.447	0.293	6.9
SE570450-180651	1985-01-02	7.50	6.000	8.046	0.502	0.621	3.029	0.106	18.448	0.293	6.9
SE570450-180651	1985-01-02	8.50	6.000	8.045	0.502	0.621	3.029	0.106	18.448	0.293	6.9
SE570450-180651	1985-01-02	9.50	6.000	8.044	0.502	0.622	3.030	0.106	18.448	0.293	6.9
SE570450-180651	1985-01-02	70.50	6.000	7.948	0.514	0.633	3.150	0.100	18.562	0.285	6.9
SE570450-180651	1985-01-02	71.00	6.000	7.948	0.514	0.633	3.150	0.100	18.562	0.285	6.9
SE570450-180651	1985-01-03	0.00	6.213	8.405	0.504	0.606	3.334	0.159	18.040	0.571	7.0
SE570450-180651	1985-01-03	0.25	6.213	8.405	0.504	0.606	3.334	0.159	18.040	0.571	7.0
SE570450-180651	1985-01-03	0.75	6.213	8.400	0.504	0.607	3.334	0.158	18.065	0.581	7.0
SE570450-180651	1985-01-03	1.25	6.213	8.398	0.504	0.607	3.333	0.158	18.064	0.581	7.0
SE570450-180651	1985-01-03	1.75	6.213	8.396	0.504	0.607	3.333	0.158	18.063	0.581	7.0
SE570450-180651	1985-01-03	2.25	6.213	8.395	0.504	0.607	3.333	0.158	18.063	0.581	7.0
SE570450-180651	1985-01-03	2.75	6.213	8.394	0.504	0.607	3.333	0.158	18.063	0.581	7.0
SE570450-180651	1985-01-03	3.25	6.213	8.393	0.504	0.607	3.333	0.158	18.062	0.581	7.0
SE570450-180651	1985-01-03	3.75	6.213	8.392	0.504	0.607	3.333	0.158	18.062	0.581	7.0
SE570450-180651	1985-01-03	4.50	6.213	8.391	0.504	0.607	3.333	0.158	18.062	0.581	7.0
SE570450-180651	1985-01-03	5.50	6.213	8.390	0.504	0.607	3.333	0.158	18.062	0.581	7.0
SE570450-180651	1985-01-03	6.50	6.214	8.389	0.504	0.607	3.333	0.158	18.062	0.581	7.0
SE570450-180651	1985-01-03	7.50	6.214	8.388	0.504	0.607	3.333	0.158	18.061	0.581	7.0
SE570450-180651	1985-01-03	8.50	6.214	8.387	0.504	0.607	3.333	0.158	18.061	0.581	7.0
SE570450-180651	1985-01-03	9.50	6.214	8.386	0.504	0.607	3.333	0.158	18.061	0.582	7.0
SE570450-180651	1985-01-03	70.50	6.376	8.211	0.504	0.608	3.077	0.156	17.829	0.575	7.0
SE570450-180651	1985-01-03	71.00	6.376	8.211	0.504	0.608	3.077	0.156	17.829	0.575	7.0
SE570450-180651	1985-01-04	0.00	6.337	8.777	0.506	0.599	3.518	0.185	17.853	0.707	7.1
SE570450-180651	1985-01-04	0.25	6.337	8.777	0.506	0.599	3.518	0.185	17.853	0.707	7.1
SE570450-180651	1985-01-04	0.75	6.337	8.773	0.506	0.600	3.517	0.185	17.880	0.719	7.1
SE570450-180651	1985-01-04	1.25	6.337	8.771	0.506	0.600	3.517	0.185	17.879	0.719	7.1
SE570450-180651	1985-01-04	1.75	6.337	8.770	0.506	0.600	3.517	0.185	17.879	0.719	7.1
SE570450-180651	1985-01-04	2.25	6.337	8.769	0.506	0.600	3.517	0.185	17.879	0.720	7.1
SE570450-180651	1985-01-04	2.75	6.337	8.768	0.506	0.600	3.517	0.185	17.879	0.720	7.1
SE570450-180651	1985-01-04	3.25	6.337	8.767	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	3.75	6.337	8.766	0.506	0.600	3.517	0.184	17.879	0.720	7.1
SE570450-180651	1985-01-04	4.50	6.337	8.766	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	5.50	6.337	8.765	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	6.50	6.337	8.764	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	7.50	6.337	8.763	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	8.50	6.337	8.763	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	9.50	6.337	8.762	0.506	0.600	3.517	0.184	17.878	0.720	7.1
SE570450-180651	1985-01-04	70.50	6.593	8.490	0.505	0.600	3.126	0.182	17.525	0.710	7.1
SE570450-180651	1985-01-04	71.00	6.593	8.490	0.505	0.600	3.126	0.182	17.525	0.710	7.1
SE570450-180651	1985-01-05	0.00	6.418	8.965	0.509	0.595	3.645	0.200	17.760	0.776	7.1
SE570450-180651	1985-01-05	0.25	6.418	8.965	0.509	0.595	3.645	0.200	17.760	0.776	7.1
SE570450-180651	1985-01-05	0.75	6.418	8.963	0.509	0.597	3.645	0.199	17.790	0.789	7.1
SE570450-180651	1985-01-05	1.25	6.418	8.961	0.509	0.597	3.645	0.199	17.789	0.789	7.1
