EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE621157-148904	1985-01-01	0.00	6.000	8.061	0.500	0.619	3.005	0.103	18.406	0.290	6.8
SE621157-148904	1985-01-01	0.25	6.000	8.061	0.500	0.619	3.005	0.103	18.406	0.290	6.8
SE621157-148904	1985-01-01	0.75	6.000	8.055	0.500	0.621	3.004	0.102	18.434	0.295	6.8
SE621157-148904	1985-01-01	1.25	6.000	8.052	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	1.75	6.000	8.050	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	2.25	6.000	8.048	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	2.75	6.000	8.047	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	3.25	6.000	8.046	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	3.75	6.000	8.045	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	4.50	6.000	8.043	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	5.50	6.000	8.042	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	6.50	6.000	8.040	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	7.50	6.000	8.039	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	8.50	6.000	8.038	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	9.50	6.000	8.037	0.500	0.621	3.004	0.102	18.433	0.295	6.8
SE621157-148904	1985-01-01	45.50	6.000	7.974	0.507	0.627	3.074	0.100	18.494	0.296	6.8
SE621157-148904	1985-01-01	46.00	6.000	7.974	0.507	0.627	3.074	0.100	18.494	0.296	6.8
SE621157-148904	1985-01-02	0.00	6.000	8.072	0.501	0.619	3.016	0.106	18.414	0.286	6.8
SE621157-148904	1985-01-02	0.25	6.000	8.072	0.501	0.619	3.016	0.106	18.414	0.286	6.8
SE621157-148904	1985-01-02	0.75	6.000	8.070	0.501	0.621	3.015	0.105	18.441	0.291	6.8
SE621157-148904	1985-01-02	1.25	6.000	8.070	0.501	0.621	3.015	0.105	18.440	0.291	6.8
SE621157-148904	1985-01-02	1.75	6.000	8.069	0.501	0.621	3.015	0.105	18.440	0.291	6.8
SE621157-148904	1985-01-02	2.25	6.000	8.068	0.501	0.621	3.015	0.105	18.440	0.291	6.8
SE621157-148904	1985-01-02	2.75	6.000	8.068	0.501	0.621	3.015	0.105	18.440	0.291	6.8
SE621157-148904	1985-01-02	3.25	6.000	8.067	0.501	0.621	3.015	0.105	18.440	0.291	6.8
SE621157-148904	1985-01-02	3.75	6.000	8.067	0.501	0.621	3.015	0.104	18.440	0.291	6.8
SE621157-148904	1985-01-02	4.50	6.000	8.067	0.501	0.621	3.014	0.104	18.440	0.291	6.8
SE621157-148904	1985-01-02	5.50	6.000	8.066	0.501	0.621	3.014	0.104	18.440	0.291	6.8
SE621157-148904	1985-01-02	6.50	6.000	8.065	0.501	0.621	3.014	0.104	18.440	0.291	6.8
SE621157-148904	1985-01-02	7.50	6.000	8.065	0.501	0.621	3.014	0.104	18.440	0.291	6.8
SE621157-148904	1985-01-02	8.50	6.000	8.064	0.501	0.621	3.014	0.104	18.440	0.291	6.8
SE621157-148904	1985-01-02	9.50	6.000	8.064	0.501	0.621	3.014	0.104	18.441	0.291	6.8
SE621157-148904	1985-01-02	45.50	6.000	8.025	0.506	0.626	3.069	0.102	18.490	0.289	6.8
SE621157-148904	1985-01-02	46.00	6.000	8.025	0.506	0.626	3.069	0.102	18.490	0.289	6.8
SE621157-148904	1985-01-03	0.00	6.306	8.272	0.529	0.634	3.228	0.122	17.977	0.521	7.0
SE621157-148904	1985-01-03	0.25	6.306	8.272	0.529	0.634	3.228	0.122	17.977	0.521	7.0
SE621157-148904	1985-01-03	0.75	6.306	8.267	0.529	0.636	3.228	0.122	18.002	0.530	7.0
SE621157-148904	1985-01-03	1.25	6.307	8.264	0.529	0.636	3.229	0.122	18.000	0.531	7.0
SE621157-148904	1985-01-03	1.75	6.308	8.262	0.529	0.636	3.229	0.121	17.999	0.531	7.0
SE621157-148904	1985-01-03	2.25	6.308	8.260	0.529	0.636	3.229	0.121	17.998	0.532	7.0
SE621157-148904	1985-01-03	2.75	6.309	8.259	0.529	0.636	3.229	0.121	17.997	0.532	7.0
SE621157-148904	1985-01-03	3.25	6.309	8.258	0.529	0.636	3.229	0.121	17.997	0.532	7.0
SE621157-148904	1985-01-03	3.75	6.309	8.256	0.529	0.636	3.230	0.121	17.996	0.533	7.0
SE621157-148904	1985-01-03	4.50	6.310	8.255	0.529	0.636	3.230	0.121	17.995	0.533	7.0
SE621157-148904	1985-01-03	5.50	6.311	8.253	0.529	0.636	3.230	0.121	17.994	0.534	7.0
