EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE643920-211500	1985-01-01	0.00	3.000	8.067	0.500	0.619	3.008	0.100	18.405	0.290	6.8
SE643920-211500	1985-01-01	0.25	3.000	8.067	0.500	0.619	3.008	0.100	18.405	0.290	6.8
SE643920-211500	1985-01-01	0.75	3.000	8.061	0.500	0.621	3.008	0.100	18.433	0.295	6.8
SE643920-211500	1985-01-01	1.25	3.000	8.058	0.500	0.621	3.008	0.100	18.433	0.295	6.8
SE643920-211500	1985-01-01	1.75	3.000	8.056	0.500	0.621	3.008	0.100	18.433	0.295	6.8
SE643920-211500	1985-01-01	2.25	3.000	8.055	0.500	0.621	3.009	0.100	18.433	0.295	6.8
SE643920-211500	1985-01-01	2.75	3.000	8.053	0.500	0.621	3.009	0.100	18.433	0.295	6.8
SE643920-211500	1985-01-01	3.25	3.000	8.052	0.500	0.621	3.009	0.100	18.433	0.295	6.8
SE643920-211500	1985-01-01	3.75	3.000	8.051	0.500	0.621	3.009	0.100	18.434	0.295	6.8
SE643920-211500	1985-01-01	4.50	3.000	8.050	0.500	0.621	3.009	0.100	18.434	0.295	6.8
SE643920-211500	1985-01-01	5.50	3.000	8.048	0.500	0.621	3.009	0.100	18.434	0.295	6.8
SE643920-211500	1985-01-01	6.50	3.000	8.047	0.500	0.621	3.009	0.100	18.434	0.295	6.8
SE643920-211500	1985-01-01	7.50	3.000	8.046	0.500	0.621	3.010	0.100	18.435	0.295	6.8
SE643920-211500	1985-01-01	8.50	3.000	8.045	0.500	0.621	3.011	0.100	18.435	0.295	6.8
SE643920-211500	1985-01-01	9.50	3.000	8.043	0.501	0.621	3.012	0.100	18.436	0.295	6.8
SE643920-211500	1985-01-01	16.50	3.000	7.978	0.503	0.623	3.066	0.100	18.485	0.296	6.8
SE643920-211500	1985-01-01	17.00	3.000	7.978	0.503	0.623	3.066	0.100	18.485	0.296	6.8
SE643920-211500	1985-01-02	0.00	3.000	8.308	0.502	0.619	3.038	0.101	18.411	0.274	6.9
SE643920-211500	1985-01-02	0.25	3.000	8.308	0.502	0.619	3.038	0.101	18.411	0.274	6.9
SE643920-211500	1985-01-02	0.75	3.000	8.302	0.502	0.620	3.038	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	1.25	3.000	8.298	0.502	0.620	3.038	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	1.75	3.000	8.296	0.502	0.620	3.038	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	2.25	3.000	8.294	0.502	0.620	3.038	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	2.75	3.000	8.293	0.502	0.620	3.038	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	3.25	3.000	8.292	0.502	0.620	3.038	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	3.75	3.000	8.291	0.502	0.620	3.039	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	4.50	3.000	8.289	0.502	0.620	3.039	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	5.50	3.000	8.288	0.502	0.620	3.039	0.101	18.436	0.279	6.9
SE643920-211500	1985-01-02	6.50	3.000	8.287	0.502	0.620	3.039	0.101	18.436	0.279	6.9
