EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE574160-113351	1985-01-01	0.00	20.000	8.036	0.500	0.619	3.002	0.101	18.402	0.290	6.8
SE574160-113351	1985-01-01	0.25	20.000	8.036	0.500	0.619	3.002	0.101	18.402	0.290	6.8
SE574160-113351	1985-01-01	0.75	20.000	8.033	0.500	0.621	3.002	0.101	18.431	0.295	6.8
SE574160-113351	1985-01-01	1.25	20.000	8.031	0.500	0.621	3.002	0.101	18.431	0.295	6.8
SE574160-113351	1985-01-01	1.75	20.000	8.030	0.500	0.621	3.002	0.101	18.431	0.295	6.8
SE574160-113351	1985-01-01	2.25	20.000	8.029	0.500	0.621	3.002	0.101	18.431	0.295	6.8
SE574160-113351	1985-01-01	2.75	20.000	8.028	0.500	0.621	3.002	0.101	18.431	0.295	6.8
SE574160-113351	1985-01-01	3.25	20.000	8.028	0.500	0.621	3.002	0.101	18.431	0.295	6.8
SE574160-113351	1985-01-01	3.75	20.000	8.027	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	4.50	20.000	8.027	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	5.50	20.000	8.026	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	6.50	20.000	8.025	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	7.50	20.000	8.025	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	8.50	20.000	8.024	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	9.50	20.000	8.024	0.500	0.621	3.002	0.100	18.431	0.295	6.8
SE574160-113351	1985-01-01	88.25	20.000	7.983	0.505	0.625	3.050	0.100	18.483	0.298	6.8
SE574160-113351	1985-01-01	89.00	20.000	7.983	0.505	0.625	3.050	0.100	18.483	0.298	6.8
SE574160-113351	1985-01-02	0.00	20.000	8.058	0.501	0.619	3.010	0.101	18.406	0.285	6.8
SE574160-113351	1985-01-02	0.25	20.000	8.058	0.501	0.619	3.010	0.101	18.406	0.285	6.8
SE574160-113351	1985-01-02	0.75	20.000	8.056	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	1.25	20.000	8.055	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	1.75	20.000	8.055	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	2.25	20.000	8.054	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	2.75	20.000	8.054	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	3.25	20.000	8.053	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	3.75	20.000	8.053	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	4.50	20.000	8.052	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	5.50	20.000	8.052	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	6.50	20.000	8.051	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	7.50	20.000	8.051	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	8.50	20.000	8.051	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	9.50	20.000	8.051	0.501	0.621	3.010	0.100	18.435	0.290	6.8
SE574160-113351	1985-01-02	88.25	20.000	8.042	0.502	0.622	3.021	0.100	18.444	0.290	6.8
SE574160-113351	1985-01-02	89.00	20.000	8.042	0.502	0.622	3.021	0.100	18.444	0.290	6.8
SE574160-113351	1985-01-03	0.00	20.762	8.114	0.640	0.716	5.857	0.353	14.360	1.123	9.9
SE574160-113351	1985-01-03	0.25	20.762	8.114	0.640	0.716	5.857	0.353	14.360	1.123	9.9
SE574160-113351	1985-01-03	0.75	20.762	8.112	0.640	0.718	5.858	0.353	14.387	1.142	9.9
SE574160-113351	1985-01-03	1.25	20.764	8.111	0.640	0.718	5.861	0.353	14.380	1.143	9.9
SE574160-113351	1985-01-03	1.75	20.765	8.110	0.640	0.718	5.864	0.353	14.375	1.144	9.9
SE574160-113351	1985-01-03	2.25	20.766	8.109	0.640	0.719	5.866	0.353	14.371	1.145	9.9
SE574160-113351	1985-01-03	2.75	20.767	8.108	0.640	0.719	5.867	0.353	14.368	1.146	9.9
SE574160-113351	1985-01-03	3.25	20.768	8.107	0.640	0.719	5.869	0.353	14.364	1.146	9.9
SE574160-113351	1985-01-03	3.75	20.769	8.106	0.640	0.719	5.870	0.354	14.361	1.147	9.9
SE574160-113351	1985-01-03	4.50	20.770	8.105	0.641	0.719	5.873	0.354	14.357	1.148	9.9
SE574160-113351	1985-01-03	5.50	20.772	8.104	0.641	0.719	5.876	0.354	14.351	1.149	9.9
SE574160-113351	1985-01-03	6.50	20.774	8.102	0.641	0.719	5.879	0.354	14.345	1.151	9.9
SE574160-113351	1985-01-03	7.50	20.776	8.100	0.641	0.720	5.883	0.355	14.338	1.152	9.9
SE574160-113351	1985-01-03	8.50	20.780	8.098	0.642	0.720	5.889	0.355	14.329	1.154	9.9
SE574160-113351	1985-01-03	9.50	20.785	8.094	0.642	0.720	5.897	0.356	14.316	1.157	9.9
SE574160-113351	1985-01-03	88.25	31.346	6.369	0.825	0.896	7.899	0.404	11.973	1.183	9.9
SE574160-113351	1985-01-03	89.00	31.346	6.369	0.825	0.896	7.899	0.404	11.973	1.183	9.9
SE574160-113351	1985-01-04	0.00	21.044	8.187	0.659	0.731	6.337	0.365	13.915	1.236	***
SE574160-113351	1985-01-04	0.25	21.044	8.187	0.659	0.731	6.337	0.365	13.915	1.236	***
SE574160-113351	1985-01-04	0.75	21.045	8.184	0.659	0.733	6.337	0.365	13.949	1.257	***
SE574160-113351	1985-01-04	1.25	21.047	8.182	0.659	0.733	6.338	0.365	13.946	1.257	***
SE574160-113351	1985-01-04	1.75	21.048	8.180	0.659	0.734	6.338	0.365	13.943	1.257	***
SE574160-113351	1985-01-04	2.25	21.050	8.179	0.659	0.734	6.339	0.365	13.942	1.257	***
SE574160-113351	1985-01-04	2.75	21.051	8.178	0.659	0.734	6.339	0.365	13.940	1.258	***
SE574160-113351	1985-01-04	3.25	21.053	8.177	0.659	0.734	6.340	0.365	13.938	1.258	***
SE574160-113351	1985-01-04	3.75	21.054	8.176	0.659	0.734	6.340	0.365	13.937	1.258	***
SE574160-113351	1985-01-04	4.50	21.057	8.175	0.659	0.734	6.341	0.365	13.934	1.258	***
SE574160-113351	1985-01-04	5.50	21.061	8.173	0.659	0.734	6.342	0.365	13.931	1.258	***
SE574160-113351	1985-01-04	6.50	21.066	8.170	0.660	0.734	6.344	0.365	13.928	1.258	***
SE574160-113351	1985-01-04	7.50	21.072	8.168	0.660	0.734	6.346	0.365	13.924	1.259	***
SE574160-113351	1985-01-04	8.50	21.081	8.164	0.660	0.734	6.348	0.366	13.919	1.259	***
SE574160-113351	1985-01-04	9.50	21.092	8.161	0.660	0.735	6.352	0.366	13.913	1.259	***
SE574160-113351	1985-01-04	88.25	32.646	6.163	0.864	0.929	8.483	0.426	11.252	1.224	***
SE574160-113351	1985-01-04	89.00	32.646	6.163	0.864	0.929	8.483	0.426	11.252	1.224	***
SE574160-113351	1985-01-05	0.00	21.207	8.279	0.663	0.735	6.550	0.352	13.940	1.265	***
