EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE560290-154710	1985-01-01	0.00	6.000	8.156	0.502	0.620	3.034	0.109	18.428	0.287	6.9
SE560290-154710	1985-01-01	0.25	6.000	8.156	0.502	0.620	3.034	0.109	18.428	0.287	6.9
SE560290-154710	1985-01-01	0.75	6.000	8.151	0.502	0.622	3.034	0.109	18.453	0.292	6.9
SE560290-154710	1985-01-01	1.25	6.000	8.148	0.502	0.622	3.035	0.109	18.453	0.292	6.9
SE560290-154710	1985-01-01	1.75	6.000	8.146	0.502	0.622	3.035	0.108	18.453	0.292	6.9
SE560290-154710	1985-01-01	2.25	6.000	8.145	0.502	0.622	3.035	0.108	18.454	0.292	6.9
SE560290-154710	1985-01-01	2.75	6.000	8.144	0.502	0.622	3.035	0.108	18.453	0.292	6.9
SE560290-154710	1985-01-01	3.25	6.000	8.143	0.502	0.622	3.035	0.108	18.453	0.292	6.9
SE560290-154710	1985-01-01	3.75	6.000	8.141	0.503	0.622	3.037	0.108	18.456	0.292	6.9
SE560290-154710	1985-01-01	4.50	6.000	8.140	0.503	0.622	3.035	0.108	18.454	0.292	6.9
SE560290-154710	1985-01-01	5.50	6.000	8.138	0.503	0.622	3.036	0.108	18.454	0.292	6.9
SE560290-154710	1985-01-01	6.50	6.000	8.135	0.503	0.622	3.038	0.108	18.456	0.292	6.9
SE560290-154710	1985-01-01	7.50	6.000	8.131	0.503	0.622	3.044	0.108	18.457	0.292	6.9
SE560290-154710	1985-01-01	8.00	6.000	8.131	0.503	0.622	3.044	0.108	18.457	0.292	6.9
SE560290-154710	1985-01-02	0.00	6.000	8.327	0.508	0.624	3.127	0.135	18.513	0.291	6.9
SE560290-154710	1985-01-02	0.25	6.000	8.327	0.508	0.624	3.127	0.135	18.513	0.291	6.9
SE560290-154710	1985-01-02	0.75	6.000	8.326	0.508	0.625	3.127	0.135	18.528	0.295	6.9
SE560290-154710	1985-01-02	1.25	6.000	8.325	0.508	0.625	3.127	0.134	18.528	0.295	6.9
SE560290-154710	1985-01-02	1.75	6.000	8.325	0.508	0.625	3.128	0.134	18.528	0.295	6.9
SE560290-154710	1985-01-02	2.25	6.000	8.324	0.508	0.625	3.128	0.134	18.529	0.295	6.9
SE560290-154710	1985-01-02	2.75	6.000	8.324	0.508	0.625	3.128	0.134	18.528	0.296	6.9
SE560290-154710	1985-01-02	3.25	6.000	8.324	0.508	0.625	3.127	0.134	18.528	0.296	6.9
SE560290-154710	1985-01-02	3.75	6.000	8.323	0.509	0.625	3.130	0.133	18.530	0.296	6.9
SE560290-154710	1985-01-02	4.50	6.000	8.324	0.508	0.625	3.128	0.133	18.528	0.296	6.9
SE560290-154710	1985-01-02	5.50	6.000	8.323	0.509	0.625	3.129	0.133	18.529	0.296	6.9
SE560290-154710	1985-01-02	6.50	6.000	8.322	0.509	0.625	3.131	0.133	18.531	0.296	6.9
SE560290-154710	1985-01-02	7.50	6.000	8.319	0.509	0.626	3.136	0.132	18.534	0.296	6.9
SE560290-154710	1985-01-02	8.00	6.000	8.319	0.509	0.626	3.136	0.132	18.534	0.296	6.9
SE560290-154710	1985-01-03	0.00	6.033	8.521	0.515	0.628	3.222	0.157	18.477	0.326	7.0
SE560290-154710	1985-01-03	0.25	6.033	8.521	0.515	0.628	3.222	0.157	18.477	0.326	7.0
SE560290-154710	1985-01-03	0.75	6.033	8.516	0.515	0.629	3.222	0.157	18.488	0.332	7.0
SE560290-154710	1985-01-03	1.25	6.033	8.512	0.516	0.629	3.223	0.157	18.488	0.332	7.0
SE560290-154710	1985-01-03	1.75	6.034	8.510	0.516	0.629	3.223	0.156	18.488	0.332	7.0
SE560290-154710	1985-01-03	2.25	6.034	8.507	0.516	0.629	3.223	0.156	18.487	0.333	7.0
SE560290-154710	1985-01-03	2.75	6.035	8.504	0.516	0.629	3.223	0.156	18.485	0.333	7.0
SE560290-154710	1985-01-03	3.25	6.037	8.501	0.516	0.629	3.223	0.156	18.482	0.335	7.0
SE560290-154710	1985-01-03	3.75	6.039	8.495	0.516	0.629	3.225	0.155	18.480	0.336	7.0
SE560290-154710	1985-01-03	4.50	6.047	8.483	0.516	0.629	3.224	0.154	18.464	0.342	7.0
SE560290-154710	1985-01-03	5.50	6.111	8.404	0.520	0.631	3.227	0.144	18.350	0.388	7.0
SE560290-154710	1985-01-03	6.50	6.149	8.365	0.522	0.632	3.231	0.139	18.287	0.416	7.0
SE560290-154710	1985-01-03	7.50	6.186	8.333	0.524	0.634	3.237	0.135	18.223	0.443	7.0
SE560290-154710	1985-01-03	8.00	6.186	8.333	0.524	0.634	3.237	0.135	18.223	0.443	7.0
SE560290-154710	1985-01-04	0.00	6.181	9.103	0.530	0.636	3.339	0.169	18.319	0.424	7.1
SE560290-154710	1985-01-04	0.25	6.181	9.103	0.530	0.636	3.339	0.169	18.319	0.424	7.1
SE560290-154710	1985-01-04	0.75	6.181	9.099	0.530	0.637	3.339	0.169	18.333	0.431	7.1
SE560290-154710	1985-01-04	1.25	6.182	9.096	0.530	0.637	3.339	0.169	18.333	0.431	7.1
SE560290-154710	1985-01-04	1.75	6.182	9.094	0.530	0.637	3.339	0.168	18.333	0.432	7.1
SE560290-154710	1985-01-04	2.25	6.182	9.092	0.530	0.638	3.340	0.168	18.333	0.432	7.1
SE560290-154710	1985-01-04	2.75	6.182	9.090	0.530	0.637	3.340	0.168	18.332	0.432	7.1
SE560290-154710	1985-01-04	3.25	6.183	9.089	0.530	0.637	3.339	0.168	18.331	0.432	7.1
SE560290-154710	1985-01-04	3.75	6.183	9.086	0.530	0.638	3.341	0.168	18.332	0.433	7.1
SE560290-154710	1985-01-04	4.50	6.185	9.082	0.530	0.638	3.340	0.168	18.328	0.434	7.1
SE560290-154710	1985-01-04	5.50	6.189	9.070	0.530	0.638	3.341	0.167	18.321	0.437	7.1
SE560290-154710	1985-01-04	6.50	6.204	9.035	0.531	0.638	3.344	0.165	18.295	0.447	7.1
SE560290-154710	1985-01-04	7.50	6.294	8.845	0.537	0.641	3.358	0.153	18.135	0.510	7.1
SE560290-154710	1985-01-04	8.00	6.294	8.845	0.537	0.641	3.358	0.153	18.135	0.510	7.1
SE560290-154710	1985-01-05	0.00	6.329	9.472	0.544	0.644	3.451	0.178	18.151	0.506	7.1
SE560290-154710	1985-01-05	0.25	6.329	9.472	0.544	0.644	3.451	0.178	18.151	0.506	7.1
SE560290-154710	1985-01-05	0.75	6.329	9.469	0.544	0.645	3.451	0.178	18.167	0.514	7.1
SE560290-154710	1985-01-05	1.25	6.329	9.467	0.544	0.645	3.452	0.178	18.167	0.515	7.1
SE560290-154710	1985-01-05	1.75	6.330	9.466	0.544	0.645	3.452	0.178	18.166	0.515	7.1
SE560290-154710	1985-01-05	2.25	6.330	9.464	0.544	0.645	3.452	0.178	18.166	0.515	7.1
SE560290-154710	1985-01-05	2.75	6.330	9.462	0.544	0.645	3.452	0.178	18.165	0.515	7.1
SE560290-154710	1985-01-05	3.25	6.331	9.460	0.544	0.645	3.452	0.177	18.164	0.515	7.1
SE560290-154710	1985-01-05	3.75	6.331	9.457	0.544	0.646	3.454	0.177	18.165	0.516	7.1
SE560290-154710	1985-01-05	4.50	6.333	9.452	0.544	0.646	3.452	0.177	18.161	0.517	7.1
SE560290-154710	1985-01-05	5.50	6.339	9.432	0.544	0.646	3.453	0.176	18.151	0.521	7.1
SE560290-154710	1985-01-05	6.50	6.363	9.359	0.546	0.647	3.457	0.172	18.109	0.537	7.1
SE560290-154710	1985-01-05	7.50	6.502	8.962	0.555	0.651	3.473	0.150	17.864	0.632	7.1
SE560290-154710	1985-01-05	8.00	6.502	8.962	0.555	0.651	3.473	0.150	17.864	0.632	7.1
SE560290-154710	1985-01-06	0.00	6.372	9.300	0.550	0.647	3.554	0.217	18.177	0.512	7.2
SE560290-154710	1985-01-06	0.25	6.372	9.300	0.550	0.647	3.554	0.217	18.177	0.512	7.2
SE560290-154710	1985-01-06	0.75	6.373	9.295	0.550	0.648	3.550	0.212	18.179	0.522	7.2
SE560290-154710	1985-01-06	1.25	6.386	9.274	0.552	0.649	3.546	0.199	18.147	0.537	7.2
SE560290-154710	1985-01-06	1.75	6.414	9.219	0.554	0.651	3.543	0.182	18.091	0.563	7.2
SE560290-154710	1985-01-06	2.25	6.450	9.142	0.557	0.653	3.544	0.168	18.025	0.593	7.2
SE560290-154710	1985-01-06	2.75	6.481	9.076	0.559	0.655	3.546	0.159	17.973	0.615	7.2
SE560290-154710	1985-01-06	3.25	6.539	8.952	0.562	0.657	3.550	0.148	17.874	0.653	7.2
SE560290-154710	1985-01-06	3.75	6.587	8.855	0.565	0.659	3.554	0.141	17.799	0.684	7.2
SE560290-154710	1985-01-06	4.50	6.629	8.778	0.567	0.659	3.547	0.136	17.724	0.712	7.2
SE560290-154710	1985-01-06	5.50	6.662	8.725	0.568	0.660	3.541	0.134	17.666	0.733	7.2
SE560290-154710	1985-01-06	6.50	6.674	8.706	0.569	0.661	3.548	0.132	17.654	0.742	7.2
SE560290-154710	1985-01-06	7.50	6.680	8.693	0.571	0.662	3.568	0.132	17.651	0.747	7.2
SE560290-154710	1985-01-06	8.00	6.680	8.693	0.571	0.662	3.568	0.132	17.651	0.747	7.2
SE560290-154710	1985-01-07	0.00	6.406	9.125	0.556	0.649	3.646	0.249	18.217	0.511	7.2
SE560290-154710	1985-01-07	0.25	6.406	9.125	0.556	0.649	3.646	0.249	18.217	0.511	7.2
SE560290-154710	1985-01-07	0.75	6.407	9.122	0.556	0.650	3.642	0.245	18.218	0.521	7.2
SE560290-154710	1985-01-07	1.25	6.447	9.079	0.559	0.653	3.626	0.208	18.112	0.564	7.2
SE560290-154710	1985-01-07	1.75	6.487	9.022	0.562	0.655	3.615	0.182	18.026	0.602	7.2
SE560290-154710	1985-01-07	2.25	6.526	8.960	0.564	0.657	3.606	0.165	17.948	0.635	7.2
SE560290-154710	1985-01-07	2.75	6.561	8.903	0.566	0.658	3.594	0.153	17.881	0.662	7.2
SE560290-154710	1985-01-07	3.25	6.588	8.861	0.566	0.658	3.584	0.146	17.831	0.682	7.2
SE560290-154710	1985-01-07	3.75	6.606	8.830	0.568	0.660	3.587	0.142	17.810	0.694	7.2
SE560290-154710	1985-01-07	4.50	6.626	8.775	0.572	0.664	3.614	0.135	17.797	0.710	7.2
SE560290-154710	1985-01-07	5.50	6.650	8.725	0.576	0.668	3.645	0.131	17.789	0.723	7.2
SE560290-154710	1985-01-07	6.50	6.665	8.690	0.580	0.672	3.684	0.130	17.802	0.731	7.2
SE560290-154710	1985-01-07	7.50	6.675	8.659	0.586	0.676	3.743	0.130	17.827	0.734	7.2
SE560290-154710	1985-01-07	8.00	6.675	8.659	0.586	0.676	3.743	0.130	17.827	0.734	7.2
SE560290-154710	1985-01-08	0.00	6.437	9.006	0.561	0.652	3.734	0.276	18.258	0.495	7.3
SE560290-154710	1985-01-08	0.25	6.437	9.006	0.561	0.652	3.734	0.276	18.258	0.495	7.3
SE560290-154710	1985-01-08	0.75	6.437	9.004	0.561	0.653	3.730	0.271	18.258	0.504	7.3
SE560290-154710	1985-01-08	1.25	6.477	8.975	0.565	0.656	3.707	0.229	18.146	0.546	7.3
SE560290-154710	1985-01-08	1.75	6.516	8.941	0.567	0.658	3.689	0.198	18.051	0.585	7.3
SE560290-154710	1985-01-08	2.25	6.549	8.909	0.569	0.660	3.673	0.177	17.977	0.617	7.3
SE560290-154710	1985-01-08	2.75	6.578	8.885	0.570	0.660	3.657	0.163	17.917	0.643	7.3
SE560290-154710	1985-01-08	3.25	6.601	8.871	0.571	0.660	3.641	0.154	17.873	0.663	7.3
SE560290-154710	1985-01-08	3.75	6.618	8.867	0.570	0.660	3.629	0.150	17.847	0.676	7.3
SE560290-154710	1985-01-08	4.50	6.625	8.810	0.576	0.666	3.670	0.142	17.865	0.684	7.3
SE560290-154710	1985-01-08	5.50	6.637	8.738	0.583	0.674	3.741	0.135	17.900	0.691	7.3
SE560290-154710	1985-01-08	6.50	6.649	8.679	0.591	0.682	3.818	0.131	17.949	0.698	7.3
SE560290-154710	1985-01-08	7.50	6.657	8.631	0.600	0.689	3.906	0.130	18.003	0.702	7.3
SE560290-154710	1985-01-08	8.00	6.657	8.631	0.600	0.689	3.906	0.130	18.003	0.702	7.3
