EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE622384-147046	1985-01-01	0.00	6.000	8.109	0.503	0.621	3.048	0.113	18.438	0.286	6.9
SE622384-147046	1985-01-01	0.25	6.000	8.109	0.503	0.621	3.048	0.113	18.438	0.286	6.9
SE622384-147046	1985-01-01	0.75	6.000	8.105	0.503	0.622	3.048	0.112	18.461	0.291	6.9
SE622384-147046	1985-01-01	1.25	6.000	8.103	0.503	0.622	3.049	0.112	18.461	0.291	6.9
SE622384-147046	1985-01-01	1.75	6.000	8.102	0.503	0.622	3.050	0.112	18.462	0.291	6.9
SE622384-147046	1985-01-01	2.25	6.000	8.100	0.504	0.622	3.051	0.112	18.464	0.291	6.9
SE622384-147046	1985-01-01	2.75	6.000	8.098	0.504	0.623	3.054	0.112	18.467	0.291	6.9
SE622384-147046	1985-01-01	3.25	6.000	8.095	0.505	0.623	3.061	0.112	18.473	0.291	6.9
SE622384-147046	1985-01-01	3.75	6.000	8.091	0.505	0.624	3.070	0.112	18.474	0.291	6.9
SE622384-147046	1985-01-01	4.00	6.000	8.091	0.505	0.624	3.070	0.112	18.474	0.291	6.9
SE622384-147046	1985-01-02	0.00	6.000	8.190	0.512	0.627	3.185	0.152	18.569	0.286	7.0
SE622384-147046	1985-01-02	0.25	6.000	8.190	0.512	0.627	3.185	0.152	18.569	0.286	7.0
SE622384-147046	1985-01-02	0.75	6.000	8.189	0.512	0.627	3.185	0.151	18.581	0.291	7.0
SE622384-147046	1985-01-02	1.25	6.000	8.188	0.512	0.627	3.185	0.150	18.581	0.291	7.0
SE622384-147046	1985-01-02	1.75	6.000	8.188	0.512	0.628	3.186	0.150	18.581	0.291	7.0
SE622384-147046	1985-01-02	2.25	6.000	8.187	0.512	0.628	3.187	0.150	18.583	0.291	7.0
SE622384-147046	1985-01-02	2.75	6.000	8.186	0.513	0.628	3.190	0.150	18.585	0.291	7.0
SE622384-147046	1985-01-02	3.25	6.000	8.183	0.513	0.629	3.196	0.150	18.591	0.291	7.0
SE622384-147046	1985-01-02	3.75	6.000	8.180	0.514	0.629	3.205	0.149	18.596	0.291	7.0
SE622384-147046	1985-01-02	4.00	6.000	8.180	0.514	0.629	3.205	0.149	18.596	0.291	7.0
SE622384-147046	1985-01-03	0.00	5.996	8.394	0.523	0.636	3.598	0.213	19.098	0.286	7.0
SE622384-147046	1985-01-03	0.25	5.996	8.394	0.523	0.636	3.598	0.213	19.098	0.286	7.0
SE622384-147046	1985-01-03	0.75	5.996	8.390	0.523	0.637	3.599	0.212	19.108	0.290	7.0
SE622384-147046	1985-01-03	1.25	5.996	8.387	0.523	0.637	3.598	0.212	19.106	0.291	7.0
SE622384-147046	1985-01-03	1.75	5.996	8.385	0.523	0.637	3.598	0.212	19.106	0.291	7.0
SE622384-147046	1985-01-03	2.25	5.996	8.384	0.523	0.637	3.599	0.212	19.106	0.291	7.0
SE622384-147046	1985-01-03	2.75	5.996	8.382	0.523	0.637	3.601	0.212	19.108	0.291	7.0
SE622384-147046	1985-01-03	3.25	5.997	8.379	0.524	0.638	3.605	0.212	19.112	0.291	7.0
SE622384-147046	1985-01-03	3.75	5.998	8.375	0.524	0.638	3.611	0.211	19.112	0.292	7.0
SE622384-147046	1985-01-03	4.00	5.998	8.375	0.524	0.638	3.611	0.211	19.112	0.292	7.0
SE622384-147046	1985-01-04	0.00	5.994	8.497	0.531	0.644	4.011	0.282	19.637	0.282	7.0
SE622384-147046	1985-01-04	0.25	5.994	8.497	0.531	0.644	4.011	0.282	19.637	0.282	7.0
SE622384-147046	1985-01-04	0.75	5.994	8.497	0.532	0.644	4.013	0.280	19.646	0.287	7.0
SE622384-147046	1985-01-04	1.25	5.994	8.496	0.532	0.644	4.005	0.278	19.633	0.287	7.0
SE622384-147046	1985-01-04	1.75	5.995	8.495	0.532	0.645	3.987	0.273	19.604	0.289	7.0
SE622384-147046	1985-01-04	2.25	6.003	8.487	0.534	0.647	3.931	0.255	19.505	0.298	7.0
SE622384-147046	1985-01-04	2.75	6.019	8.474	0.537	0.650	3.912	0.243	19.432	0.311	7.0
SE622384-147046	1985-01-04	3.25	6.086	8.452	0.545	0.655	3.901	0.226	19.260	0.355	7.0
SE622384-147046	1985-01-04	3.75	6.185	8.443	0.551	0.657	3.860	0.210	18.992	0.424	7.0
SE622384-147046	1985-01-04	4.00	6.185	8.443	0.551	0.657	3.860	0.210	18.992	0.424	7.0
