EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE560900-145280	1985-01-01	0.00	6.000	8.058	0.500	0.619	3.006	0.102	18.406	0.290	6.8
SE560900-145280	1985-01-01	0.25	6.000	8.058	0.500	0.619	3.006	0.102	18.406	0.290	6.8
SE560900-145280	1985-01-01	0.75	6.000	8.053	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	1.25	6.000	8.050	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	1.75	6.000	8.048	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	2.25	6.000	8.047	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	2.75	6.000	8.046	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	3.25	6.000	8.044	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	3.75	6.000	8.043	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	4.50	6.000	8.042	0.500	0.621	3.006	0.102	18.434	0.295	6.8
SE560900-145280	1985-01-01	5.50	6.000	8.041	0.500	0.621	3.006	0.102	18.435	0.295	6.8
SE560900-145280	1985-01-01	6.50	6.000	8.039	0.500	0.621	3.006	0.102	18.435	0.295	6.8
SE560900-145280	1985-01-01	7.50	6.000	8.038	0.500	0.621	3.006	0.102	18.435	0.295	6.8
SE560900-145280	1985-01-01	8.50	6.000	8.037	0.500	0.621	3.006	0.102	18.435	0.295	6.8
SE560900-145280	1985-01-01	9.50	6.000	8.036	0.500	0.621	3.007	0.101	18.435	0.295	6.8
SE560900-145280	1985-01-01	22.50	6.000	7.979	0.505	0.625	3.060	0.100	18.479	0.296	6.8
SE560900-145280	1985-01-01	23.00	6.000	7.979	0.505	0.625	3.060	0.100	18.479	0.296	6.8
SE560900-145280	1985-01-02	0.00	6.000	8.103	0.502	0.620	3.026	0.106	18.420	0.289	6.9
SE560900-145280	1985-01-02	0.25	6.000	8.103	0.502	0.620	3.026	0.106	18.420	0.289	6.9
SE560900-145280	1985-01-02	0.75	6.000	8.101	0.502	0.621	3.025	0.106	18.446	0.294	6.9
SE560900-145280	1985-01-02	1.25	6.000	8.100	0.502	0.621	3.025	0.106	18.446	0.294	6.9
SE560900-145280	1985-01-02	1.75	6.000	8.099	0.502	0.621	3.025	0.106	18.446	0.294	6.9
SE560900-145280	1985-01-02	2.25	6.000	8.099	0.502	0.621	3.025	0.106	18.446	0.294	6.9
SE560900-145280	1985-01-02	2.75	6.000	8.098	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	3.25	6.000	8.098	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	3.75	6.000	8.097	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	4.50	6.000	8.097	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	5.50	6.000	8.096	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	6.50	6.000	8.095	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	7.50	6.000	8.095	0.502	0.621	3.025	0.105	18.446	0.294	6.9
SE560900-145280	1985-01-02	8.50	6.000	8.094	0.502	0.621	3.025	0.105	18.447	0.294	6.9
SE560900-145280	1985-01-02	9.50	6.000	8.094	0.502	0.622	3.025	0.105	18.447	0.294	6.9
SE560900-145280	1985-01-02	22.50	6.000	8.084	0.503	0.623	3.042	0.104	18.459	0.294	6.9
SE560900-145280	1985-01-02	23.00	6.000	8.084	0.503	0.623	3.042	0.104	18.459	0.294	6.9
SE560900-145280	1985-01-03	0.00	6.129	8.225	0.516	0.630	3.184	0.117	18.301	0.395	6.9
SE560900-145280	1985-01-03	0.25	6.129	8.225	0.516	0.630	3.184	0.117	18.301	0.395	6.9
SE560900-145280	1985-01-03	0.75	6.129	8.221	0.516	0.632	3.184	0.117	18.332	0.402	6.9
SE560900-145280	1985-01-03	1.25	6.131	8.217	0.516	0.632	3.184	0.116	18.328	0.402	6.9
SE560900-145280	1985-01-03	1.75	6.133	8.215	0.516	0.632	3.183	0.116	18.323	0.403	6.9
SE560900-145280	1985-01-03	2.25	6.135	8.212	0.516	0.632	3.183	0.116	18.318	0.404	6.9
SE560900-145280	1985-01-03	2.75	6.138	8.210	0.516	0.632	3.183	0.116	18.312	0.406	6.9
SE560900-145280	1985-01-03	3.25	6.143	8.206	0.517	0.632	3.183	0.116	18.304	0.409	6.9
SE560900-145280	1985-01-03	3.75	6.149	8.203	0.517	0.633	3.184	0.115	18.291	0.412	6.9
SE560900-145280	1985-01-03	4.50	6.164	8.196	0.519	0.634	3.187	0.115	18.264	0.421	6.9
SE560900-145280	1985-01-03	5.50	6.206	8.185	0.522	0.636	3.199	0.114	18.192	0.448	6.9
SE560900-145280	1985-01-03	6.50	6.263	8.184	0.526	0.636	3.210	0.113	18.084	0.487	6.9
SE560900-145280	1985-01-03	7.50	6.279	8.191	0.528	0.637	3.220	0.114	18.058	0.501	6.9
SE560900-145280	1985-01-03	8.50	6.293	8.199	0.529	0.637	3.229	0.114	18.038	0.512	6.9
SE560900-145280	1985-01-03	9.50	6.305	8.207	0.530	0.638	3.237	0.115	18.021	0.523	6.9
SE560900-145280	1985-01-03	22.50	6.409	8.205	0.540	0.644	3.312	0.117	17.870	0.595	6.9
SE560900-145280	1985-01-03	23.00	6.409	8.205	0.540	0.644	3.312	0.117	17.870	0.595	6.9
SE560900-145280	1985-01-04	0.00	6.442	8.484	0.544	0.645	3.389	0.126	17.865	0.618	7.0
SE560900-145280	1985-01-04	0.25	6.442	8.484	0.544	0.645	3.389	0.126	17.865	0.618	7.0
SE560900-145280	1985-01-04	0.75	6.442	8.479	0.544	0.647	3.389	0.126	17.899	0.629	7.0
SE560900-145280	1985-01-04	1.25	6.442	8.476	0.544	0.647	3.389	0.126	17.897	0.629	7.0
SE560900-145280	1985-01-04	1.75	6.443	8.474	0.544	0.647	3.389	0.126	17.896	0.629	7.0
SE560900-145280	1985-01-04	2.25	6.443	8.473	0.544	0.647	3.389	0.126	17.895	0.630	7.0
SE560900-145280	1985-01-04	2.75	6.444	8.472	0.544	0.647	3.389	0.126	17.894	0.630	7.0
SE560900-145280	1985-01-04	3.25	6.444	8.470	0.544	0.648	3.389	0.125	17.893	0.630	7.0
SE560900-145280	1985-01-04	3.75	6.445	8.469	0.544	0.648	3.389	0.125	17.892	0.630	7.0
SE560900-145280	1985-01-04	4.50	6.445	8.468	0.544	0.648	3.389	0.125	17.891	0.631	7.0
SE560900-145280	1985-01-04	5.50	6.446	8.466	0.544	0.648	3.389	0.125	17.889	0.631	7.0
SE560900-145280	1985-01-04	6.50	6.448	8.464	0.544	0.648	3.389	0.125	17.886	0.632	7.0
SE560900-145280	1985-01-04	7.50	6.450	8.462	0.545	0.648	3.389	0.125	17.882	0.633	7.0
SE560900-145280	1985-01-04	8.50	6.452	8.460	0.545	0.648	3.390	0.125	17.878	0.635	7.0
SE560900-145280	1985-01-04	9.50	6.456	8.458	0.545	0.648	3.391	0.125	17.872	0.637	7.0
SE560900-145280	1985-01-04	22.50	6.594	8.454	0.558	0.654	3.457	0.126	17.660	0.725	7.0
SE560900-145280	1985-01-04	23.00	6.594	8.454	0.558	0.654	3.457	0.126	17.660	0.725	7.0
SE560900-145280	1985-01-05	0.00	6.610	8.714	0.561	0.656	3.528	0.131	17.691	0.716	7.0
SE560900-145280	1985-01-05	0.25	6.610	8.714	0.561	0.656	3.528	0.131	17.691	0.716	7.0
SE560900-145280	1985-01-05	0.75	6.610	8.711	0.561	0.658	3.528	0.131	17.728	0.729	7.0
SE560900-145280	1985-01-05	1.25	6.611	8.708	0.561	0.658	3.527	0.131	17.727	0.729	7.0
SE560900-145280	1985-01-05	1.75	6.611	8.707	0.561	0.658	3.527	0.131	17.726	0.729	7.0
SE560900-145280	1985-01-05	2.25	6.612	8.706	0.561	0.658	3.527	0.131	17.725	0.729	7.0
SE560900-145280	1985-01-05	2.75	6.612	8.705	0.561	0.658	3.527	0.131	17.724	0.729	7.0
SE560900-145280	1985-01-05	3.25	6.612	8.704	0.561	0.658	3.527	0.131	17.723	0.729	7.0
SE560900-145280	1985-01-05	3.75	6.613	8.703	0.561	0.658	3.527	0.131	17.722	0.730	7.0
SE560900-145280	1985-01-05	4.50	6.613	8.701	0.561	0.658	3.527	0.131	17.721	0.730	7.0
SE560900-145280	1985-01-05	5.50	6.615	8.700	0.561	0.658	3.527	0.131	17.719	0.730	7.0
SE560900-145280	1985-01-05	6.50	6.616	8.698	0.561	0.659	3.527	0.131	17.716	0.731	7.0
SE560900-145280	1985-01-05	7.50	6.618	8.696	0.562	0.659	3.527	0.131	17.713	0.732	7.0
SE560900-145280	1985-01-05	8.50	6.621	8.694	0.562	0.659	3.527	0.130	17.708	0.734	7.0
SE560900-145280	1985-01-05	9.50	6.626	8.690	0.562	0.659	3.528	0.130	17.700	0.736	7.0
SE560900-145280	1985-01-05	22.50	6.760	8.671	0.574	0.664	3.577	0.129	17.510	0.811	7.0
SE560900-145280	1985-01-05	23.00	6.760	8.671	0.574	0.664	3.577	0.129	17.510	0.811	7.0
SE560900-145280	1985-01-06	0.00	6.685	8.778	0.569	0.661	3.635	0.138	17.668	0.764	7.0
SE560900-145280	1985-01-06	0.25	6.685	8.778	0.569	0.661	3.635	0.138	17.668	0.764	7.0
SE560900-145280	1985-01-06	0.75	6.685	8.777	0.569	0.664	3.635	0.137	17.711	0.778	7.0
SE560900-145280	1985-01-06	1.25	6.687	8.776	0.569	0.664	3.633	0.137	17.706	0.778	7.0
SE560900-145280	1985-01-06	1.75	6.690	8.775	0.570	0.664	3.631	0.137	17.700	0.779	7.0
SE560900-145280	1985-01-06	2.25	6.693	8.773	0.570	0.664	3.630	0.136	17.693	0.780	7.0
SE560900-145280	1985-01-06	2.75	6.698	8.770	0.570	0.665	3.628	0.135	17.682	0.781	7.0
SE560900-145280	1985-01-06	3.25	6.708	8.765	0.571	0.665	3.625	0.134	17.665	0.784	7.0
SE560900-145280	1985-01-06	3.75	6.727	8.754	0.573	0.667	3.623	0.133	17.633	0.790	7.0
SE560900-145280	1985-01-06	4.50	6.762	8.735	0.576	0.669	3.623	0.131	17.577	0.801	7.0
SE560900-145280	1985-01-06	5.50	6.790	8.723	0.579	0.671	3.629	0.131	17.538	0.809	7.0
SE560900-145280	1985-01-06	6.50	6.804	8.722	0.579	0.668	3.619	0.129	17.497	0.816	7.0
SE560900-145280	1985-01-06	7.50	6.812	8.724	0.580	0.668	3.621	0.129	17.486	0.821	7.0
SE560900-145280	1985-01-06	8.50	6.818	8.727	0.580	0.668	3.623	0.128	17.480	0.827	7.0
SE560900-145280	1985-01-06	9.50	6.822	8.730	0.580	0.668	3.626	0.128	17.476	0.832	7.0
SE560900-145280	1985-01-06	22.50	6.856	8.733	0.584	0.670	3.651	0.129	17.442	0.859	7.0
SE560900-145280	1985-01-06	23.00	6.856	8.733	0.584	0.670	3.651	0.129	17.442	0.859	7.0
SE560900-145280	1985-01-07	0.00	6.788	8.804	0.579	0.668	3.705	0.137	17.574	0.806	7.0
SE560900-145280	1985-01-07	0.25	6.788	8.804	0.579	0.668	3.705	0.137	17.574	0.806	7.0
SE560900-145280	1985-01-07	0.75	6.788	8.802	0.579	0.671	3.705	0.137	17.620	0.821	7.0
SE560900-145280	1985-01-07	1.25	6.790	8.800	0.579	0.671	3.704	0.137	17.617	0.821	7.0
SE560900-145280	1985-01-07	1.75	6.791	8.799	0.580	0.671	3.703	0.136	17.614	0.821	7.0
SE560900-145280	1985-01-07	2.25	6.792	8.798	0.580	0.671	3.702	0.136	17.611	0.821	7.0
SE560900-145280	1985-01-07	2.75	6.794	8.796	0.580	0.671	3.701	0.136	17.608	0.822	7.0
SE560900-145280	1985-01-07	3.25	6.795	8.795	0.580	0.671	3.701	0.136	17.605	0.822	7.0
SE560900-145280	1985-01-07	3.75	6.798	8.793	0.580	0.671	3.700	0.135	17.600	0.823	7.0
SE560900-145280	1985-01-07	4.50	6.803	8.789	0.581	0.671	3.699	0.135	17.591	0.824	7.0
SE560900-145280	1985-01-07	5.50	6.821	8.779	0.582	0.673	3.697	0.134	17.563	0.830	7.0
SE560900-145280	1985-01-07	6.50	6.861	8.764	0.584	0.671	3.683	0.130	17.488	0.841	7.0
SE560900-145280	1985-01-07	7.50	6.871	8.765	0.585	0.671	3.685	0.130	17.473	0.846	7.0
SE560900-145280	1985-01-07	8.50	6.876	8.769	0.585	0.671	3.688	0.131	17.469	0.850	7.0
SE560900-145280	1985-01-07	9.50	6.880	8.772	0.586	0.671	3.691	0.131	17.466	0.854	7.0
SE560900-145280	1985-01-07	22.50	6.948	8.704	0.593	0.676	3.713	0.128	17.376	0.878	7.0
SE560900-145280	1985-01-07	23.00	6.948	8.704	0.593	0.676	3.713	0.128	17.376	0.878	7.0
SE560900-145280	1985-01-08	0.00	6.849	8.857	0.585	0.670	3.767	0.139	17.551	0.826	7.0
SE560900-145280	1985-01-08	0.25	6.849	8.857	0.585	0.670	3.767	0.139	17.551	0.826	7.0
SE560900-145280	1985-01-08	0.75	6.849	8.856	0.585	0.673	3.767	0.139	17.599	0.841	7.0
SE560900-145280	1985-01-08	1.25	6.850	8.854	0.585	0.673	3.766	0.139	17.596	0.841	7.0
SE560900-145280	1985-01-08	1.75	6.852	8.853	0.585	0.673	3.765	0.138	17.592	0.842	7.0
SE560900-145280	1985-01-08	2.25	6.853	8.852	0.585	0.673	3.764	0.138	17.590	0.842	7.0
SE560900-145280	1985-01-08	2.75	6.854	8.850	0.585	0.673	3.763	0.138	17.586	0.842	7.0
SE560900-145280	1985-01-08	3.25	6.856	8.848	0.586	0.674	3.762	0.138	17.583	0.843	7.0
SE560900-145280	1985-01-08	3.75	6.859	8.846	0.586	0.674	3.761	0.137	17.578	0.844	7.0
SE560900-145280	1985-01-08	4.50	6.866	8.841	0.586	0.674	3.759	0.137	17.567	0.845	7.0
SE560900-145280	1985-01-08	5.50	6.886	8.828	0.588	0.676	3.756	0.135	17.540	0.850	7.0
SE560900-145280	1985-01-08	6.50	6.922	8.810	0.590	0.674	3.739	0.131	17.470	0.860	7.0
SE560900-145280	1985-01-08	7.50	6.932	8.810	0.591	0.674	3.739	0.131	17.456	0.864	7.0
SE560900-145280	1985-01-08	8.50	6.937	8.812	0.591	0.674	3.741	0.131	17.451	0.868	7.0
SE560900-145280	1985-01-08	9.50	6.941	8.815	0.591	0.674	3.743	0.131	17.449	0.872	7.0
SE560900-145280	1985-01-08	22.50	7.008	8.691	0.603	0.682	3.795	0.127	17.377	0.879	7.0
SE560900-145280	1985-01-08	23.00	7.008	8.691	0.603	0.682	3.795	0.127	17.377	0.879	7.0
