EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE591920-180800	1985-01-01	0.00	4.000	8.004	0.500	0.618	3.010	0.103	18.403	0.289	6.8
SE591920-180800	1985-01-01	0.25	4.000	8.004	0.500	0.618	3.010	0.103	18.403	0.289	6.8
SE591920-180800	1985-01-01	0.75	4.000	8.003	0.500	0.620	3.009	0.103	18.429	0.293	6.8
SE591920-180800	1985-01-01	1.25	4.000	8.003	0.500	0.620	3.009	0.103	18.429	0.294	6.8
SE591920-180800	1985-01-01	1.75	4.000	8.002	0.500	0.620	3.009	0.103	18.429	0.294	6.8
SE591920-180800	1985-01-01	2.25	4.000	8.002	0.500	0.620	3.008	0.102	18.429	0.294	6.8
SE591920-180800	1985-01-01	2.75	4.000	8.002	0.500	0.620	3.008	0.102	18.429	0.294	6.8
SE591920-180800	1985-01-01	3.25	4.000	8.002	0.500	0.620	3.008	0.102	18.430	0.294	6.8
SE591920-180800	1985-01-01	3.75	4.000	8.001	0.500	0.620	3.009	0.102	18.431	0.294	6.8
SE591920-180800	1985-01-01	4.50	4.000	8.001	0.500	0.620	3.008	0.102	18.431	0.294	6.8
SE591920-180800	1985-01-01	5.50	4.000	8.000	0.500	0.621	3.008	0.101	18.433	0.295	6.8
SE591920-180800	1985-01-01	6.50	4.000	7.999	0.500	0.621	3.007	0.101	18.436	0.295	6.8
SE591920-180800	1985-01-01	7.50	4.000	7.998	0.500	0.621	3.006	0.100	18.438	0.296	6.8
SE591920-180800	1985-01-01	8.50	4.000	7.998	0.500	0.621	3.005	0.100	18.438	0.296	6.8
SE591920-180800	1985-01-01	9.50	4.000	7.999	0.500	0.621	3.004	0.100	18.437	0.296	6.8
SE591920-180800	1985-01-01	38.50	4.000	7.977	0.503	0.623	3.067	0.100	18.486	0.296	6.8
SE591920-180800	1985-01-01	39.00	4.000	7.977	0.503	0.623	3.067	0.100	18.486	0.296	6.8
SE591920-180800	1985-01-02	0.00	4.000	8.014	0.501	0.618	3.025	0.106	18.408	0.282	6.9
SE591920-180800	1985-01-02	0.25	4.000	8.014	0.501	0.618	3.025	0.106	18.408	0.282	6.9
SE591920-180800	1985-01-02	0.75	4.000	8.013	0.501	0.619	3.025	0.106	18.431	0.287	6.9
SE591920-180800	1985-01-02	1.25	4.000	8.013	0.501	0.619	3.024	0.105	18.431	0.287	6.9
SE591920-180800	1985-01-02	1.75	4.000	8.012	0.501	0.620	3.024	0.105	18.431	0.287	6.9
SE591920-180800	1985-01-02	2.25	4.000	8.012	0.501	0.620	3.024	0.105	18.431	0.287	6.9
SE591920-180800	1985-01-02	2.75	4.000	8.012	0.501	0.620	3.024	0.105	18.431	0.287	6.9
SE591920-180800	1985-01-02	3.25	4.000	8.012	0.501	0.620	3.024	0.105	18.431	0.287	6.9
SE591920-180800	1985-01-02	3.75	4.000	8.011	0.501	0.620	3.024	0.105	18.432	0.287	6.9
SE591920-180800	1985-01-02	4.50	4.000	8.011	0.501	0.620	3.024	0.105	18.431	0.287	6.9
SE591920-180800	1985-01-02	5.50	4.000	8.011	0.501	0.620	3.024	0.105	18.432	0.287	6.9
SE591920-180800	1985-01-02	6.50	4.000	8.010	0.501	0.620	3.024	0.104	18.432	0.288	6.9
SE591920-180800	1985-01-02	7.50	4.000	8.010	0.501	0.620	3.023	0.104	18.432	0.288	6.9
SE591920-180800	1985-01-02	8.50	4.000	8.009	0.501	0.620	3.023	0.104	18.432	0.288	6.9
SE591920-180800	1985-01-02	9.50	4.000	8.009	0.501	0.620	3.022	0.104	18.432	0.288	6.9
SE591920-180800	1985-01-02	38.50	4.000	7.935	0.509	0.628	3.189	0.100	18.604	0.285	6.9
SE591920-180800	1985-01-02	39.00	4.000	7.935	0.509	0.628	3.189	0.100	18.604	0.285	6.9
SE591920-180800	1985-01-03	0.00	0.978	8.606	0.577	0.839	11.765	0.620	36.280	0.039	2.7
SE591920-180800	1985-01-03	0.25	0.978	8.606	0.577	0.839	11.765	0.620	36.280	0.039	2.7
SE591920-180800	1985-01-03	0.75	0.977	8.599	0.577	0.905	11.766	0.620	37.325	0.039	2.7
SE591920-180800	1985-01-03	1.25	0.991	8.595	0.577	0.903	11.727	0.618	37.235	0.040	2.7
SE591920-180800	1985-01-03	1.75	1.010	8.588	0.576	0.901	11.673	0.615	37.108	0.042	2.7
SE591920-180800	1985-01-03	2.25	1.038	8.579	0.576	0.899	11.594	0.610	36.939	0.044	2.7
SE591920-180800	1985-01-03	2.75	1.081	8.565	0.575	0.896	11.473	0.603	36.695	0.047	2.7
SE591920-180800	1985-01-03	3.25	1.158	8.542	0.573	0.892	11.255	0.591	36.279	0.053	2.7
SE591920-180800	1985-01-03	3.75	1.257	8.513	0.570	0.888	10.977	0.575	35.748	0.061	2.7
SE591920-180800	1985-01-03	4.50	1.440	8.461	0.566	0.880	10.463	0.546	34.766	0.075	2.7
SE591920-180800	1985-01-03	5.50	2.158	8.299	0.549	0.853	8.518	0.438	31.060	0.129	2.7
SE591920-180800	1985-01-03	6.50	3.083	8.139	0.528	0.812	6.250	0.321	26.481	0.195	2.7
SE591920-180800	1985-01-03	7.50	3.654	8.047	0.516	0.759	5.145	0.283	23.510	0.241	2.7
SE591920-180800	1985-01-03	8.50	3.870	8.011	0.516	0.721	5.687	0.376	23.089	0.261	2.7
SE591920-180800	1985-01-03	9.50	3.949	7.989	0.528	0.712	8.196	0.666	25.465	0.268	2.7
SE591920-180800	1985-01-03	38.50	4.000	7.970	0.504	0.624	3.090	0.100	18.512	0.271	2.7
