EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE562290-124131	1985-01-01	0.00	6.000	8.049	0.500	0.619	3.004	0.101	18.403	0.290	6.8
SE562290-124131	1985-01-01	0.25	6.000	8.049	0.500	0.619	3.004	0.101	18.403	0.290	6.8
SE562290-124131	1985-01-01	0.75	6.000	8.044	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	1.25	6.000	8.041	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	1.75	6.000	8.039	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	2.25	6.000	8.038	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	2.75	6.000	8.037	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	3.25	6.000	8.035	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	3.75	6.000	8.035	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	4.50	6.000	8.033	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	5.50	6.000	8.032	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	6.50	6.000	8.031	0.500	0.621	3.003	0.101	18.431	0.295	6.8
SE562290-124131	1985-01-01	7.50	6.000	8.029	0.500	0.621	3.003	0.101	18.432	0.295	6.8
SE562290-124131	1985-01-01	8.50	6.000	8.028	0.500	0.621	3.003	0.101	18.432	0.295	6.8
SE562290-124131	1985-01-01	9.50	6.000	8.027	0.500	0.621	3.003	0.101	18.432	0.295	6.8
SE562290-124131	1985-01-01	38.50	6.000	7.976	0.506	0.626	3.070	0.100	18.490	0.296	6.8
SE562290-124131	1985-01-01	39.00	6.000	7.976	0.506	0.626	3.070	0.100	18.490	0.296	6.8
SE562290-124131	1985-01-02	0.00	6.000	8.081	0.501	0.619	3.015	0.102	18.409	0.286	6.8
SE562290-124131	1985-01-02	0.25	6.000	8.081	0.501	0.619	3.015	0.102	18.409	0.286	6.8
SE562290-124131	1985-01-02	0.75	6.000	8.078	0.501	0.621	3.015	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	1.25	6.000	8.077	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	1.75	6.000	8.076	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	2.25	6.000	8.075	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	2.75	6.000	8.074	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	3.25	6.000	8.074	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	3.75	6.000	8.073	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	4.50	6.000	8.072	0.501	0.621	3.014	0.102	18.436	0.291	6.8
SE562290-124131	1985-01-02	5.50	6.000	8.071	0.501	0.621	3.014	0.102	18.437	0.291	6.8
SE562290-124131	1985-01-02	6.50	6.000	8.071	0.501	0.621	3.014	0.101	18.437	0.291	6.8
