EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE591500-185300	1985-01-01	0.00	4.000	8.005	0.500	0.619	3.006	0.102	18.402	0.289	6.8
SE591500-185300	1985-01-01	0.25	4.000	8.005	0.500	0.619	3.006	0.102	18.402	0.289	6.8
SE591500-185300	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.006	0.102	18.429	0.294	6.8
SE591500-185300	1985-01-01	1.25	4.000	8.003	0.500	0.620	3.006	0.102	18.429	0.294	6.8
SE591500-185300	1985-01-01	1.75	4.000	8.003	0.500	0.620	3.005	0.102	18.429	0.294	6.8
SE591500-185300	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.005	0.102	18.429	0.294	6.8
SE591500-185300	1985-01-01	2.75	4.000	8.003	0.500	0.620	3.005	0.102	18.429	0.295	6.8
SE591500-185300	1985-01-01	3.25	4.000	8.003	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE591500-185300	1985-01-01	3.75	4.000	8.002	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE591500-185300	1985-01-01	4.50	4.000	8.002	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE591500-185300	1985-01-01	5.50	4.000	8.002	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE591500-185300	1985-01-01	6.50	4.000	8.002	0.500	0.620	3.004	0.101	18.431	0.295	6.8
SE591500-185300	1985-01-01	7.50	4.000	8.001	0.500	0.621	3.004	0.101	18.431	0.295	6.8
SE591500-185300	1985-01-01	8.50	4.000	8.001	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE591500-185300	1985-01-01	9.50	4.000	8.000	0.500	0.621	3.004	0.101	18.433	0.296	6.8
SE591500-185300	1985-01-01	67.50	4.000	7.978	0.503	0.623	3.065	0.100	18.484	0.296	6.8
SE591500-185300	1985-01-01	68.00	4.000	7.978	0.503	0.623	3.065	0.100	18.484	0.296	6.8
SE591500-185300	1985-01-02	0.00	4.000	8.035	0.500	0.618	3.016	0.104	18.404	0.282	6.9
SE591500-185300	1985-01-02	0.25	4.000	8.035	0.500	0.618	3.016	0.104	18.404	0.282	6.9
SE591500-185300	1985-01-02	0.75	4.000	8.034	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	1.25	4.000	8.033	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	1.75	4.000	8.033	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	2.25	4.000	8.032	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	2.75	4.000	8.032	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	3.25	4.000	8.032	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	3.75	4.000	8.031	0.500	0.620	3.016	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	4.50	4.000	8.031	0.500	0.620	3.015	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	5.50	4.000	8.030	0.500	0.620	3.015	0.103	18.430	0.287	6.9
SE591500-185300	1985-01-02	6.50	4.000	8.030	0.500	0.620	3.015	0.103	18.431	0.287	6.9
SE591500-185300	1985-01-02	7.50	4.000	8.029	0.500	0.620	3.015	0.103	18.431	0.287	6.9
SE591500-185300	1985-01-02	8.50	4.000	8.029	0.500	0.620	3.015	0.103	18.431	0.287	6.9
SE591500-185300	1985-01-02	9.50	4.000	8.028	0.500	0.620	3.015	0.102	18.431	0.287	6.9
SE591500-185300	1985-01-02	67.50	4.000	7.939	0.508	0.628	3.176	0.100	18.591	0.285	6.9
SE591500-185300	1985-01-02	68.00	4.000	7.939	0.508	0.628	3.176	0.100	18.591	0.285	6.9
SE591500-185300	1985-01-03	0.00	4.000	8.147	0.501	0.618	3.032	0.104	18.412	0.271	6.9
SE591500-185300	1985-01-03	0.25	4.000	8.147	0.501	0.618	3.032	0.104	18.412	0.271	6.9
SE591500-185300	1985-01-03	0.75	4.000	8.142	0.501	0.620	3.032	0.104	18.437	0.275	6.9
SE591500-185300	1985-01-03	1.25	4.000	8.139	0.501	0.620	3.032	0.104	18.437	0.275	6.9
SE591500-185300	1985-01-03	1.75	4.000	8.137	0.501	0.620	3.032	0.104	18.437	0.275	6.9
SE591500-185300	1985-01-03	2.25	4.000	8.135	0.501	0.620	3.032	0.104	18.437	0.275	6.9
SE591500-185300	1985-01-03	2.75	4.000	8.134	0.501	0.620	3.032	0.104	18.437	0.275	6.9
SE591500-185300	1985-01-03	3.25	4.000	8.133	0.501	0.620	3.032	0.104	18.437	0.275	6.9
