EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE650750-213500	1985-01-01	0.00	3.000	8.080	0.500	0.619	3.006	0.100	18.403	0.290	6.8
SE650750-213500	1985-01-01	0.25	3.000	8.080	0.500	0.619	3.006	0.100	18.403	0.290	6.8
SE650750-213500	1985-01-01	0.75	3.000	8.073	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE650750-213500	1985-01-01	1.25	3.000	8.070	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE650750-213500	1985-01-01	1.75	3.000	8.067	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE650750-213500	1985-01-01	2.25	3.000	8.065	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE650750-213500	1985-01-01	2.75	3.000	8.064	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE650750-213500	1985-01-01	3.25	3.000	8.062	0.500	0.621	3.006	0.100	18.431	0.295	6.8
SE650750-213500	1985-01-01	3.75	3.000	8.061	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE650750-213500	1985-01-01	4.50	3.000	8.059	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE650750-213500	1985-01-01	5.50	3.000	8.057	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE650750-213500	1985-01-01	6.50	3.000	8.055	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE650750-213500	1985-01-01	7.50	3.000	8.053	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE650750-213500	1985-01-01	8.50	3.000	8.051	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SE650750-213500	1985-01-01	9.50	3.000	8.050	0.500	0.621	3.007	0.100	18.433	0.295	6.8
SE650750-213500	1985-01-01	25.50	3.000	7.974	0.503	0.623	3.074	0.100	18.495	0.296	6.8
SE650750-213500	1985-01-01	26.00	3.000	7.974	0.503	0.623	3.074	0.100	18.495	0.296	6.8
SE650750-213500	1985-01-02	0.00	3.000	8.257	0.501	0.619	3.031	0.100	18.408	0.276	6.9
SE650750-213500	1985-01-02	0.25	3.000	8.257	0.501	0.619	3.031	0.100	18.408	0.276	6.9
SE650750-213500	1985-01-02	0.75	3.000	8.252	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	1.25	3.000	8.250	0.501	0.620	3.030	0.100	18.433	0.280	6.9
SE650750-213500	1985-01-02	1.75	3.000	8.248	0.501	0.620	3.030	0.100	18.433	0.280	6.9
SE650750-213500	1985-01-02	2.25	3.000	8.246	0.501	0.620	3.030	0.100	18.433	0.280	6.9
SE650750-213500	1985-01-02	2.75	3.000	8.245	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	3.25	3.000	8.244	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	3.75	3.000	8.243	0.501	0.620	3.031	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	4.50	3.000	8.242	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	5.50	3.000	8.240	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	6.50	3.000	8.239	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	7.50	3.000	8.238	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	8.50	3.000	8.237	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	9.50	3.000	8.236	0.501	0.620	3.030	0.100	18.434	0.280	6.9
SE650750-213500	1985-01-02	25.50	3.000	8.225	0.502	0.621	3.044	0.100	18.444	0.280	6.9
SE650750-213500	1985-01-02	26.00	3.000	8.225	0.502	0.621	3.044	0.100	18.444	0.280	6.9
SE650750-213500	1985-01-03	0.00	2.999	8.586	0.501	0.616	3.061	0.102	18.412	0.263	6.9
SE650750-213500	1985-01-03	0.25	2.999	8.586	0.501	0.616	3.061	0.102	18.412	0.263	6.9
SE650750-213500	1985-01-03	0.75	2.999	8.581	0.501	0.618	3.061	0.102	18.436	0.267	6.9
SE650750-213500	1985-01-03	1.25	2.999	8.578	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	1.75	2.999	8.576	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	2.25	2.999	8.574	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	2.75	2.999	8.573	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	3.25	2.999	8.572	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	3.75	2.999	8.570	0.501	0.618	3.061	0.102	18.436	0.267	6.9
SE650750-213500	1985-01-03	4.50	2.999	8.569	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	5.50	2.999	8.567	0.501	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	6.50	2.999	8.565	0.500	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	7.50	2.999	8.564	0.500	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	8.50	2.999	8.562	0.500	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	9.50	2.999	8.561	0.500	0.618	3.061	0.102	18.435	0.267	6.9
SE650750-213500	1985-01-03	25.50	3.017	8.385	0.485	0.601	3.083	0.100	18.343	0.312	6.9
SE650750-213500	1985-01-03	26.00	3.017	8.385	0.485	0.601	3.083	0.100	18.343	0.312	6.9
SE650750-213500	1985-01-04	0.00	2.991	8.594	0.500	0.613	3.086	0.108	18.401	0.237	7.0
SE650750-213500	1985-01-04	0.25	2.991	8.594	0.500	0.613	3.086	0.108	18.401	0.237	7.0
SE650750-213500	1985-01-04	0.75	2.991	8.594	0.500	0.613	3.086	0.108	18.416	0.240	7.0
SE650750-213500	1985-01-04	1.25	2.992	8.594	0.500	0.614	3.085	0.108	18.416	0.241	7.0
SE650750-213500	1985-01-04	1.75	2.994	8.592	0.500	0.615	3.084	0.106	18.418	0.245	7.0
SE650750-213500	1985-01-04	2.25	2.996	8.589	0.501	0.615	3.083	0.104	18.423	0.248	7.0
SE650750-213500	1985-01-04	2.75	2.997	8.587	0.501	0.616	3.083	0.104	18.429	0.250	7.0
SE650750-213500	1985-01-04	3.25	2.998	8.584	0.501	0.617	3.084	0.103	18.434	0.252	7.0
SE650750-213500	1985-01-04	3.75	2.998	8.581	0.501	0.617	3.085	0.103	18.439	0.253	7.0
SE650750-213500	1985-01-04	4.50	2.999	8.577	0.501	0.617	3.085	0.103	18.441	0.254	7.0
SE650750-213500	1985-01-04	5.50	3.000	8.570	0.500	0.617	3.087	0.102	18.442	0.256	7.0
SE650750-213500	1985-01-04	6.50	3.001	8.560	0.499	0.616	3.087	0.102	18.436	0.259	7.0
SE650750-213500	1985-01-04	7.50	3.003	8.546	0.498	0.614	3.090	0.102	18.429	0.263	7.0
SE650750-213500	1985-01-04	8.50	3.005	8.526	0.496	0.612	3.095	0.101	18.419	0.268	7.0
SE650750-213500	1985-01-04	9.50	3.009	8.501	0.493	0.609	3.102	0.101	18.405	0.276	7.0
SE650750-213500	1985-01-04	25.50	3.032	8.427	0.470	0.584	3.131	0.100	18.276	0.338	7.0
SE650750-213500	1985-01-04	26.00	3.032	8.427	0.470	0.584	3.131	0.100	18.276	0.338	7.0
SE650750-213500	1985-01-05	0.00	2.986	8.579	0.500	0.610	3.109	0.112	18.402	0.217	7.0
SE650750-213500	1985-01-05	0.25	2.986	8.579	0.500	0.610	3.109	0.112	18.402	0.217	7.0
SE650750-213500	1985-01-05	0.75	2.986	8.579	0.500	0.611	3.109	0.112	18.413	0.221	7.0
SE650750-213500	1985-01-05	1.25	2.987	8.577	0.500	0.611	3.108	0.111	18.411	0.222	7.0
SE650750-213500	1985-01-05	1.75	2.992	8.569	0.499	0.611	3.108	0.108	18.406	0.229	7.0
SE650750-213500	1985-01-05	2.25	2.997	8.556	0.499	0.612	3.109	0.105	18.405	0.238	7.0
SE650750-213500	1985-01-05	2.75	3.000	8.544	0.498	0.611	3.112	0.104	18.406	0.244	7.0
SE650750-213500	1985-01-05	3.25	3.003	8.531	0.497	0.611	3.116	0.103	18.407	0.250	7.0
SE650750-213500	1985-01-05	3.75	3.006	8.519	0.495	0.610	3.120	0.102	18.408	0.256	7.0
SE650750-213500	1985-01-05	4.50	3.008	8.504	0.493	0.608	3.125	0.102	18.405	0.262	7.0
SE650750-213500	1985-01-05	5.50	3.012	8.484	0.490	0.605	3.132	0.101	18.395	0.271	7.0
SE650750-213500	1985-01-05	6.50	3.016	8.466	0.487	0.601	3.136	0.100	18.378	0.280	7.0
SE650750-213500	1985-01-05	7.50	3.020	8.452	0.483	0.598	3.142	0.100	18.362	0.289	7.0
SE650750-213500	1985-01-05	8.50	3.024	8.441	0.480	0.594	3.149	0.100	18.346	0.298	7.0
SE650750-213500	1985-01-05	9.50	3.027	8.435	0.477	0.590	3.155	0.100	18.333	0.306	7.0
SE650750-213500	1985-01-05	25.50	3.047	8.445	0.456	0.567	3.181	0.100	18.223	0.357	7.0
SE650750-213500	1985-01-05	26.00	3.047	8.445	0.456	0.567	3.181	0.100	18.223	0.357	7.0
SE650750-213500	1985-01-06	0.00	2.986	8.545	0.497	0.605	3.138	0.115	18.389	0.208	7.1
SE650750-213500	1985-01-06	0.25	2.986	8.545	0.497	0.605	3.138	0.115	18.389	0.208	7.1
SE650750-213500	1985-01-06	0.75	2.986	8.545	0.497	0.606	3.138	0.114	18.397	0.212	7.1
SE650750-213500	1985-01-06	1.25	2.987	8.543	0.496	0.606	3.137	0.114	18.395	0.213	7.1
SE650750-213500	1985-01-06	1.75	2.996	8.525	0.495	0.604	3.141	0.109	18.377	0.226	7.1
SE650750-213500	1985-01-06	2.25	3.003	8.507	0.492	0.603	3.145	0.106	18.366	0.239	7.1
SE650750-213500	1985-01-06	2.75	3.009	8.491	0.490	0.601	3.151	0.104	18.359	0.249	7.1
SE650750-213500	1985-01-06	3.25	3.014	8.476	0.487	0.599	3.157	0.102	18.354	0.259	7.1
SE650750-213500	1985-01-06	3.75	3.017	8.465	0.485	0.597	3.163	0.101	18.352	0.267	7.1
SE650750-213500	1985-01-06	4.50	3.021	8.453	0.482	0.595	3.169	0.101	18.348	0.276	7.1
SE650750-213500	1985-01-06	5.50	3.026	8.443	0.478	0.591	3.177	0.101	18.338	0.287	7.1
SE650750-213500	1985-01-06	6.50	3.030	8.437	0.475	0.587	3.181	0.100	18.324	0.296	7.1
SE650750-213500	1985-01-06	7.50	3.033	8.435	0.471	0.584	3.186	0.100	18.312	0.304	7.1
SE650750-213500	1985-01-06	8.50	3.037	8.435	0.468	0.580	3.193	0.100	18.300	0.312	7.1
SE650750-213500	1985-01-06	9.50	3.040	8.436	0.465	0.577	3.199	0.100	18.288	0.320	7.1
SE650750-213500	1985-01-06	25.50	3.060	8.460	0.444	0.552	3.232	0.100	18.174	0.372	7.1
SE650750-213500	1985-01-06	26.00	3.060	8.460	0.444	0.552	3.232	0.100	18.174	0.372	7.1
SE650750-213500	1985-01-07	0.00	2.990	8.511	0.491	0.598	3.170	0.115	18.365	0.205	7.1
SE650750-213500	1985-01-07	0.25	2.990	8.511	0.491	0.598	3.170	0.115	18.365	0.205	7.1
SE650750-213500	1985-01-07	0.75	2.991	8.510	0.491	0.599	3.170	0.115	18.371	0.208	7.1
SE650750-213500	1985-01-07	1.25	2.992	8.509	0.491	0.598	3.170	0.115	18.368	0.210	7.1
SE650750-213500	1985-01-07	1.75	3.002	8.492	0.488	0.596	3.175	0.110	18.344	0.226	7.1
SE650750-213500	1985-01-07	2.25	3.011	8.476	0.485	0.593	3.182	0.106	18.326	0.240	7.1
SE650750-213500	1985-01-07	2.75	3.018	8.463	0.482	0.590	3.189	0.104	18.314	0.254	7.1
SE650750-213500	1985-01-07	3.25	3.023	8.453	0.478	0.587	3.197	0.102	18.306	0.265	7.1
SE650750-213500	1985-01-07	3.75	3.028	8.445	0.476	0.585	3.204	0.101	18.302	0.275	7.1
SE650750-213500	1985-01-07	4.50	3.032	8.439	0.472	0.582	3.211	0.101	18.298	0.285	7.1
SE650750-213500	1985-01-07	5.50	3.037	8.436	0.468	0.578	3.219	0.100	18.291	0.296	7.1
SE650750-213500	1985-01-07	6.50	3.041	8.437	0.464	0.574	3.223	0.100	18.279	0.305	7.1
SE650750-213500	1985-01-07	7.50	3.045	8.439	0.461	0.571	3.229	0.100	18.269	0.314	7.1
SE650750-213500	1985-01-07	8.50	3.048	8.443	0.458	0.567	3.235	0.100	18.257	0.321	7.1
SE650750-213500	1985-01-07	9.50	3.051	8.446	0.455	0.564	3.242	0.100	18.245	0.328	7.1
SE650750-213500	1985-01-07	25.50	3.073	8.474	0.432	0.538	3.285	0.100	18.128	0.381	7.1
SE650750-213500	1985-01-07	26.00	3.073	8.474	0.432	0.538	3.285	0.100	18.128	0.381	7.1
SE650750-213500	1985-01-08	0.00	2.996	8.488	0.486	0.591	3.203	0.116	18.338	0.203	7.1
SE650750-213500	1985-01-08	0.25	2.996	8.488	0.486	0.591	3.203	0.116	18.338	0.203	7.1
SE650750-213500	1985-01-08	0.75	2.996	8.488	0.486	0.591	3.203	0.116	18.344	0.206	7.1
SE650750-213500	1985-01-08	1.25	2.997	8.486	0.485	0.591	3.203	0.115	18.341	0.208	7.1
SE650750-213500	1985-01-08	1.75	3.008	8.474	0.482	0.587	3.210	0.111	18.313	0.225	7.1
SE650750-213500	1985-01-08	2.25	3.017	8.462	0.478	0.584	3.218	0.107	18.292	0.240	7.1
SE650750-213500	1985-01-08	2.75	3.025	8.453	0.474	0.580	3.226	0.104	18.276	0.255	7.1
SE650750-213500	1985-01-08	3.25	3.031	8.446	0.470	0.577	3.235	0.103	18.265	0.268	7.1
SE650750-213500	1985-01-08	3.75	3.036	8.442	0.467	0.574	3.243	0.102	18.259	0.278	7.1
SE650750-213500	1985-01-08	4.50	3.042	8.440	0.463	0.571	3.251	0.101	18.254	0.290	7.1
SE650750-213500	1985-01-08	5.50	3.047	8.440	0.459	0.566	3.261	0.100	18.247	0.302	7.1
SE650750-213500	1985-01-08	6.50	3.051	8.444	0.455	0.562	3.265	0.100	18.236	0.311	7.1
SE650750-213500	1985-01-08	7.50	3.055	8.449	0.451	0.558	3.271	0.100	18.226	0.319	7.1
SE650750-213500	1985-01-08	8.50	3.059	8.453	0.448	0.555	3.279	0.100	18.216	0.327	7.1
SE650750-213500	1985-01-08	9.50	3.062	8.458	0.444	0.551	3.286	0.100	18.204	0.333	7.1
SE650750-213500	1985-01-08	25.50	3.085	8.486	0.421	0.525	3.339	0.101	18.082	0.387	7.1
SE650750-213500	1985-01-08	26.00	3.085	8.486	0.421	0.525	3.339	0.101	18.082	0.387	7.1
