EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE604116-171037	1985-01-01	0.00	4.000	8.002	0.502	0.619	3.055	0.107	18.431	0.284	6.9
SE604116-171037	1985-01-01	0.25	4.000	8.002	0.502	0.619	3.055	0.107	18.431	0.284	6.9
SE604116-171037	1985-01-01	0.75	4.000	8.001	0.502	0.620	3.056	0.107	18.454	0.289	6.9
SE604116-171037	1985-01-01	1.25	4.000	8.001	0.502	0.621	3.057	0.106	18.455	0.289	6.9
SE604116-171037	1985-01-01	1.75	4.000	7.999	0.502	0.621	3.060	0.106	18.458	0.289	6.9
SE604116-171037	1985-01-01	2.25	4.000	7.997	0.503	0.621	3.067	0.106	18.465	0.289	6.9
SE604116-171037	1985-01-01	2.75	4.000	7.993	0.503	0.621	3.076	0.106	18.466	0.289	6.9
SE604116-171037	1985-01-01	3.00	4.000	7.993	0.503	0.621	3.076	0.106	18.466	0.289	6.9
SE604116-171037	1985-01-02	0.00	4.000	8.132	0.508	0.621	3.215	0.128	18.550	0.261	7.0
SE604116-171037	1985-01-02	0.25	4.000	8.132	0.508	0.621	3.215	0.128	18.550	0.261	7.0
SE604116-171037	1985-01-02	0.75	4.000	8.129	0.508	0.622	3.216	0.128	18.560	0.265	7.0
SE604116-171037	1985-01-02	1.25	4.000	8.128	0.508	0.622	3.217	0.128	18.561	0.265	7.0
SE604116-171037	1985-01-02	1.75	4.000	8.126	0.509	0.622	3.219	0.128	18.563	0.265	7.0
SE604116-171037	1985-01-02	2.25	4.000	8.124	0.509	0.622	3.225	0.128	18.569	0.265	7.0
SE604116-171037	1985-01-02	2.75	4.000	8.120	0.509	0.622	3.233	0.128	18.574	0.265	7.0
SE604116-171037	1985-01-02	3.00	4.000	8.120	0.509	0.622	3.233	0.128	18.574	0.265	7.0
SE604116-171037	1985-01-03	0.00	0.570	9.944	0.309	0.412	7.215	1.213	24.808	0.034	4.6
SE604116-171037	1985-01-03	0.25	0.570	9.944	0.309	0.412	7.215	1.213	24.808	0.034	4.6
SE604116-171037	1985-01-03	0.75	0.510	9.970	0.306	0.445	7.274	1.227	25.488	0.031	4.6
SE604116-171037	1985-01-03	1.25	0.898	9.797	0.329	0.480	6.864	1.106	24.980	0.053	4.6
SE604116-171037	1985-01-03	1.75	1.399	9.543	0.357	0.517	6.331	0.950	24.180	0.082	4.6
SE604116-171037	1985-01-03	2.25	1.760	9.108	0.374	0.533	5.786	0.801	22.935	0.105	4.6
SE604116-171037	1985-01-03	2.75	1.845	9.099	0.382	0.522	5.744	0.778	22.593	0.111	4.6
SE604116-171037	1985-01-03	3.00	1.845	9.099	0.382	0.522	5.744	0.778	22.593	0.111	4.6
SE604116-171037	1985-01-04	0.00	0.058	10.161	0.278	0.369	7.829	1.378	25.597	0.005	4.6
SE604116-171037	1985-01-04	0.25	0.058	10.161	0.278	0.369	7.829	1.378	25.597	0.005	4.6
SE604116-171037	1985-01-04	0.75	0.053	10.163	0.278	0.403	7.827	1.377	26.144	0.004	4.6
SE604116-171037	1985-01-04	1.25	0.109	10.120	0.283	0.411	7.782	1.354	26.095	0.008	4.6
SE604116-171037	1985-01-04	1.75	0.274	9.974	0.294	0.426	7.617	1.292	25.777	0.017	4.6
SE604116-171037	1985-01-04	2.25	0.676	9.377	0.308	0.445	7.047	1.129	24.371	0.034	4.6
SE604116-171037	1985-01-04	2.75	0.918	9.270	0.326	0.442	6.918	1.062	23.792	0.046	4.6
SE604116-171037	1985-01-04	3.00	0.918	9.270	0.326	0.442	6.918	1.062	23.792	0.046	4.6
SE604116-171037	1985-01-05	0.00	0.012	10.169	0.275	0.370	7.886	1.389	25.733	0.003	4.6
SE604116-171037	1985-01-05	0.25	0.012	10.169	0.275	0.370	7.886	1.389	25.733	0.003	4.6
SE604116-171037	1985-01-05	0.75	0.012	10.169	0.275	0.398	7.883	1.387	26.183	0.003	4.6
SE604116-171037	1985-01-05	1.25	0.013	10.164	0.276	0.397	7.887	1.386	26.165	0.003	4.6
SE604116-171037	1985-01-05	1.75	0.041	10.072	0.279	0.400	7.872	1.366	26.025	0.006	4.6
SE604116-171037	1985-01-05	2.25	0.157	9.546	0.279	0.400	7.572	1.273	24.945	0.011	4.6
SE604116-171037	1985-01-05	2.75	0.519	9.349	0.309	0.406	7.599	1.191	24.430	0.022	4.6
SE604116-171037	1985-01-05	3.00	0.519	9.349	0.309	0.406	7.599	1.191	24.430	0.022	4.6
SE604116-171037	1985-01-06	0.00	0.005	10.146	0.275	0.368	7.927	1.392	25.720	0.002	4.7
SE604116-171037	1985-01-06	0.25	0.005	10.146	0.275	0.368	7.927	1.392	25.720	0.002	4.7
SE604116-171037	1985-01-06	0.75	0.005	10.146	0.275	0.395	7.925	1.391	26.149	0.002	4.7
SE604116-171037	1985-01-06	1.25	0.005	10.143	0.275	0.395	7.928	1.391	26.136	0.002	4.7
SE604116-171037	1985-01-06	1.75	0.005	10.134	0.275	0.394	7.930	1.390	26.109	0.002	4.7
SE604116-171037	1985-01-06	2.25	0.045	9.617	0.272	0.389	7.708	1.313	25.111	0.005	4.7
SE604116-171037	1985-01-06	2.75	0.307	9.404	0.300	0.390	7.956	1.258	24.818	0.011	4.7
SE604116-171037	1985-01-06	3.00	0.307	9.404	0.300	0.390	7.956	1.258	24.818	0.011	4.7
SE604116-171037	1985-01-07	0.00	0.002	10.130	0.275	0.366	7.921	1.390	25.677	0.002	4.7
SE604116-171037	1985-01-07	0.25	0.002	10.130	0.275	0.366	7.921	1.390	25.677	0.002	4.7
SE604116-171037	1985-01-07	0.75	0.002	10.130	0.275	0.392	7.919	1.389	26.094	0.002	4.7
SE604116-171037	1985-01-07	1.25	0.002	10.126	0.275	0.391	7.921	1.388	26.080	0.002	4.7
SE604116-171037	1985-01-07	1.75	0.003	10.111	0.275	0.390	7.923	1.386	26.042	0.002	4.7
SE604116-171037	1985-01-07	2.25	0.018	9.700	0.272	0.385	7.772	1.331	25.257	0.003	4.7
SE604116-171037	1985-01-07	2.75	0.160	9.480	0.294	0.379	8.112	1.298	25.027	0.006	4.7
SE604116-171037	1985-01-07	3.00	0.160	9.480	0.294	0.379	8.112	1.298	25.027	0.006	4.7
SE604116-171037	1985-01-08	0.00	0.002	10.095	0.275	0.363	7.899	1.383	25.596	0.002	4.8
SE604116-171037	1985-01-08	0.25	0.002	10.095	0.275	0.363	7.899	1.383	25.596	0.002	4.8
SE604116-171037	1985-01-08	0.75	0.002	10.095	0.275	0.389	7.897	1.382	25.998	0.002	4.8
SE604116-171037	1985-01-08	1.25	0.002	10.088	0.275	0.388	7.899	1.382	25.980	0.002	4.8
SE604116-171037	1985-01-08	1.75	0.002	10.070	0.275	0.387	7.898	1.379	25.934	0.002	4.8
SE604116-171037	1985-01-08	2.25	0.004	9.946	0.274	0.384	7.860	1.363	25.691	0.002	4.8
SE604116-171037	1985-01-08	2.75	0.070	9.644	0.291	0.374	8.178	1.330	25.300	0.004	4.8
SE604116-171037	1985-01-08	3.00	0.070	9.644	0.291	0.374	8.178	1.330	25.300	0.004	4.8
