EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE631460-185000	1985-01-01	0.00	4.000	8.025	0.500	0.619	3.006	0.101	18.402	0.290	6.8
SE631460-185000	1985-01-01	0.25	4.000	8.025	0.500	0.619	3.006	0.101	18.402	0.290	6.8
SE631460-185000	1985-01-01	0.75	4.000	8.022	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	1.25	4.000	8.021	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	1.75	4.000	8.019	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	2.25	4.000	8.018	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	2.75	4.000	8.018	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	3.25	4.000	8.017	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	3.75	4.000	8.016	0.500	0.620	3.006	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	4.50	4.000	8.015	0.500	0.620	3.005	0.101	18.430	0.295	6.8
SE631460-185000	1985-01-01	5.50	4.000	8.014	0.500	0.621	3.005	0.101	18.431	0.295	6.8
SE631460-185000	1985-01-01	6.50	4.000	8.013	0.500	0.621	3.005	0.101	18.431	0.295	6.8
SE631460-185000	1985-01-01	7.50	4.000	8.012	0.500	0.621	3.006	0.101	18.432	0.295	6.8
SE631460-185000	1985-01-01	8.50	4.000	8.011	0.500	0.621	3.006	0.100	18.432	0.295	6.8
SE631460-185000	1985-01-01	9.50	4.000	8.009	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SE631460-185000	1985-01-01	35.50	4.000	7.974	0.503	0.623	3.075	0.100	18.495	0.296	6.8
SE631460-185000	1985-01-01	36.00	4.000	7.974	0.503	0.623	3.075	0.100	18.495	0.296	6.8
SE631460-185000	1985-01-02	0.00	4.000	8.161	0.501	0.619	3.026	0.102	18.410	0.277	6.9
SE631460-185000	1985-01-02	0.25	4.000	8.161	0.501	0.619	3.026	0.102	18.410	0.277	6.9
SE631460-185000	1985-01-02	0.75	4.000	8.157	0.501	0.620	3.026	0.102	18.436	0.282	6.9
SE631460-185000	1985-01-02	1.25	4.000	8.155	0.501	0.620	3.026	0.102	18.436	0.282	6.9
SE631460-185000	1985-01-02	1.75	4.000	8.153	0.501	0.620	3.026	0.102	18.436	0.282	6.9
SE631460-185000	1985-01-02	2.25	4.000	8.152	0.501	0.620	3.026	0.102	18.436	0.282	6.9
SE631460-185000	1985-01-02	2.75	4.000	8.151	0.501	0.620	3.026	0.102	18.436	0.282	6.9
SE631460-185000	1985-01-02	3.25	4.000	8.151	0.501	0.620	3.026	0.102	18.436	0.282	6.9
SE631460-185000	1985-01-02	3.75	4.000	8.150	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	4.50	4.000	8.149	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	5.50	4.000	8.148	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	6.50	4.000	8.147	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	7.50	4.000	8.147	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	8.50	4.000	8.146	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	9.50	4.000	8.145	0.501	0.620	3.026	0.102	18.437	0.282	6.9
SE631460-185000	1985-01-02	35.50	4.000	8.133	0.502	0.621	3.040	0.102	18.448	0.283	6.9
SE631460-185000	1985-01-02	36.00	4.000	8.133	0.502	0.621	3.040	0.102	18.448	0.283	6.9
SE631460-185000	1985-01-03	0.00	3.996	8.429	0.503	0.620	3.150	0.116	18.551	0.261	6.9
SE631460-185000	1985-01-03	0.25	3.996	8.429	0.503	0.620	3.150	0.116	18.551	0.261	6.9
SE631460-185000	1985-01-03	0.75	3.996	8.422	0.503	0.622	3.150	0.116	18.578	0.265	6.9
SE631460-185000	1985-01-03	1.25	3.996	8.419	0.503	0.622	3.150	0.116	18.578	0.265	6.9
SE631460-185000	1985-01-03	1.75	3.996	8.417	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	2.25	3.996	8.415	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	2.75	3.996	8.413	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	3.25	3.996	8.412	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	3.75	3.996	8.411	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	4.50	3.996	8.410	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	5.50	3.996	8.408	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	6.50	3.996	8.407	0.503	0.622	3.150	0.116	18.577	0.265	6.9
SE631460-185000	1985-01-03	7.50	3.996	8.406	0.503	0.622	3.149	0.116	18.576	0.265	6.9
SE631460-185000	1985-01-03	8.50	3.996	8.405	0.503	0.622	3.149	0.116	18.576	0.265	6.9
SE631460-185000	1985-01-03	9.50	3.996	8.404	0.503	0.622	3.149	0.116	18.575	0.265	6.9
SE631460-185000	1985-01-03	35.50	3.999	8.378	0.503	0.621	3.074	0.105	18.470	0.266	6.9
SE631460-185000	1985-01-03	36.00	3.999	8.378	0.503	0.621	3.074	0.105	18.470	0.266	6.9
SE631460-185000	1985-01-04	0.00	3.982	8.591	0.505	0.623	3.331	0.141	18.787	0.244	6.8
SE631460-185000	1985-01-04	0.25	3.982	8.591	0.505	0.623	3.331	0.141	18.787	0.244	6.8
SE631460-185000	1985-01-04	0.75	3.982	8.590	0.505	0.626	3.331	0.141	18.823	0.248	6.8
SE631460-185000	1985-01-04	1.25	3.983	8.589	0.505	0.626	3.329	0.141	18.819	0.248	6.8
SE631460-185000	1985-01-04	1.75	3.983	8.588	0.505	0.625	3.327	0.141	18.815	0.248	6.8
SE631460-185000	1985-01-04	2.25	3.984	8.588	0.505	0.625	3.326	0.140	18.812	0.248	6.8
SE631460-185000	1985-01-04	2.75	3.984	8.587	0.505	0.625	3.325	0.140	18.810	0.248	6.8
SE631460-185000	1985-01-04	3.25	3.984	8.587	0.505	0.625	3.325	0.140	18.809	0.248	6.8
SE631460-185000	1985-01-04	3.75	3.984	8.586	0.505	0.625	3.325	0.139	18.808	0.248	6.8
SE631460-185000	1985-01-04	4.50	3.985	8.585	0.505	0.625	3.325	0.139	18.806	0.248	6.8
SE631460-185000	1985-01-04	5.50	3.985	8.584	0.505	0.625	3.327	0.139	18.808	0.248	6.8
SE631460-185000	1985-01-04	6.50	3.986	8.583	0.505	0.625	3.320	0.138	18.798	0.248	6.8
SE631460-185000	1985-01-04	7.50	3.987	8.581	0.504	0.625	3.312	0.137	18.787	0.249	6.8
SE631460-185000	1985-01-04	8.50	3.987	8.580	0.504	0.624	3.305	0.136	18.777	0.249	6.8
SE631460-185000	1985-01-04	9.50	3.988	8.578	0.504	0.624	3.297	0.135	18.766	0.249	6.8
SE631460-185000	1985-01-04	35.50	4.131	8.341	0.489	0.603	3.194	0.102	18.310	0.325	6.8
SE631460-185000	1985-01-04	36.00	4.131	8.341	0.489	0.603	3.194	0.102	18.310	0.325	6.8
SE631460-185000	1985-01-05	0.00	3.862	8.669	0.518	0.645	4.040	0.280	19.793	0.212	6.3
SE631460-185000	1985-01-05	0.25	3.862	8.669	0.518	0.645	4.040	0.280	19.793	0.212	6.3
SE631460-185000	1985-01-05	0.75	3.857	8.670	0.519	0.653	4.068	0.284	19.946	0.215	6.3
SE631460-185000	1985-01-05	1.25	3.885	8.663	0.516	0.649	3.915	0.253	19.747	0.219	6.3
SE631460-185000	1985-01-05	1.75	3.937	8.652	0.510	0.642	3.659	0.200	19.398	0.227	6.3
SE631460-185000	1985-01-05	2.25	3.958	8.646	0.508	0.637	3.548	0.176	19.216	0.231	6.3
SE631460-185000	1985-01-05	2.75	3.965	8.644	0.507	0.634	3.512	0.168	19.133	0.233	6.3
SE631460-185000	1985-01-05	3.25	3.968	8.642	0.507	0.632	3.512	0.167	19.104	0.233	6.3
SE631460-185000	1985-01-05	3.75	3.968	8.640	0.507	0.631	3.536	0.169	19.117	0.233	6.3
SE631460-185000	1985-01-05	4.50	3.969	8.638	0.507	0.631	3.606	0.176	19.190	0.233	6.3
SE631460-185000	1985-01-05	5.50	3.968	8.633	0.508	0.631	3.871	0.205	19.505	0.233	6.3
SE631460-185000	1985-01-05	6.50	3.971	8.632	0.507	0.630	3.553	0.169	19.116	0.234	6.3
SE631460-185000	1985-01-05	7.50	3.973	8.626	0.507	0.629	3.467	0.158	19.008	0.234	6.3
SE631460-185000	1985-01-05	8.50	3.976	8.615	0.506	0.629	3.427	0.152	18.956	0.234	6.3
SE631460-185000	1985-01-05	9.50	3.980	8.600	0.506	0.628	3.385	0.146	18.899	0.235	6.3
SE631460-185000	1985-01-05	35.50	4.509	8.555	0.448	0.550	3.535	0.100	17.863	0.517	6.3
SE631460-185000	1985-01-05	36.00	4.509	8.555	0.448	0.550	3.535	0.100	17.863	0.517	6.3
SE631460-185000	1985-01-06	0.00	3.622	8.731	0.545	0.675	5.322	0.534	21.415	0.175	6.0
SE631460-185000	1985-01-06	0.25	3.622	8.731	0.545	0.675	5.322	0.534	21.415	0.175	6.0
SE631460-185000	1985-01-06	0.75	3.615	8.733	0.545	0.686	5.351	0.539	21.619	0.178	6.0
SE631460-185000	1985-01-06	1.25	3.734	8.700	0.533	0.677	4.755	0.417	20.935	0.189	6.0
