EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE645130-211040	1985-01-01	0.00	3.000	8.119	0.501	0.619	3.020	0.100	18.409	0.288	6.9
SE645130-211040	1985-01-01	0.25	3.000	8.119	0.501	0.619	3.020	0.100	18.409	0.288	6.9
SE645130-211040	1985-01-01	0.75	3.000	8.114	0.501	0.621	3.019	0.100	18.435	0.293	6.9
SE645130-211040	1985-01-01	1.25	3.000	8.111	0.501	0.621	3.019	0.100	18.435	0.293	6.9
SE645130-211040	1985-01-01	1.75	3.000	8.109	0.501	0.621	3.020	0.100	18.435	0.293	6.9
SE645130-211040	1985-01-01	2.25	3.000	8.107	0.501	0.621	3.021	0.100	18.436	0.293	6.9
SE645130-211040	1985-01-01	2.75	3.000	8.106	0.501	0.621	3.021	0.100	18.436	0.293	6.9
SE645130-211040	1985-01-01	3.25	3.000	8.104	0.501	0.621	3.021	0.100	18.437	0.293	6.9
SE645130-211040	1985-01-01	3.75	3.000	8.103	0.501	0.621	3.023	0.100	18.438	0.293	6.9
SE645130-211040	1985-01-01	4.50	3.000	8.102	0.501	0.621	3.022	0.100	18.437	0.293	6.9
SE645130-211040	1985-01-01	5.50	3.000	8.100	0.501	0.621	3.024	0.100	18.439	0.293	6.9
SE645130-211040	1985-01-01	6.50	3.000	8.097	0.501	0.621	3.027	0.100	18.443	0.293	6.9
SE645130-211040	1985-01-01	7.50	3.000	8.094	0.501	0.621	3.031	0.100	18.442	0.293	6.9
SE645130-211040	1985-01-01	8.00	3.000	8.094	0.501	0.621	3.031	0.100	18.442	0.293	6.9
SE645130-211040	1985-01-02	0.00	3.000	8.605	0.504	0.619	3.079	0.102	18.427	0.268	6.9
SE645130-211040	1985-01-02	0.25	3.000	8.605	0.504	0.619	3.079	0.102	18.427	0.268	6.9
SE645130-211040	1985-01-02	0.75	3.000	8.599	0.504	0.620	3.079	0.102	18.445	0.272	6.9
SE645130-211040	1985-01-02	1.25	3.000	8.596	0.504	0.620	3.079	0.102	18.445	0.272	6.9
SE645130-211040	1985-01-02	1.75	3.000	8.594	0.504	0.620	3.079	0.102	18.445	0.272	6.9
SE645130-211040	1985-01-02	2.25	3.000	8.592	0.504	0.620	3.080	0.102	18.446	0.272	6.9
SE645130-211040	1985-01-02	2.75	3.000	8.590	0.504	0.620	3.080	0.102	18.446	0.272	6.9
SE645130-211040	1985-01-02	3.25	3.000	8.589	0.504	0.620	3.080	0.102	18.446	0.272	6.9
SE645130-211040	1985-01-02	3.75	3.000	8.587	0.504	0.620	3.082	0.102	18.448	0.272	6.9
SE645130-211040	1985-01-02	4.50	3.000	8.586	0.504	0.620	3.081	0.102	18.447	0.272	6.9
SE645130-211040	1985-01-02	5.50	3.000	8.584	0.504	0.620	3.082	0.102	18.449	0.272	6.9
SE645130-211040	1985-01-02	6.50	3.000	8.581	0.504	0.620	3.086	0.102	18.452	0.272	6.9
SE645130-211040	1985-01-02	7.50	3.000	8.578	0.504	0.620	3.089	0.102	18.452	0.272	6.9
SE645130-211040	1985-01-02	8.00	3.000	8.578	0.504	0.620	3.089	0.102	18.452	0.272	6.9
