EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE555545-124332	1985-01-01	0.00	6.000	8.077	0.500	0.619	3.004	0.101	18.404	0.290	6.8
SE555545-124332	1985-01-01	0.25	6.000	8.077	0.500	0.619	3.004	0.101	18.404	0.290	6.8
SE555545-124332	1985-01-01	0.75	6.000	8.071	0.500	0.621	3.004	0.101	18.433	0.295	6.8
SE555545-124332	1985-01-01	1.25	6.000	8.067	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	1.75	6.000	8.065	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	2.25	6.000	8.063	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	2.75	6.000	8.062	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	3.25	6.000	8.060	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	3.75	6.000	8.059	0.500	0.621	3.004	0.101	18.433	0.295	6.8
SE555545-124332	1985-01-01	4.50	6.000	8.058	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	5.50	6.000	8.056	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	6.50	6.000	8.055	0.500	0.621	3.004	0.101	18.432	0.295	6.8
SE555545-124332	1985-01-01	7.50	6.000	8.053	0.500	0.621	3.004	0.101	18.433	0.295	6.8
SE555545-124332	1985-01-01	8.50	6.000	8.052	0.500	0.621	3.004	0.101	18.433	0.295	6.8
SE555545-124332	1985-01-01	9.50	6.000	8.051	0.500	0.621	3.004	0.101	18.433	0.295	6.8
SE555545-124332	1985-01-01	51.50	6.000	7.976	0.506	0.626	3.071	0.100	18.491	0.296	6.8
SE555545-124332	1985-01-01	52.00	6.000	7.976	0.506	0.626	3.071	0.100	18.491	0.296	6.8
SE555545-124332	1985-01-02	0.00	6.000	8.176	0.501	0.620	3.017	0.102	18.412	0.287	6.8
SE555545-124332	1985-01-02	0.25	6.000	8.176	0.501	0.620	3.017	0.102	18.412	0.287	6.8
SE555545-124332	1985-01-02	0.75	6.000	8.171	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	1.25	6.000	8.169	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	1.75	6.000	8.167	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	2.25	6.000	8.165	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	2.75	6.000	8.164	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	3.25	6.000	8.163	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	3.75	6.000	8.162	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	4.50	6.000	8.161	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	5.50	6.000	8.160	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	6.50	6.000	8.159	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	7.50	6.000	8.158	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	8.50	6.000	8.157	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	9.50	6.000	8.156	0.501	0.621	3.017	0.102	18.439	0.292	6.8
SE555545-124332	1985-01-02	51.50	6.000	8.139	0.503	0.622	3.032	0.101	18.451	0.293	6.8
SE555545-124332	1985-01-02	52.00	6.000	8.139	0.503	0.622	3.032	0.101	18.451	0.293	6.8
SE555545-124332	1985-01-03	0.00	9.971	7.941	0.814	0.891	4.521	0.647	17.602	1.044	7.6
SE555545-124332	1985-01-03	0.25	9.971	7.941	0.814	0.891	4.521	0.647	17.602	1.044	7.6
SE555545-124332	1985-01-03	0.75	9.972	7.934	0.814	0.893	4.521	0.647	17.624	1.062	7.6
