EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE0101010202-C	1985-01-01	0.00	20.000	8.041	0.500	0.619	3.006	0.101	18.405	0.290	6.8
SE0101010202-C	1985-01-01	0.25	20.000	8.041	0.500	0.619	3.006	0.101	18.405	0.290	6.8
SE0101010202-C	1985-01-01	0.75	20.000	8.038	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	1.25	20.000	8.036	0.500	0.621	3.005	0.100	18.432	0.295	6.8
SE0101010202-C	1985-01-01	1.75	20.000	8.035	0.500	0.621	3.005	0.100	18.432	0.295	6.8
SE0101010202-C	1985-01-01	2.25	20.000	8.034	0.500	0.621	3.005	0.100	18.432	0.295	6.8
SE0101010202-C	1985-01-01	2.75	20.000	8.034	0.500	0.621	3.005	0.100	18.432	0.295	6.8
SE0101010202-C	1985-01-01	3.25	20.000	8.033	0.500	0.621	3.005	0.100	18.432	0.295	6.8
SE0101010202-C	1985-01-01	3.75	20.000	8.033	0.500	0.621	3.005	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	4.50	20.000	8.032	0.500	0.621	3.005	0.100	18.432	0.295	6.8
SE0101010202-C	1985-01-01	5.50	20.000	8.031	0.500	0.621	3.005	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	6.50	20.000	8.031	0.500	0.621	3.005	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	7.50	20.000	8.030	0.500	0.621	3.005	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	8.50	20.000	8.030	0.500	0.621	3.006	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	9.50	20.000	8.029	0.501	0.621	3.006	0.100	18.433	0.295	6.8
SE0101010202-C	1985-01-01	38.50	20.000	7.975	0.507	0.627	3.072	0.100	18.492	0.296	6.8
SE0101010202-C	1985-01-01	39.00	20.000	7.975	0.507	0.627	3.072	0.100	18.492	0.296	6.8
SE0101010202-C	1985-01-02	0.00	20.000	8.077	0.502	0.620	3.022	0.101	18.410	0.284	6.9
SE0101010202-C	1985-01-02	0.25	20.000	8.077	0.502	0.620	3.022	0.101	18.410	0.284	6.9
SE0101010202-C	1985-01-02	0.75	20.000	8.076	0.502	0.621	3.021	0.101	18.436	0.289	6.9
SE0101010202-C	1985-01-02	1.25	20.000	8.075	0.502	0.621	3.021	0.101	18.436	0.289	6.9
SE0101010202-C	1985-01-02	1.75	20.000	8.075	0.502	0.621	3.021	0.101	18.436	0.289	6.9
SE0101010202-C	1985-01-02	2.25	20.000	8.074	0.502	0.621	3.021	0.101	18.436	0.289	6.9
SE0101010202-C	1985-01-02	2.75	20.000	8.074	0.502	0.621	3.021	0.101	18.436	0.289	6.9
SE0101010202-C	1985-01-02	3.25	20.000	8.074	0.502	0.621	3.021	0.101	18.436	0.289	6.9
SE0101010202-C	1985-01-02	3.75	20.000	8.073	0.502	0.621	3.021	0.100	18.436	0.289	6.9
SE0101010202-C	1985-01-02	4.50	20.000	8.073	0.502	0.621	3.021	0.100	18.436	0.289	6.9
SE0101010202-C	1985-01-02	5.50	20.000	8.073	0.502	0.621	3.021	0.100	18.436	0.289	6.9
SE0101010202-C	1985-01-02	6.50	20.000	8.073	0.502	0.621	3.021	0.100	18.436	0.289	6.9
SE0101010202-C	1985-01-02	7.50	20.000	8.072	0.502	0.621	3.021	0.100	18.437	0.289	6.9
SE0101010202-C	1985-01-02	8.50	20.000	8.072	0.502	0.621	3.021	0.100	18.437	0.289	6.9
SE0101010202-C	1985-01-02	9.50	20.000	8.072	0.502	0.622	3.022	0.100	18.438	0.289	6.9
SE0101010202-C	1985-01-02	38.50	20.000	8.065	0.503	0.623	3.035	0.100	18.447	0.290	6.9
SE0101010202-C	1985-01-02	39.00	20.000	8.065	0.503	0.623	3.035	0.100	18.447	0.290	6.9
SE0101010202-C	1985-01-03	0.00	19.100	8.278	0.492	0.610	3.414	0.126	18.927	0.270	6.7
SE0101010202-C	1985-01-03	0.25	19.100	8.278	0.492	0.610	3.414	0.126	18.927	0.270	6.7
SE0101010202-C	1985-01-03	0.75	19.097	8.276	0.492	0.613	3.415	0.126	18.978	0.274	6.7
SE0101010202-C	1985-01-03	1.25	19.119	8.271	0.492	0.613	3.405	0.126	18.964	0.275	6.7
SE0101010202-C	1985-01-03	1.75	19.155	8.263	0.493	0.614	3.389	0.124	18.942	0.275	6.7
SE0101010202-C	1985-01-03	2.25	19.211	8.251	0.493	0.614	3.364	0.123	18.909	0.277	6.7
