EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE574100-164700	1985-01-01	0.00	6.000	8.004	0.500	0.618	3.014	0.109	18.403	0.287	6.9
SE574100-164700	1985-01-01	0.25	6.000	8.004	0.500	0.618	3.014	0.109	18.403	0.287	6.9
SE574100-164700	1985-01-01	0.75	6.000	8.003	0.500	0.620	3.012	0.108	18.426	0.292	6.9
SE574100-164700	1985-01-01	1.25	6.000	8.003	0.500	0.620	3.011	0.107	18.426	0.292	6.9
SE574100-164700	1985-01-01	1.75	6.000	8.002	0.500	0.620	3.011	0.106	18.426	0.292	6.9
SE574100-164700	1985-01-01	2.25	6.000	8.001	0.500	0.620	3.010	0.105	18.427	0.293	6.9
SE574100-164700	1985-01-01	2.75	6.000	8.000	0.501	0.620	3.010	0.104	18.430	0.294	6.9
SE574100-164700	1985-01-01	3.25	6.000	7.998	0.501	0.621	3.009	0.101	18.435	0.295	6.9
SE574100-164700	1985-01-01	3.75	6.000	7.998	0.501	0.621	3.008	0.101	18.437	0.296	6.9
SE574100-164700	1985-01-01	4.50	6.000	7.998	0.501	0.621	3.007	0.100	18.438	0.296	6.9
SE574100-164700	1985-01-01	5.50	6.000	7.998	0.501	0.621	3.007	0.100	18.439	0.296	6.9
SE574100-164700	1985-01-01	6.50	6.000	7.997	0.501	0.621	3.007	0.100	18.440	0.296	6.9
SE574100-164700	1985-01-01	7.50	6.000	7.997	0.501	0.621	3.008	0.100	18.440	0.296	6.9
SE574100-164700	1985-01-01	8.50	6.000	7.997	0.501	0.622	3.009	0.100	18.442	0.296	6.9
SE574100-164700	1985-01-01	9.50	6.000	7.996	0.501	0.622	3.012	0.100	18.445	0.296	6.9
SE574100-164700	1985-01-01	40.50	6.000	7.979	0.505	0.625	3.060	0.100	18.478	0.296	6.9
SE574100-164700	1985-01-01	41.00	6.000	7.979	0.505	0.625	3.060	0.100	18.478	0.296	6.9
SE574100-164700	1985-01-02	0.00	6.000	8.052	0.502	0.620	3.033	0.108	18.424	0.287	6.9
SE574100-164700	1985-01-02	0.25	6.000	8.052	0.502	0.620	3.033	0.108	18.424	0.287	6.9
SE574100-164700	1985-01-02	0.75	6.000	8.048	0.502	0.621	3.033	0.108	18.448	0.292	6.9
SE574100-164700	1985-01-02	1.25	6.000	8.046	0.502	0.621	3.033	0.108	18.448	0.292	6.9
SE574100-164700	1985-01-02	1.75	6.000	8.045	0.502	0.621	3.033	0.108	18.448	0.292	6.9
SE574100-164700	1985-01-02	2.25	6.000	8.044	0.502	0.621	3.033	0.107	18.448	0.292	6.9
SE574100-164700	1985-01-02	2.75	6.000	8.043	0.502	0.621	3.033	0.107	18.449	0.292	6.9
SE574100-164700	1985-01-02	3.25	6.000	8.042	0.502	0.621	3.034	0.107	18.449	0.292	6.9
SE574100-164700	1985-01-02	3.75	6.000	8.041	0.502	0.621	3.034	0.107	18.449	0.292	6.9
SE574100-164700	1985-01-02	4.50	6.000	8.040	0.502	0.621	3.033	0.107	18.448	0.292	6.9
SE574100-164700	1985-01-02	5.50	6.000	8.039	0.502	0.621	3.033	0.107	18.449	0.292	6.9
SE574100-164700	1985-01-02	6.50	6.000	8.038	0.502	0.621	3.033	0.107	18.449	0.292	6.9
SE574100-164700	1985-01-02	7.50	6.000	8.037	0.502	0.621	3.033	0.107	18.448	0.292	6.9
SE574100-164700	1985-01-02	8.50	6.000	8.036	0.502	0.622	3.033	0.107	18.449	0.292	6.9
SE574100-164700	1985-01-02	9.50	6.000	8.035	0.502	0.622	3.034	0.107	18.450	0.292	6.9
SE574100-164700	1985-01-02	40.50	6.000	7.946	0.514	0.634	3.157	0.100	18.569	0.285	6.9
SE574100-164700	1985-01-02	41.00	6.000	7.946	0.514	0.634	3.157	0.100	18.569	0.285	6.9
SE574100-164700	1985-01-03	0.00	6.004	8.314	0.504	0.620	3.072	0.115	18.427	0.288	6.9
SE574100-164700	1985-01-03	0.25	6.004	8.314	0.504	0.620	3.072	0.115	18.427	0.288	6.9
SE574100-164700	1985-01-03	0.75	6.004	8.309	0.504	0.622	3.071	0.114	18.450	0.293	6.9
SE574100-164700	1985-01-03	1.25	6.004	8.306	0.504	0.622	3.071	0.114	18.449	0.293	6.9
SE574100-164700	1985-01-03	1.75	6.004	8.304	0.504	0.622	3.071	0.114	18.449	0.293	6.9
SE574100-164700	1985-01-03	2.25	6.004	8.302	0.504	0.622	3.071	0.114	18.449	0.293	6.9
SE574100-164700	1985-01-03	2.75	6.004	8.301	0.504	0.622	3.072	0.114	18.450	0.293	6.9
SE574100-164700	1985-01-03	3.25	6.004	8.300	0.504	0.622	3.072	0.114	18.450	0.293	6.9
SE574100-164700	1985-01-03	3.75	6.004	8.299	0.504	0.622	3.072	0.114	18.450	0.293	6.9
SE574100-164700	1985-01-03	4.50	6.004	8.298	0.504	0.622	3.071	0.114	18.449	0.293	6.9
SE574100-164700	1985-01-03	5.50	6.005	8.296	0.504	0.622	3.072	0.114	18.449	0.293	6.9
SE574100-164700	1985-01-03	6.50	6.005	8.294	0.504	0.622	3.072	0.114	18.449	0.293	6.9
SE574100-164700	1985-01-03	7.50	6.005	8.293	0.504	0.622	3.072	0.114	18.448	0.293	6.9
SE574100-164700	1985-01-03	8.50	6.005	8.292	0.504	0.622	3.072	0.114	18.449	0.294	6.9
