EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE634230-201605	1985-01-01	0.00	3.000	8.043	0.501	0.619	3.024	0.101	18.411	0.288	6.9
SE634230-201605	1985-01-01	0.25	3.000	8.043	0.501	0.619	3.024	0.101	18.411	0.288	6.9
SE634230-201605	1985-01-01	0.75	3.000	8.040	0.501	0.621	3.024	0.101	18.437	0.292	6.9
SE634230-201605	1985-01-01	1.25	3.000	8.038	0.501	0.621	3.024	0.101	18.437	0.292	6.9
SE634230-201605	1985-01-01	1.75	3.000	8.037	0.501	0.621	3.025	0.101	18.437	0.292	6.9
SE634230-201605	1985-01-01	2.25	3.000	8.035	0.501	0.621	3.025	0.101	18.438	0.292	6.9
SE634230-201605	1985-01-01	2.75	3.000	8.034	0.501	0.621	3.026	0.101	18.438	0.293	6.9
SE634230-201605	1985-01-01	3.25	3.000	8.033	0.501	0.621	3.026	0.101	18.439	0.293	6.9
SE634230-201605	1985-01-01	3.75	3.000	8.032	0.501	0.621	3.029	0.101	18.442	0.293	6.9
SE634230-201605	1985-01-01	4.50	3.000	8.031	0.501	0.621	3.026	0.101	18.439	0.293	6.9
SE634230-201605	1985-01-01	5.50	3.000	8.030	0.501	0.621	3.027	0.101	18.440	0.293	6.9
SE634230-201605	1985-01-01	6.50	3.000	8.027	0.501	0.621	3.027	0.101	18.441	0.293	6.9
SE634230-201605	1985-01-01	7.50	3.000	8.025	0.501	0.621	3.026	0.101	18.441	0.293	6.9
SE634230-201605	1985-01-01	8.50	3.000	8.020	0.501	0.621	3.026	0.101	18.443	0.293	6.9
SE634230-201605	1985-01-01	9.50	3.000	8.014	0.501	0.621	3.026	0.101	18.446	0.294	6.9
SE634230-201605	1985-01-01	14.50	3.000	7.978	0.503	0.623	3.065	0.100	18.484	0.296	6.9
SE634230-201605	1985-01-01	15.00	3.000	7.978	0.503	0.623	3.065	0.100	18.484	0.296	6.9
SE634230-201605	1985-01-02	0.00	3.000	8.420	0.504	0.619	3.094	0.104	18.438	0.267	7.0
SE634230-201605	1985-01-02	0.25	3.000	8.420	0.504	0.619	3.094	0.104	18.438	0.267	7.0
SE634230-201605	1985-01-02	0.75	3.000	8.414	0.504	0.620	3.094	0.104	18.454	0.271	7.0
SE634230-201605	1985-01-02	1.25	3.000	8.412	0.504	0.620	3.094	0.104	18.454	0.271	7.0
