EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE582460-164500	1985-01-01	0.00	6.000	8.004	0.501	0.619	3.009	0.103	18.405	0.289	6.8
SE582460-164500	1985-01-01	0.25	6.000	8.004	0.501	0.619	3.009	0.103	18.405	0.289	6.8
SE582460-164500	1985-01-01	0.75	6.000	8.003	0.501	0.621	3.009	0.103	18.432	0.294	6.8
SE582460-164500	1985-01-01	1.25	6.000	8.003	0.501	0.621	3.009	0.102	18.431	0.294	6.8
SE582460-164500	1985-01-01	1.75	6.000	8.002	0.501	0.621	3.009	0.102	18.432	0.294	6.8
SE582460-164500	1985-01-01	2.25	6.000	8.002	0.501	0.621	3.009	0.102	18.432	0.294	6.8
SE582460-164500	1985-01-01	2.75	6.000	8.002	0.501	0.621	3.008	0.102	18.432	0.294	6.8
SE582460-164500	1985-01-01	3.25	6.000	8.002	0.501	0.621	3.008	0.102	18.432	0.294	6.8
SE582460-164500	1985-01-01	3.75	6.000	8.001	0.501	0.621	3.009	0.102	18.433	0.294	6.8
SE582460-164500	1985-01-01	4.50	6.000	8.001	0.501	0.621	3.008	0.102	18.432	0.294	6.8
SE582460-164500	1985-01-01	5.50	6.000	8.001	0.501	0.621	3.008	0.102	18.433	0.295	6.8
SE582460-164500	1985-01-01	6.50	6.000	8.000	0.501	0.621	3.008	0.101	18.434	0.295	6.8
SE582460-164500	1985-01-01	7.50	6.000	8.000	0.501	0.621	3.008	0.101	18.434	0.295	6.8
SE582460-164500	1985-01-01	8.50	6.000	7.999	0.501	0.621	3.008	0.101	18.436	0.295	6.8
SE582460-164500	1985-01-01	9.50	6.000	7.999	0.501	0.621	3.009	0.101	18.438	0.295	6.8
SE582460-164500	1985-01-01	22.50	6.000	7.974	0.507	0.627	3.075	0.100	18.496	0.296	6.8
SE582460-164500	1985-01-01	23.00	6.000	7.974	0.507	0.627	3.075	0.100	18.496	0.296	6.8
SE582460-164500	1985-01-02	0.00	6.000	8.092	0.503	0.620	3.038	0.105	18.423	0.285	6.9
SE582460-164500	1985-01-02	0.25	6.000	8.092	0.503	0.620	3.038	0.105	18.423	0.285	6.9
SE582460-164500	1985-01-02	0.75	6.000	8.089	0.503	0.622	3.038	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	1.25	6.000	8.087	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	1.75	6.000	8.085	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	2.25	6.000	8.084	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	2.75	6.000	8.083	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	3.25	6.000	8.083	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	3.75	6.000	8.082	0.503	0.622	3.038	0.105	18.448	0.289	6.9
SE582460-164500	1985-01-02	4.50	6.000	8.081	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	5.50	6.000	8.080	0.503	0.622	3.037	0.105	18.447	0.289	6.9
SE582460-164500	1985-01-02	6.50	6.000	8.079	0.503	0.622	3.037	0.105	18.447	0.290	6.9
SE582460-164500	1985-01-02	7.50	6.000	8.079	0.503	0.622	3.037	0.105	18.447	0.290	6.9
SE582460-164500	1985-01-02	8.50	6.000	8.078	0.503	0.622	3.038	0.105	18.448	0.290	6.9
SE582460-164500	1985-01-02	9.50	6.000	8.077	0.503	0.622	3.038	0.105	18.448	0.290	6.9
SE582460-164500	1985-01-02	22.50	6.000	8.069	0.504	0.623	3.051	0.104	18.457	0.290	6.9
SE582460-164500	1985-01-02	23.00	6.000	8.069	0.504	0.623	3.051	0.104	18.457	0.290	6.9
