EUCD	YYYY-MM-DD	Djup(m)	Salt (psu o/oo)	O2 (ml/l)	PO4 (µmol/l)	TotP (µmol/l)	NO3 (µmol/l)	NH4 (µmol/l)	TotN (µmol/l)	Chla (ug/l)	Siktdjup (m)
SE593820-185500	1985-01-01	0.00	4.000	8.004	0.500	0.619	3.007	0.102	18.403	0.289	6.8
SE593820-185500	1985-01-01	0.25	4.000	8.004	0.500	0.619	3.007	0.102	18.403	0.289	6.8
SE593820-185500	1985-01-01	0.75	4.000	8.004	0.500	0.620	3.007	0.102	18.429	0.294	6.8
SE593820-185500	1985-01-01	1.25	4.000	8.003	0.500	0.620	3.006	0.102	18.429	0.294	6.8
SE593820-185500	1985-01-01	1.75	4.000	8.003	0.500	0.620	3.006	0.102	18.429	0.294	6.8
SE593820-185500	1985-01-01	2.25	4.000	8.003	0.500	0.620	3.006	0.102	18.429	0.294	6.8
SE593820-185500	1985-01-01	2.75	4.000	8.002	0.500	0.620	3.006	0.102	18.430	0.294	6.8
SE593820-185500	1985-01-01	3.25	4.000	8.002	0.500	0.620	3.006	0.101	18.430	0.294	6.8
SE593820-185500	1985-01-01	3.75	4.000	8.002	0.500	0.620	3.006	0.101	18.430	0.295	6.8
SE593820-185500	1985-01-01	4.50	4.000	8.002	0.500	0.620	3.006	0.101	18.430	0.295	6.8
SE593820-185500	1985-01-01	5.50	4.000	8.002	0.500	0.620	3.005	0.101	18.431	0.295	6.8
SE593820-185500	1985-01-01	6.50	4.000	8.001	0.500	0.621	3.005	0.101	18.431	0.295	6.8
SE593820-185500	1985-01-01	7.50	4.000	8.001	0.500	0.621	3.005	0.101	18.432	0.295	6.8
SE593820-185500	1985-01-01	8.50	4.000	8.000	0.500	0.621	3.005	0.101	18.433	0.295	6.8
SE593820-185500	1985-01-01	9.50	4.000	8.000	0.500	0.621	3.005	0.100	18.434	0.296	6.8
SE593820-185500	1985-01-01	40.50	4.000	7.975	0.503	0.623	3.071	0.100	18.491	0.296	6.8
SE593820-185500	1985-01-01	41.00	4.000	7.975	0.503	0.623	3.071	0.100	18.491	0.296	6.8
SE593820-185500	1985-01-02	0.00	4.000	8.018	0.501	0.618	3.020	0.104	18.405	0.281	6.9
SE593820-185500	1985-01-02	0.25	4.000	8.018	0.501	0.618	3.020	0.104	18.405	0.281	6.9
SE593820-185500	1985-01-02	0.75	4.000	8.018	0.501	0.620	3.020	0.104	18.430	0.286	6.9
SE593820-185500	1985-01-02	1.25	4.000	8.017	0.501	0.620	3.020	0.104	18.429	0.286	6.9
SE593820-185500	1985-01-02	1.75	4.000	8.017	0.501	0.620	3.019	0.104	18.429	0.286	6.9
SE593820-185500	1985-01-02	2.25	4.000	8.017	0.501	0.620	3.019	0.104	18.429	0.286	6.9
SE593820-185500	1985-01-02	2.75	4.000	8.016	0.501	0.620	3.019	0.104	18.429	0.286	6.9
SE593820-185500	1985-01-02	3.25	4.000	8.016	0.501	0.620	3.019	0.103	18.430	0.286	6.9
SE593820-185500	1985-01-02	3.75	4.000	8.016	0.501	0.620	3.020	0.103	18.430	0.286	6.9
SE593820-185500	1985-01-02	4.50	4.000	8.016	0.501	0.620	3.019	0.103	18.430	0.286	6.9
SE593820-185500	1985-01-02	5.50	4.000	8.015	0.501	0.620	3.019	0.103	18.430	0.286	6.9
SE593820-185500	1985-01-02	6.50	4.000	8.015	0.501	0.620	3.019	0.103	18.430	0.286	6.9
SE593820-185500	1985-01-02	7.50	4.000	8.015	0.501	0.620	3.019	0.103	18.431	0.286	6.9
SE593820-185500	1985-01-02	8.50	4.000	8.014	0.501	0.620	3.019	0.103	18.431	0.287	6.9
SE593820-185500	1985-01-02	9.50	4.000	8.014	0.501	0.620	3.019	0.103	18.431	0.287	6.9
SE593820-185500	1985-01-02	40.50	4.000	7.935	0.509	0.629	3.188	0.100	18.606	0.285	6.9
SE593820-185500	1985-01-02	41.00	4.000	7.935	0.509	0.629	3.188	0.100	18.606	0.285	6.9
SE593820-185500	1985-01-03	0.00	3.998	8.126	0.501	0.618	3.042	0.106	18.414	0.270	6.9
SE593820-185500	1985-01-03	0.25	3.998	8.126	0.501	0.618	3.042	0.106	18.414	0.270	6.9
SE593820-185500	1985-01-03	0.75	3.998	8.122	0.501	0.619	3.042	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	1.25	3.998	8.120	0.501	0.619	3.041	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	1.75	3.998	8.118	0.501	0.619	3.041	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	2.25	3.998	8.116	0.501	0.619	3.041	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	2.75	3.998	8.115	0.501	0.619	3.041	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	3.25	3.998	8.114	0.501	0.619	3.041	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	3.75	3.998	8.113	0.501	0.619	3.041	0.106	18.437	0.274	6.9
SE593820-185500	1985-01-03	4.50	3.998	8.112	0.501	0.619	3.041	0.105	18.437	0.274	6.9
SE593820-185500	1985-01-03	5.50	3.998	8.110	0.501	0.619	3.041	0.105	18.437	0.274	6.9
SE593820-185500	1985-01-03	6.50	3.998	8.109	0.501	0.619	3.041	0.105	18.437	0.274	6.9
SE593820-185500	1985-01-03	7.50	3.998	8.108	0.501	0.619	3.041	0.105	18.437	0.274	6.9
SE593820-185500	1985-01-03	8.50	3.998	8.106	0.501	0.619	3.041	0.105	18.437	0.274	6.9
SE593820-185500	1985-01-03	9.50	3.998	8.105	0.501	0.619	3.041	0.105	18.437	0.274	6.9
SE593820-185500	1985-01-03	40.50	4.000	7.901	0.513	0.633	3.288	0.100	18.704	0.271	6.9
SE593820-185500	1985-01-03	41.00	4.000	7.901	0.513	0.633	3.288	0.100	18.704	0.271	6.9
SE593820-185500	1985-01-04	0.00	3.998	8.363	0.502	0.618	3.074	0.107	18.439	0.258	6.9
SE593820-185500	1985-01-04	0.25	3.998	8.363	0.502	0.618	3.074	0.107	18.439	0.258	6.9
SE593820-185500	1985-01-04	0.75	3.998	8.357	0.502	0.620	3.074	0.107	18.462	0.262	6.9
SE593820-185500	1985-01-04	1.25	3.998	8.353	0.502	0.620	3.074	0.107	18.462	0.262	6.9
SE593820-185500	1985-01-04	1.75	3.998	8.350	0.502	0.620	3.073	0.107	18.462	0.262	6.9
SE593820-185500	1985-01-04	2.25	3.998	8.348	0.502	0.620	3.073	0.107	18.462	0.262	6.9
SE593820-185500	1985-01-04	2.75	3.998	8.347	0.502	0.620	3.073	0.107	18.462	0.262	6.9
